State,County,CensusTract,Prevalence
GA,13271,13271950100,0.0707824598533
GA,13271,13271950200,0.0869868336387
GA,13271,13271950500,0.14443892178
GA,13061,13061960300,0.126838657975
GA,13253,13253200100,0.10701297482
GA,13253,13253200200,0.131489405424
GA,13253,13253200300,0.181008124515
GA,13099,13099090100,0.0944219354865
GA,13099,13099090200,0.135075680541
GA,13099,13099090300,0.111069141138
GA,13099,13099090400,0.116511306642
GA,13099,13099090500,0.0893529092827
GA,13219,13219030100,0.0771269019086
GA,13219,13219030200,0.0463605406787
GA,13219,13219030300,0.0669131922236
GA,13219,13219030400,0.079322557914
GA,13219,13219030500,0.0789785511131
GA,13219,13219030600,0.0936024077886
GA,13009,13009970100,0.0975918200071
GA,13009,13009970200,0.0607122116556
GA,13009,13009970300,0.0721017092779
GA,13009,13009970400,0.143367196898
GA,13009,13009970500,0.0806019365448
GA,13009,13009970600,0.0492772929394
GA,13009,13009970701,0.0280911001784
GA,13009,13009970702,0.0670110416962
GA,13009,13009970800,0.0468699782613
GA,13139,13139000101,0.159535507737
GA,13139,13139000102,0.112224658622
GA,13139,13139000201,0.127063046738
GA,13139,13139000203,0.101105052566
GA,13139,13139000204,0.0943394631013
GA,13139,13139000302,0.121652147436
GA,13139,13139000303,0.0839578500552
GA,13139,13139000304,0.0882887974053
GA,13139,13139000305,0.045570292002
GA,13139,13139000400,0.12331774191
GA,13139,13139000500,0.113562016605
GA,13139,13139000600,0.142573048475
GA,13139,13139000701,0.0793830413709
GA,13139,13139000702,0.10320797697
GA,13139,13139000800,0.0996290145391
GA,13139,13139000900,0.10150571721
GA,13139,13139001002,0.0927625444413
GA,13139,13139001003,0.149649428355
GA,13139,13139001004,0.0942786021843
GA,13139,13139001101,0.151449992067
GA,13139,13139001102,0.09545671502
GA,13139,13139001201,0.0730871849753
GA,13139,13139001202,0.0904939894855
GA,13139,13139001301,0.0953459187097
GA,13139,13139001302,0.10022872915
GA,13139,13139001402,0.110620478314
GA,13139,13139001403,0.119615937584
GA,13139,13139001404,0.0812632809572
GA,13139,13139001501,0.104516326996
GA,13139,13139001502,0.0677874899732
GA,13139,13139001603,0.131602098498
GA,13139,13139001604,0.103014896532
GA,13139,13139001605,0.10282958314
GA,13139,13139001606,0.102967517209
GA,13139,13139001607,0.0983714777916
GA,13139,13139001608,0.0926393783718
GA,13259,13259950100,0.0850627178932
GA,13259,13259950400,0.029529252933
GA,13039,13039010100,0.124018009876
GA,13039,13039010200,0.101051935331
GA,13039,13039010301,0.0951261207031
GA,13039,13039010302,0.124810396274
GA,13039,13039010401,0.06953470259
GA,13039,13039010402,0.0961701611953
GA,13039,13039010403,0.0723034033713
GA,13039,13039010500,0.0747970638682
GA,13039,13039010601,0.0493059872328
GA,13039,13039010602,0.0619416163013
GA,13039,13039990000,0.0244025580454
GA,13053,13053020100,0.0532751703493
GA,13053,13053020201,0.0984576013604
GA,13053,13053020203,0.030634967881
GA,13053,13053020205,0.0403460077929
GA,13053,13053020206,0.0649262989227
GA,13143,13143010100,0.0307450914124
GA,13143,13143010200,0.0826209513074
GA,13143,13143010301,0.131954519477
GA,13143,13143010302,0.0953052312444
GA,13143,13143010400,0.0892211233162
GA,13015,13015960101,0.139109163874
GA,13015,13015960102,0.123640053377
GA,13015,13015960200,0.09064179639
GA,13015,13015960300,0.0556470846526
GA,13015,13015960401,0.124831909102
GA,13015,13015960402,0.145099855875
GA,13015,13015960500,0.0741917138123
GA,13015,13015960600,0.114846085951
GA,13015,13015960700,0.105988262688
GA,13015,13015960801,0.0691680313742
GA,13015,13015960802,0.135842213749
GA,13015,13015960803,0.107277891874
GA,13015,13015960901,0.0789437329117
GA,13015,13015960902,0.113161551895
GA,13015,13015961000,0.13824544214
GA,13073,13073030102,0.0250994762601
GA,13073,13073030103,0.05486541867
GA,13073,13073030105,0.064806485147
GA,13073,13073030106,0.102367919077
GA,13073,13073030201,0.0984710698401
GA,13073,13073030202,0.0838808556342
GA,13073,13073030203,0.0475066987685
GA,13073,13073030302,0.0744514759814
GA,13073,13073030304,0.0536971515412
GA,13073,13073030306,0.104094993672
GA,13073,13073030307,0.0836688781046
GA,13073,13073030308,0.0855219821109
GA,13073,13073030309,0.0828555596415
GA,13073,13073030401,0.0947036045089
GA,13073,13073030402,0.054683639685
GA,13073,13073030503,0.0654602500945
GA,13073,13073030504,0.0560396692817
GA,13073,13073030505,0.098920351779
GA,13073,13073030506,0.0921027652545
GA,13073,13073030603,0.104805370618
GA,13237,13237960101,0.103830765789
GA,13237,13237960102,0.0628423125106
GA,13237,13237960201,0.0467823337404
GA,13237,13237960202,0.0298478974055
GA,13237,13237960300,0.117186784772
GA,13293,13293010100,0.115845403659
GA,13293,13293010201,0.124960571088
GA,13293,13293010202,0.119201089452
GA,13293,13293010300,0.125337309413
GA,13293,13293010400,0.0789816595032
GA,13293,13293010500,0.0977738653997
GA,13293,13293010600,0.156493733082
GA,13055,13055010100,0.0919565720019
GA,13055,13055010200,0.166752385303
GA,13055,13055010300,0.0971209350489
GA,13055,13055010400,0.121559598015
GA,13055,13055010500,0.130795647811
GA,13055,13055010600,0.165386047621
GA,13187,13187960101,0.145170349998
GA,13187,13187960102,0.0959020525716
GA,13187,13187960201,0.0730010046669
GA,13187,13187960202,0.0390983517592
GA,13221,13221960100,0.0507864638052
GA,13221,13221960201,0.0838856151012
GA,13221,13221960202,0.0496826417936
GA,13221,13221960300,0.0687685210529
GA,13167,13167960100,0.0993279173623
GA,13167,13167960200,0.08661329432
GA,13167,13167960300,0.0658892317918
GA,13001,13001950100,0.0520355227403
GA,13001,13001950200,0.1455553561
GA,13001,13001950300,0.0857510422367
GA,13001,13001950400,0.104045689976
GA,13001,13001950500,0.095759229923
GA,13087,13087970100,0.0890263375067
GA,13087,13087970200,0.140294069927
GA,13087,13087970300,0.0758196937384
GA,13087,13087970400,0.0775289172362
GA,13087,13087970600,0.0962307103593
GA,13087,13087970700,0.0650588590241
GA,13087,13087970800,0.115197306209
GA,13283,13283960100,0.100821717063
GA,13283,13283960200,0.101281182431
GA,13021,13021010100,0.0419249854592
GA,13021,13021010200,0.0863434074701
GA,13021,13021010300,0.0563621564794
GA,13021,13021010400,0.120354956375
GA,13021,13021010500,0.0600864482969
GA,13021,13021010800,0.0956376747146
GA,13021,13021011000,0.0919004755876
GA,13021,13021011100,0.0908329552768
GA,13021,13021011500,0.117803195842
GA,13021,13021011701,0.0449234208572
GA,13021,13021011702,0.057637591361
GA,13021,13021011800,0.100117185802
GA,13021,13021011900,0.0774242337622
GA,13021,13021012000,0.06828246879
GA,13021,13021012101,0.0763285071104
GA,13021,13021012102,0.0364582827131
GA,13021,13021012200,0.0836588676681
GA,13021,13021012300,0.0396557568127
GA,13021,13021012400,0.081955041765
GA,13021,13021012500,0.0546201678591
GA,13021,13021012600,0.0683323706704
GA,13021,13021012700,0.0622474736146
GA,13021,13021012800,0.0519802315055
GA,13021,13021012900,0.0749733233958
GA,13021,13021013101,0.0304352828007
GA,13021,13021013102,0.0606365860055
GA,13021,13021013201,0.0723521795503
GA,13021,13021013202,0.0827666672416
GA,13021,13021013302,0.063889973045
GA,13021,13021013407,0.0762804728421
GA,13021,13021013408,0.0541292054758
GA,13021,13021013409,0.0925684203698
GA,13021,13021013410,0.0898802670829
GA,13021,13021013411,0.000367386313389
GA,13021,13021013502,0.0509519226897
GA,13021,13021013503,0.0259484533332
GA,13021,13021013504,0.0814950710455
GA,13021,13021013603,0.0604648161526
GA,13021,13021013604,0.136282396123
GA,13021,13021013605,0.063436949802
GA,13021,13021013606,0.0412153194069
GA,13021,13021013700,0.0558028568647
GA,13021,13021013800,0.0422615405625
GA,13021,13021013900,0.0733728003616
GA,13147,13147960100,0.0953676805841
GA,13147,13147960200,0.107156392081
GA,13147,13147960300,0.0720592501326
GA,13147,13147960400,0.158265882477
GA,13147,13147960500,0.120868405573
GA,13193,13193000100,0.240386973491
GA,13193,13193000200,0.23914269765
GA,13193,13193000300,0.223138039068
GA,13193,13193000400,0.226209400424
GA,13295,13295020100,0.134000755228
GA,13295,13295020200,0.12958732027
GA,13295,13295020301,0.145077204281
GA,13295,13295020302,0.137665924914
GA,13295,13295020400,0.145360551465
GA,13295,13295020501,0.0633892399087
GA,13295,13295020502,0.0845595524366
GA,13295,13295020601,0.109949335728
GA,13295,13295020602,0.101971474824
GA,13295,13295020700,0.0908439590562
GA,13295,13295020800,0.054060187272
GA,13295,13295020901,0.0867691877808
GA,13295,13295020902,0.113401357528
GA,13175,13175950100,0.104664741657
GA,13175,13175950201,0.044728353255
GA,13175,13175950202,0.136989452063
GA,13175,13175950300,0.0962194062797
GA,13175,13175950400,0.121708648793
GA,13175,13175950500,0.0697640365163
GA,13175,13175950600,0.133851684978
GA,13175,13175950700,0.127782724131
GA,13175,13175950800,0.0690017173355
GA,13175,13175950900,0.109844732923
