State,County,CensusTract,Prevalence
GA,13271,13271950100,0.0139405792854
GA,13271,13271950200,0.0139403186481
GA,13271,13271950500,0.0139403569992
GA,13061,13061960300,0.0116187146359
GA,13253,13253200100,0.014881908773
GA,13253,13253200200,0.0148818695581
GA,13253,13253200300,0.0148819075538
GA,13099,13099090100,0.0109765480059
GA,13099,13099090200,0.0109765409238
GA,13099,13099090300,0.0109764759758
GA,13099,13099090400,0.0109762779337
GA,13099,13099090500,0.0109766909792
GA,13219,13219030100,0.0103868293101
GA,13219,13219030200,0.0103866303314
GA,13219,13219030300,0.0103868240834
GA,13219,13219030400,0.0103869454968
GA,13219,13219030500,0.0103868948334
GA,13219,13219030600,0.0103865892658
GA,13009,13009970100,0.0192343975331
GA,13009,13009970200,0.019234469307
GA,13009,13009970300,0.0192345868866
GA,13009,13009970400,0.0192343671098
GA,13009,13009970500,0.019234389468
GA,13009,13009970600,0.0192346244621
GA,13009,13009970701,0.0192343924236
GA,13009,13009970702,0.0192344211315
GA,13009,13009970800,0.0192346087075
GA,13139,13139000101,0.00620570972341
GA,13139,13139000102,0.0062059474514
GA,13139,13139000201,0.00620590417013
GA,13139,13139000203,0.00620602409662
GA,13139,13139000204,0.00620589105706
GA,13139,13139000302,0.00620599867807
GA,13139,13139000303,0.00620592757504
GA,13139,13139000304,0.00620573444304
GA,13139,13139000305,0.00620570014739
GA,13139,13139000400,0.00620586875915
GA,13139,13139000500,0.00620587383337
GA,13139,13139000600,0.00620598553395
GA,13139,13139000701,0.00620588207663
GA,13139,13139000702,0.00620568193296
GA,13139,13139000800,0.00620590631199
GA,13139,13139000900,0.00620588775057
GA,13139,13139001002,0.00620585583066
GA,13139,13139001003,0.00620574814226
GA,13139,13139001004,0.00620598950065
GA,13139,13139001101,0.00620603301671
GA,13139,13139001102,0.00620596188436
GA,13139,13139001201,0.0062058657314
GA,13139,13139001202,0.00620590306014
GA,13139,13139001301,0.00620587076064
GA,13139,13139001302,0.00620591335954
GA,13139,13139001402,0.00620594787291
GA,13139,13139001403,0.00620570528493
GA,13139,13139001404,0.00620572917286
