State,County,Total Cost,Number of Children
GA,1,152710.5989809077,2956
GA,3,92318.76328436543,1559
GA,5,86895.09970736482,1625
GA,7,39996.87075979576,432
GA,9,404412.1800860795,5059
GA,11,58626.2318999994,1905
GA,13,285995.8910105072,8024
GA,15,483743.16509301704,12371
GA,17,129685.83182623393,3078
GA,19,156235.59489641807,2787
GA,21,981811.4991599723,24250
GA,23,94820.33876618797,1422
GA,25,122251.26410304614,2523
GA,27,120860.06491392289,2254
GA,29,109605.97877527817,2476
GA,31,277164.67612183397,6935
GA,33,228742.7899004993,4051
GA,35,129109.65001338365,3131
GA,37,46448.57138947655,726
GA,39,248080.94982671487,4694
GA,43,58265.764252627276,1783
GA,45,751249.0136323525,12960
GA,47,234542.27557305477,6250
GA,49,87541.35431327921,1345
GA,51,1149188.969649886,27991
GA,53,41029.62377056027,544
GA,55,248652.44623699025,3481
GA,57,449955.6261797117,12367
GA,59,484978.47017434007,11195
GA,61,28477.822108691948,601
GA,63,2653354.80782304,51556
GA,65,52826.49210220893,1187
GA,67,2000844.3428451938,58676
GA,69,493440.3551491411,6927
GA,71,374723.2988722283,8299
GA,73,366220.76762541814,7272
GA,75,186033.5749637259,2813
GA,77,475909.8367528375,11187
GA,79,75104.58744862235,1539
GA,81,208354.0572620873,3730
GA,83,44049.301539224434,1332
GA,85,67465.07708880152,1794
GA,87,215692.1916791626,4819
GA,89,4198785.258553911,85600
GA,91,110514.46338536368,2654
GA,93,111289.34264860592,1624
GA,95,1237945.2084466123,17816
GA,97,784637.6949104952,14255
GA,99,101636.99964883392,1935
GA,101,14351.044342284828,440
GA,103,166360.18222739644,4468
GA,105,105463.27425487776,2729
GA,107,219261.7662203527,3891
GA,109,74846.20945847455,1860
GA,111,133538.9958262999,2417
GA,113,237494.44430250698,4892
GA,115,493338.4640854445,12066
GA,117,267366.2588797637,7384
GA,119,165429.1694490049,2806
GA,121,4987701.422913705,100902
GA,123,186911.90569514828,3437
GA,125,20505.78997220373,360
GA,127,378431.10836268665,9304
GA,129,464095.09017928405,7158
GA,131,148331.90545905186,3805
GA,133,126482.16464709035,2060
GA,135,3308354.489118071,83414
GA,137,128683.28203105988,4368
GA,139,935426.7075539995,23985
GA,141,89375.81536595667,1162
