State,County,Total Cost,Number of Children
GA,1,8642.148791121159,2956
GA,3,1410.5892857142858,1559
GA,5,3513.125313479624,1625
GA,7,0.0,432
GA,9,29035.785147695435,5059
GA,11,1188.255681818182,1905
GA,13,25957.775414319345,8024
GA,15,25819.097959696603,12371
GA,17,4191.426903673195,3078
GA,19,8414.463892369813,2787
GA,21,146440.76912899085,24250
GA,23,3611.67613960114,1422
GA,25,7109.130001167133,2523
GA,27,4372.906031623175,2254
GA,29,7562.075750526564,2476
GA,31,19344.309912303597,6935
GA,33,6024.720667567726,4051
GA,35,4640.0794716978935,3131
GA,37,567.687675070028,726
GA,39,10075.011809461535,4694
GA,43,3620.294736842105,1783
GA,45,70339.53623115702,12960
GA,47,37251.455772961555,6250
GA,49,2507.068295985061,1345
GA,51,85252.24384937869,27991
GA,53,1271.970238095238,544
GA,55,6269.288386933055,3481
GA,57,37596.41793164619,12367
GA,59,23676.646128505992,11195
GA,61,398.0,601
GA,63,104435.46520422002,51556
GA,65,557.9689171122993,1187
GA,67,158971.65665723095,58676
GA,69,2893.2487262737263,6927
GA,71,7705.091101871986,8299
GA,73,20535.161113817667,7272
GA,75,4259.4183330558335,2813
GA,77,23647.34341895534,11187
GA,79,2163.0706349206353,1539
GA,81,5850.867119836686,3730
GA,83,2400.144728147669,1332
GA,85,5308.1396581821145,1794
GA,87,11991.556899799549,4819
GA,89,221323.16774876602,85600
GA,91,8494.259381029298,2654
GA,93,925.3454334365324,1624
GA,95,24421.05750420764,17816
GA,97,69653.20643870192,14255
GA,99,3517.458333333333,1935
GA,101,380.8571428571428,440
GA,103,13438.826574519353,4468
GA,105,2649.7870609782376,2729
GA,107,8310.936781551782,3891
GA,109,1327.2492673992674,1860
GA,111,5632.958077624989,2417
GA,113,15724.638418367384,4892
GA,115,31553.983694628834,12066
GA,117,13451.092173653326,7384
GA,119,6117.193077755577,2806
GA,121,391877.12438626343,100902
GA,123,5184.790536536048,3437
GA,125,404.4857142857143,360
GA,127,41679.737053954836,9304
GA,129,16008.90005290317,7158
GA,131,9129.107619613502,3805
GA,133,5984.749287749289,2060
GA,135,136070.62950242404,83414
GA,137,7562.104480069964,4368
GA,139,47183.6802498394,23985
GA,141,5726.989176885915,1162
GA,143,23068.745598829686,3605
GA,145,2118.8363095238096,1684
GA,147,3381.772115384615,2956
GA,149,5057.656225499646,1514
GA,151,52222.643814256735,16534
GA,153,37359.97351036267,14766
GA,155,1525.2474025974027,1336
GA,157,17332.487312604648,6004
GA,159,1694.2724415204675,1964
GA,161,5519.313976578976,2713
GA,163,3246.458447802197,2642
GA,165,4193.884668109668,1379
GA,167,9207.983764688755,1173
GA,169,11205.417046419763,2503
GA,171,2502.99623931624,1912
GA,173,406.84713450292395,1310
GA,175,27937.862954014938,7305
GA,177,3505.1460019297865,2404
GA,179,20606.5509616499,6085
GA,181,1544.3736263736264,790
GA,183,4264.069820574798,2060
GA,185,43433.297001113904,14586
GA,187,1602.77760989011,2471
GA,189,7909.714691083768,3409
GA,191,3935.906057107144,1312
GA,193,1009.2542457542456,1799
GA,195,6195.185644910645,3793
GA,197,590.6571428571427,1044
GA,199,6359.753205672324,3109
GA,201,669.9323717948718,863
GA,205,5239.556470245442,3957
GA,207,5191.110134963075,2113
GA,209,2226.8187645687644,1091
GA,211,941.0128205128206,1902
GA,213,12577.940791936973,6155
GA,215,72181.31729619253,25940
GA,217,33098.91520251543,13077
GA,219,6983.581244705586,1617
GA,221,4345.240196078431,908
GA,223,35108.04465389062,10970
GA,225,6451.0041422257345,3180
GA,227,2798.5021804176213,2932
GA,229,4044.010330015844,2390
GA,231,3360.1955755029285,1749
GA,233,41227.23538634806,6037
GA,235,5104.0740620490615,1101
GA,237,15561.550540407869,2540
GA,239,86.66666666666669,300
GA,241,7996.874462470674,1524
GA,243,1733.2583333333332,1019
GA,245,46123.14533105998,31020
GA,247,31708.40388671312,10608
GA,249,708.0555555555555,512
GA,251,5910.40135616018,2145
GA,253,1725.5496258127835,1375
GA,255,19016.999757541507,8888
GA,257,11086.199882976587,3458
GA,259,582.6,590
GA,261,7116.944911297852,5260
GA,263,1296.8717948717951,649
GA,265,0.0,278
GA,267,8197.15009604807,2941
GA,269,10564.324045881018,996
GA,271,4957.554199735449,1673
GA,273,5440.840779046661,1640
GA,275,36367.541596000534,6143
GA,277,18642.011246063503,6458
GA,279,13772.628634158242,5156
GA,281,4143.945658447832,779
GA,283,14391.829868757404,974
GA,285,32568.60726828999,8801
GA,287,2146.1223776223774,1426
GA,289,2608.9069444444444,945
GA,291,4550.48075763134,1757
GA,293,6271.058672063299,3778
GA,295,35725.74013770122,7355
GA,297,21823.574652583404,8914
GA,299,8881.210835208602,5235
GA,301,179.5,793
GA,303,11733.518041635782,2763
GA,305,26648.976779249297,4459
GA,307,0.0,304
GA,309,3183.153925022347,820
GA,311,2567.479983720831,2410
GA,313,32479.89764597652,14190
GA,315,2391.4857142857145,1188
GA,317,798.8852813852814,1346
GA,319,5966.3297619047635,1373
GA,321,10903.96518786511,2689
GA,999,2478.875,63
PA,1,12161.240064102563,6784
PA,3,79733.26076839828,92968
PA,5,24900.17857142857,5693
PA,7,8592.339285714286,14126
PA,9,13695.24029523296,4170
PA,11,13184.133709273181,41417
PA,13,64193.268589363855,12042
PA,15,20709.31713980464,5389
PA,17,59794.655158730144,29748
PA,19,11860.77626262626,10177
PA,21,83143.07168424367,11730
PA,23,3661.6730158730156,532
PA,25,47142.50685425685,5146
PA,27,28670.365586211177,5806
PA,29,90480.08501082251,23187
PA,31,8381.909067278706,3079
PA,33,69860.84232976718,7786
PA,35,10826.428227835117,3219
PA,37,10697.914680269512,4762
PA,39,30135.57503520445,8569
PA,41,71625.95144927535,11933
PA,43,43251.81510695187,25802
PA,45,72025.31907883783,44943
PA,47,14487.694455523115,2589
PA,49,96648.7772264747,32776
PA,51,5408.96274509804,15055
PA,53,0.0,356
PA,55,54762.776852897296,12009
PA,57,7910.417735042734,1229
PA,59,585.6,3723
PA,61,18350.641371055848,3827
PA,63,6577.197393955107,6237
PA,65,25323.57427708457,4437
PA,67,5222.829365079366,1652
PA,69,163167.63151600564,18830
PA,71,51347.67165101124,39318
PA,73,4482.0,8333
PA,75,4803.576923076923,11237
PA,77,50965.19192807943,34432
PA,79,185117.50376943024,31232
PA,81,48155.800481328944,9998
PA,83,25385.469063703185,4376
PA,85,50609.875159899246,11034
PA,87,37198.46983487273,4291
PA,89,45675.57621396959,15140
PA,91,78217.11928626928,38451
PA,93,1538.252380952381,1130
PA,95,37116.171546509046,20910
PA,97,41148.22007663285,8044
PA,99,1743.8041125541126,3118
PA,101,275154.53965738363,249620
PA,103,17226.61557100338,4242
PA,105,5145.76857615956,1722
PA,107,44084.678052681775,12553
PA,109,10281.234047402992,2771
PA,111,49912.25041923594,5635
PA,113,581.7005494505495,379
PA,115,23702.221185174483,3564
PA,117,23526.680518501104,3427
PA,119,7358.129121148316,2640
PA,121,17288.032361571182,5269
PA,123,18152.771353118358,3415
PA,125,29309.469052706547,14432
PA,127,37629.365673471264,4170
PA,129,35257.08285586963,24304
PA,131,17846.967001054498,2412
PA,133,63308.11666666665,34799
NY,1,369700.16155853437,17644
NY,3,36046.06079365079,3625
NY,5,319320.24597594625,15966
NY,9,64226.818042513914,6225
NY,11,111878.19977372269,5431
NY,13,113517.26363533607,12062
NY,15,168864.8929258844,7962
NY,17,12219.304563492064,4109
NY,19,95115.7506402672,5125
NY,21,38918.451929791154,3624
NY,23,36150.347583296425,3890
NY,25,22921.79281916913,3127
