State,County,Total Cost,Number of Children
GA,1,0.0,2956
GA,3,0.0,1559
GA,5,0.0,1625
GA,7,0.0,432
GA,9,0.0,5059
GA,11,0.0,1905
GA,13,0.0,8024
GA,15,0.0,12371
GA,17,0.0,3078
GA,19,0.0,2787
GA,21,0.0,24250
GA,23,0.0,1422
GA,25,0.0,2523
GA,27,0.0,2254
GA,29,0.0,2476
GA,31,0.0,6935
GA,33,0.0,4051
GA,35,0.0,3131
GA,37,0.0,726
GA,39,0.0,4694
GA,43,0.0,1783
GA,45,0.0,12960
GA,47,0.0,6250
GA,49,0.0,1345
GA,51,0.0,27991
GA,53,0.0,544
GA,55,0.0,3481
GA,57,0.0,12367
GA,59,0.0,11195
GA,61,0.0,601
GA,63,0.0,51556
GA,65,0.0,1187
GA,67,0.0,58676
GA,69,0.0,6927
GA,71,0.0,8299
GA,73,0.0,7272
GA,75,0.0,2813
GA,77,0.0,11187
GA,79,0.0,1539
GA,81,0.0,3730
GA,83,0.0,1332
GA,85,0.0,1794
GA,87,0.0,4819
GA,89,0.0,85600
GA,91,0.0,2654
GA,93,0.0,1624
GA,95,0.0,17816
GA,97,0.0,14255
GA,99,0.0,1935
GA,101,0.0,440
GA,103,0.0,4468
GA,105,0.0,2729
GA,107,0.0,3891
GA,109,0.0,1860
GA,111,0.0,2417
GA,113,0.0,4892
GA,115,0.0,12066
GA,117,0.0,7384
GA,119,0.0,2806
GA,121,0.0,100902
GA,123,0.0,3437
GA,125,0.0,360
GA,127,0.0,9304
GA,129,0.0,7158
GA,131,0.0,3805
GA,133,0.0,2060
GA,135,0.0,83414
GA,137,0.0,4368
GA,139,0.0,23985
GA,141,0.0,1162
GA,143,0.0,3605
GA,145,0.0,1684
GA,147,0.0,2956
GA,149,0.0,1514
GA,151,0.0,16534
GA,153,0.0,14766
GA,155,0.0,1336
GA,157,0.0,6004
GA,159,0.0,1964
GA,161,0.0,2713
GA,163,0.0,2642
GA,165,0.0,1379
GA,167,0.0,1173
GA,169,0.0,2503
GA,171,0.0,1912
GA,173,0.0,1310
GA,175,0.0,7305
GA,177,0.0,2404
GA,179,0.0,6085
GA,181,0.0,790
GA,183,0.0,2060
GA,185,0.0,14586
GA,187,0.0,2471
GA,189,0.0,3409
GA,191,0.0,1312
GA,193,0.0,1799
GA,195,0.0,3793
GA,197,0.0,1044
GA,199,0.0,3109
GA,201,0.0,863
GA,205,0.0,3957
GA,207,0.0,2113
GA,209,0.0,1091
GA,211,0.0,1902
GA,213,0.0,6155
GA,215,0.0,25940
GA,217,0.0,13077
GA,219,0.0,1617
GA,221,0.0,908
GA,223,0.0,10970
GA,225,0.0,3180
GA,227,0.0,2932
GA,229,0.0,2390
GA,231,0.0,1749
GA,233,0.0,6037
GA,235,0.0,1101
GA,237,0.0,2540
GA,239,0.0,300
GA,241,0.0,1524
GA,243,0.0,1019
GA,245,0.0,31020
GA,247,0.0,10608
GA,249,0.0,512
GA,251,0.0,2145
GA,253,0.0,1375
GA,255,0.0,8888
GA,257,0.0,3458
GA,259,0.0,590
GA,261,0.0,5260
GA,263,0.0,649
GA,265,0.0,278
GA,267,0.0,2941
GA,269,0.0,996
GA,271,0.0,1673
GA,273,0.0,1640
GA,275,0.0,6143
GA,277,0.0,6458
GA,279,0.0,5156
GA,281,0.0,779
GA,283,0.0,974
GA,285,0.0,8801
GA,287,0.0,1426
GA,289,0.0,945
GA,291,0.0,1757
GA,293,0.0,3778
GA,295,0.0,7355
GA,297,0.0,8914
GA,299,0.0,5235
GA,301,0.0,793
GA,303,0.0,2763
GA,305,0.0,4459
GA,307,0.0,304
GA,309,0.0,820
GA,311,0.0,2410
GA,313,0.0,14190
GA,315,0.0,1188
GA,317,0.0,1346
GA,319,0.0,1373
GA,321,0.0,2689
GA,999,0.0,63
PA,1,0.0,6784
PA,3,0.0,92968
PA,5,0.0,5693
PA,7,0.0,14126
PA,9,0.0,4170
PA,11,0.0,41417
PA,13,0.0,12042
PA,15,0.0,5389
PA,17,0.0,29748
PA,19,0.0,10177
PA,21,0.0,11730
PA,23,0.0,532
PA,25,0.0,5146
PA,27,0.0,5806
PA,29,0.0,23187
PA,31,0.0,3079
PA,33,0.0,7786
PA,35,0.0,3219
PA,37,0.0,4762
PA,39,0.0,8569
PA,41,0.0,11933
PA,43,0.0,25802
PA,45,0.0,44943
PA,47,0.0,2589
PA,49,0.0,32776
PA,51,0.0,15055
PA,53,0.0,356
PA,55,0.0,12009
PA,57,0.0,1229
PA,59,0.0,3723
PA,61,0.0,3827
PA,63,0.0,6237
PA,65,0.0,4437
PA,67,0.0,1652
PA,69,0.0,18830
PA,71,0.0,39318
PA,73,0.0,8333
PA,75,0.0,11237
PA,77,0.0,34432
PA,79,0.0,31232
PA,81,0.0,9998
PA,83,0.0,4376
PA,85,0.0,11034
PA,87,0.0,4291
PA,89,0.0,15140
PA,91,0.0,38451
PA,93,0.0,1130
PA,95,0.0,20910
