State,County,Total Cost,Number of Children
GA,1,33100.15332980252,2956
GA,3,31164.662859893375,1559
GA,5,41389.89157677118,1625
GA,7,4668.298484848486,432
GA,9,14866.599313697845,5059
GA,11,58656.77657218725,1905
GA,13,97961.14876677227,8024
GA,15,123756.99182779726,12371
GA,17,24258.683456392202,3078
GA,19,49373.8520832703,2787
GA,21,126820.89717355336,24250
GA,23,57375.469499577215,1422
GA,25,28426.603966594408,2523
GA,27,39258.14773328523,2254
GA,29,13911.533762123183,2476
GA,31,98432.40331897595,6935
GA,33,15704.330518029223,4051
GA,35,60629.78741552921,3131
GA,37,4324.524404761905,726
GA,39,68081.81470805022,4694
GA,43,19575.284193584197,1783
GA,45,169270.54183882542,12960
GA,47,61794.53063881477,6250
GA,49,11168.228887894511,1345
GA,51,204786.5861645005,27991
GA,53,20654.918357435537,544
GA,55,13504.210223183576,3481
GA,57,223614.19413621887,12367
GA,59,132980.0348699028,11195
GA,61,8487.638071895426,601
GA,63,300047.12421661033,51556
GA,65,21191.558069136747,1187
GA,67,1003968.7706365808,58676
GA,69,116110.07651914535,6927
GA,71,93184.57031626649,8299
GA,73,32827.02646202894,7272
GA,75,73761.03566887301,2813
GA,77,174590.50825497965,11187
GA,79,28704.449542124545,1539
GA,81,72330.41706071705,3730
GA,83,35517.160639065674,1332
GA,85,15662.242260155304,1794
GA,87,108216.96483593904,4819
GA,89,474975.9569403517,85600
GA,91,88271.76314930333,2654
GA,93,39308.22122591462,1624
GA,95,284637.9855600133,17816
GA,97,93751.01127844508,14255
GA,99,36279.73824481855,1935
GA,101,1612.5384615384617,440
GA,103,38920.11883843844,4468
GA,105,56628.42509969037,2729
GA,107,22764.211523199017,3891
GA,109,6477.411832611833,1860
GA,111,8158.252633102975,2417
GA,113,19420.304046104633,4892
GA,115,286183.82469500945,12066
GA,117,55509.36154689666,7384
GA,119,68124.4572557696,2806
GA,121,739494.6794767189,100902
GA,123,12665.74450990186,3437
GA,125,8949.568055555555,360
GA,127,49988.447225922224,9304
GA,129,50342.238542542145,7158
GA,131,43712.12972855098,3805
GA,133,30887.50833333333,2060
GA,135,300127.07905408554,83414
GA,137,68436.34045769046,4368
GA,139,135845.94408854452,23985
GA,141,2725.178571428572,1162
GA,143,46338.2804012231,3605
GA,145,8919.933730158731,1684
GA,147,64054.32182521482,2956
GA,149,5354.7795001295,1514
GA,151,371242.3926133048,16534
GA,153,221962.1760882161,14766
GA,155,44697.53466126738,1336
GA,157,85578.73748241557,6004
GA,159,4442.873284313725,1964
GA,161,47800.96216843212,2713
GA,163,21865.19011544012,2642
GA,165,5232.325476190476,1379
GA,167,4196.2070707070725,1173
GA,169,21222.598229548224,2503
GA,171,13401.363611388608,1912
GA,173,12388.629761904764,1310
GA,175,192803.89169609785,7305
GA,177,68624.47820443401,2404
GA,179,31658.014013070268,6085
GA,181,24106.036507936507,790
GA,183,22317.60314130315,2060
GA,185,191843.0501197355,14586
GA,187,54279.44246956486,2471
GA,189,97942.92654885963,3409
GA,191,5653.956179584306,1312
GA,193,13287.580888117733,1799
GA,195,132684.4179404804,3793
GA,197,3004.2076588530153,1044
GA,199,43805.4202735426,3109
GA,201,3567.128613053613,863
GA,205,61986.725575604374,3957
GA,207,54650.20985938932,2113
GA,209,13302.139717575265,1091
GA,211,36477.621476870525,1902
GA,213,62359.70500972102,6155
GA,215,83038.74944303857,25940
GA,217,65595.7691759996,13077
GA,219,41234.22986469514,1617
GA,221,17525.07153149139,908
GA,223,198867.982970867,10970
GA,225,42809.20606059355,3180
GA,227,26815.264266570968,2932
GA,229,52896.84731766425,2390
GA,231,9833.1450310559,1749
GA,233,93041.03894693844,6037
GA,235,47557.70015024664,1101
GA,237,20918.386993334025,2540
GA,239,2398.8,300
GA,241,33680.345598845604,1524
GA,243,25703.786381794533,1019
GA,245,168719.73929394892,31020
GA,247,72748.14155156378,10608
GA,249,1229.2446969696969,512
GA,251,19410.195610662424,2145
GA,253,9280.356589622732,1375
GA,255,55189.978949994074,8888
GA,257,89281.43254887382,3458
GA,259,16330.823862493717,590
GA,261,38582.15011573393,5260
GA,263,3627.610281385281,649
GA,265,956.7638888888887,278
GA,267,12723.346085370069,2941
GA,269,15130.623593073591,996
GA,271,42416.79523225958,1673
GA,273,39119.86582019288,1640
GA,275,156660.57072470034,6143
GA,277,76109.36674617982,6458
GA,279,62147.55751332,5156
GA,281,22842.54921517102,779
GA,283,37097.215520753765,974
GA,285,166665.00486072243,8801
GA,287,13799.696889684386,1426
GA,289,6523.714173789173,945
GA,291,37379.662292373396,1757
GA,293,44945.13528178256,3778
