State,County,Total Cost,Number of Children
GA,1,70863.65979754517,2956
GA,3,16785.87145599498,1559
GA,5,40942.584915776984,1625
GA,7,2905.779461279461,432
GA,9,177441.58252974396,5059
GA,11,24222.47834198395,1905
GA,13,194540.65103706336,8024
GA,15,316055.25016061537,12371
GA,17,53565.422375626884,3078
GA,19,76868.5047974654,2787
GA,21,1080280.6277057687,24250
GA,23,57148.33650328687,1422
GA,25,46757.85298923122,2523
GA,27,33008.346796135724,2254
GA,29,75109.78071760331,2476
GA,31,206674.46238280847,6935
GA,33,53022.10859266143,4051
GA,35,56689.54420326663,3131
GA,37,36416.657605357614,726
GA,39,90329.5664856902,4694
GA,43,39276.424180643924,1783
GA,45,459627.76685935,12960
GA,47,130576.72008233119,6250
GA,49,17085.998075856598,1345
GA,51,879827.4638637105,27991
GA,53,14778.14602317972,544
GA,55,53079.7177055388,3481
GA,57,324373.8297413065,12367
GA,59,298364.1822774822,11195
GA,61,12236.374809014509,601
GA,63,1260386.571024306,51556
GA,65,22566.56663250235,1187
GA,67,1322178.4142887748,58676
GA,69,111391.9227994494,6927
GA,71,188348.76953952527,8299
GA,73,229104.22067976565,7272
GA,75,60115.06937217751,2813
GA,77,289904.4478110607,11187
GA,79,28405.37219757368,1539
GA,81,113155.25149298477,3730
GA,83,22461.12304400393,1332
GA,85,31868.028032789414,1794
GA,87,128309.62450234519,4819
GA,89,2631714.900419556,85600
GA,91,66849.30999235596,2654
GA,93,13979.807155400493,1624
GA,95,507113.6491804955,17816
GA,97,454505.0595280818,14255
GA,99,24947.464808621335,1935
GA,101,3527.0024276377217,440
GA,103,120556.79742381755,4468
GA,105,60657.91503412022,2729
GA,107,68923.59783276095,3891
GA,109,37361.72000852317,1860
GA,111,59332.01299811647,2417
GA,113,135178.77819832074,4892
GA,115,310761.14063646185,12066
GA,117,149237.98997250648,7384
GA,119,65829.44112729299,2806
GA,121,5483291.811768195,100902
GA,123,61184.403965324316,3437
GA,125,5061.56586080586,360
GA,127,280169.9030187313,9304
GA,129,114021.67479170578,7158
GA,131,174852.42944495007,3805
GA,133,42355.914509564514,2060
GA,135,1482602.531809411,83414
GA,137,79264.58324259701,4368
GA,139,358910.8866478068,23985
GA,141,26075.722978591464,1162
GA,143,138127.8553498515,3605
GA,145,67666.03102480451,1684
GA,147,46705.131558537214,2956
GA,149,40511.05880591247,1514
GA,151,711099.8236970112,16534
GA,153,368529.3215398517,14766
GA,155,47528.09998788405,1336
GA,157,132346.2245608244,6004
GA,159,37025.741486798375,1964
GA,161,41931.97002158518,2713
GA,163,56052.83397852146,2642
GA,165,31723.9856887809,1379
GA,167,49226.95434801695,1173
GA,169,73095.12460022968,2503
GA,171,34442.62260428412,1912
GA,173,28404.708599446636,1310
GA,175,294498.7133533953,7305
GA,177,52862.82244328582,2404
GA,179,160453.6283337674,6085
GA,181,11554.09365079365,790
GA,183,42760.85990398091,2060
GA,185,466969.83745040407,14586
GA,187,39452.18265835187,2471
GA,189,74025.35667930705,3409
GA,191,26311.461257609008,1312
GA,193,35221.2610214347,1799
GA,195,64935.82642584488,3793
GA,197,9491.385719526434,1044
GA,199,95115.19632695644,3109
GA,201,8666.07959010038,863
GA,205,101121.60856058654,3957
GA,207,49867.328451532136,2113
GA,209,20825.15722767086,1091
GA,211,53334.62586541116,1902
GA,213,114251.63363195553,6155
GA,215,784211.7906900838,25940
GA,217,433123.5746309509,13077
GA,219,35945.14465094932,1617
GA,221,61366.83703840918,908
GA,223,328723.249032801,10970
GA,225,67040.39241865376,3180
GA,227,50057.83285013454,2932
GA,229,72564.66244721446,2390
GA,231,46186.293969421014,1749
GA,233,220563.0603833247,6037
GA,235,33336.75239991491,1101
GA,237,69452.90335348964,2540
GA,239,1836.8030303030305,300
GA,241,49346.30160642628,1524
GA,243,36365.28820884523,1019
GA,245,741404.7195205325,31020
GA,247,289843.6238293464,10608
GA,249,9066.841579494638,512
GA,251,58671.494458863584,2145
GA,253,27629.765116185656,1375
GA,255,285571.46736119915,8888
GA,257,70338.8156722094,3458
GA,259,9449.005148119855,590
GA,261,186284.5001163037,5260
GA,263,11323.227096432978,649
GA,265,2219.7727272727266,278
GA,267,68436.14829761979,2941
GA,269,56066.847064630114,996
GA,271,29506.877791831786,1673
GA,273,69833.02103496103,1640
GA,275,233852.3833913325,6143
GA,277,164816.60945049062,6458
GA,279,110025.50061976547,5156
GA,281,18048.853107066272,779
GA,283,52147.18419116574,974
GA,285,300352.31319542264,8801
GA,287,24263.90651570652,1426
GA,289,45224.076815736735,945
GA,291,32279.796882186212,1757
