State,County,Total Cost,Number of Children
GA,1,29297.776971870917,2714
GA,3,22622.07010022512,1560
GA,5,28235.893931440052,1641
GA,7,10454.528749053092,384
GA,9,87349.58538192311,5265
GA,11,22537.839171350664,1890
GA,13,172517.22527949806,8743
GA,15,267062.7603057849,12281
GA,17,65487.16602280803,3045
GA,19,50610.55700688318,2721
GA,21,400426.9357036525,24072
GA,23,31271.5708438088,1326
GA,25,32605.103448343994,2474
GA,27,41962.260064969065,2209
GA,29,40664.020316239286,2443
GA,31,120124.09809140029,7058
GA,33,47577.946208359994,3906
GA,35,77943.24128668441,2752
GA,37,20053.56442235885,733
GA,39,47824.918676911315,4631
GA,43,41989.774184976864,1733
GA,45,236967.30082689624,12896
GA,47,105198.28313874276,6908
GA,49,8242.420355235918,1311
GA,51,561605.1360942314,28281
GA,53,2483.6329212454216,426
GA,55,48814.68115655376,3379
GA,57,247157.03115708966,13631
GA,59,394045.2882125157,13135
GA,61,13784.836537346167,604
GA,63,1086193.0623953182,53542
GA,65,14605.848119935617,1188
GA,67,1194745.4346326268,58619
GA,69,150566.93772537046,6780
GA,71,142238.86171870778,8030
GA,73,121762.21107369436,7503
GA,75,44249.733949527465,2787
GA,77,263817.1940713429,10932
GA,79,22945.381999482,1485
GA,81,133770.15107701233,3707
GA,83,17281.206813918772,1273
GA,85,41884.474231723085,1695
GA,87,79846.25460595886,4670
GA,89,2113061.730876189,88671
GA,91,57524.69627861669,2481
GA,93,53130.32791095052,1510
GA,95,431101.9727665056,18223
GA,97,369761.6552883352,15649
GA,99,42262.222685885026,1882
GA,101,3622.695184676434,630
GA,103,84307.37268333115,4520
GA,105,34360.74985218615,2657
GA,107,79615.56568447924,3687
GA,109,21496.794095447043,1789
GA,111,32234.754111593564,2350
GA,113,102758.37136479627,5173
GA,115,366237.5437452133,12034
GA,117,134247.3312874809,7683
GA,119,82691.0418990809,2734
GA,121,2371175.355806865,103025
GA,123,47799.48927338468,3272
GA,125,5549.039051689051,348
GA,127,149386.33396348564,9337
GA,129,216568.37590392184,6824
GA,131,65064.112069857874,3627
GA,133,24908.428359981957,1996
GA,135,1640340.6844253282,87166
GA,137,78203.06451432189,4479
GA,139,471015.08053092647,25514
GA,141,28827.055052446136,1110
GA,143,82697.19597886446,3532
GA,145,26688.458577815098,1620
GA,147,68251.40122570397,2949
GA,149,23823.43295065506,1544
GA,151,433463.97528744326,16781
GA,153,296839.03204018733,15177
GA,155,40677.459324718104,1368
GA,157,119304.86767104115,5673
GA,159,33304.931341575095,1730
GA,161,41871.90383908785,2562
GA,163,54953.583650364715,2625
GA,165,21605.097672719872,1340
GA,167,53886.30916051527,1129
GA,169,35659.927316111614,2431
GA,171,26913.800113036967,1978
GA,173,19098.32102896097,1318
GA,175,283516.86853273585,7865
GA,177,75219.63146634577,2852
GA,179,107026.81649974364,6058
GA,181,6558.099066211566,805
GA,183,19819.297488350432,2008
GA,185,263671.75289454433,14480
GA,187,43798.163199168484,2404
GA,189,39288.92915618632,3482
GA,191,23493.116734508185,1309
GA,193,92193.55197246878,1525
GA,195,73386.73817352853,3577
GA,197,29740.00645728255,980
GA,199,43090.638552394536,2921
GA,201,12952.663239538235,813
GA,205,84925.34352939934,3596
GA,207,48530.64124188641,2089
GA,209,17073.630421185568,996
GA,211,29615.652423015577,1741
GA,213,145786.24932816788,6209
GA,215,459689.93122629705,26437
GA,217,360134.0515347775,12628
GA,219,39550.3600289581,1604
GA,221,26869.79815377481,1050
GA,223,181148.82449539372,11484
GA,225,66647.55235519109,3229
GA,227,35874.323812432434,2837
GA,229,40558.190437479214,2461
GA,231,31662.136322851118,1657
GA,233,79156.10557583545,6030
GA,235,32783.85229653387,1049
GA,237,44327.38171872954,2562
GA,239,3097.65382996633,309
GA,241,22327.560111732808,1572
GA,243,20361.507680976432,1004
GA,245,774051.3395949915,31130
GA,247,266350.2307087145,10167
GA,249,20967.282090232642,529
GA,251,60054.83273987964,2066
GA,253,23136.246744880933,1401
GA,255,161386.79897375286,9183
GA,257,100395.28483308306,3480
GA,259,13704.400090247918,541
GA,261,289561.6662952714,5338
GA,263,4458.293368838764,617
GA,265,1773.0448717948718,279
GA,267,41996.040856335785,2802
GA,269,17292.658990626715,968
GA,271,54715.240135021326,1410
GA,273,36829.66091283028,1502
GA,275,154040.68471786886,6450
GA,277,177441.21932948017,6409
GA,279,44868.14615267285,4607
GA,281,3432.7652777777776,714
GA,283,29321.95950379957,890
GA,285,188635.30625118327,9001
GA,287,30733.79384359334,1368
GA,289,22262.76436178556,908
GA,291,17055.99506986069,1715
GA,293,60203.93836922407,3755
GA,295,133349.16023146285,7216
GA,297,225234.38221952753,8533
GA,299,94290.54980979176,5293
GA,301,11172.086884411885,739
GA,303,89558.83939150868,2785
GA,305,132092.88702200208,6303
GA,307,10334.231129981134,307
GA,309,28452.130264435986,802
GA,311,40489.52240391189,2412
GA,313,235633.7530770627,13825
GA,315,18213.28286786743,1054
GA,317,22554.35832251899,1355
GA,319,18795.49507534806,1341
GA,321,56286.46996854258,2579
GA,999,0.0,0
PA,1,38107.8617413632,6780
PA,3,363951.3429879329,91435
PA,5,8355.918005952379,5698
PA,7,72635.96726144227,14059
PA,9,170949.65651518374,4099
PA,11,361901.98887823103,41513
PA,13,400827.34138618904,11969
PA,15,178620.0114862378,5284
PA,17,781580.6959298747,30094
PA,19,40273.29150432901,10204
PA,21,353418.94132703874,11641
PA,23,6341.284728867625,510
PA,25,106143.94988345477,5270
PA,27,230346.9546497257,5752
PA,29,516943.943245081,23066
PA,31,64795.80319800381,2969
PA,33,135458.34510490965,7526
PA,35,78464.79381682597,3195
PA,37,125491.44417161685,4790
PA,39,131578.50117843426,8215
PA,41,113993.44052464422,12581
PA,43,327789.8386505635,26328
PA,45,1058022.8881572005,45981
PA,47,91045.59097129018,2466
PA,49,770418.19223327,32406
PA,51,43151.50320245058,14593
PA,53,27599.505972805786,356
PA,55,337417.27876145835,11955
PA,57,66683.09076716412,1183
PA,59,3842.0989417989417,3471
PA,61,165208.7855612507,3758
PA,63,6655.321114996114,6066
PA,65,94450.75824271617,4232
PA,67,22875.700630582873,1588
PA,69,833939.3633020181,19150
PA,71,335825.8002196469,40231
PA,73,25368.593452380952,8220
PA,75,119774.71451767039,11592
PA,77,338481.5335693436,34373
PA,79,712098.7618450719,31708
PA,81,270403.30463024945,9709
PA,83,165213.69612244685,4379
PA,85,318705.4652082016,10844
PA,87,150728.1105488874,4205
PA,89,362964.0283287636,14996
PA,91,1056629.0885954846,38548
PA,93,38462.46196373629,1087
PA,95,206914.1598115105,21321
PA,97,225289.07396159126,8215
PA,99,20917.619191919188,3138
PA,101,4076056.750890898,250481
PA,103,106905.03230331486,4385
PA,105,55431.367753020895,1675
PA,107,285236.52311387943,12745
PA,109,114966.69287562785,2823
PA,111,164482.3815142055,5571
PA,113,25563.117194501407,372
PA,115,84349.85286295663,3481
PA,117,79283.61367136613,3346
PA,119,61685.99676471431,2580
PA,121,133034.0062559026,5244
PA,123,51429.17782138415,3473
PA,125,115512.38225588482,14187
PA,127,140859.82705345305,4065
PA,129,106611.16656946445,24232
PA,131,53642.084492976915,2361
PA,133,265782.51807918085,35767
NY,1,579158.0243552263,19232
NY,3,91353.33213925688,3807
NY,5,363427.17468675843,16943
NY,9,152285.4472934564,6684
NY,11,62539.14811072683,5899
NY,13,353347.44128955423,12840
NY,15,196567.52618488512,8219
NY,17,83157.35960140197,4396
NY,19,199363.58772982765,5708
NY,21,91773.76167945954,4061
NY,23,60800.2705803728,4090
NY,25,61107.43428780023,3502
NY,27,490587.0765660908,14519
NY,29,1812598.0738998884,72930
NY,31,45771.065562504205,2345
NY,33,128398.91607433926,3647
NY,35,212981.13882531566,5219
NY,37,82610.03406741434,3624
NY,39,71296.08524387558,3301
NY,41,534.0402777777778,251
NY,43,136857.14728513852,5346
NY,45,252540.36443201656,7806
NY,49,31467.4293669535,1967
NY,51,87883.20171967799,3711
NY,53,77943.39336309992,4576
NY,55,1648599.4739762824,61346
NY,57,145879.079474717,5473
NY,59,1406966.833185691,57857
NY,61,27991782.04198943,1160844
NY,63,443223.3206923495,15886
NY,65,524027.87612584844,22567
NY,67,742399.101619861,38311
NY,69,118194.90805586311,6114
NY,71,798089.2972488495,35063
NY,73,55983.142881953965,3536
NY,75,158054.95746441188,11583
NY,77,76858.46942914801,3811
NY,79,114995.54008971562,2108
NY,83,356123.74457955704,11638
NY,87,894305.3718716798,36990
NY,89,225770.3061030548,8432
NY,91,214574.09807851785,9005
NY,93,326257.70318147226,13737
NY,95,26985.84358298488,2043
NY,97,13734.477621452625,1409
NY,99,24808.935192718003,2334
NY,101,163319.59817386002,7554
NY,103,2044509.5901196452,82129
NY,105,186754.8921179788,8003
NY,107,72473.27328190014,3794
NY,109,92124.23071744065,4990
NY,111,226286.2042929256,11117
NY,113,100789.9433298932,3953
NY,115,139453.12567388336,4790
NY,117,161528.79289781777,6421
NY,119,1782287.4809907572,58698
NY,121,72758.28633869684,2232
NY,123,28059.164726281066,1811
NY,999,157948.70779133152,605
SC,1,51144.251158961095,3192
SC,3,359888.54421893,19554
SC,5,35090.39725036344,1711
SC,7,480591.80582506186,22177
SC,9,28567.732165750916,2392
SC,11,125383.88615285582,3928
SC,13,174763.5825852802,15348
SC,15,241067.63165148126,19652
SC,17,31458.58024988652,1817
SC,19,708571.6323396913,38081
SC,21,123728.73232921101,8026
SC,23,84456.482854038,5308
SC,25,84025.03760912982,6736
SC,27,56950.11798325161,5141
SC,29,95892.73133331194,6893
SC,31,157365.57253266312,10333
SC,33,127728.23599799881,6473
SC,35,166054.61509538555,13328
SC,37,30055.829303750863,2636
SC,39,46000.126403259455,3513
SC,41,316739.64924944233,20961
SC,43,118287.56651558814,7909
SC,45,758253.1475697609,49290
SC,47,194646.3788100437,9922
SC,49,32259.331068345185,3379
SC,51,434706.4437261394,34466
SC,53,47254.47404128086,4315
SC,55,112111.04707717166,7956
SC,57,174642.32685734748,9239
SC,59,156922.74623214494,8956
SC,61,57127.68353778742,3301
SC,63,315117.0692801107,27879
SC,65,10105.08533736001,883
SC,67,88701.2812327552,6366
SC,69,87976.55801185721,4982
SC,71,68530.20214135923,5376
SC,73,153233.28764578846,8821
SC,75,246113.72315210738,14859
SC,77,153343.26256374663,12069
SC,79,746522.6802018492,43229
SC,81,37530.62845562832,3064
SC,83,419701.83780608256,36008
SC,85,242776.48254120428,15844
SC,87,42122.597442801,4003
SC,89,63384.743619999805,5587
SC,91,310930.6086677018,22903
SC,999,0.0,0
TN,0,96721.98478405908,6086
TN,1,165349.93057172466,8193
TN,3,105553.74735318591,7177
TN,5,61274.407973663314,1983
TN,7,37370.63820037652,1694
TN,9,167428.30354496642,11286
TN,11,265299.4076584307,11481
TN,13,89201.82484432035,5858
TN,15,33323.84695610296,1610
TN,17,26820.130915613565,3730
TN,19,134145.02349934765,6523
TN,21,50920.77896859988,3939
TN,23,26552.18776085027,1976
TN,25,61939.01449212938,3970
TN,27,12766.478373502718,1088
TN,29,86204.56150238824,5349
TN,31,130408.06551811297,6927
TN,33,31989.926382122125,2097
TN,35,115151.5280359406,6284
TN,37,1559572.1383443675,80135
TN,39,14658.160389283921,1327
TN,41,35150.08369484694,2614
TN,43,117541.63582005148,5596
TN,45,60130.7448014492,5549
TN,47,84075.95590653791,3497
TN,49,28053.481562789108,2775
TN,51,60305.517562725705,3821
TN,53,139126.58449954315,6343
TN,55,59140.89358244383,3154
TN,57,52071.099046874755,2780
TN,59,206910.1786189261,7162
TN,61,46417.890983299265,2393
TN,63,140121.44985369046,8626
TN,65,1387168.0666239937,34267
TN,67,10216.647137422338,1074
TN,69,130648.22811520276,3447
TN,71,77169.19109565564,3459
TN,73,194379.18651322348,6745
TN,75,37105.2556476843,3076
TN,77,45613.157917700286,3550
TN,79,39841.34586845449,4156
TN,81,43376.62333289639,3173
TN,83,16130.085280355845,989
TN,85,61896.64611302778,2081
TN,87,15646.907493321665,1382
TN,89,136635.80211005374,6191
TN,91,30584.77355908563,2048
TN,93,748077.2839387987,38351
TN,95,20358.74536355457,986
TN,97,76334.82735963192,4112
TN,99,69996.97104184484,5152
TN,101,18323.852715566307,1605
TN,103,52512.42166456407,4003
TN,105,85948.21320585332,4617
TN,107,120723.11042973386,6274
TN,109,51496.73062828706,3715
TN,111,57524.08649595668,3522
TN,113,214655.61777618,12690
TN,115,73165.29840078717,3585
TN,117,38295.183452733865,3605
TN,119,113962.5267674264,9591
TN,121,29146.54589147083,1516
TN,123,96403.35899441033,5701
TN,125,302054.015683602,16293
TN,127,8903.458789576438,524
TN,129,43071.16749108555,2430
TN,131,57677.62485965117,3954
TN,133,25788.698297433955,2523
TN,135,7159.5725881776025,1083
TN,137,3188.378437383872,542
TN,139,29665.66148741888,2042
TN,141,137154.129413504,8191
TN,143,85123.53964469135,4801
TN,145,103802.27794824903,5352
TN,147,201599.71341618392,8002
TN,149,374035.74767509376,26044
TN,151,139903.63497707585,3852
TN,153,52215.58578352283,2024
TN,155,171720.62523045542,10882
TN,157,2974816.6393753584,146138
TN,159,28558.16844184041,2251
TN,161,15555.238515598037,1513
TN,163,392459.7564062715,15641
TN,165,286447.7162436387,15298
TN,167,154189.78678627338,7473
TN,169,23665.535529995697,998
TN,171,32271.401517323262,2063
TN,173,30287.83539887544,2764
TN,175,8978.477973033358,683
TN,177,98560.02735731986,5541
TN,179,265873.15729875147,10825
TN,181,23436.762389425334,1694
TN,183,31977.35892595942,3598
TN,185,45749.73839201981,3348
TN,187,68887.89045591716,6171
TN,189,181812.99779372363,9329
TN,999,0.0,0
TX,1,120677.54188763975,5890
TX,3,23981.582250185173,1770
TX,5,226320.60428896415,12147
TX,7,88317.37875077811,2589
TX,9,11169.219737860181,475
TX,11,1940.7904040404042,114
TX,13,168420.11448010226,6827
TX,15,58829.209588798985,2795
TX,17,40237.70902668252,1315
TX,19,19413.0009390264,1488
TX,21,206073.61071239406,9257
TX,23,2312.683089133089,359
TX,25,173084.75654713158,3864
TX,27,551679.2131837676,34089
TX,29,5560223.0711360965,232152
TX,31,14635.221825396824,707
TX,33,0.0,31
TX,35,20042.348533460976,1881
TX,37,219409.77321503378,12123
TX,39,582186.8914608393,29405
TX,41,285189.4366795384,17916
TX,43,6106.924964387465,710
TX,45,1449.6909722222224,170
TX,47,32846.360692889466,1574
TX,49,50767.182089045564,4249
TX,51,10615.079367165932,1837
TX,53,47490.27265210764,4089
TX,55,107254.5994422666,5290
TX,57,93561.74520000163,2855
TX,59,24106.79459254196,1209
TX,61,2888319.105040396,94304
TX,63,103411.59708543307,2060
TX,65,8847.070750360752,322
TX,67,95279.18956518787,3558
TX,69,25742.850209545566,1414
TX,71,43380.78860075926,3053
TX,73,153144.5655370481,7416
TX,75,12430.164192343604,760
TX,77,7796.2771790587585,731
TX,79,19856.398146379768,515
TX,81,6408.162751322751,240
TX,83,5168.973253489428,1018
TX,85,1491754.7165068332,42965
TX,87,1330.0524891774894,420
TX,89,43512.22452642673,2382
TX,91,221682.68907792764,8505
TX,93,12763.302126577124,1512
TX,95,2604.476495726496,248
TX,97,117727.99892331654,4294
TX,99,70027.72068064293,5472
TX,101,1966.9523809523807,190
TX,103,4225.201097282346,394
TX,105,2744.824107142857,401
TX,107,31711.82426958254,995
TX,109,4183.736446886447,333
TX,111,28626.05946038728,1014
TX,113,9528595.879831595,377126
TX,115,28544.859851953603,1886
TX,117,35642.27852476906,3554
TX,119,11768.248320791528,545
TX,121,1172374.0122216437,43001
TX,123,66680.82202646742,2353
TX,125,7404.894047619046,212
TX,127,53327.48015584394,2093
TX,129,6708.831565656566,308
TX,131,56007.573708643446,1853
TX,133,32803.940568004684,2063
TX,135,667687.4368422987,20115
TX,137,969.9638888888887,188
TX,139,445065.2927987762,16167
TX,141,3025372.80376406,136872
TX,143,50753.44616496923,3664
TX,145,28456.086246051284,2040
TX,147,50695.906892362684,3338
TX,149,37758.48928580833,1847
TX,151,2543.771500721501,316
TX,153,15028.717521805678,1063
TX,155,467.5,125
TX,157,974337.0177522559,43486
TX,159,73797.69224892544,1218
TX,161,32792.655686307146,1931
TX,163,50823.43668005344,2992
TX,165,48769.28485830618,2364
TX,167,613068.0140059376,28761
TX,169,9414.793394168586,605
TX,171,20281.65725268089,1839
TX,173,1029.5046296296296,67
TX,175,40700.76512949983,677
TX,177,61332.10962417559,3230
TX,179,194401.50514040788,2623
TX,181,249884.43507229892,13508
TX,183,450006.85858289467,16335
TX,185,32298.272134020284,2865
TX,187,222985.33507012526,11965
TX,189,81009.52822100645,5666
TX,191,8202.838717709305,460
TX,193,7449.07576509139,789
TX,195,6079.73658008658,609
TX,197,4798.50138888889,453
TX,199,200221.74017541693,5191
TX,201,12682099.311781358,586571
TX,203,164186.71571894837,8319
TX,205,8749.806455445425,258
TX,207,5411.735622710623,610
TX,209,285843.63647404016,13366
TX,211,9609.184299516908,345
TX,213,205106.1996922944,9794
TX,215,6087377.691558112,198802
TX,217,79239.62348612651,4375
TX,219,97837.49477183467,3130
TX,221,44602.487360380284,4475
TX,223,124795.57517726738,4228
TX,225,32373.28896705147,2485
TX,227,68571.66279504752,4000
TX,229,3513.5046055796056,578
TX,231,213142.85766456206,10091
TX,233,124923.84316923168,2366
TX,235,1535.2592592592596,91
TX,237,13613.438156787168,819
TX,239,38593.950561813064,1686
TX,241,81454.66001844479,4659
TX,243,2195.3785714285714,111
TX,245,1107770.4489879757,33141
TX,247,34095.53619191267,993
TX,249,243022.93144625923,6780
TX,251,305098.1516645954,16901
TX,253,17432.480900944043,1738
TX,255,47695.40103631858,1694
TX,257,294112.29193193803,11868
TX,259,42153.178157480186,2034
TX,261,225.27272727272728,54
TX,263,2962.916666666666,63
TX,265,79848.05757827798,4813
TX,267,8812.636796536797,485
TX,269,0.0,11
TX,271,3034.635989010989,347
TX,273,76242.10829701943,4384
TX,275,2892.9056443556437,505
TX,277,227444.55488659663,6387
TX,279,44003.149814769735,2317
TX,281,32659.896471658496,2007
TX,283,15957.077986774453,1061
TX,285,51130.076199234696,1746
TX,287,41653.79908303427,1702
TX,289,27314.27020253997,1698
TX,291,196259.45485997765,10406
TX,293,56456.38278034121,2966
TX,295,7028.326093951095,288
TX,297,74028.71478662861,983
TX,299,22092.69044315001,1619
TX,301,0.0,12
TX,303,862281.4738581986,34111
TX,305,7307.136868686867,717
TX,307,60791.030115480724,1106
TX,309,650247.2527126188,30135
TX,311,0.0,29
TX,313,21185.710650880148,1646
TX,315,15058.451118652589,1216
TX,317,23317.25541378481,608
TX,319,14092.428246753247,316
TX,321,128611.15482245195,5624
TX,323,265375.5266479865,12323
TX,325,76727.80820247883,5010
TX,327,1406.6,209
TX,329,347023.4658225901,14027
TX,331,61464.69746368723,3217
TX,333,14634.371362433862,484
TX,335,41856.18721694972,852
TX,337,38513.58193426943,1940
TX,339,1294364.025604997,43048
TX,341,100795.42126504672,3442
TX,343,86130.47764113019,1797
TX,345,449.03174603174597,88
TX,347,234181.1168044403,8433
TX,349,171718.26267747366,7763
TX,351,26011.429499085138,1653
TX,353,53991.430331419666,2103
TX,355,2167136.8367944257,47276
TX,357,24179.044386142188,1178
TX,359,6220.422023809524,236
TX,361,354406.5478476442,9799
TX,363,55253.06340782611,3471
TX,365,52511.846073718516,2576
TX,367,108063.03560551383,9569
TX,369,26726.760649610173,1356
TX,371,36727.36872120327,1841
TX,373,140003.24075579454,5600
TX,375,507234.28401140904,21607
TX,377,15470.525600766623,1173
TX,379,11117.516399974296,1148
TX,381,287262.1564305912,8259
TX,383,10041.213605442177,342
TX,385,2644.882936507937,386
TX,387,55090.21675676173,1420
TX,389,29149.201716107968,1713
TX,391,36981.724803309145,806
TX,393,1370.2777777777776,40
TX,395,36850.1930025944,2217
TX,397,176520.87611544481,4972
TX,399,16686.43610971454,1150
