State,County,Total Cost,Number of Children
GA,1,97295.70573258467,2714
GA,3,35082.414755882644,1560
GA,5,58826.79049688126,1641
GA,7,32162.82096340908,384
GA,9,186116.30580703824,5265
GA,11,48865.643912932625,1890
GA,13,255835.57979245766,8743
GA,15,494117.3387975064,12281
GA,17,135156.9330529394,3045
GA,19,90615.51654320024,2721
GA,21,719956.4222144369,24072
GA,23,69279.40512474759,1326
GA,25,82573.388199335,2474
GA,27,104379.62839748802,2209
GA,29,56957.63594962196,2443
GA,31,233628.14142066863,7058
GA,33,136390.11092632063,3906
GA,35,89549.71071124685,2752
GA,37,39770.603897216766,733
GA,39,96295.56013182693,4631
GA,43,62054.77165485379,1733
GA,45,568625.4317437615,12896
GA,47,169705.3681744618,6908
GA,49,38052.469559001984,1311
GA,51,788677.1775416944,28281
GA,53,19536.122743133776,426
GA,55,151708.1943539783,3379
GA,57,405569.27568648185,13631
GA,59,572073.0859650944,13135
GA,61,38431.4814011425,604
GA,63,2155617.8439052743,53542
GA,65,50123.45158168695,1188
GA,67,2195771.1276767068,58619
GA,69,195023.0809303124,6780
GA,71,223431.2955124514,8030
GA,73,204897.47917318004,7503
GA,75,94394.35755662053,2787
GA,77,368769.89369317406,10932
GA,79,43375.08840897936,1485
GA,81,214720.60721838137,3707
GA,83,31437.56564419525,1273
GA,85,57102.85607636224,1695
GA,87,187329.7548089528,4670
GA,89,3901990.45307863,88671
GA,91,107212.47320547194,2481
GA,93,95201.38222158467,1510
GA,95,941775.2437436756,18223
GA,97,576556.4561569617,15649
GA,99,113740.62605170134,1882
GA,101,22787.987803087435,630
GA,103,82826.72634945338,4520
GA,105,86083.96157996326,2657
GA,107,137742.82919566776,3687
GA,109,44986.56875839373,1789
GA,111,58455.54457635018,2350
GA,113,188478.2700689215,5173
GA,115,514835.04576059437,12034
GA,117,188698.67012788812,7683
GA,119,170894.37047300802,2734
GA,121,4831071.128133388,103025
GA,123,65130.653432034225,3272
GA,125,10301.408915963262,348
GA,127,271272.60051916994,9337
GA,129,180834.86486522228,6824
GA,131,179662.00379102203,3627
GA,133,69016.33424792258,1996
GA,135,2954151.9825933324,87166
GA,137,138909.98777754247,4479
GA,139,819375.8312741278,25514
GA,141,56660.834096570674,1110
GA,143,106709.65651751842,3532
GA,145,56313.4146823775,1620
GA,147,120960.4081663496,2949
GA,149,54000.976068745185,1544
GA,151,715707.6829063036,16781
