State,County,Total Cost,Number of Children
GA,1,5724.0134789966805,2714
GA,3,1548.9905032188315,1560
GA,5,4007.8175324675317,1641
GA,7,0.0,384
GA,9,9823.632333083371,5265
GA,11,1187.6845394736845,1890
GA,13,28331.458445412012,8743
GA,15,17377.44042575969,12281
GA,17,1415.1705357142855,3045
GA,19,1204.85741697995,2721
GA,21,85243.17797273543,24072
GA,23,3363.9461538461537,1326
GA,25,174.98148148148152,2474
GA,27,3196.7180330086585,2209
GA,29,2530.370321637427,2443
GA,31,21297.448898773768,7058
GA,33,1573.2186147186148,3906
GA,35,10716.098611111112,2752
GA,37,0.0,733
GA,39,7497.358323759573,4631
GA,43,3791.751190476191,1733
GA,45,31392.484929672213,12896
GA,47,8331.53194768809,6908
GA,49,591.3497549019608,1311
GA,51,62924.22582245,28281
GA,53,1234.2666666666667,426
GA,55,454.55208333333337,3379
GA,57,35375.21179453308,13631
GA,59,31781.965516153192,13135
GA,61,0.0,604
GA,63,79538.93934618264,53542
GA,65,700.2692307692308,1188
GA,67,91976.32891328343,58619
GA,69,3721.9348939802894,6780
GA,71,8932.055534049283,8030
GA,73,13782.374634801474,7503
GA,75,1183.161111111111,2787
GA,77,8011.229083008495,10932
GA,79,5649.792615717616,1485
GA,81,2102.461236802413,3707
GA,83,878.9007936507936,1273
GA,85,6141.0526300383335,1695
GA,87,20698.419547119553,4670
GA,89,172834.59329615475,88671
GA,91,2822.587301587302,2481
GA,93,114.5,1510
GA,95,26639.294844627617,18223
GA,97,33677.239410291535,15649
GA,99,171.96969696969697,1882
GA,101,113.94736842105264,630
GA,103,5577.195708920711,4520
GA,105,4863.046605355429,2657
GA,107,2646.955288461539,3687
GA,109,1425.870658970659,1789
GA,111,3947.541472526012,2350
GA,113,9491.833653383654,5173
GA,115,21362.127863309743,12034
GA,117,18874.458498443397,7683
GA,119,4969.553899692928,2734
GA,121,334816.61908650736,103025
GA,123,2806.7019859850293,3272
GA,125,0.0,348
GA,127,14282.913795151888,9337
GA,129,5580.421272355095,6824
GA,131,8151.631265956265,3627
GA,133,5722.273703910468,1996
GA,135,90532.45773929248,87166
GA,137,4450.7486885663375,4479
GA,139,19819.62198925511,25514
GA,141,1000.5333333333333,1110
GA,143,11697.371785731943,3532
GA,145,7150.678575225944,1620
GA,147,7244.118104216905,2949
GA,149,2598.471626199887,1544
GA,151,26858.831647840594,16781
GA,153,14517.938300506685,15177
GA,155,2042.7152847152847,1368
GA,157,12607.904256055264,5673
GA,159,8218.001924233173,1730
GA,161,2117.1857843137254,2562
GA,163,3559.2959276018105,2625
GA,165,1724.3108108108108,1340
GA,167,4747.835636645962,1129
GA,169,994.8863636363636,2431
GA,171,2947.839377289377,1978
GA,173,2003.0874125874125,1318
GA,175,15195.11669007955,7865
GA,177,4896.872461261936,2852
GA,179,5911.6602511984975,6058
GA,181,962.5714285714287,805
GA,183,2486.1746031746034,2008
GA,185,19651.84628411664,14480
GA,187,4803.443576516132,2404
GA,189,4630.8394652732895,3482
GA,191,4849.718614718615,1309
GA,193,3142.3030303030305,1525
GA,195,9593.59108725606,3577
GA,197,1958.657647907648,980
GA,199,5873.468323561544,2921
GA,201,0.0,813
GA,205,1419.3324675324677,3596
GA,207,2941.495448179271,2089
GA,209,1748.6421345811054,996
GA,211,6807.58124882364,1741
GA,213,3945.778372078701,6209
GA,215,52666.554253742106,26437
GA,217,50194.46189072963,12628
GA,219,3759.8056644296894,1604
GA,221,1768.2364177489178,1050
GA,223,24911.6856940977,11484
GA,225,2453.7988095238097,3229
GA,227,7077.633210702603,2837
GA,229,2685.444444444445,2461
GA,231,3007.1652027539026,1657
GA,233,9827.4729567047,6030
GA,235,2010.8666666666666,1049
GA,237,5733.991778809426,2562
GA,239,0.0,309
GA,241,2523.603227931489,1572
GA,243,81.9375,1004
GA,245,43877.24882602456,31130
GA,247,28525.258722900147,10167
GA,249,391.0,529
GA,251,10001.921202789585,2066
GA,253,2541.7366300366307,1401
GA,255,12604.315377076631,9183
GA,257,5720.93774473577,3480
GA,259,0.0,541
GA,261,5121.276215151073,5338
GA,263,567.7222222222222,617
GA,265,0.0,279
GA,267,1409.9084249084246,2802
GA,269,9860.047330130883,968
GA,271,3218.683333333333,1410
GA,273,741.1,1502
GA,275,11351.463535739,6450
GA,277,11386.94272933809,6409
GA,279,3443.2551870243046,4607
GA,281,978.9944947209652,714
GA,283,423.9880952380952,890
GA,285,21160.098327210926,9001
GA,287,393.8848484848485,1368
GA,289,2124.774255156608,908
GA,291,1285.4009324009326,1715
GA,293,4769.73497776733,3755
GA,295,11081.441444203943,7216
