State,County,Total Cost,Number of Children
GA,1,8595.689910783662,2714
GA,3,1675.3226190476191,1560
GA,5,1736.5233371891266,1641
GA,7,579.2058823529413,384
GA,9,29837.306490583323,5265
GA,11,8718.263666864324,1890
GA,13,55590.052928145255,8743
GA,15,43729.43474963901,12281
GA,17,8368.89200530793,3045
GA,19,16216.530577986256,2721
GA,21,204176.40242601407,24072
GA,23,1775.7466810966812,1326
GA,25,4453.705127280127,2474
GA,27,9045.786389420764,2209
GA,29,19821.19850535279,2443
GA,31,32507.660228803205,7058
GA,33,4571.323140748141,3906
GA,35,9279.3046301222,2752
GA,37,2310.900378787879,733
GA,39,15895.299809022252,4631
GA,43,2732.393837535014,1733
GA,45,107767.87737268543,12896
GA,47,26775.915166727245,6908
GA,49,2014.7134814531878,1311
GA,51,148298.57787950046,28281
GA,53,2387.978282828283,426
GA,55,17913.46606650235,3379
GA,57,53823.98209801123,13631
GA,59,57949.38249505952,13135
GA,61,611.8666666666667,604
GA,63,197234.64929507262,53542
GA,65,4746.055908232858,1188
GA,67,283632.77033231995,58619
GA,69,7242.455715450956,6780
GA,71,20050.28891553851,8030
GA,73,38943.59464520928,7503
GA,75,7497.687500000001,2787
GA,77,70861.50291968236,10932
GA,79,4017.864555216026,1485
GA,81,13430.488650580157,3707
GA,83,6414.354328237552,1273
GA,85,9250.101934415874,1695
GA,87,12575.805939627111,4670
GA,89,472029.2192386964,88671
GA,91,12505.466878627907,2481
GA,93,2560.6203703703704,1510
GA,95,71952.28455232724,18223
GA,97,100656.65669358576,15649
GA,99,6699.693996689583,1882
GA,101,863.921568627451,630
GA,103,16728.822205564044,4520
GA,105,14534.173072489948,2657
GA,107,15308.30538365634,3687
GA,109,4236.006168500402,1789
GA,111,6804.827718987671,2350
GA,113,34578.04073080226,5173
GA,115,59970.664357734844,12034
GA,117,37955.038669696325,7683
GA,119,12868.783656332278,2734
GA,121,901663.2062595364,103025
GA,123,9101.576858506514,3272
GA,125,132.28571428571428,348
GA,127,44512.86310423843,9337
GA,129,16509.702315572715,6824
GA,131,14569.8728372698,3627
GA,133,7332.688252972517,1996
GA,135,334262.9098842536,87166
GA,137,17631.82163242906,4479
GA,139,83630.38491520827,25514
GA,141,1265.259523809524,1110
GA,143,34444.43067872916,3532
GA,145,10468.151489300171,1620
GA,147,6528.710937591823,2949
GA,149,11387.33747456721,1544
GA,151,119232.8321657262,16781
GA,153,69664.90390767995,15177
GA,155,4481.9579828668075,1368
GA,157,36663.99534091439,5673
GA,159,5002.185589133091,1730
GA,161,7461.608424908424,2562
GA,163,6003.200901323908,2625
GA,165,3701.1841706539067,1340
GA,167,4224.747385947386,1129
GA,169,10150.206803874658,2431
GA,171,6643.398540022069,1978
GA,173,8470.591497391495,1318
GA,175,46997.08773558171,7865
GA,177,10630.501303557983,2852
GA,179,19733.306012890866,6058
GA,181,2343.748351648352,805
GA,183,4271.753467142592,2008
GA,185,102933.04371742083,14480
GA,187,10423.917006648526,2404
GA,189,22216.978999259336,3482
GA,191,1656.5583333333334,1309
GA,193,6145.958747135219,1525
GA,195,27501.687500371274,3577
GA,197,2200.355645743146,980
GA,199,20821.508480463468,2921
GA,201,793.8619047619047,813
GA,205,9473.324636350064,3596
GA,207,9323.525708802068,2089
GA,209,1961.8315826330536,996
GA,211,4171.423283171078,1741
GA,213,37192.03002894392,6209
GA,215,131104.10994380165,26437
