State,County,Total Cost,Number of Children
GA,1,306944.59302168584,2714
GA,3,197426.02701305703,1560
GA,5,141962.391409408,1641
GA,7,54147.71175922389,384
GA,9,673751.16649611,5265
GA,11,284812.22560249193,1890
GA,13,1101134.3143944158,8743
GA,15,2087476.7817533,12281
GA,17,357334.411265281,3045
GA,19,364549.452379649,2721
GA,21,3097916.975508152,24072
GA,23,129689.6077420094,1326
GA,25,236921.1690609145,2474
GA,27,286179.6539171048,2209
GA,29,225008.6460367333,2443
GA,31,700373.1459797226,7058
GA,33,411514.1151648789,3906
GA,35,328142.5528008183,2752
GA,37,100711.52672121832,733
GA,39,450178.4240479231,4631
GA,43,212348.75522291887,1733
GA,45,1744760.9925721912,12896
GA,47,1060046.293099497,6908
GA,49,141108.10020585865,1311
GA,51,2358826.388606608,28281
GA,53,85200.28720367324,426
GA,55,541036.2370766196,3379
GA,57,1804777.0153437732,13631
GA,59,1798817.4145752534,13135
GA,61,119401.6331660443,604
GA,63,6260117.274484502,53542
GA,65,182192.2953925869,1188
GA,67,6180755.925659101,58619
GA,69,836923.4887063274,6780
GA,71,1175498.6145923764,8030
GA,73,837069.7915766453,7503
GA,75,345874.04569041537,2787
GA,77,1285369.9239194815,10932
GA,79,217758.31374328,1485
GA,81,608128.7453094658,3707
GA,83,187825.74594395145,1273
GA,85,267749.66817196785,1695
GA,87,627127.5547807368,4670
GA,89,8931855.397678215,88671
GA,91,266496.0426014335,2481
GA,93,273432.33167779783,1510
GA,95,2442153.3944634683,18223
GA,97,1755182.4681572882,15649
GA,99,280781.0634583463,1882
GA,101,90034.1116356268,630
GA,103,461807.4413184943,4520
GA,105,442443.7145815561,2657
GA,107,456280.8115876049,3687
GA,109,191657.18432815387,1789
GA,111,361654.0883733628,2350
GA,113,594796.9496251321,5173
GA,115,1840420.052593296,12034
GA,117,909461.27963652,7683
GA,119,438060.13128991047,2734
GA,121,9991663.31253074,103025
GA,123,422194.922297816,3272
GA,125,36999.78266744327,348
GA,127,758395.9552934606,9337
GA,129,1340959.4149995144,6824
GA,131,472325.64925708907,3627
GA,133,230883.6912446952,1996
GA,135,10846868.542632496,87166
GA,137,511181.62184524076,4479
GA,139,3238548.5303536914,25514
GA,141,132726.43237239606,1110
GA,143,546767.1845071402,3532
GA,145,211200.5117989587,1620
GA,147,491597.146809061,2949
GA,149,239412.60221771372,1544
GA,151,1941373.2546041796,16781
GA,153,2132533.274295288,15177
GA,155,206316.6613763964,1368
GA,157,829818.7442313738,5673
GA,159,245227.16866673753,1730
GA,161,253468.0670781145,2562
GA,163,377036.1183936749,2625
GA,165,149873.5436664091,1340
GA,167,180832.59640922237,1129
GA,169,361055.76669216686,2431
GA,171,247935.2410893405,1978
GA,173,163266.81607258486,1318
GA,175,1225243.0295335895,7865
GA,177,413705.677928716,2852
GA,179,472425.12707722886,6058
GA,181,92203.79331933905,805
GA,183,176067.69878099512,2008
GA,185,1986339.9284071918,14480
GA,187,393377.5622109343,2404
GA,189,441881.7789057442,3482
GA,191,110484.31707686376,1309
GA,193,131994.0177848846,1525
GA,195,494380.1688662537,3577
GA,197,141254.10407679254,980
GA,199,405001.123493079,2921
GA,201,103062.2382304264,813
GA,205,595492.2543139802,3596
GA,207,334948.4299146202,2089
GA,209,131092.53231561242,996
