State,County,Total Cost,Number of Children
GA,1,125233.71508227276,2956
GA,3,37728.26139760081,1559
GA,5,72824.92266378575,1625
GA,7,8745.911616161617,432
GA,9,229610.33844661023,5059
GA,11,56038.78067403241,1905
GA,13,202022.17397665707,8024
GA,15,313412.13394719036,12371
GA,17,100151.74477744476,3078
GA,19,110254.66288839806,2787
GA,21,967849.6057387668,24250
GA,23,74519.09111181158,1422
GA,25,102724.12938518687,2523
GA,27,70083.26700027465,2254
GA,29,91131.55110592704,2476
GA,31,251189.9307648777,6935
GA,33,195861.0544037049,4051
GA,35,95556.54352053527,3131
GA,37,30831.79199667435,726
GA,39,134727.77006930544,4694
GA,43,64643.137810397646,1783
GA,45,341312.57219463104,12960
GA,47,253520.3286590608,6250
GA,49,42586.302687426956,1345
GA,51,744154.1348052439,27991
GA,53,28729.34487394915,544
GA,55,90365.02596783415,3481
GA,57,262921.74703732925,12367
GA,59,288273.18574488186,11195
GA,61,19124.895900178257,601
GA,63,1025453.852573574,51556
GA,65,31050.40818220765,1187
GA,67,1145034.1653850193,58676
GA,69,189833.28361221773,6927
GA,71,297649.8292943425,8299
GA,73,371455.48117970774,7272
GA,75,114460.44983713274,2813
GA,77,344173.4695330433,11187
GA,79,48859.716256211104,1539
GA,81,214767.24756985548,3730
GA,83,45661.88242258901,1332
GA,85,40998.07986999582,1794
GA,87,183090.6215004712,4819
GA,89,2011998.359028955,85600
GA,91,122387.4001295082,2654
GA,93,50944.06760628002,1624
GA,95,479433.6345482922,17816
GA,97,380550.81650847034,14255
GA,99,39977.02435845626,1935
GA,101,6567.45458174723,440
GA,103,164054.41638780088,4468
GA,105,91349.15788964776,2729
GA,107,240839.19435073307,3891
GA,109,49726.340710714714,1860
GA,111,58845.00445438285,2417
GA,113,116528.04321274372,4892
GA,115,484028.3398093924,12066
GA,117,125460.3407790792,7384
GA,119,82952.6803497751,2806
GA,121,3153816.6142613576,100902
GA,123,50087.06655060616,3437
GA,125,17289.1904039479,360
GA,127,355706.06555831345,9304
GA,129,203999.3305114126,7158
GA,131,145539.94209815882,3805
GA,133,48432.55958439708,2060
GA,135,1330944.7740072752,83414
GA,137,131074.76284821858,4368
GA,139,432260.117853645,23985
GA,141,32448.340935574088,1162
GA,143,116072.50826227714,3605
GA,145,92171.80896440592,1684
GA,147,89522.24792190004,2956
GA,149,57673.207410052615,1514
GA,151,560297.1592208588,16534
GA,153,504598.3873076685,14766
GA,155,74584.02429669857,1336
GA,157,182670.84717848815,6004
GA,159,54983.134035091156,1964
GA,161,91391.97625110958,2713
GA,163,103773.85395736367,2642
GA,165,71881.49753941764,1379
GA,167,90884.38795344664,1173
GA,169,103149.7991977663,2503
GA,171,64970.314387957354,1912
GA,173,39938.71822258409,1310
GA,175,415936.4818641961,7305
GA,177,87539.03951948721,2404
GA,179,164046.97975355526,6085
GA,181,45085.95131581383,790
GA,183,58089.087666743,2060
GA,185,522750.4525478439,14586
GA,187,58161.87419541126,2471
GA,189,161571.58941754984,3409
GA,191,38627.73038782817,1312
GA,193,53094.08929425837,1799
GA,195,146306.18366360373,3793
GA,197,25466.41181534466,1044
GA,199,120467.41290967207,3109
GA,201,21364.589448474107,863
GA,205,111677.18860270834,3957
GA,207,81322.29457084091,2113
GA,209,55643.07445063754,1091
GA,211,63836.2281951372,1902
GA,213,166162.35615332454,6155
GA,215,1075191.0361820774,25940
GA,217,370086.7588190293,13077
GA,219,60014.57728723117,1617
GA,221,27742.229721727548,908
GA,223,264806.55623584136,10970
GA,225,97675.25275298557,3180
GA,227,47242.03841320744,2932
GA,229,119204.74233275045,2390
GA,231,71263.8127963606,1749
GA,233,192154.68470225693,6037
GA,235,47865.17410542003,1101
GA,237,93871.28301818763,2540
GA,239,9043.365491148421,300
GA,241,58288.50988319102,1524
GA,243,42286.19064857894,1019
GA,245,1187190.6245017806,31020
GA,247,279849.4235709587,10608
GA,249,25444.979578859828,512
GA,251,95347.49469097077,2145
GA,253,60428.93267144077,1375
GA,255,277315.31206535536,8888
GA,257,151586.6311099067,3458
GA,259,17969.085824632883,590
GA,261,184767.42512718067,5260
GA,263,32679.992266067267,649
GA,265,7845.118506493507,278
GA,267,78704.1436300267,2941
GA,269,60717.2481273594,996
GA,271,95487.01882091224,1673
GA,273,57638.99337395955,1640
GA,275,276624.24603976787,6143
GA,277,257932.79971327772,6458
GA,279,179085.66628817824,5156
GA,281,28502.90824961484,779
GA,283,89445.61895973174,974
GA,285,399710.80043810967,8801
GA,287,54104.24250553369,1426
GA,289,33459.392734750625,945
GA,291,52049.152555564535,1757
GA,293,158923.1652231005,3778
GA,295,318057.38037818694,7355
GA,297,249150.42414015066,8914
GA,299,250449.16947185516,5235
GA,301,21928.61987508105,793
GA,303,91944.01400706019,2763
GA,305,224407.23907722105,4459
GA,307,9757.438205585264,304
GA,309,42909.8035767867,820
GA,311,102155.77104970395,2410
GA,313,306941.64520536485,14190
GA,315,48279.367925323684,1188
GA,317,43308.14921756335,1346
GA,319,40907.01043447295,1373
GA,321,101148.90117639488,2689
GA,999,6974.641666666666,63
PA,1,110293.50096831273,6784
PA,3,582875.5461507174,92968
PA,5,60374.150943256085,5693
PA,7,152680.31084656087,14126
PA,9,317935.83509599976,4170
PA,11,151876.4894648602,41417
PA,13,917468.923578862,12042
PA,15,454948.80526886706,5389
PA,17,285358.69722222234,29748
PA,19,118472.28078149926,10177
PA,21,942067.8128435002,11730
PA,23,54150.65983923483,532
PA,25,323360.77128370985,5146
PA,27,571143.7376649635,5806
PA,29,543126.9789141414,23187
PA,31,245651.86005259535,3079
PA,33,937297.8545733091,7786
PA,35,267282.83142211376,3219
PA,37,485926.8059708047,4762
PA,39,752980.0535052902,8569
PA,41,126041.6912851038,11933
PA,43,215132.73623806747,25802
PA,45,371017.68940157077,44943
PA,47,457120.3263555883,2589
PA,49,1902367.4793401656,32776
PA,51,85172.19726890756,15055
PA,53,30190.41641414141,356
PA,55,997424.0811512492,12009
PA,57,88208.68296276168,1229
PA,59,28819.708333333336,3723
PA,61,416244.4285199702,3827
PA,63,76841.67675384959,6237
PA,65,461747.3388499352,4437
PA,67,174786.23642553727,1652
PA,69,1430396.0522916168,18830
PA,71,364735.06714302726,39318
PA,73,87898.84588258357,8333
PA,75,94845.40645881896,11237
PA,77,280845.88544245803,34432
PA,79,2334281.738347956,31232
PA,81,812072.0280401055,9998
PA,83,396200.637541315,4376
PA,85,904839.0342065599,11034
PA,87,462371.093343383,4291
PA,89,611883.6187577539,15140
PA,91,472507.6742309019,38451
PA,93,139358.43832344125,1130
PA,95,164392.56614357865,20910
PA,97,788984.6957716754,8044
PA,99,43151.706096681104,3118
PA,101,2055746.6277926955,249620
PA,103,280961.15720207203,4242
PA,105,116838.74541189725,1722
PA,107,1016560.5575355502,12553
PA,109,267520.8345267003,2771
PA,111,486793.544430985,5635
PA,113,30622.69931179931,379
PA,115,275832.029083569,3564
PA,117,331693.54945915396,3427
PA,119,270113.12806195306,2640
PA,121,500283.33809197036,5269
PA,123,356802.8191396042,3415
PA,125,133859.39602142142,14432
PA,127,315834.2667569912,4170
PA,129,225583.51844877345,24304
PA,131,219468.01328916824,2412
PA,133,421948.8032524122,34799
NY,1,1435189.435331432,17644
NY,3,380171.0522581904,3625
NY,5,1299356.7616189623,15966
NY,9,600274.227830742,6225
NY,11,420565.92437473295,5431
NY,13,885272.9355456808,12062
NY,15,908954.5654154652,7962
NY,17,213246.7971036045,4109
NY,19,603155.3748602035,5125
NY,21,266658.7238004554,3624
NY,23,260344.3018168113,3890
NY,25,200370.74617823472,3127
NY,27,777117.1515028212,12985
