State,County,Total Cost,Number of Children
GA,1,28554.642860246473,2956
GA,3,25992.820062807557,1559
GA,5,14713.971347000954,1625
GA,7,3550.205656108598,432
GA,9,36031.82297232996,5059
GA,11,17112.193791625043,1905
GA,13,43646.01408729961,8024
GA,15,129432.80593648207,12371
GA,17,41850.82746302123,3078
GA,19,37866.835833950936,2787
GA,21,280853.35977373004,24250
GA,23,18011.835666818562,1422
GA,25,29483.14150169361,2523
GA,27,35757.870826749495,2254
GA,29,21854.173422873417,2476
GA,31,81911.08807630936,6935
GA,33,59658.722963372675,4051
GA,35,25257.560882262147,3131
GA,37,13584.872814277223,726
GA,39,53790.97326600057,4694
GA,43,11427.510978192224,1783
GA,45,153175.49716357546,12960
GA,47,73870.52655116095,6250
GA,49,15630.573419982795,1345
GA,51,160928.06498593028,27991
GA,53,5600.846282372598,544
GA,55,30843.673767205026,3481
GA,57,150129.43057305846,12367
GA,59,107610.75998166221,11195
GA,61,7952.541666666668,601
GA,63,388645.01973918604,51556
GA,65,23067.985963743857,1187
GA,67,547862.5139598447,58676
GA,69,78311.59896387008,6927
GA,71,140394.35519320148,8299
GA,73,105142.78507865807,7272
GA,75,49649.03277634531,2813
GA,77,139787.96495822378,11187
GA,79,19703.519342010648,1539
GA,81,61586.636892686794,3730
GA,83,13692.127213064712,1332
GA,85,16216.306150793649,1794
GA,87,52439.39460921632,4819
GA,89,471469.8540055049,85600
GA,91,37142.611783780514,2654
GA,93,28657.67329462476,1624
GA,95,102576.49451571419,17816
GA,97,105641.63357551533,14255
GA,99,27756.179160030788,1935
GA,101,11010.134986772488,440
GA,103,27399.062608521468,4468
GA,105,31996.303223165723,2729
GA,107,41515.83892138326,3891
GA,109,16971.036347557667,1860
GA,111,24672.16056606337,2417
GA,113,39572.59670326913,4892
GA,115,90571.9586849515,12066
GA,117,53309.10599839832,7384
GA,119,25743.830469863737,2806
GA,121,593440.9636613762,100902
GA,123,27501.86163841032,3437
GA,125,4492.584615384615,360
GA,127,65700.79630655293,9304
GA,129,78606.13520730294,7158
GA,131,53122.79218466716,3805
GA,133,17625.001830277568,2060
GA,135,577342.7933098468,83414
GA,137,52761.878901938115,4368
GA,139,202921.81967382142,23985
GA,141,15923.61936134853,1162
GA,143,45453.683702309725,3605
GA,145,17817.517308195616,1684
GA,147,33885.75377566834,2956
GA,149,20265.92110736486,1514
GA,151,150745.72155977823,16534
GA,153,237110.4888201405,14766
GA,155,15350.127491489988,1336
GA,157,56799.27973648085,6004
GA,159,17488.806260623907,1964
GA,161,26025.697674486102,2713
GA,163,37783.5524700231,2642
GA,165,18299.32113997114,1379
GA,167,5563.4523286898275,1173
GA,169,36161.02640239876,2503
GA,171,22362.460292526102,1912
GA,173,23529.941119542218,1310
GA,175,67799.39078008247,7305
GA,177,23970.948321007694,2404
GA,179,31288.226584608197,6085
GA,181,18322.616223834644,790
GA,183,14915.949155011655,2060
GA,185,267433.10056296195,14586
GA,187,28042.076987881406,2471
GA,189,75428.0808191121,3409
GA,191,9345.727525252525,1312
GA,193,29571.688739827216,1799
GA,195,43457.93148254765,3793
GA,197,13636.261144179898,1044
GA,199,55612.711763468025,3109
GA,201,7280.82712842713,863
GA,205,30115.244015706514,3957
GA,207,26370.776235411766,2113
GA,209,13229.16869078634,1091
GA,211,23160.32094811506,1902
GA,213,55422.84107842849,6155
GA,215,206076.54081157,25940
GA,217,128087.64084729506,13077
GA,219,13190.802732942439,1617
GA,221,3447.434415584415,908
GA,223,108845.74562307305,10970
GA,225,51743.10304058829,3180
GA,227,24429.5604949365,2932
GA,229,20295.559243534248,2390
GA,231,17297.658876649664,1749
GA,233,55709.33262894369,6037
GA,235,14331.09604053354,1101
GA,237,17671.56281104517,2540
GA,239,1386.0341269841272,300
GA,241,21241.481873369004,1524
GA,243,10192.529761904765,1019
GA,245,376284.12479839945,31020
GA,247,40714.583338046046,10608
GA,249,5197.937268518518,512
GA,251,24232.78238415996,2145
GA,253,28605.197415778668,1375
GA,255,65392.00033944318,8888
GA,257,40651.79958714395,3458
GA,259,12109.649918300653,590
GA,261,57321.605108049844,5260
GA,263,11032.626297313798,649
GA,265,3010.675,278
GA,267,19788.413735638,2941
GA,269,12952.313319088318,996
GA,271,11485.207407407404,1673
GA,273,11495.777591852593,1640
GA,275,79239.65070946206,6143
GA,277,48759.97400939389,6458
GA,279,45776.372339017194,5156
GA,281,12605.83748196248,779
GA,283,6105.4508547008545,974
GA,285,202127.6636996018,8801
GA,287,10625.146199633702,1426
GA,289,16045.333531746035,945
GA,291,14462.846397382813,1757
GA,293,46212.45619890875,3778
GA,295,90262.52743445813,7355
GA,297,57471.939389390995,8914
GA,299,49394.069186967696,5235
GA,301,10453.683778258775,793
GA,303,35567.498196910536,2763
GA,305,76141.3205649462,4459
GA,307,5864.078752436648,304
GA,309,8741.687916666666,820
GA,311,29405.77788645041,2410
GA,313,122501.42126605676,14190
GA,315,14206.257252816631,1188
GA,317,23107.603131243766,1346
GA,319,18169.261985386027,1373
GA,321,20471.329715186894,2689
GA,999,0.0,63
PA,1,15725.391666666668,6784
PA,3,84155.20577801827,92968
PA,5,1928.3,5693
PA,7,15535.431084656082,14126
PA,9,156625.23517836435,4170
PA,11,23607.31871031746,41417
PA,13,190254.7914045649,12042
PA,15,85328.13090680966,5389
PA,17,14610.833333333336,29748
PA,19,8577.576190476191,10177
PA,21,330102.90256087604,11730
PA,23,14853.936673702117,532
PA,25,45990.31586999257,5146
PA,27,33754.490210279924,5806
PA,29,18327.990277777782,23187
PA,31,44224.593983824154,3079
PA,33,122734.44262574836,7786
PA,35,34981.911461437536,3219
PA,37,55883.859584978476,4762
PA,39,144241.2317673069,8569
PA,41,30777.33186050061,11933
PA,43,11058.948656898658,25802
PA,45,9920.733044733046,44943
PA,47,44858.107686757685,2589
PA,49,574146.6438772068,32776
PA,51,5954.6833333333325,15055
PA,53,1456.8125,356
PA,55,611827.6821894478,12009
PA,57,28985.85510570585,1229
PA,59,1279.4,3723
PA,61,130866.99767199885,3827
PA,63,37377.624999999985,6237
PA,65,57738.30385702085,4437
PA,67,17935.84299809386,1652
PA,69,373616.9249320321,18830
PA,71,65606.48991841494,39318
PA,73,4799.819312169313,8333
PA,75,7377.666666666668,11237
PA,77,13202.723611111109,34432
PA,79,572846.7904896811,31232
PA,81,111606.72108150068,9998
PA,83,77324.73626765178,4376
PA,85,431732.6049220375,11034
PA,87,52525.252565753515,4291
PA,89,95013.80965798913,15140
PA,91,16314.788888888892,38451
PA,93,26689.01973379773,1130
PA,95,35127.44068627452,20910
PA,97,113300.55964540578,8044
PA,99,4823.678571428572,3118
PA,101,134741.74385692814,249620
PA,103,122687.4174575425,4242
PA,105,23814.45667029049,1722
PA,107,213072.96871937625,12553
PA,109,30446.217543019848,2771
PA,111,192922.94140259398,5635
PA,113,430.0,379
PA,115,65019.50266607443,3564
PA,117,42000.56734658317,3427
PA,119,24006.831435503493,2640
PA,121,111085.00677961095,5269
PA,123,43756.29878264814,3415
PA,125,21946.506302521007,14432
PA,127,274122.0071065345,4170
PA,129,26545.360714285707,24304
PA,131,88122.26450104474,2412
PA,133,33928.025974025964,34799
NY,1,913345.181288283,17644
NY,3,372147.8981354949,3625
NY,5,735472.615547558,15966
NY,9,272493.5235735454,6225
NY,11,401493.32482787635,5431
NY,13,1106331.5754550009,12062
NY,15,303213.7013974628,7962
NY,17,170863.6460124802,4109
NY,19,90601.27145797107,5125
NY,21,134869.0714750118,3624
NY,23,55986.80444076477,3890
NY,25,80018.07471509972,3127
NY,27,310348.694264999,12985
NY,29,8928157.134112969,67929
NY,31,33627.80288255069,2084
NY,33,55441.075114237596,3256
NY,35,79346.88890235037,4900
NY,37,84872.34616596637,3462
NY,39,48521.517569511336,3013
NY,41,566.1333333333333,212
NY,43,228961.87397049463,4909
NY,45,238167.01572515725,7201
NY,49,49620.33347924467,1762
NY,51,42918.932060015155,3408
NY,53,168515.41286143134,4081
NY,55,1540689.4305331646,56506
NY,57,79855.76842524309,5152
NY,59,775566.1886641345,51154
NY,61,32095611.65202481,1123940
NY,63,329598.0466083046,14750
NY,65,1011625.1901565158,20583
NY,67,960721.9334325831,35442
NY,69,72934.25502055133,5516
NY,71,616603.339012545,32123
NY,73,135191.92889265518,3355
NY,75,431415.94929083984,10689
NY,77,128754.23680426492,3534
NY,79,86501.89251748493,1895
NY,83,280471.32142026076,10720
NY,87,821913.5703966016,32706
NY,89,146048.78265045435,7799
NY,91,138539.37852761932,8060
NY,93,523398.1518292243,12382
NY,95,32942.38273809524,1810
NY,97,24394.16945992604,1259
NY,99,83455.1608671421,2038
NY,101,232944.11620058128,6808
NY,103,902480.7052130674,70507
NY,105,158143.5181649143,6832
NY,107,62912.466248090124,3431
NY,109,85223.44495501487,4502
NY,111,131228.5686000595,9953
NY,113,33718.24338716838,3633
NY,115,59397.41235590211,4380
NY,117,89239.68498496243,5741
NY,119,1121855.4418994072,52363
NY,121,55379.21979226912,1982
NY,123,24508.44008598614,1643
NY,999,297927.1930665869,694
SC,1,36108.06306723248,3083
SC,3,157595.85675275273,18746
SC,5,15808.963519409728,1748
SC,7,199556.72882670292,21416
SC,9,32104.493195407544,2416
SC,11,22362.999486260942,3757
SC,13,261062.5142923297,14684
SC,15,280124.5947028009,18394
SC,17,26738.89087224683,1747
SC,19,1663493.2120817613,36444
SC,21,156221.9310682478,7445
SC,23,80228.4197258066,5038
SC,25,129029.54773409085,6655
SC,27,102064.33308605377,5120
SC,29,83958.60234516946,6792
SC,31,234924.84618155684,9859
SC,33,85685.40564431532,6422
SC,35,131075.4873304327,12462
SC,37,19932.85954358141,2426
SC,39,51247.47370531767,3334
SC,41,567497.4028838283,20357
SC,43,66971.22867618494,7740
SC,45,405969.32775368716,46660
SC,47,185993.843643636,9560
SC,49,61830.38823374339,3309
SC,51,769355.5902334822,32606
SC,53,64438.427349039855,4170
SC,55,85673.64979187479,7618
SC,57,162972.79224181766,9086
SC,59,94928.98386089908,8605
SC,61,35758.078060991305,3357
SC,63,344640.8317657974,26681
SC,65,6768.189711399711,852
SC,67,146607.66410890315,6251
SC,69,93696.4656114962,4811
SC,71,112283.49290928696,5267
SC,73,177648.89821088288,8586
SC,75,174035.98298607516,14307
SC,77,205073.4910076547,11749
SC,79,512283.9300079901,41012
SC,81,27217.082757193795,2921
SC,83,421345.7048842153,34216
SC,85,138738.0995925329,15562
SC,87,98331.2585759184,3883
SC,89,138739.02309091872,5515
SC,91,236106.3861976137,21583
SC,999,0.0,0
TN,0,37181.922279282095,6915
TN,1,219959.9835142919,8300
TN,3,125348.80432687985,7113
TN,5,42841.888415575275,1999
TN,7,37674.80134310135,1710
TN,9,286678.9389568849,11229
TN,11,265477.3593733398,11323
TN,13,161200.12549274965,5983
TN,15,35108.825019098564,1621
TN,17,45650.036699532335,3750
TN,19,184217.60954841954,6654
TN,21,74673.03285019609,3889
TN,23,26542.103625541135,2058
TN,25,141665.40450017818,4006
TN,27,27244.823818542565,1089
TN,29,106228.7634653243,5440
TN,31,152017.82169573198,6838
TN,33,27616.37804717069,2104
TN,35,117296.77406938178,6283
TN,37,1489827.780832983,78954
TN,39,19967.50039321789,1402
TN,41,65471.844619514464,2574
TN,43,118911.15551222455,5655
TN,45,103299.73363803877,5610
TN,47,98533.44511811649,3487
TN,49,29176.13075566767,2870
TN,51,65202.74430391229,3944
TN,53,60685.52473678854,6350
TN,55,31795.984889121693,3217
TN,57,86200.99119267835,2816
TN,59,146581.57751772972,7284
TN,61,60945.74419391918,2460
TN,63,201764.20315204374,8425
TN,65,665723.8550745872,34038
TN,67,29435.333455338954,1062
TN,69,39230.699157196585,3525
TN,71,68748.87273046191,3505
TN,73,137185.01299676948,6808
TN,75,46207.96034443921,3088
TN,77,85218.464670628,3552
TN,79,69538.61016812452,4197
TN,81,64275.74036761503,3114
TN,83,23414.14005531505,1013
TN,85,46084.34214611642,2135
TN,87,27633.68476662226,1380
TN,89,146889.08212727608,6321
TN,91,62656.483346697285,2029
TN,93,954526.6878361638,37965
TN,95,20704.677437377435,977
TN,97,69948.93833134459,4209
TN,99,76508.86086000227,5197
TN,101,21925.219869019867,1645
TN,103,76116.49934605703,3997
TN,105,124733.5173111003,4625
TN,107,152513.88995641135,6181
TN,109,57156.49280177037,3703
TN,111,78416.22146295676,3509
TN,113,158824.9231146305,12631
TN,115,61459.988813620665,3601
TN,117,74303.0212843529,3636
TN,119,149125.73767593736,9679
TN,121,42994.967102759416,1639
TN,123,156243.06367903302,5803
TN,125,297668.2177906984,16388
TN,127,6333.144444444444,569
TN,129,64601.420275586046,2501
TN,131,82983.63568074834,3942
TN,133,46022.55572687546,2571
TN,135,12956.166666666664,1039
TN,137,8865.688377558114,567
TN,139,58851.499937128574,2119
TN,141,184066.3802922656,8250
TN,143,101310.55672233539,4818
TN,145,132798.42930575198,5308
TN,147,129805.58177362918,7990
TN,149,484135.1875485689,26203
TN,151,101880.27916169401,3878
TN,153,42897.18722583317,2052
TN,155,291518.7124433621,11023
TN,157,2135425.038988819,146273
TN,159,61575.796046982,2321
TN,161,13804.575393937896,1452
TN,163,274971.8098528261,15741
TN,165,236257.56978370136,14892
TN,167,141192.81696770532,7575
TN,169,22236.802696383427,985
TN,171,29063.906877278423,2116
TN,173,66567.60658514287,2716
TN,175,13800.865909090908,671
TN,177,121997.22539228832,5550
TN,179,246535.78196567012,10741
TN,181,20258.124300908934,1677
TN,183,61096.18895472878,3707
TN,185,61587.76770995756,3310
TN,187,130644.87160527913,6429
TN,189,227461.77497480172,9153
TX,1,144038.54911542506,6025
TX,3,14681.7625,1841
TX,5,124361.60129710686,12178
TX,7,43886.45974301306,2612
TX,9,6282.664041514041,431
TX,11,3881.541666666666,93
TX,13,149004.04623082513,6825
TX,15,19335.34240559921,2863
TX,17,22755.36881502601,1375
TX,19,14064.652777777776,1530
TX,21,186008.47895413308,8795
TX,23,4235.808994708994,380
TX,25,38796.494021276114,3967
TX,27,241571.55975641485,32659
TX,29,5342519.927146364,229146
TX,31,9872.5,707
TX,33,894.5,23
TX,35,27721.785082972587,1895
TX,37,107983.5338122812,11935
TX,39,256811.05017130336,28571
TX,41,416459.0841829355,17533
TX,43,6137.939590964591,696
TX,45,2062.065476190476,169
TX,47,25486.896137829037,1676
TX,49,102477.7276931144,4402
TX,51,46213.70821661997,1807
TX,53,104258.99919090414,4107
TX,55,101887.0015912329,5140
TX,57,37643.42657407951,2902
TX,59,25643.398979425594,1276
TX,61,1448322.1575521003,93498
TX,63,34128.675596386376,2156
TX,65,3203.221428571428,318
TX,67,33392.753084415584,3658
TX,69,29359.184508547012,1426
TX,71,11555.368516722925,2839
TX,73,190784.68072842192,7414
TX,75,16982.207816257815,811
TX,77,8182.268253968255,749
TX,79,13282.818322649573,520
TX,81,4281.083333333334,240
TX,83,20796.256122678496,1089
TX,85,590576.0092941818,41212
TX,87,17652.195585919933,451
TX,89,4467.073809523809,2402
TX,91,228286.98900012442,7985
TX,93,40365.5943001443,1567
TX,95,4973.001293995859,280
TX,97,33283.73555749806,4148
TX,99,36239.53553072745,5303
TX,101,5901.2269841269845,217
TX,103,3471.3392857142853,378
TX,105,14710.996886446886,448
TX,107,24690.045226995226,1006
TX,109,2113.458333333333,339
TX,111,41173.95621038319,1096
TX,113,5788269.675931913,373655
TX,115,37962.302272727284,1962
TX,117,122347.45971400602,3624
TX,119,2742.929563492064,563
TX,121,562753.2563180447,39368
TX,123,45130.8078835593,2331
TX,125,856.9900793650792,231
TX,127,29159.46658183864,2131
TX,129,17713.853968253967,332
TX,131,32696.712105378287,1936
TX,133,76271.67390336111,2217
TX,135,301059.1041371932,21026
TX,137,1113.4074074074074,231
TX,139,447704.70559132716,16091
TX,141,1454922.1550242042,135923
TX,143,80517.05255230879,3663
TX,145,45398.561853886844,2057
TX,147,32510.442322419287,3258
TX,149,26162.92130139597,1886
TX,151,3643.316666666666,308
TX,153,23978.098628686126,1063
TX,155,1662.7777777777776,120
TX,157,286341.21987388784,39610
TX,159,26940.64897186147,1172
TX,161,25696.301587301583,1928
TX,163,64153.49673659674,3090
TX,165,26946.900472772842,2424
TX,167,276806.1080297706,27599
TX,169,7934.510069097567,644
TX,171,11982.729256050967,1877
TX,173,2480.277777777778,80
TX,175,14408.720670995672,720
TX,177,96364.67916424463,3230
TX,179,64454.514468937494,2761
TX,181,144899.4514852617,13218
TX,183,225864.4083377411,16282
TX,185,74973.74740161798,2963
TX,187,287924.04033438925,11784
TX,189,99386.5334263751,5844
TX,191,25303.233234126987,529
TX,193,9273.18583152958,742
TX,195,16952.15277777778,599
TX,197,6282.253418803419,475
TX,199,24980.472459098353,5099
TX,201,3363164.625705656,580428
TX,203,119381.17377289226,8432
TX,205,11346.843650793653,306
TX,207,14032.008721833723,646
TX,209,172788.18214000188,12825
TX,211,7216.946642246643,375
TX,213,245471.28440459684,9746
TX,215,2289764.336708983,196642
TX,217,63311.388588102694,4409
TX,219,65289.306017116054,3228
TX,221,78519.99354412023,4366
TX,223,37805.31307418071,4234
TX,225,40425.84753787878,2567
TX,227,79531.47214461952,4166
TX,229,6855.9,588
TX,231,149817.29686488092,10007
TX,233,102285.24949707156,2394
TX,235,773.8,102
TX,237,12078.705224867726,741
TX,239,8755.028625541127,1693
TX,241,36401.9706139217,4733
TX,243,670.25,134
TX,245,176436.63099862315,33307
TX,247,16356.188247863247,1015
TX,249,130221.85950914107,7028
TX,251,281953.7877387901,16424
TX,253,47898.33923160173,1705
TX,255,26842.34035917785,1681
TX,257,276342.55060360103,11851
TX,259,50793.080643422996,2065
TX,261,3553.299450549451,52
TX,263,4020.338095238095,79
TX,265,26847.404243317662,4811
TX,267,6092.603174603175,475
TX,269,0.0,0
TX,271,10385.333333333334,382
TX,273,63032.223347050574,4498
TX,275,19441.44920634921,464
TX,277,50487.8677424184,6566
TX,279,31170.182624320136,2327
TX,281,33872.385432192335,1983
TX,283,21062.00793650794,1051
TX,285,23162.1307997558,1757
TX,287,41658.592896169735,1591
TX,289,41740.782356532356,1721
TX,291,40602.99419292038,10270
TX,293,49499.17560454267,2980
TX,295,8815.830652218152,280
TX,297,12153.406610750359,1037
TX,299,39467.507474438724,1576
TX,301,0.0,0
TX,303,699606.7930814186,33595
TX,305,18159.11862789988,793
TX,307,34700.96706349206,1103
TX,309,405803.02958991204,30187
TX,311,0.0,34
TX,313,27944.12155290362,1567
TX,315,10138.211992174492,1136
TX,317,13054.311126373626,603
TX,319,6101.1601190476185,320
TX,321,13287.605619380618,5627
TX,323,230118.91661715644,12749
TX,325,91086.84764566539,4998
TX,327,8435.266666666666,237
TX,329,156864.8521201582,14442
TX,331,35286.27327117327,3265
TX,333,16219.696092796088,478
TX,335,18997.373846904728,875
TX,337,35080.018931068924,2017
TX,339,348382.9562078205,40247
TX,341,133803.93715913722,3476
TX,343,26434.31995781996,1773
TX,345,1610.202380952381,92
TX,347,319431.70623959374,8454
TX,349,231510.8759758759,7609
TX,351,11244.598641636145,1686
TX,353,44397.193174723165,2100
TX,355,747479.9194843018,47077
TX,357,48474.867670755164,1260
TX,359,5822.761363636364,227
TX,361,36938.51104348242,9676
TX,363,78828.76059348647,3389
TX,365,35707.67202380953,2561
TX,367,246740.71087364733,9270
TX,369,42607.10069444446,1366
TX,371,33445.794480519486,1779
TX,373,28763.416379310336,5575
TX,375,839752.5888441266,21867
TX,377,11367.98015873016,1308
TX,379,21541.77900558334,1138
TX,381,234794.789781433,7868
TX,383,4410.286706349206,324
TX,385,3588.1694444444447,401
TX,387,34469.726626662814,1457
TX,389,24801.56709401709,1931
TX,391,6095.120634920635,814
TX,393,1470.491228070175,39
TX,395,72413.9858860796,2254
TX,397,52000.31694879195,4987
TX,399,32028.01752645503,1182
TX,401,121229.79478927936,5846
TX,403,13124.569079613198,1127
TX,405,36378.9768037518,1168
TX,407,16434.144162697186,3180
TX,409,135915.62982100787,9713
TX,411,19410.77333333333,632
TX,413,5766.344444444445,291
TX,415,59898.013612082366,1900
TX,417,3443.607142857143,261
TX,419,101099.69306804307,3884
TX,421,5031.955952380952,263
TX,423,831343.3268696963,24632
TX,425,6696.729365079364,733
TX,427,229690.52526637085,18879
TX,429,47157.32473544973,1172
TX,431,0.0,78
TX,433,2263.8479166666666,134
TX,435,10599.231746031744,405
TX,437,19424.648611111108,1139
TX,439,3091875.2257982837,206929
TX,441,414197.86140178423,15652
TX,443,0.0,55
TX,445,21271.86954018204,2012
TX,447,1872.333333333333,120
TX,449,62407.582845993886,5646
TX,451,361886.22512505495,12095
TX,453,2347756.209219189,104714
TX,455,5933.514880952382,1764
TX,457,10444.996545121545,2148
TX,459,61182.24061864062,4763
TX,461,5440.515873015873,328
TX,463,52101.99303896371,4823
TX,465,204554.33304619387,8353
TX,467,144026.03684251913,5390
TX,469,180979.99962451492,11897
TX,471,49855.31837103528,5149
TX,473,52632.281970377415,5242
TX,475,7085.4333333333325,1261
TX,477,37619.47108965596,3111
TX,479,570944.840431841,61047
TX,481,16947.091000285116,5617
TX,483,10204.599122807018,544
TX,485,230081.75962166692,14356
TX,487,39068.334504180464,1902
TX,489,119516.467305856,4499
TX,491,465259.515977522,28365
TX,493,106205.0494956883,3709
TX,495,8929.317180735932,945
TX,497,124501.35824785948,5408
TX,499,95692.26596316263,3922
TX,501,17515.925274725276,978
TX,503,38476.99252610136,2195
TX,505,47424.0281861854,3238
TX,507,39607.641323953816,2882
TX,999,6281.063315339631,615
FL,1,10090.700660096983,1728
FL,3,4199.022501028383,263
FL,5,10034.482352844523,1473
FL,7,4759.959006271507,259
FL,9,37058.22473295507,3790
FL,11,164557.54507227632,15870
FL,13,2015.5842948717952,102
FL,15,21519.7260196775,950
FL,17,9273.233333928098,929
FL,19,39514.96752606292,1457
FL,21,25098.845283176524,2786
FL,23,24269.717611693653,618
FL,25,290524.9584583966,26391
FL,27,9113.355356898004,387
FL,29,10585.748561732387,114
FL,31,104216.04516490153,8806
FL,33,25628.76280240084,2529
FL,35,20518.71030676672,812
FL,37,520.25,81
FL,39,2118.8878968253966,483
FL,41,2291.2181547619048,142
FL,43,706.1560846560848,51
FL,45,2345.6160103785105,107
FL,47,8278.342308607285,156
FL,49,5919.413041782778,359
FL,51,9585.841388431827,563
FL,53,14081.103433813274,1458
FL,55,13856.217662375751,813
FL,57,252498.795234758,12578
FL,59,3327.759523809524,178
FL,61,10986.625934250937,1110
FL,63,1032.3869047619048,408
FL,65,0.0,82
FL,67,1123.8368686868685,53
FL,69,47353.980067951125,2630
FL,71,191763.15710455496,5637
FL,73,9761.913224969476,1729
FL,75,3699.350590323849,362
FL,77,1356.8333333333335,66
FL,79,2365.512987012987,177
FL,81,39704.97173884121,2625
FL,83,26721.80842187496,2895
FL,85,13377.261673974175,951
FL,87,8602.086767399267,480
FL,89,9015.200366300363,539
FL,91,10383.692291389167,1342
FL,93,4135.91588274986,468
FL,95,116857.61020409582,12657
FL,97,41249.628601790384,4033
