State,County,Total Cost,Number of Children
GA,1,16677.117694712695,2956
GA,3,2675.9296536796537,1559
GA,5,8931.440135626899,1625
GA,7,1731.5,432
GA,9,33926.82835726365,5059
GA,11,8286.359216027637,1905
GA,13,80690.39346852232,8024
GA,15,80980.91148013384,12371
GA,17,23351.3280190291,3078
GA,19,17869.795202408244,2787
GA,21,231178.63667310105,24250
GA,23,10389.630087133666,1422
GA,25,7497.486327561327,2523
GA,27,10941.81137589527,2254
GA,29,27858.09645050369,2476
GA,31,61492.84317958628,6935
GA,33,23702.174287134254,4051
GA,35,25700.510209554814,3131
GA,37,6120.574025974027,726
GA,39,17180.890713231143,4694
GA,43,11160.319372294374,1783
GA,45,113071.91619598381,12960
GA,47,40611.09836848982,6250
GA,49,4170.720499497779,1345
GA,51,240160.48970124547,27991
GA,53,5134.452978965479,544
GA,55,22380.99671517468,3481
GA,57,89728.17781648049,12367
GA,59,83703.30324077855,11195
GA,61,4847.498822256175,601
GA,63,307652.38529686985,51556
GA,65,1468.7662141779792,1187
GA,67,420791.2738834485,58676
GA,69,23742.6427292335,6927
GA,71,31229.486742075605,8299
GA,73,103541.10040072443,7272
GA,75,13778.911999111991,2813
GA,77,76868.38681545763,11187
GA,79,6199.799219081571,1539
GA,81,17542.317607768946,3730
GA,83,7836.692399267398,1332
GA,85,8603.071493182197,1794
GA,87,22323.53304236707,4819
GA,89,570140.1861614963,85600
GA,91,20053.67151885278,2654
GA,93,9255.330202958376,1624
GA,95,69564.72399309394,17816
GA,97,214270.943275467,14255
GA,99,9475.715098794832,1935
GA,101,956.8809523809523,440
GA,103,30953.89865009581,4468
GA,105,22295.51010182628,2729
GA,107,33527.05095102162,3891
GA,109,6148.902700685539,1860
GA,111,18804.41470151439,2417
GA,113,42718.104458351154,4892
GA,115,106215.39755799578,12066
GA,117,46649.18552611767,7384
GA,119,29654.798278553597,2806
GA,121,988868.4582618077,100902
GA,123,14017.945656441943,3437
GA,125,2372.4861111111113,360
GA,127,74599.76922302238,9304
GA,129,26445.847352968663,7158
GA,131,23347.29402887417,3805
GA,133,18803.49707884709,2060
GA,135,409819.7039276372,83414
GA,137,27433.61228237644,4368
GA,139,131421.3027469923,23985
GA,141,6067.9900809335595,1162
GA,143,43341.708880333244,3605
GA,145,18996.16080240709,1684
GA,147,24066.21124305891,2956
GA,149,9663.544562162982,1514
GA,151,148271.5489645491,16534
GA,153,100576.37360240056,14766
GA,155,7918.042356393606,1336
GA,157,37068.283033353866,6004
GA,159,14842.018567090376,1964
GA,161,16135.737748228139,2713
GA,163,15830.632080370891,2642
GA,165,11087.392005414604,1379
GA,167,13377.169020562771,1173
GA,169,14013.609853475107,2503
GA,171,9896.4618436875,1912
GA,173,9073.653797453835,1310
GA,175,46832.596347552855,7305
GA,177,12101.451082551775,2404
GA,179,48700.721055877526,6085
GA,181,8501.409562659563,790
GA,183,16096.51999261787,2060
GA,185,92391.66345744382,14586
GA,187,15993.521527301673,2471
GA,189,34109.037383696166,3409
GA,191,4913.174603174603,1312
GA,193,4694.631618381619,1799
GA,195,26060.972454205392,3793
GA,197,1977.161883876357,1044
GA,199,20107.13820177052,3109
GA,201,633.4087774294671,863
GA,205,13343.526784716265,3957
GA,207,11290.48325392993,2113
GA,209,7775.7912606184655,1091
GA,211,11412.607966192449,1902
GA,213,35643.890261051616,6155
GA,215,206180.59557903296,25940
GA,217,106959.0096602326,13077
GA,219,19454.38005128929,1617
GA,221,12986.377060663124,908
GA,223,93272.0347143238,10970
GA,225,16383.540328701953,3180
GA,227,13792.210480516964,2932
GA,229,8629.417458671502,2390
GA,231,12305.811118538322,1749
GA,233,74391.94428621508,6037
GA,235,8153.854719055455,1101
GA,237,21148.260163179893,2540
GA,239,658.0,300
GA,241,26614.04087466166,1524
GA,243,2308.767086834734,1019
GA,245,286394.545642238,31020
GA,247,72101.56789701626,10608
GA,249,2680.420985060691,512
GA,251,13419.288721001218,2145
GA,253,8159.088191926945,1375
GA,255,63149.24733819543,8888
GA,257,27386.1238273159,3458
GA,259,594.6883116883117,590
GA,261,19067.686551305596,5260
GA,263,1268.9903846153848,649
GA,265,2056.0151515151515,278
GA,267,10771.242488574373,2941
GA,269,20097.244544572797,996
GA,271,19170.13183445096,1673
GA,273,8028.515003515004,1640
GA,275,59289.363637002236,6143
GA,277,33375.636830157615,6458
GA,279,30828.756952662417,5156
GA,281,12706.042570587308,779
GA,283,35485.69593688045,974
GA,285,86793.02451440776,8801
GA,287,5257.396645021644,1426
GA,289,15793.37725885226,945
GA,291,11212.047851549323,1757
GA,293,16838.594625374968,3778
GA,295,58309.02044054637,7355
GA,297,76755.43735302967,8914
GA,299,24029.819695286278,5235
GA,301,5311.546633644133,793
GA,303,23484.323356079345,2763
GA,305,27515.04162217355,4459
GA,307,671.9166666666666,304
GA,309,3844.573082612262,820
GA,311,19346.652296292104,2410
GA,313,86542.10913210495,14190
GA,315,6139.528109874538,1188
GA,317,7871.020488721805,1346
GA,319,10756.6795981796,1373
GA,321,15924.815699252913,2689
GA,999,1055.8833333333334,63
PA,1,19713.49733893557,6784
PA,3,138876.66175891107,92968
PA,5,23233.039382798575,5693
PA,7,21135.125396825395,14126
PA,9,73482.33337956342,4170
PA,11,37352.385253099725,41417
PA,13,210216.94537632214,12042
PA,15,74794.60619129175,5389
PA,17,148365.32658730153,29748
PA,19,37934.31727139819,10177
PA,21,199824.76767585886,11730
PA,23,15341.74519500108,532
PA,25,81934.828805113,5146
PA,27,186172.2222981395,5806
PA,29,127208.32984006734,23187
PA,31,103988.66154824237,3079
PA,33,165943.77245343314,7786
PA,35,65887.39595383852,3219
PA,37,106566.05745625588,4762
PA,39,220479.47906280594,8569
PA,41,27927.23147064288,11933
PA,43,87223.49020164885,25802
PA,45,62954.5591029341,44943
PA,47,108018.29557987256,2589
PA,49,426796.05032508326,32776
PA,51,20268.538888888892,15055
PA,53,5826.670955433456,356
PA,55,212425.3106247552,12009
PA,57,13428.92522706052,1229
PA,59,3099.18253968254,3723
PA,61,68876.83448756003,3827
PA,63,37332.372653783,6237
PA,65,104017.75794223648,4437
PA,67,49884.474071559656,1652
PA,69,206903.72262510087,18830
PA,71,204826.03464169704,39318
PA,73,16623.731614906832,8333
PA,75,22844.46388888889,11237
PA,77,90121.60078311326,34432
PA,79,502733.1542827754,31232
PA,81,201751.4184746952,9998
PA,83,117148.2901528296,4376
PA,85,230470.66897717852,11034
PA,87,124316.01756754454,4291
PA,89,144637.15402319186,15140
PA,91,80555.95485625486,38451
PA,93,23019.364676010264,1130
PA,95,77824.68615319865,20910
PA,97,157617.89259470018,8044
PA,99,5154.941666666667,3118
PA,101,420132.87703231204,249620
PA,103,59996.28040360973,4242
PA,105,29812.149629838765,1722
PA,107,226827.6388445783,12553
PA,109,71840.98572191714,2771
PA,111,93450.06815544386,5635
PA,113,1454.8544871794873,379
PA,115,45664.848900106605,3564
PA,117,82150.9393740638,3427
PA,119,70303.47531489718,2640
PA,121,210425.15736646426,5269
PA,123,61508.96399276134,3415
PA,125,13617.67498443822,14432
PA,127,36203.405873397314,4170
PA,129,52597.34186507937,24304
PA,131,41064.94227737842,2412
PA,133,85830.83718098352,34799
NY,1,278326.1114591027,17644
NY,3,46621.31320047642,3625
NY,5,237118.823599237,15966
NY,9,117868.58133856725,6225
NY,11,116437.9648429082,5431
NY,13,216493.63524474212,12062
NY,15,226552.84180107398,7962
NY,17,55903.10927615056,4109
