State,County,Total Cost,Number of Children
GA,1,34992.325658235524,2956
GA,3,6606.341127899878,1559
GA,5,58031.51122805526,1625
GA,7,1226.730303030303,432
GA,9,7859.885480859009,5059
GA,11,932.1454793028322,1905
GA,13,41053.64553303937,8024
GA,15,98092.65943788947,12371
GA,17,13790.557553257964,3078
GA,19,38182.107157849685,2787
GA,21,235491.52940106046,24250
GA,23,5101.917478354978,1422
GA,25,36533.30136862049,2523
GA,27,36016.71017316019,2254
GA,29,19659.79810256956,2476
GA,31,124446.40840777154,6935
GA,33,11110.161197377502,4051
GA,35,42259.157032210715,3131
GA,37,2208.8059523809525,726
GA,39,82343.11852406562,4694
GA,43,13301.709229659231,1783
GA,45,83437.44185737631,12960
GA,47,30531.05490307532,6250
GA,49,3730.7229031385277,1345
GA,51,315490.0549044765,27991
GA,53,257.0,544
GA,55,7789.227076357634,3481
GA,57,87826.23142115178,12367
GA,59,35833.14287511096,11195
GA,61,4179.8554961378495,601
GA,63,256163.62132498066,51556
GA,65,14440.4568508375,1187
GA,67,298467.9450437048,58676
GA,69,62980.02549708575,6927
GA,71,167370.95267201602,8299
GA,73,51629.7070498997,7272
GA,75,79760.58350200667,2813
GA,77,184538.2304845572,11187
GA,79,5416.282703081232,1539
GA,81,4117.044651835093,3730
GA,83,5061.400023563182,1332
GA,85,4189.061376123877,1794
GA,87,9377.233439326374,4819
GA,89,451281.3648986901,85600
GA,91,8283.653984398861,2654
GA,93,8110.577334267041,1624
GA,95,271521.5287372395,17816
GA,97,129221.7845809819,14255
GA,99,11873.558779537456,1935
GA,101,1627.9868421052633,440
GA,103,51621.5154270174,4468
GA,105,21812.48729721505,2729
GA,107,8587.547718253969,3891
GA,109,4521.127705627707,1860
GA,111,3497.002924430641,2417
GA,113,22700.940274309032,4892
GA,115,225355.95131429183,12066
GA,117,49560.602043651015,7384
GA,119,22679.75121288026,2806
GA,121,592586.5124342572,100902
GA,123,2077.9117445054944,3437
GA,125,651.5,360
GA,127,115476.65216012199,9304
GA,129,57924.49405674435,7158
GA,131,15974.666970529473,3805
GA,133,47677.864266289274,2060
GA,135,319136.80113687424,83414
GA,137,4365.392307692307,4368
GA,139,102293.15805932794,23985
GA,141,1452.0,1162
GA,143,51442.15014375215,3605
GA,145,4025.0619047619048,1684
GA,147,17417.340835553336,2956
GA,149,3762.5087301587305,1514
GA,151,164775.83041274507,16534
GA,153,144124.05021490753,14766
GA,155,11201.7686473799,1336
GA,157,40728.11221171615,6004
GA,159,3819.063386939858,1964
GA,161,25556.862462995938,2713
GA,163,8303.503060413355,2642
GA,165,1179.4416666666666,1379
GA,167,3046.096193022664,1173
GA,169,46564.253854253846,2503
GA,171,15553.345828245827,1912
GA,173,8678.348626373627,1310
GA,175,39131.44012588929,7305
GA,177,26627.728443914468,2404
GA,179,18763.79290047185,6085
GA,181,28824.397588522585,790
GA,183,5080.332722179781,2060
GA,185,392581.5549201725,14586
GA,187,5161.253246753247,2471
GA,189,25259.239596849664,3409
GA,191,38799.16329717442,1312
GA,193,3815.936270600744,1799
GA,195,27984.46127899878,3793
GA,197,762.8333333333335,1044
GA,199,48313.577296326446,3109
GA,201,2532.037373737373,863
GA,205,20121.204242979242,3957
GA,207,17420.332844980094,2113
GA,209,5406.186898395722,1091
GA,211,12000.617827150369,1902
GA,213,34703.11117815185,6155
GA,215,35097.9951394066,25940
GA,217,200452.2363720149,13077
GA,219,6587.5041666666675,1617
GA,221,21868.26260291996,908
GA,223,37213.81165583084,10970
GA,225,31152.475617927823,3180
