State,County,Total Cost,Number of Children
GA,1,318844.9443248681,2956
GA,3,246035.3061252746,1559
GA,5,178759.60521832103,1625
GA,7,56298.415657973186,432
GA,9,524334.5296374316,5059
GA,11,261117.37494137452,1905
GA,13,960503.8890813228,8024
GA,15,1988027.3217851997,12371
GA,17,344298.7810629189,3078
GA,19,321289.26491539465,2787
GA,21,2618799.0632851417,24250
GA,23,145810.1631768943,1422
GA,25,322761.35872916627,2523
GA,27,286339.873854233,2254
GA,29,240241.94108103574,2476
GA,31,718298.7320659086,6935
GA,33,606406.0617858497,4051
GA,35,416243.1758650872,3131
GA,37,97302.16822347051,726
GA,39,520868.29040457396,4694
GA,43,206522.01767717086,1783
GA,45,1737373.3325324466,12960
GA,47,899696.0471750845,6250
GA,49,165458.90274165513,1345
GA,51,2485736.475521234,27991
GA,53,54612.97555046791,544
GA,55,535404.5080808654,3481
GA,57,1657701.742018463,12367
GA,59,1306863.8506747128,11195
GA,61,87637.4956303092,601
GA,63,6196391.902265564,51556
GA,65,189802.553829827,1187
GA,67,6220802.379093927,58676
GA,69,915199.5934182449,6927
GA,71,1214219.6010435254,8299
GA,73,1046461.9143100828,7272
GA,75,365377.22124611225,2813
GA,77,1250304.893896979,11187
GA,79,175102.88524511698,1539
GA,81,571559.68158329,3730
GA,83,160002.62729938715,1332
GA,85,266787.601456466,1794
GA,87,502878.7898888205,4819
GA,89,8674254.013987217,85600
GA,91,282158.72711641673,2654
GA,93,273114.6462025565,1624
GA,95,2433690.2517542443,17816
GA,97,1668767.3786662982,14255
GA,99,318183.17691697873,1935
GA,101,52005.03442140505,440
GA,103,456052.48407625005,4468
GA,105,351145.06675297284,2729
GA,107,616315.9535740397,3891
GA,109,196094.36793454926,1860
GA,111,344535.4961209278,2417
GA,113,539008.12760547,4892
GA,115,1885328.065869905,12066
GA,117,814754.800692333,7384
GA,119,435344.15983210405,2806
GA,121,9853562.607672252,100902
GA,123,454276.7265824844,3437
GA,125,56064.501010471016,360
GA,127,774029.818759492,9304
GA,129,1251473.4042355611,7158
GA,131,412344.8098699568,3805
GA,133,314918.2959502174,2060
GA,135,10719834.212849567,83414
GA,137,502211.22751248657,4368
GA,139,3298200.4961265405,23985
GA,141,168053.6193543337,1162
GA,143,572721.3185948475,3605
GA,145,199098.01394655785,1684
GA,147,436058.96190502576,2956
GA,149,231302.11245006212,1514
GA,151,1917501.3461189016,16534
GA,153,2017472.6382490704,14766
GA,155,182851.00532713058,1336
GA,157,790057.1489413695,6004
GA,159,274050.7468931971,1964
GA,161,278069.16126422765,2713
GA,163,529387.9992728749,2642
GA,165,204287.85668817078,1379
GA,167,188889.04295931477,1173
GA,169,263095.0564854369,2503
GA,171,221789.159393773,1912
GA,173,153776.28964650407,1310
GA,175,1016364.2462803078,7305
GA,177,418757.3773626914,2404
GA,179,558472.1405381877,6085
GA,181,109349.3802133174,790
GA,183,205254.14862825567,2060
GA,185,2030372.9619770115,14586
GA,187,374648.5354902754,2471
GA,189,629076.9625617986,3409
GA,191,115615.4626024378,1312
GA,193,179068.8446345666,1799
GA,195,470635.3030749838,3793
GA,197,146505.4548638026,1044
GA,199,364588.33810720046,3109
GA,201,133313.8916936962,863
GA,205,594504.5736376568,3957
GA,207,272198.8919772629,2113
GA,209,148857.70119917634,1091
GA,211,232472.2897613395,1902
GA,213,912239.3199769678,6155
GA,215,2633994.750518048,25940
GA,217,1471899.1637853638,13077
GA,219,200148.3371485187,1617
GA,221,96635.21462755973,908
GA,223,1277234.5716091285,10970
GA,225,487847.08173559717,3180
GA,227,362164.6349649978,2932
GA,229,321402.1791497121,2390
GA,231,210212.81166472452,1749
GA,233,1146690.7239267246,6037
GA,235,155061.26045268346,1101
GA,237,369491.8409754863,2540
GA,239,39125.002365847795,300
GA,241,238599.3754835687,1524
GA,243,156396.92083233857,1019
GA,245,3537451.5560300155,31020
GA,247,919809.6690286893,10608
GA,249,56653.252664269006,512
GA,251,229499.34320503828,2145
GA,253,199126.85137879988,1375
GA,255,1053951.5964184687,8888
GA,257,363312.4654389698,3458
GA,259,75310.03304977968,590
GA,261,642196.980553888,5260
GA,263,77961.61879548329,649
GA,265,34603.12496808746,278
GA,267,317408.42387960944,2941
GA,269,126513.54107680064,996
GA,271,180808.9285728024,1673
GA,273,212348.68837823934,1640
GA,275,709420.5562971521,6143
GA,277,885567.8126032223,6458
GA,279,737087.8302657816,5156
GA,281,97789.76010239164,779
GA,283,126990.79298673963,974
GA,285,1145604.4472042504,8801
GA,287,195234.08675012825,1426
GA,289,101920.96264032043,945
GA,291,235426.9486011245,1757
GA,293,520428.3296559115,3778
GA,295,1051072.4619886093,7355
GA,297,977290.2346166169,8914
GA,299,657609.6897216273,5235
GA,301,152127.77390688242,793
GA,303,330911.4259341823,2763
GA,305,503529.43025951204,4459
GA,307,30648.989420689966,304
GA,309,112446.52081426069,820
GA,311,287174.79422650195,2410
GA,313,2301635.725467595,14190
GA,315,158859.52270427693,1188
GA,317,215732.42638108085,1346
GA,319,189106.1233087848,1373
GA,321,344205.88400975545,2689
GA,999,3111.4666666666667,63
PA,1,125054.94859413465,6784
PA,3,581940.7892811546,92968
PA,5,52395.7117063492,5693
PA,7,71882.46463974478,14126
PA,9,513731.0895967026,4170
PA,11,213577.1616809434,41417
PA,13,1389697.0916250998,12042
PA,15,756495.1420077195,5389
PA,17,178882.67420884495,29748
PA,19,74669.41824542415,10177
PA,21,1137459.2238048313,11730
PA,23,93226.09430728582,532
PA,25,530219.3696151554,5146
PA,27,938182.7710748223,5806
PA,29,234889.53719597636,23187
PA,31,452617.9168063753,3079
PA,33,1161156.5795117854,7786
PA,35,471753.37922286615,3219
PA,37,620520.8152084014,4762
PA,39,1027674.061337362,8569
PA,41,117250.87118506493,11933
PA,43,194923.34968483695,25802
PA,45,240464.57278122212,44943
PA,47,393256.00079334667,2589
PA,49,2542032.269947912,32776
PA,51,78695.1545436508,15055
PA,53,34996.78726725273,356
PA,55,1477469.4330702939,12009
PA,57,177240.9542302418,1229
PA,59,26114.941666666666,3723
PA,61,495110.4968685113,3827
PA,63,89190.78568486466,6237
PA,65,704426.813770021,4437
PA,67,222074.2484670888,1652
PA,69,2231892.6369136423,18830
PA,71,266013.54578036576,39318
PA,73,47500.16233111329,8333
PA,75,78288.83244190023,11237
PA,77,326922.774890333,34432
PA,79,3365570.6537782457,31232
PA,81,1011568.5557403644,9998
PA,83,822571.2554752182,4376
PA,85,1417696.006912064,11034
PA,87,706528.4198809417,4291
PA,89,1337972.5860125676,15140
PA,91,220055.037061087,38451
PA,93,147395.38079940152,1130
PA,95,173014.72722196113,20910
PA,97,1062720.5637886382,8044
PA,99,41514.0463924964,3118
PA,101,952259.4727451032,249620
PA,103,536946.1768184857,4242
PA,105,319863.38283498853,1722
PA,107,1544823.481744443,12553
PA,109,387692.94797313365,2771
PA,111,615316.8030482271,5635
PA,113,31194.10664805624,379
PA,115,490562.3297521306,3564
PA,117,529819.0653977605,3427
PA,119,334132.6773149206,2640
PA,121,869542.0973022413,5269
PA,123,379892.74292417604,3415
PA,125,80657.26498793966,14432
PA,127,725984.1174533331,4170
PA,129,125019.57714403655,24304
PA,131,297801.80440944555,2412
PA,133,281447.54818121693,34799
NY,1,2212926.0045019668,17644
NY,3,566852.3027749764,3625
NY,5,2643625.501980795,15966
NY,9,949332.0384677141,6225
NY,11,968391.7870173056,5431
NY,13,1797055.8486717185,12062
NY,15,623965.1233124104,7962
NY,17,579876.165392966,4109
NY,19,700515.6068049299,5125
NY,21,443401.7613289144,3624
NY,23,566315.1005768498,3890
NY,25,404546.1077805161,3127
NY,27,2199719.708339676,12985
NY,29,7150022.061773048,67929
NY,31,300721.44452704553,2084
NY,33,402425.013703504,3256
NY,35,631398.2022816878,4900
NY,37,405374.72299211065,3462
NY,39,443045.65638217656,3013
NY,41,67699.77748015871,212
NY,43,683795.5167971913,4909
NY,45,951099.8855169968,7201
NY,49,196251.92841314428,1762
NY,51,555873.784883361,3408
NY,53,523067.0820899862,4081
NY,55,7411600.481277391,56506
NY,57,925941.7959690836,5152
NY,59,8876957.148814663,51154
NY,61,178339400.43754762,1123940
NY,63,1941307.1408593962,14750
NY,65,2764033.6511805854,20583
NY,67,4572191.0005218005,35442
NY,69,886751.8997495064,5516
NY,71,7142748.222559663,32123
NY,73,432366.8423152449,3355
NY,75,1457454.3970919037,10689
NY,77,559227.5198903136,3534
NY,79,306081.4509748261,1895
NY,83,1352426.658193826,10720
NY,87,9029184.608090937,32706
NY,89,834441.7718031794,7799
NY,91,1113660.5956271307,8060
NY,93,1373973.3446058556,12382
NY,95,266014.0349130463,1810
NY,97,128203.0919351619,1259
NY,99,387323.4698957223,2038
NY,101,850708.2542313301,6808
NY,103,12051771.717644395,70507
NY,105,1313591.684255536,6832
NY,107,435125.50944263156,3431
NY,109,719424.8552344653,4502
NY,111,1634626.9609840375,9953
NY,113,507483.45248692203,3633
NY,115,618306.6572653641,4380
NY,117,955864.7191020086,5741
NY,119,8266374.262710682,52363
NY,121,205730.06468989266,1982
NY,123,269219.14104672236,1643
NY,999,463017.4264962482,694
SC,1,351063.9566580098,3083
SC,3,1842692.462145297,18746
SC,5,177435.10020534726,1748
SC,7,2314000.083409825,21416
SC,9,215895.6488241176,2416
SC,11,412112.60690320114,3757
SC,13,1115716.8292469194,14684
SC,15,1712298.1784501094,18394
SC,17,180610.74954857945,1747
SC,19,3406112.251363727,36444
SC,21,866539.1535636421,7445
SC,23,620565.8060448206,5038
SC,25,651871.8175828069,6655
SC,27,574417.5967330388,5120
SC,29,737647.4437365141,6792
SC,31,992481.6853331856,9859
SC,33,662816.6982190361,6422
SC,35,1130064.534420513,12462
SC,37,235719.13344244065,2426
SC,39,374718.59599988064,3334
SC,41,1851639.272260919,20357
SC,43,788809.8364511132,7740
SC,45,5084683.876388916,46660
SC,47,1090747.616910776,9560
SC,49,357072.17634189076,3309
SC,51,3367578.541225668,32606
SC,53,365525.15724910033,4170
SC,55,757901.0640110907,7618
SC,57,960582.4269384256,9086
SC,59,980720.3222997164,8605
SC,61,347072.0181442407,3357
SC,63,2764626.6784120244,26681
SC,65,88138.8071601206,852
SC,67,653220.3927801375,6251
SC,69,534908.4618749946,4811
SC,71,478203.4399814436,5267
SC,73,886463.8536150056,8586
SC,75,1367127.2095006541,14307
SC,77,1298147.389659828,11749
SC,79,3166156.868619159,41012
SC,81,354757.5102740213,2921
SC,83,3362721.1657349244,34216
SC,85,1296667.916107843,15562
SC,87,450688.3659629714,3883
SC,89,449342.0006092425,5515
SC,91,2038274.342444801,21583
SC,999,0.0,0
TN,0,642010.0624975314,6915
TN,1,2137322.454972189,8300
TN,3,1967261.849452404,7113
TN,5,499395.44305900537,1999
TN,7,399173.4195305777,1710
TN,9,2948292.887312306,11229
TN,11,2751666.844545992,11323
TN,13,1419435.99262154,5983
TN,15,376632.179619969,1621
TN,17,1053007.368143954,3750
TN,19,1963706.9309051768,6654
TN,21,915369.2203586928,3889
TN,23,549280.2017064339,2058
TN,25,1136525.7428632136,4006
TN,27,229579.78420619693,1089
TN,29,1601018.465468026,5440
TN,31,1484618.6824804554,6838
TN,33,644505.8836067981,2104
TN,35,1920106.309179772,6283
TN,37,16448199.222451756,78954
TN,39,450456.8699079715,1402
TN,41,755257.9295674652,2574
TN,43,1236963.9052736734,5655
TN,45,1590511.4205527331,5610
TN,47,899601.5461440407,3487
TN,49,879875.0774369992,2870
TN,51,1053960.5688739854,3944
TN,53,1618332.0221750196,6350
TN,55,737997.0378098439,3217
TN,57,849800.0226877484,2816
TN,59,1858000.8250540462,7284
TN,61,685908.8896565648,2460
TN,63,2314485.099120864,8425
TN,65,6398315.890272041,34038
TN,67,338645.6283134964,1062
TN,69,832754.4435429996,3525
TN,71,1046043.0148131372,3505
TN,73,1932515.340458196,6808
TN,75,1067913.114777472,3088
TN,77,1046092.1432258799,3552
TN,79,1152081.272781385,4197
TN,81,753345.819335297,3114
TN,83,251670.1074453571,1013
TN,85,524808.251594348,2135
TN,87,309398.70337099396,1380
TN,89,1678618.9302430253,6321
TN,91,620861.1613784316,2029
TN,93,8166593.519462856,37965
TN,95,310581.2937697145,977
TN,97,1128571.5178470572,4209
TN,99,1365144.0941964379,5197
TN,101,402442.62739569525,1645
TN,103,918563.4889732044,3997
TN,105,1283654.203850446,4625
TN,107,1438172.4903473302,6181
TN,109,862306.3126381625,3703
