State,County,Total Cost,Number of Children
GA,1,73392.46815803794,2714
GA,3,47786.76445286453,1560
GA,5,39628.97875358431,1641
GA,7,23743.228870836767,384
GA,9,351648.8880692501,5265
GA,11,60748.216302970046,1890
GA,13,312230.4846263497,8743
GA,15,357503.7687402394,12281
GA,17,115265.57422491926,3045
GA,19,72721.15586952814,2721
GA,21,1024775.1239271014,24072
GA,23,29041.536260974863,1326
GA,25,45941.112719444325,2474
GA,27,76046.66630529785,2209
GA,29,52002.09504231005,2443
GA,31,187147.96692113872,7058
GA,33,167836.38186530606,3906
GA,35,91675.79428825916,2752
GA,37,29746.075806294964,733
GA,39,85877.89359510031,4631
GA,43,36461.413055000565,1733
GA,45,386520.7979885889,12896
GA,47,168191.71165745865,6908
GA,49,32463.881503781748,1311
GA,51,745789.1625620774,28281
GA,53,21533.88830072433,426
GA,55,100913.52568832424,3379
GA,57,403520.96772109705,13631
GA,59,549813.1027411423,13135
GA,61,46434.34495031001,604
GA,63,2015273.1924807376,53542
GA,65,28175.88489910484,1188
GA,67,1797565.6807919266,58619
GA,69,251830.16828189828,6780
GA,71,394740.59067317453,8030
GA,73,272150.6774627343,7503
GA,75,83605.47263162375,2787
GA,77,247002.04966292816,10932
GA,79,46289.512232946785,1485
GA,81,154498.37048385982,3707
GA,83,24438.751050108775,1273
GA,85,42267.3202315107,1695
GA,87,173535.68335627142,4670
GA,89,3730627.778348153,88671
GA,91,75179.88772347673,2481
GA,93,53348.555644995,1510
GA,95,1095349.0500300315,18223
GA,97,542874.3475293961,15649
GA,99,83498.31164875807,1882
GA,101,12812.599550830431,630
GA,103,113099.7653777628,4520
GA,105,97781.18321205939,2657
GA,107,88849.59783940461,3687
GA,109,42594.890074618386,1789
GA,111,61788.47266600506,2350
GA,113,139308.80828281242,5173
GA,115,463075.21824952454,12034
GA,117,240557.8322069688,7683
GA,119,90913.96459993142,2734
GA,121,4391481.275744752,103025
GA,123,122054.09881608012,3272
GA,125,7857.413169348767,348
GA,127,239064.40878100035,9337
GA,129,234986.8137027897,6824
GA,131,125797.10795893734,3627
GA,133,67765.92057689316,1996
GA,135,2891986.8347473657,87166
GA,137,116750.6717335328,4479
GA,139,668504.9439462079,25514
GA,141,48826.537690920195,1110
GA,143,102615.97967882213,3532
GA,145,53570.700778436985,1620
GA,147,118058.80279764225,2949
GA,149,38073.898748160915,1544
GA,151,639443.4092438463,16781
GA,153,492390.14485853096,15177
GA,155,54193.559949392264,1368
GA,157,193746.16374045727,5673
GA,159,60294.7118420938,1730
GA,161,40184.42404193458,2562
GA,163,121629.67979646006,2625
GA,165,44384.03143319574,1340
GA,167,41057.92392307984,1129
GA,169,73413.43663246077,2431
GA,171,75712.43157056627,1978
GA,173,41395.22402524378,1318
GA,175,257549.6331669469,7865
GA,177,118742.80187222015,2852
GA,179,158627.69065944685,6058
GA,181,26630.088525351468,805
GA,183,40916.18449834221,2008
GA,185,546406.8740281875,14480
GA,187,55313.27299963753,2404
GA,189,87269.25997169982,3482
GA,191,19402.39913832083,1309
GA,193,55720.74628236453,1525
GA,195,118548.56142838445,3577
GA,197,43032.07784943815,980
GA,199,98110.11554115322,2921
GA,201,29995.19853122025,813
GA,205,192870.44861552183,3596
GA,207,60860.866371199474,2089
GA,209,27490.684889402524,996
GA,211,58443.44308164676,1741
GA,213,210022.3383391472,6209
GA,215,914575.6226753272,26437
GA,217,500132.9369261703,12628
GA,219,51682.612501330674,1604
GA,221,38324.35201873295,1050
GA,223,360743.79407396505,11484
GA,225,127057.907281295,3229
GA,227,80587.46155849054,2837
GA,229,49849.784756531575,2461
GA,231,46393.85979921832,1657
GA,233,197418.8544685781,6030
GA,235,29071.28317153674,1049
GA,237,110400.47953261883,2562
GA,239,8408.622449813258,309
GA,241,44105.10572745,1572
GA,243,48907.97274438523,1004
GA,245,985849.1624498076,31130
GA,247,429824.847423599,10167
GA,249,15950.162171928943,529
GA,251,54129.70240425425,2066
GA,253,77724.11925263933,1401
GA,255,355289.2312134108,9183
GA,257,126320.90273196304,3480
GA,259,11542.290572390571,541
GA,261,287039.8253751363,5338
GA,263,24844.805619598275,617
GA,265,7225.74335541909,279
GA,267,66474.09392097898,2802
GA,269,41848.67223061285,968
GA,271,39368.28815628815,1410
GA,273,93124.2519785648,1502
GA,275,232081.32149051325,6450
GA,277,193424.52717664128,6409
GA,279,125478.67321006287,4607
GA,281,20652.369536754093,714
GA,283,28742.365703108866,890
GA,285,245979.23054110922,9001
GA,287,47070.97294855111,1368
GA,289,48626.45940371763,908
GA,291,52273.92615601992,1715
GA,293,131277.01762557775,3755
GA,295,166513.14777749465,7216
GA,297,319581.42028940376,8533
GA,299,103496.37994995117,5293
GA,301,18995.293107369213,739
GA,303,79557.33284359577,2785
