State,County,Total Cost,Number of Children
GA,1,10954.134667107865,2714
GA,3,1310.9693709068708,1560
GA,5,3794.533871099661,1641
GA,7,0.0,384
GA,9,31248.288019259555,5265
GA,11,8457.24389385745,1890
GA,13,45363.99832217552,8743
GA,15,71953.24377781598,12281
GA,17,12944.59663291738,3045
GA,19,10727.163734634245,2721
GA,21,149398.3427629565,24072
GA,23,4288.054714035964,1326
GA,25,11604.098322510825,2474
GA,27,3446.074531024532,2209
GA,29,12929.150772619087,2443
GA,31,42105.116475480514,7058
GA,33,28861.182507658883,3906
GA,35,12302.719296716356,2752
GA,37,1983.9642857142856,733
GA,39,13930.970977796711,4631
GA,43,8473.746969696971,1733
GA,45,64904.72983506791,12896
GA,47,23477.151990396942,6908
GA,49,2934.678391053392,1311
GA,51,136334.608956289,28281
GA,53,34782.27777777778,426
GA,55,19182.345179215212,3379
GA,57,48932.27084201457,13631
GA,59,61583.311312006896,13135
GA,61,921.8833333333334,604
GA,63,154834.55831637356,53542
GA,65,3363.161455211455,1188
GA,67,334924.5855912749,58619
GA,69,20285.983323431912,6780
GA,71,18070.08935932775,8030
GA,73,96578.77407328738,7503
GA,75,13398.667754794222,2787
GA,77,49422.658036759385,10932
GA,79,9452.224107640548,1485
GA,81,6647.483887311519,3707
GA,83,3500.921284271284,1273
GA,85,12539.901866254475,1695
GA,87,12302.5650592055,4670
GA,89,282149.81524914794,88671
GA,91,9616.445041070045,2481
GA,93,3810.599282661783,1510
GA,95,69815.39328807416,18223
GA,97,121908.36487201125,15649
GA,99,8165.9700300312425,1882
GA,101,596.8217171717172,630
GA,103,23885.430208596503,4520
GA,105,26456.156818931846,2657
GA,107,22272.841184743702,3687
GA,109,14118.729097777006,1789
GA,111,11020.995063992808,2350
GA,113,71818.39620259519,5173
GA,115,68374.55352475897,12034
GA,117,42906.81369324513,7683
GA,119,14685.297188314304,2734
GA,121,645937.1211900754,103025
GA,123,7962.260121995533,3272
GA,125,692.9134615384614,348
GA,127,39706.336908906334,9337
GA,129,24976.92729815016,6824
GA,131,7731.584011544012,3627
GA,133,7165.694962439521,1996
GA,135,329290.7150794797,87166
GA,137,24547.26410050021,4479
GA,139,135516.60027809333,25514
GA,141,2632.76162464986,1110
GA,143,24376.11114395212,3532
GA,145,3909.012878787879,1620
GA,147,16442.428227838336,2949
GA,149,3450.750456950457,1544
GA,151,102858.03429878867,16781
GA,153,69410.30001825173,15177
GA,155,9094.366897412872,1368
GA,157,38768.11651195437,5673
GA,159,6050.593285603286,1730
GA,161,6784.605271336852,2562
GA,163,14600.800312106194,2625
GA,165,5248.893297074545,1340
GA,167,8706.235882504148,1129
GA,169,11612.76539105167,2431
GA,171,5695.643705745801,1978
GA,173,6031.286988705739,1318
GA,175,38041.89610833248,7865
GA,177,18412.917468746782,2852
GA,179,22534.78593047822,6058
GA,181,2848.175,805
GA,183,9201.209901536373,2008
GA,185,57861.48281971003,14480
GA,187,12805.433451288527,2404
GA,189,19096.1085367554,3482
GA,191,3117.772852147853,1309
GA,193,8711.142558462778,1525
GA,195,42961.94096527252,3577
GA,197,5803.9958333333325,980
GA,199,10322.421783826767,2921
GA,201,385.1208333333333,813
GA,205,5730.655845216875,3596
GA,207,13515.280746124214,2089
GA,209,4634.87086834734,996
GA,211,10258.241174579185,1741
GA,213,16139.436986070503,6209
GA,215,100070.82961581027,26437
GA,217,74528.5390146633,12628
GA,219,15362.572203317131,1604
GA,221,4430.3401334776345,1050
GA,223,67873.92112428499,11484
