State,County,Total Cost,Number of Children
GA,1,141121.25661039693,2714
GA,3,96868.26338746678,1560
GA,5,62122.853340312206,1641
GA,7,36145.763286826405,384
GA,9,480609.71150772594,5265
GA,11,58328.50999216053,1890
GA,13,314733.78529360256,8743
GA,15,470168.7371609656,12281
GA,17,175406.89098774915,3045
GA,19,187229.2581252821,2721
GA,21,1133353.7712769157,24072
GA,23,87224.75126538887,1326
GA,25,99540.40347297037,2474
GA,27,115008.19131823428,2209
GA,29,83334.71487011427,2443
GA,31,221954.13414657948,7058
GA,33,154247.8659592695,3906
GA,35,110154.91849223732,2752
GA,37,68949.35811458652,733
GA,39,200365.18439112202,4631
GA,43,59003.43424473942,1733
GA,45,671857.8942235919,12896
GA,47,256674.5982134645,6908
GA,49,60041.357466969755,1311
GA,51,1028988.6141239764,28281
GA,53,13675.002126713156,426
GA,55,226716.8144446923,3379
GA,57,495114.6028563702,13631
GA,59,468412.0372479134,13135
GA,61,43429.97468168974,604
GA,63,2567603.663781823,53542
GA,65,52789.31719919201,1188
GA,67,1878696.1906445946,58619
GA,69,543701.7195458878,6780
GA,71,426346.40469871694,8030
GA,73,274301.7228657363,7503
GA,75,202822.046271608,2787
GA,77,457629.5784671033,10932
GA,79,73395.18372438816,1485
GA,81,240492.621887715,3707
GA,83,33101.824297823754,1273
GA,85,48445.17687100656,1695
GA,87,278210.6522319024,4670
GA,89,3980484.1084154886,88671
GA,91,94657.41598628931,2481
GA,93,122350.91556846474,1510
GA,95,1409381.510864241,18223
GA,97,759193.1185830964,15649
GA,99,153901.74344296491,1882
GA,101,20198.172727471047,630
GA,103,140898.94176443966,4520
GA,105,117672.30625172914,2657
GA,107,125432.87486381401,3687
GA,109,73794.52213298247,1789
GA,111,101659.511316411,2350
GA,113,240313.7507024881,5173
GA,115,478393.4634571069,12034
GA,117,257622.37888350023,7683
GA,119,156759.9811719009,2734
GA,121,4873922.959379085,103025
GA,123,165933.64743725868,3272
GA,125,17497.72397035332,348
GA,127,318237.3026068548,9337
GA,129,402605.7597498371,6824
GA,131,142180.49341598482,3627
GA,133,64888.54388423167,1996
GA,135,3183549.366270583,87166
GA,137,130196.11212137721,4479
GA,139,961256.0515637895,25514
GA,141,63156.78388288183,1110
GA,143,149952.5007045384,3532
GA,145,67934.61323925044,1620
GA,147,143388.98164597142,2949
GA,149,103243.14257226633,1544
GA,151,847142.4165338506,16781
