State,County,Total Cost,Number of Children
GA,1,3114.6217786626025,2714
GA,3,2777.7472222222223,1560
GA,5,4230.352370777371,1641
GA,7,0.0,384
GA,9,15525.631881586982,5265
GA,11,3722.968542568543,1890
GA,13,40417.138362977166,8743
GA,15,28575.451902204386,12281
GA,17,8309.450977209064,3045
GA,19,10847.30901576637,2721
GA,21,89478.5132853868,24072
GA,23,2847.704761904762,1326
GA,25,4277.7259074259055,2474
GA,27,6462.444932844932,2209
GA,29,12580.1377680894,2443
GA,31,19223.57820989929,7058
GA,33,9621.734613589026,3906
GA,35,7860.621836007132,2752
GA,37,902.8947368421052,733
GA,39,8789.856050648697,4631
GA,43,8045.268324175824,1733
GA,45,25754.32621352987,12896
GA,47,17267.280862759242,6908
GA,49,881.2916666666665,1311
GA,51,97181.74658536304,28281
GA,53,1616.8692307692306,426
GA,55,7987.767111259915,3379
GA,57,81885.1654774785,13631
GA,59,36420.43716696627,13135
GA,61,1192.7698924731185,604
GA,63,112917.97342706515,53542
GA,65,1736.7137254901959,1188
GA,67,233403.94252116987,58619
GA,69,12970.536337327627,6780
GA,71,100379.25932159016,8030
GA,73,37251.3116124084,7503
GA,75,6589.819482695953,2787
GA,77,35698.57547878803,10932
GA,79,3544.523809523809,1485
GA,81,6028.343907391892,3707
GA,83,3691.845532245533,1273
GA,85,6584.932871003267,1695
GA,87,4296.9051681505625,4670
GA,89,242279.16528157613,88671
GA,91,8829.657221863104,2481
GA,93,1448.55,1510
GA,95,41034.420290024915,18223
GA,97,48709.496321275234,15649
GA,99,1567.446428571429,1882
GA,101,0.0,630
GA,103,20970.4162284131,4520
GA,105,3958.666062409812,2657
GA,107,7847.772418213408,3687
GA,109,11641.586906780869,1789
GA,111,3807.9011002886,2350
GA,113,20927.310785995258,5173
GA,115,56794.836152600124,12034
GA,117,60788.04864524626,7683
GA,119,10994.16014730454,2734
GA,121,379098.3752951996,103025
GA,123,6178.623802224344,3272
GA,125,0.0,348
GA,127,34853.622324897326,9337
GA,129,21725.4068599254,6824
GA,131,3749.3534519402174,3627
GA,133,5829.945600233101,1996
GA,135,284809.17597915424,87166
GA,137,13649.154653679656,4479
GA,139,61498.45688178122,25514
GA,141,3305.9147992530347,1110
GA,143,4482.098574355928,3532
GA,145,11649.538095238097,1620
GA,147,7036.679328841095,2949
GA,149,1891.3177655677655,1544
GA,151,96051.84035265852,16781
GA,153,39191.83790237951,15177
GA,155,3042.385314685315,1368
GA,157,20490.277730989343,5673
GA,159,2111.316103397881,1730
GA,161,7904.042396200291,2562
GA,163,5297.745337995339,2625
GA,165,8514.41616161616,1340
GA,167,2844.7456501831507,1129
GA,169,4299.110726629693,2431
GA,171,3789.017307692308,1978
GA,173,3320.519047619048,1318
GA,175,13084.293790675703,7865
GA,177,6537.113019290652,2852
GA,179,12684.808558485971,6058
GA,181,2621.3107142857143,805
GA,183,5935.626118652589,2008
GA,185,66492.15491115327,14480
GA,187,7220.858768095939,2404
GA,189,7202.528632478631,3482
GA,191,1958.8237179487185,1309
GA,193,4210.057101558572,1525
GA,195,9148.6449731555,3577
GA,197,1081.2219155844157,980
GA,199,6356.384676597912,2921
GA,201,594.3329545454545,813
GA,205,7739.189863864207,3596
GA,207,13179.67649433312,2089
GA,209,931.381818181818,996
GA,211,5253.4513157894735,1741
GA,213,10780.98586810699,6209
GA,215,58899.84428102791,26437
GA,217,35126.408522068814,12628
GA,219,6350.971329365079,1604
GA,221,6950.53896103896,1050
GA,223,50525.65625058694,11484
GA,225,22371.491574168,3229
GA,227,3403.7582792207795,2837
GA,229,7111.451615051615,2461
GA,231,6028.330451127818,1657
GA,233,18024.994277312442,6030
GA,235,4438.909415584416,1049
GA,237,4647.143494005994,2562
GA,239,122.63636363636364,309
GA,241,5846.9622138680015,1572
GA,243,1875.0853174603174,1004
GA,245,99800.04723965656,31130
GA,247,23896.8678410749,10167
GA,249,224.2352941176471,529
GA,251,4908.614443534829,2066
GA,253,2207.6641414141413,1401
GA,255,26250.442035025226,9183
GA,257,16151.052508387722,3480
GA,259,1072.0,541
GA,261,20325.69335294336,5338
GA,263,543.453781512605,617
GA,265,327.45,279
GA,267,8174.388961038962,2802
GA,269,4474.874025974026,968
GA,271,10846.003852536354,1410
GA,273,5582.137717086834,1502
GA,275,31461.415736727882,6450
GA,277,19283.708256816284,6409
GA,279,16630.31253262374,4607
GA,281,3335.0364357864355,714
GA,283,1526.4869875222814,890
GA,285,15357.862250678383,9001
GA,287,1126.3042643630881,1368
GA,289,2525.9315114709852,908
GA,291,1766.2598162071847,1715
GA,293,14026.611693416937,3755
GA,295,19361.815213514787,7216
GA,297,35690.030536135986,8533
GA,299,14528.910424736085,5293
GA,301,881.3617610837439,739
GA,303,4892.561706349207,2785
GA,305,14434.238584617993,6303
GA,307,1178.5238095238094,307
GA,309,0.0,802
GA,311,8969.737364243943,2412
GA,313,27204.57248562232,13825
GA,315,401.88888888888886,1054
GA,317,2182.0721153846152,1355
