State,County,Total Cost,Number of Children
GA,1,2851.18125,2714
GA,3,283.5320512820512,1560
GA,5,419.04545454545456,1641
GA,7,0.0,384
GA,9,15522.611065745847,5265
GA,11,598.7584021642846,1890
GA,13,15135.375744005547,8743
GA,15,18660.86750354068,12281
GA,17,1936.5616703203025,3045
GA,19,3726.315950824774,2721
GA,21,56480.37795274499,24072
GA,23,946.0004329004328,1326
GA,25,3997.735119047618,2474
GA,27,330.4431818181818,2209
GA,29,3862.105495048898,2443
GA,31,13263.302081483127,7058
GA,33,11525.007060883436,3906
GA,35,5513.791269841271,2752
GA,37,600.25,733
GA,39,1096.1700407435699,4631
GA,43,1283.1734848484848,1733
GA,45,23463.23608737442,12896
GA,47,6003.224582804536,6908
GA,49,204.54545454545453,1311
GA,51,59975.47950283916,28281
GA,53,0.0,426
GA,55,3610.8320552083064,3379
GA,57,22240.7955908867,13631
GA,59,18941.849906976367,13135
GA,61,0.0,604
GA,63,47227.390120827375,53542
GA,65,1719.3993506493505,1188
GA,67,131593.94799134348,58619
GA,69,7987.967015835995,6780
GA,71,3852.721538695223,8030
GA,73,37445.241290920065,7503
GA,75,5784.337179487179,2787
GA,77,16442.57998973599,10932
GA,79,4208.259230503796,1485
GA,81,1964.4291666666666,3707
GA,83,234.75,1273
GA,85,6290.3982684420835,1695
GA,87,4938.220833333333,4670
GA,89,110713.695117621,88671
GA,91,738.7072649572649,2481
GA,93,1786.9246794871797,1510
GA,95,38419.29224602582,18223
GA,97,40130.457919386354,15649
GA,99,5416.192008053221,1882
GA,101,272.42171717171715,630
GA,103,7583.2477714661645,4520
GA,105,17797.899665174013,2657
GA,107,4908.097798388974,3687
GA,109,5900.241792272056,1789
GA,111,3715.307653920154,2350
GA,113,65736.91522130117,5173
GA,115,22100.645976363397,12034
GA,117,16060.237110288384,7683
GA,119,9341.892385825127,2734
GA,121,307102.46345930075,103025
GA,123,1546.8706904206904,3272
GA,125,222.0,348
GA,127,13075.991981309817,9337
GA,129,3729.258887673476,6824
GA,131,4933.574920634921,3627
GA,133,2427.384722222222,1996
GA,135,128115.0993688963,87166
GA,137,10927.399370019959,4479
GA,139,60840.532509629964,25514
GA,141,1125.7235294117647,1110
GA,143,6935.95093526328,3532
GA,145,670.6212121212121,1620
GA,147,8458.334401954255,2949
GA,149,1439.7259259259256,1544
GA,151,44423.30721111387,16781
GA,153,18527.52203623565,15177
GA,155,520.9160401002506,1368
GA,157,16629.528014990832,5673
GA,159,893.0844821844822,1730
GA,161,1028.9096225412013,2562
GA,163,2033.1318181818185,2625
GA,165,422.6,1340
GA,167,6382.985668828936,1129
GA,169,4091.4371232155613,2431
GA,171,1570.7750394101197,1978
GA,173,1419.4156746031747,1318
GA,175,7973.5278658833595,7865
GA,177,5029.597211209843,2852
GA,179,11776.302136752136,6058
GA,181,2119.625,805
GA,183,1355.8015873015875,2008
GA,185,21079.26790806708,14480
GA,187,3249.025789457178,2404
GA,189,5244.981836631151,3482
GA,191,1182.532467532467,1309
GA,193,2502.2351641414143,1525
GA,195,27940.075013743375,3577
GA,197,3098.183333333333,980
GA,199,6297.102849927849,2921
GA,201,0.0,813
GA,205,825.0100840336136,3596
GA,207,4069.853448275862,2089
GA,209,431.75,996
GA,211,2528.242171717172,1741
GA,213,3592.515577251995,6209
GA,215,40793.91657285727,26437
GA,217,30281.617396592163,12628
GA,219,8253.556523408804,1604
GA,221,1464.146464646465,1050
GA,223,24447.22563028369,11484
GA,225,8015.912511280992,3229
GA,227,3477.3561793160893,2837
GA,229,4861.1029761904765,2461
GA,231,5925.603981611345,1657
GA,233,4988.8078548085905,6030
GA,235,340.65,1049
GA,237,13010.859385521888,2562
GA,239,0.0,309
GA,241,7495.0738275613285,1572
GA,243,0.0,1004
GA,245,78316.73670447577,31130
GA,247,16728.384812899516,10167
GA,249,117.67105263157896,529
GA,251,2115.395171957672,2066
GA,253,2119.4857142857145,1401
GA,255,15222.833387201035,9183
GA,257,7160.580327891925,3480
GA,259,3814.714285714286,541
GA,261,7374.437998405104,5338
GA,263,3453.161904761905,617
GA,265,0.0,279
GA,267,5014.134744222718,2802
GA,269,4397.208080808081,968
GA,271,0.0,1410
GA,273,4712.801254301255,1502
GA,275,8641.850487012987,6450
GA,277,11346.681983786197,6409
GA,279,4545.9066296448655,4607
GA,281,0.0,714
GA,283,408.8843623481781,890
