State,County,Total Cost,Number of Children
GA,1,0.0,2714
GA,3,0.0,1560
GA,5,0.0,1641
GA,7,0.0,384
GA,9,0.0,5265
GA,11,0.0,1890
GA,13,0.0,8743
GA,15,0.0,12281
GA,17,0.0,3045
GA,19,0.0,2721
GA,21,0.0,24072
GA,23,0.0,1326
GA,25,0.0,2474
GA,27,0.0,2209
GA,29,0.0,2443
GA,31,0.0,7058
GA,33,0.0,3906
GA,35,0.0,2752
GA,37,0.0,733
GA,39,0.0,4631
GA,43,0.0,1733
GA,45,0.0,12896
GA,47,0.0,6908
GA,49,0.0,1311
GA,51,0.0,28281
GA,53,0.0,426
GA,55,0.0,3379
GA,57,0.0,13631
GA,59,0.0,13135
GA,61,0.0,604
GA,63,0.0,53542
GA,65,0.0,1188
GA,67,0.0,58619
GA,69,0.0,6780
GA,71,0.0,8030
GA,73,0.0,7503
GA,75,0.0,2787
GA,77,0.0,10932
GA,79,0.0,1485
GA,81,0.0,3707
GA,83,0.0,1273
GA,85,0.0,1695
GA,87,0.0,4670
GA,89,0.0,88671
GA,91,0.0,2481
GA,93,0.0,1510
GA,95,0.0,18223
GA,97,0.0,15649
GA,99,0.0,1882
GA,101,0.0,630
GA,103,0.0,4520
GA,105,0.0,2657
GA,107,0.0,3687
GA,109,0.0,1789
GA,111,0.0,2350
GA,113,0.0,5173
GA,115,0.0,12034
GA,117,0.0,7683
GA,119,0.0,2734
GA,121,0.0,103025
GA,123,0.0,3272
GA,125,0.0,348
GA,127,0.0,9337
GA,129,0.0,6824
GA,131,0.0,3627
GA,133,0.0,1996
GA,135,0.0,87166
GA,137,0.0,4479
GA,139,0.0,25514
GA,141,0.0,1110
GA,143,0.0,3532
GA,145,0.0,1620
GA,147,0.0,2949
GA,149,0.0,1544
GA,151,0.0,16781
GA,153,0.0,15177
GA,155,0.0,1368
GA,157,0.0,5673
GA,159,0.0,1730
GA,161,0.0,2562
GA,163,0.0,2625
GA,165,0.0,1340
GA,167,0.0,1129
GA,169,0.0,2431
GA,171,0.0,1978
GA,173,0.0,1318
GA,175,0.0,7865
GA,177,0.0,2852
GA,179,0.0,6058
GA,181,0.0,805
GA,183,0.0,2008
GA,185,0.0,14480
GA,187,0.0,2404
GA,189,0.0,3482
GA,191,0.0,1309
GA,193,0.0,1525
GA,195,0.0,3577
GA,197,0.0,980
GA,199,0.0,2921
GA,201,0.0,813
GA,205,0.0,3596
GA,207,0.0,2089
GA,209,0.0,996
GA,211,0.0,1741
GA,213,0.0,6209
GA,215,0.0,26437
GA,217,0.0,12628
GA,219,0.0,1604
GA,221,0.0,1050
GA,223,0.0,11484
GA,225,0.0,3229
GA,227,0.0,2837
GA,229,0.0,2461
GA,231,0.0,1657
GA,233,0.0,6030
GA,235,0.0,1049
GA,237,0.0,2562
GA,239,0.0,309
GA,241,0.0,1572
GA,243,0.0,1004
GA,245,0.0,31130
GA,247,0.0,10167
GA,249,0.0,529
GA,251,0.0,2066
GA,253,0.0,1401
GA,255,0.0,9183
GA,257,0.0,3480
