State,County,Total Cost,Number of Children
GA,1,5720.747108948843,2714
GA,3,1318.1222222222225,1560
GA,5,2331.328125,1641
GA,7,0.0,384
GA,9,9614.443966817496,5265
GA,11,760.8181818181818,1890
GA,13,9478.491378520906,8743
GA,15,12896.294893042686,12281
GA,17,6061.415148378191,3045
GA,19,3455.9461764081325,2721
GA,21,59365.227010373375,24072
GA,23,430.0333333333333,1326
GA,25,1974.4530303030303,2474
GA,27,3740.930939700135,2209
GA,29,4989.4477415966385,2443
GA,31,12654.22726321066,7058
GA,33,6490.48548564941,3906
GA,35,4301.6110389610385,2752
GA,37,3984.361056998557,733
GA,39,10733.932148971988,4631
GA,43,7722.816029341029,1733
GA,45,12954.727051209466,12896
GA,47,2753.1761959578807,6908
GA,49,0.0,1311
GA,51,49725.2655750563,28281
GA,53,421.0,426
GA,55,2691.2415451165452,3379
GA,57,32346.519542507853,13631
GA,59,8910.269161223767,13135
GA,61,730.550284629981,604
GA,63,44331.126046545694,53542
GA,65,786.5046439628481,1188
GA,67,98010.47031900336,58619
GA,69,13258.404929571594,6780
GA,71,6576.25547851369,8030
GA,73,17924.47324986778,7503
GA,75,9382.720871672187,2787
GA,77,9560.151826313597,10932
GA,79,1923.6186868686868,1485
GA,81,9363.495508658008,3707
GA,83,1056.4722222222224,1273
GA,85,2337.6227858293078,1695
GA,87,1605.4166228070178,4670
GA,89,154993.91376592606,88671
GA,91,1988.5455402540053,2481
GA,93,5263.817132962823,1510
GA,95,47205.93304254693,18223
GA,97,17362.117057555817,15649
GA,99,5560.7619047619055,1882
GA,101,0.0,630
GA,103,8010.860392056358,4520
GA,105,8274.17652034498,2657
GA,107,6190.884122450918,3687
GA,109,524.1240118577075,1789
GA,111,3762.027777777778,2350
GA,113,15925.803174603176,5173
GA,115,18190.85364824011,12034
GA,117,7397.166324236765,7683
GA,119,9113.865356963299,2734
GA,121,174585.31075826832,103025
GA,123,3749.214880952381,3272
GA,125,133.2,348
GA,127,16884.714300108102,9337
GA,129,5461.4733290031045,6824
GA,131,7370.747122492205,3627
GA,133,716.5555555555555,1996
GA,135,135889.38673675508,87166
GA,137,7227.440449945218,4479
GA,139,34750.25580741465,25514
GA,141,1042.1143790849674,1110
GA,143,5196.486045341384,3532
GA,145,8496.525198412697,1620
GA,147,12176.248910613589,2949
GA,149,2565.9803898798464,1544
GA,151,55153.313285210446,16781
GA,153,18908.867921767767,15177
GA,155,1446.7470238095239,1368
GA,157,8185.594675935857,5673
GA,159,3772.244949494949,1730
GA,161,842.5,2562
GA,163,668.5821350762527,2625
GA,165,1339.6564102564105,1340
GA,167,1382.50477994228,1129
GA,169,3047.4051438757324,2431
GA,171,6600.402709498106,1978
GA,173,1628.1477154424524,1318
GA,175,14099.5017379135,7865
GA,177,6817.093823491323,2852
GA,179,5484.020028011204,6058
GA,181,2481.684420289855,805
GA,183,273.1363636363636,2008
GA,185,34583.1094491951,14480
GA,187,3260.8242408557617,2404
GA,189,3143.2814974457697,3482
GA,191,0.0,1309
GA,193,5846.778226911978,1525
GA,195,12236.335478350342,3577
GA,197,185.0,980
GA,199,5398.241457398811,2921
GA,201,891.6613095238097,813
GA,205,8640.374924213924,3596
GA,207,4356.389403907496,2089
GA,209,1948.9584849272348,996
GA,211,276.4125,1741
GA,213,5848.824045880589,6209
GA,215,32899.338715164915,26437
GA,217,32013.64310511033,12628
GA,219,2723.879211469534,1604
GA,221,3483.029411764706,1050
GA,223,12353.429133986929,11484
GA,225,11762.744806763283,3229
GA,227,3358.099366211131,2837
GA,229,2823.1909663865545,2461
GA,231,3328.8055279503105,1657
GA,233,8690.618172015184,6030
GA,235,4119.66261808367,1049
GA,237,6001.147656002534,2562
GA,239,0.0,309
GA,241,2513.126984126984,1572
GA,243,640.4214285714286,1004
GA,245,46027.679494621014,31130
GA,247,6651.822664245078,10167
GA,249,664.0598290598291,529
GA,251,7880.185651709403,2066
GA,253,2549.6820308346623,1401
GA,255,28285.27428676112,9183
GA,257,6810.505457047253,3480
GA,259,659.9425925925925,541
GA,261,6074.267618109859,5338
GA,263,3497.1149122807014,617
GA,265,0.0,279
GA,267,4612.765026942871,2802
GA,269,4291.479395604396,968
GA,271,1585.0067640692646,1410
GA,273,3202.908921144215,1502
GA,275,10317.018415652976,6450
GA,277,14716.680132884108,6409
GA,279,4898.138703228167,4607
GA,281,243.8181818181818,714
GA,283,882.5294117647059,890
GA,285,22628.153925937222,9001
GA,287,1065.2442067736183,1368
GA,289,1451.2045454545455,908
GA,291,5378.034883720929,1715
GA,293,4602.5460303935215,3755
GA,295,6557.615268718209,7216
GA,297,7672.857459207458,8533
GA,299,21004.52387360196,5293
GA,301,670.0,739
GA,303,3620.583708824031,2785
GA,305,3592.080055006912,6303
GA,307,580.0,307
GA,309,1303.6142857142854,802
GA,311,12076.747216599191,2412
GA,313,19897.928693991875,13825
GA,315,1157.0095238095234,1054
GA,317,558.25,1355
GA,319,7074.399025974027,1341
GA,321,6459.610606060605,2579
GA,999,0.0,0
PA,1,12831.404761904761,6780
PA,3,99500.38387260887,91435
PA,5,7419.285714285714,5698
PA,7,14472.504961704963,14059
PA,9,1502.916666666667,4099
PA,11,48836.675389566415,41513
PA,13,16639.134288587233,11969
PA,15,82735.92842216295,5284
PA,17,61557.565197525146,30094
PA,19,15526.403571428571,10204
PA,21,12539.105652517417,11641
PA,23,0.0,510
PA,25,21116.459325396827,5270
PA,27,33578.96962204462,5752
PA,29,44241.17651934697,23066
PA,31,13347.923132969036,2969
PA,33,41242.79864549424,7526
PA,35,13871.70271802501,3195
PA,37,31998.090358944395,4790
PA,39,8931.207848122722,8215
PA,41,9950.416666666666,12581
PA,43,23753.65267202353,26328
PA,45,117808.160033169,45981
PA,47,2667.375,2466
PA,49,97570.01162409519,32406
PA,51,1468.571428571429,14593
PA,53,0.0,356
PA,55,21924.01493517376,11955
PA,57,987.4,1183
PA,59,0.0,3471
PA,61,13702.767250233424,3758
PA,63,2928.285714285714,6066
PA,65,25264.17525197025,4232
PA,67,7305.533333333333,1588
PA,69,116434.04015194293,19150
PA,71,52401.05654177254,40231
PA,73,2100.777777777778,8220
PA,75,9095.585930735931,11592
PA,77,49544.32762415191,34373
PA,79,100109.9216780988,31708
PA,81,74406.23598031786,9709
PA,83,24115.436431932783,4379
PA,85,27287.73325096088,10844
PA,87,21679.209403745543,4205
PA,89,80309.24060013429,14996
PA,91,95280.15032608008,38548
PA,93,15054.274586677691,1087
PA,95,44259.548580385235,21321
PA,97,58337.17849908909,8215
PA,99,2045.7857142857144,3138
PA,101,238024.79617032572,250481
PA,103,57577.17580285213,4385
PA,105,8061.377622377622,1675
PA,107,36802.08917098772,12745
PA,109,12019.115476190476,2823
PA,111,29081.910601448104,5571
PA,113,612.75,372
PA,115,8499.766711918375,3481
PA,117,29720.16307182445,3346
PA,119,38023.675831246976,2580
PA,121,6624.615034965035,5244
PA,123,1996.75,3473
PA,125,9431.712004662004,14187
PA,127,17925.218062249645,4065
PA,129,20811.29920634921,24232
PA,131,10961.917016806723,2361
PA,133,35407.129103104104,35767
NY,1,133219.97234290795,19232
NY,3,11543.669970606736,3807
NY,5,25989.65171662017,16943
NY,9,9935.4468116736,6684
NY,11,17158.70362649333,5899
NY,13,33507.377448870095,12840
NY,15,27253.81818293083,8219
NY,17,9768.670656381111,4396
NY,19,22548.762328030756,5708
NY,21,7555.025214796522,4061
NY,23,4772.946951777727,4090
NY,25,3980.864848484848,3502
NY,27,85799.95750108644,14519
NY,29,199783.6187991416,72930
NY,31,3609.992063492064,2345
NY,33,15656.935605457344,3647
NY,35,37769.068362476784,5219
NY,37,3541.936697946333,3624
NY,39,6015.946888485582,3301
NY,41,949.5555555555555,251
NY,43,6059.926668945091,5346
NY,45,18658.097392231957,7806
NY,49,1620.3703912186884,1967
NY,51,3020.3716475095785,3711
NY,53,19859.539322111646,4576
NY,55,81109.08603695469,61346
NY,57,33385.096573441,5473
NY,59,456487.9675797721,57857
NY,61,4364451.557419088,1160844
NY,63,44734.88525423523,15886
NY,65,54567.711326177116,22567
NY,67,172868.22741119572,38311
NY,69,41042.65025948466,6114
NY,71,145138.46700834492,35063
NY,73,4957.8901488755155,3536
NY,75,14523.337872422144,11583
NY,77,29468.12666819058,3811
NY,79,1011.3648504273503,2108
NY,83,50184.652637933366,11638
NY,87,142234.39870622233,36990
NY,89,17808.11663710609,8432
NY,91,41627.23684910937,9005
NY,93,65260.40007597805,13737
