State,County,Total Cost,Number of Children
GA,1,26201.756813538104,2714
GA,3,6584.1679953746525,1560
GA,5,14345.932571595069,1641
GA,7,5656.540764790764,384
GA,9,62713.94916550168,5265
GA,11,5779.070650584797,1890
GA,13,93518.26594678492,8743
GA,15,106970.75715610397,12281
GA,17,17792.946437188544,3045
GA,19,25719.289540850234,2721
GA,21,395669.5261579064,24072
GA,23,11026.03475043475,1326
GA,25,7127.914682539681,2474
GA,27,11919.299624912119,2209
GA,29,5316.564722083473,2443
GA,31,65463.07571336031,7058
GA,33,23955.461102650628,3906
GA,35,35589.9295431177,2752
GA,37,3729.5939393939398,733
GA,39,41058.544545257806,4631
GA,43,24398.664757799677,1733
GA,45,104373.23210014837,12896
GA,47,38416.88165789362,6908
GA,49,3392.3238876319756,1311
GA,51,377671.45253093133,28281
GA,53,21596.43055555556,426
GA,55,11673.867174623536,3379
GA,57,202854.2769249781,13631
GA,59,125015.9111003705,13135
GA,61,1350.4523809523812,604
GA,63,365741.5440297241,53542
GA,65,3797.3341787439613,1188
GA,67,485045.9989545932,58619
GA,69,21200.260887408378,6780
GA,71,65144.05935436683,8030
GA,73,69776.39940213655,7503
GA,75,30362.48466764717,2787
GA,77,71397.29466583076,10932
GA,79,22281.61400821401,1485
GA,81,38919.31549635005,3707
GA,83,3292.616468253968,1273
GA,85,12807.77023958369,1695
GA,87,33268.356705684666,4670
GA,89,1000932.7803886641,88671
GA,91,12941.47698400633,2481
GA,93,17345.737980864924,1510
GA,95,192924.1291187092,18223
GA,97,132042.757788411,15649
GA,99,5171.1348155929045,1882
GA,101,3799.56746031746,630
GA,103,28884.687714373773,4520
GA,105,16062.960800285027,2657
GA,107,18250.52884936583,3687
GA,109,13081.194521913272,1789
GA,111,19896.7281239104,2350
GA,113,31149.857457437887,5173
GA,115,135790.96407043486,12034
GA,117,55899.643920331604,7683
GA,119,17347.16999966377,2734
GA,121,1699000.4995098396,103025
GA,123,19933.16366240041,3272
GA,125,333.5,348
GA,127,115567.62182521641,9337
GA,129,50927.022335219874,6824
GA,131,14037.391979319344,3627
GA,133,12345.659208683472,1996
GA,135,469869.6948099506,87166
GA,137,32943.162252319045,4479
GA,139,84563.29943040601,25514
GA,141,2453.1242035742034,1110
GA,143,76899.627950451,3532
GA,145,36766.5144789056,1620
GA,147,23572.086965757553,2949
GA,149,10617.55197765198,1544
GA,151,193696.7101128434,16781
GA,153,89193.1088236951,15177
GA,155,9658.586297852476,1368
GA,157,68502.43891559077,5673
GA,159,18411.68857022607,1730
GA,161,13763.1202600232,2562
GA,163,13428.978088414851,2625
GA,165,7515.230147030148,1340
