State,County,Prevalence,Number in Group
GA,13251,0.10997526023432759,222
GA,13293,0.0868728413614912,312
GA,13217,0.08312754637022957,1031
GA,13101,0.1060296371997956,44
GA,13183,0.0877085877085877,170
GA,13193,0.10463931348887101,185
GA,13061,0.0389363722697056,22
GA,13129,0.0788382346521543,527
GA,13005,0.10285931174089069,160
GA,13237,0.1863605671843349,432
GA,13037,0.10280126849894292,69
GA,13257,0.1866136779505947,607
GA,13055,0.10442992011619463,339
GA,13277,0.09331499732599893,592
GA,13149,0.09814715359828141,139
GA,13111,0.17287585883156234,379
GA,13171,0.0674784643198979,124
GA,13179,0.09618599791013584,522
GA,13009,0.10885329817349827,512
GA,13209,0.09277019549981556,97
GA,13049,0.08386176284083703,100
GA,13289,0.06713595293128809,61
GA,13075,0.0837034980566352,236
GA,13069,0.13919811882366948,915
GA,13063,0.062197882143723224,3016
GA,13033,0.10829062694573495,413
GA,13259,0.05757776307081403,33
GA,13233,0.09837467921300257,550
GA,13303,0.09920329862324412,271
GA,13315,0.12628210388118488,140
GA,13155,0.0804555202248022,104
GA,13085,0.06251105738043286,106
GA,13079,0.0862734830136807,124
GA,13043,0.09469096671949287,154
GA,13269,0.06558981889378365,67
GA,13025,0.09411572809199527,217
GA,13051,0.07368194725564774,1911
GA,13207,0.05594572643447518,108
GA,13309,0.1315385523674578,103
GA,13239,0.09592245989304812,26
GA,13261,0.16325673924549652,820
GA,13235,0.08875055580257893,95
GA,13295,0.08267654813653531,568
GA,13169,0.059465718302869904,135
GA,13219,0.12646981970211654,187
GA,13151,0.07700068113762835,1173
GA,13287,0.08133906964237698,122
GA,13299,0.09522340876672193,466
GA,13117,0.06914697601745257,468
GA,13047,0.08108384283938212,458
GA,13157,0.10171481065632336,567
GA,13159,0.09663951120162932,178
GA,13123,0.12765125304612052,405
GA,13227,0.09637840287218098,265
GA,13229,0.1105201712284343,246
GA,13187,0.08004162330905307,182
GA,13321,0.16357037622623882,417
GA,13013,0.10111697460945172,734
GA,13199,0.09921553497942387,296
GA,13057,0.08174064620556558,906
GA,13213,0.12309525407800229,709
GA,13143,0.08246195698376264,272
GA,13165,0.11633645914122541,152
GA,13141,0.07626342519357256,84
GA,13127,0.061505347563763704,534
GA,13221,0.10693932282936641,89
GA,13205,0.09633292337039732,376
GA,13045,0.0925658978583196,1108
GA,13121,0.04537240645773212,4435
GA,13153,0.12213729936112586,1708
GA,13297,0.07191489361702127,606
GA,13015,0.08426651501593169,973
GA,13137,0.10150543695248831,402
GA,13301,0.0768664047151277,58
GA,13029,0.10607749014229384,238
GA,13053,0.07758620689655173,38
