State,County,Prevalence,Number in Group
GA,13251,0.10283340335153807,199
GA,13293,0.10234912599857629,347
GA,13217,0.10470596483574694,1233
GA,13101,0.17220235053653551,65
GA,13183,0.12423687423687424,227
GA,13193,0.24650040225261463,409
GA,13061,0.12519784742006965,70
GA,13129,0.08721970810354612,552
GA,13005,0.08596912955465587,118
GA,13237,0.07526710886920603,170
GA,13037,0.1543340380549683,103
GA,13257,0.20445448307410796,645
GA,13055,0.13498910675381265,430
GA,13277,0.11977996791198717,696
GA,13149,0.09049409237379162,124
GA,13111,0.09452481543122947,204
GA,13171,0.08109114112517282,137
GA,13179,0.11161616161616161,600
GA,13009,0.07513475782370962,347
GA,13209,0.08769826632239026,86
GA,13049,0.07601458465440711,87
GA,13289,0.08867409119562933,75
GA,13075,0.10983481399222654,289
GA,13069,0.06493332539588047,404
GA,13063,0.10972637620240885,5043
GA,13033,0.08530102016380095,321
GA,13259,0.10043017868960953,54
GA,13233,0.11593619483721633,630
GA,13303,0.1821930253686491,466
GA,13315,0.1172560925576434,127
GA,13155,0.15469940102048363,186
GA,13085,0.09618446659196792,157
GA,13079,0.0789422006938535,107
GA,13043,0.06769300430156215,107
GA,13269,0.11257953989231523,103
GA,13025,0.11646209680707907,256
GA,13051,0.08451033163549011,2100
GA,13207,0.07003965410157183,130
GA,13309,0.08111937654976975,59
GA,13239,0.06517379679144385,18
GA,13261,0.28495555839462683,1397
GA,13235,0.12894619831036017,130
GA,13295,0.10523765410104753,686
GA,13169,0.05566123562980729,125
GA,13219,0.07172720146328718,109
GA,13151,0.10461245839277224,1522
GA,13287,0.13068029040064533,177
GA,13299,0.1295154015189483,612
GA,13117,0.0853023982547427,558
GA,13047,0.09079142326753752,504
GA,13157,0.08392024769487258,449
GA,13159,0.09042769857433809,160
GA,13123,0.0757543849092933,238
GA,13227,0.10188574017916274,266
GA,13229,0.13590175984779695,294
GA,13187,0.11979188345473465,270
GA,13321,0.1457113083474074,359
GA,13013,0.09437322403656029,683
GA,13199,0.07735339506172839,214
GA,13057,0.08844638521535739,950
GA,13213,0.11686916828891723,633
GA,13143,0.09612060415426904,314
GA,13165,0.07896777832616513,101
GA,13141,0.10448755307634668,113
GA,13127,0.0883714186936108,727
GA,13221,0.07810928595373785,64
GA,13205,0.17635099520594363,632
GA,13045,0.11198675706501077,1292
GA,13121,0.10425178811866986,9464
GA,13153,0.101613381208692,1346
GA,13297,0.09364002300172512,749
GA,13015,0.11577864568088113,1283
GA,13137,0.08130768688790249,320
GA,13301,0.0912328094302554,65
GA,13029,0.08820504028801646,189
GA,13053,0.049100449775112444,26
GA,13021,0.06549557551235238,1436
GA,13197,0.15591906202723146,148
GA,13181,0.07336442707676794,54
GA,13097,0.10480978964102185,1323
GA,13305,0.14854651162790697,612
GA,13103,0.08031473045723612,307
GA,13081,0.13981171710884618,477
GA,13007,0.19353410097431356,76
GA,13019,0.11862889071958164,293
GA,13189,0.09917803527598608,315
GA,13093,0.20662814011086214,313
GA,13135,0.10496053003634402,7673
GA,13125,0.09098591549295774,30
GA,13313,0.09589010712780666,1202
GA,13175,0.08940406164328871,596
GA,13139,0.10684947900194039,2303
GA,13027,0.18147644927536233,359
GA,13099,0.11220875118495235,202
GA,13073,0.07682473439038369,482
GA,13095,0.13626028792424785,2216
GA,13119,0.14154451197711834,359
GA,13001,0.09922159148849383,262
GA,13255,0.09207634728868958,735
GA,13107,0.08771009715042082,314
GA,13109,0.09466307277628032,160
GA,13311,0.07710090329209299,166
GA,13201,0.11961722488038277,96
GA,13291,0.09069044406640464,140
GA,13065,0.10754249594259845,118
GA,13281,0.08820786142571618,63
GA,13067,0.09178394840955265,4700
GA,13247,0.09871107584525168,937
GA,13307,0.18116883116883117,48
GA,13035,0.08760594914441068,252
GA,13271,0.08724218705364795,134
GA,13071,0.08807697402487928,665
GA,13087,0.10417573308465444,457
GA,13031,0.09444609886837403,580
GA,13011,0.08551850652854213,144
GA,13195,0.09377553979594527,317
GA,13241,0.1122754491017964,149
GA,13059,0.1235397479933952,1255
GA,13113,0.11078710856744935,473
