State,County,Prevalence,Number in Group
GA,13251,0.02002520655370396,41
GA,13293,0.023860370692609878,80
GA,13217,0.023494768986281736,274
GA,13101,0.02931352034845889,4894
GA,13183,0.026505901505901507,49
GA,13193,0.024993295789755968,43
GA,13061,0.03276353276353276,19
GA,13129,0.023471035897734385,146
GA,13005,0.03650050607287449,51
GA,13237,0.025698057751122057,59
GA,13037,0.04175475687103594,27
GA,13257,0.03445219579139982,110
GA,13055,0.02428467683369644,73
GA,13277,0.035694094277637714,209
GA,13149,0.03524436090225564,46
GA,13111,0.045448726155421844,95
GA,13171,0.030415824736786133,52
GA,13179,0.03157436433298502,166
GA,13009,0.027804707798503123,131
GA,13209,0.02582073035780155,24
GA,13049,0.017913760304375397,20
GA,13289,0.023009035511662113,19
GA,13075,0.024292059966685174,65
GA,13069,0.024720204786284082,147
GA,13063,0.02497372888206289,1122
GA,13033,0.0137937640691604,49
GA,13259,0.0314361350099272,16
GA,13233,0.04414700011741223,239
GA,13303,0.04787196869103361,122
GA,13315,0.014195454172478871,15
GA,13155,0.05775345707313466,68
GA,13085,0.023648050952409034,38
GA,13079,0.01636446946389998,23
GA,13043,0.012904686438759338,21
GA,13269,0.03720019579050416,36
GA,13025,0.02524160991722057,55
GA,13051,0.03838311943474425,943
GA,13207,0.023888012995079068,43
GA,13309,0.024042198778456415,155
GA,13239,0.024042198778456415,155
GA,13261,0.05354894051942837,255
GA,13235,0.03299244108492663,33
GA,13295,0.029074324805814865,182
GA,13169,0.022868249110908942,49
GA,13219,0.035536974131173245,50
GA,13151,0.031923506959170296,454
GA,13287,0.024132831406292014,32
GA,13299,0.045838312965033344,219
GA,13117,0.018410695597057828,118
GA,13047,0.0319157995129179,173
GA,13157,0.02553502772957708,134
GA,13159,0.016293279022403257,27
GA,13123,0.034597912091218146,106
GA,13227,0.026874411795461677,71
GA,13229,0.03792104466640723,78
GA,13187,0.0354630593132154,77
GA,13321,0.043515756944194905,105
GA,13013,0.02091217410661673,145
GA,13199,0.028838734567901234,79
GA,13057,0.02491084213053957,259
GA,13213,0.03492313888702423,189
GA,13143,0.04482983365921392,138
GA,13165,0.016851159839244165,23
GA,13141,0.021147281658479726,23
GA,13127,0.022761997167296776,184
GA,13221,0.05274332327634373,44
GA,13205,0.04234331467583645,149
GA,13045,0.039245659612216446,448
GA,13121,0.03864821157830197,3440
GA,13153,0.028656296735332428,368
GA,13297,0.027832087406555493,218
GA,13015,0.028718857936156156,318
GA,13137,0.028464736137532587,111
GA,13301,0.028610019646365423,21
GA,13029,0.033687639293673924,70
GA,13053,0.024362818590704646,12
GA,13021,0.028750945754794567,614
GA,13197,0.031234147282042456,3430
GA,13181,0.016261187444850625,12
GA,13097,0.033509556730378205,411
GA,13305,0.023993738819320213,96
GA,13103,0.03685659301844048,146
GA,13081,0.01672761223060764,58
GA,13007,0.02931352034845889,4894
GA,13019,0.028475231920914074,72
GA,13189,0.038101489811062275,120
GA,13093,0.023174902700790187,34
GA,13135,0.01711618930017666,1224
GA,13125,0.04647887323943662,15
GA,13313,0.025772776672901617,324
GA,13175,0.024859599158925768,171
GA,13139,0.014792241873028628,315
GA,13027,0.03220108695652174,66
GA,13099,0.011575113505962182,20
GA,13073,0.03760414982880487,240
GA,13095,0.038052244763136886,609
GA,13119,0.03207007508044333,82
GA,13001,0.0334817634861824,90
GA,13255,0.03075532947357853,242
GA,13107,0.015584026372967708,57
GA,13109,0.0215633423180593,38
GA,13311,0.02393081895629094,51
GA,13201,0.020050125313283207,15
GA,13291,0.029858626151228956,46
GA,13065,0.025113180148629025,26
GA,13281,0.025716189207195202,17
GA,13067,0.020349319538517697,1024
GA,13247,0.020785353486481778,192
GA,13307,0.028129513643753278,388
GA,13035,0.02031025107948185,60
GA,13271,0.009598354567788379,15
GA,13071,0.015558579496875037,117
GA,13087,0.020267329810382345,92
GA,13031,0.019178082191780823,121
GA,13011,0.019423761735189383,33
GA,13195,0.030792755266141152,107
GA,13241,0.028783342406096896,36
GA,13059,0.02928009465700082,290
GA,13113,0.02874676299697517,122
GA,13145,0.02826388014604054,41
GA,13319,0.009952340902719372,12
GA,13147,0.025236272483994446,66
GA,13253,0.029977214468812304,37
GA,13211,0.028976476086617853,49
GA,13017,0.031562060046491834,85
GA,13167,0.017804397768296686,21
GA,13023,0.03184011026878015,45
GA,13267,0.023151866466459475,59
GA,13089,0.024501619629569146,1839
GA,13279,0.023761847550393806,112
GA,13243,0.0400890868596882,37
GA,13115,0.039694170651436614,430
GA,13077,0.02217958699440181,213
GA,13191,0.014997237351014287,17
GA,13177,0.03943943075321069,82
GA,13105,0.02191027926322044,52
GA,13161,0.015346406197872262,37
GA,13185,0.03693436438293349,470
GA,13273,0.050218591808559594,77
GA,13133,0.015995206047755138,30
GA,13317,0.01690751445086705,21
GA,13249,0.027479091995221028,12
GA,13215,0.02049039575096841,462
GA,13173,0.035251629112035804,41
GA,13003,0.016519751877244533,23
GA,13131,0.030186782369437535,101
GA,13231,0.031137236642998486,49
GA,13275,0.039004762686812286,211
GA,13163,0.016055471096444066,39
GA,13245,0.0341348551884073,951
GA,13039,0.01961193891287193,79
GA,13225,0.021387300722993618,61
GA,13223,0.03752648928655521,358
GA,13285,0.0441649261962312,348
GA,13091,0.013160333642261353,32
GA,13283,0.02687862669245648,995
GA,13263,0.028129513643753278,388
GA,13083,0.026858827382902063,29
GA,13265,0.028129513643753278,388
PA,42053,0.0296435713445477,44
PA,42021,0.02700190016391972,281
PA,42101,0.002600223965856911,594
PA,42097,0.025164127111728236,180
PA,42115,0.014307887681670664,44
PA,42129,0.002472256449063197,57
PA,42005,0.004319213699049433,22
PA,42037,0.01642578287233159,68
PA,42081,0.026199924973839564,228
PA,42007,0.0023660117792658327,1258
PA,42019,0.0023660117792658327,1258
PA,42093,0.02525832376578645,25
PA,42111,0.016754344844349532,82
PA,42065,0.015620857269111799,60
PA,42131,0.010634856449656288,23
PA,42125,0.002189634391321816,30
PA,42059,0.018710879057128028,527
PA,42099,0.005700512736163873,1621
PA,42075,0.001932367149758454,20
PA,42069,0.017637349201173786,298
PA,42113,0.030418250950570342,31
PA,42063,0.0029474603496405347,17
PA,42033,0.014823191789483924,103
PA,42001,0.0019713537655937164,11
PA,42107,0.022926009402761963,253
PA,42109,0.026084748222318967,62
PA,42085,0.010600614904949552,104
PA,42073,0.015034813012155871,854
