State,County,Prevalence,Number in Group
FL,12033,1.7346785304431997e-05,25
FL,12095,1.7346785304431997e-05,25
FL,12053,1.7346785304431997e-05,25
FL,12065,1.7346785304431997e-05,25
FL,12069,1.7346785304431997e-05,25
FL,12063,1.7346785304431997e-05,25
FL,12113,1.7346785304431997e-05,25
FL,12097,1.7346785304431997e-05,25
FL,12007,1.7346785304431997e-05,25
FL,12115,1.7346785304431997e-05,25
FL,12081,1.7346785304431997e-05,25
FL,12109,1.7346785304431997e-05,25
FL,12101,1.7346785304431997e-05,25
FL,12019,1.7346785304431997e-05,25
FL,12091,1.7346785304431997e-05,25
FL,12051,1.7346785304431997e-05,25
FL,12127,1.7346785304431997e-05,25
FL,12001,1.7346785304431997e-05,25
FL,12123,1.7346785304431997e-05,25
FL,12041,1.7346785304431997e-05,25
FL,12013,1.7346785304431997e-05,25
FL,12047,1.7346785304431997e-05,25
FL,12009,1.7346785304431997e-05,25
FL,12071,1.7346785304431997e-05,25
FL,12067,1.7346785304431997e-05,25
FL,12011,1.7346785304431997e-05,25
FL,12075,1.7346785304431997e-05,25
FL,12129,1.7346785304431997e-05,25
FL,12057,1.7346785304431997e-05,25
FL,12055,1.7346785304431997e-05,25
FL,12103,0.00020449147905161083,13
FL,12121,1.7346785304431997e-05,25
FL,12039,1.7346785304431997e-05,25
FL,12087,1.7346785304431997e-05,25
FL,12099,1.7346785304431997e-05,25
FL,12027,1.7346785304431997e-05,25
FL,12107,1.7346785304431997e-05,25
FL,12079,1.7346785304431997e-05,25
FL,12093,1.7346785304431997e-05,25
FL,12015,1.7346785304431997e-05,25
FL,12083,1.7346785304431997e-05,25
FL,12111,1.7346785304431997e-05,25
FL,12131,1.7346785304431997e-05,25
FL,12077,1.7346785304431997e-05,25
FL,12003,1.7346785304431997e-05,25
FL,12031,1.7346785304431997e-05,25
FL,12035,1.7346785304431997e-05,25
FL,12086,1.7346785304431997e-05,25
FL,12045,1.7346785304431997e-05,25
FL,12061,1.7346785304431997e-05,25
FL,12059,1.7346785304431997e-05,25
FL,12029,1.7346785304431997e-05,25
FL,12037,1.7346785304431997e-05,25
FL,12005,1.7346785304431997e-05,25
FL,12119,1.7346785304431997e-05,25
FL,12105,1.7346785304431997e-05,25
FL,12043,1.7346785304431997e-05,25
FL,12117,1.7346785304431997e-05,25
FL,12125,1.7346785304431997e-05,25
FL,12021,1.7346785304431997e-05,25
FL,12133,1.7346785304431997e-05,25
FL,12073,1.7346785304431997e-05,25
FL,12085,1.7346785304431997e-05,25
FL,12017,1.7346785304431997e-05,25
FL,12089,1.7346785304431997e-05,25
FL,12049,1.7346785304431997e-05,25
FL,12023,1.7346785304431997e-05,25
