State,County,Prevalence,Number in Group
GA,13231,0.03024922315936331,45
GA,13227,0.036035374848629405,91
GA,13247,0.02890668843426356,257
GA,13301,0.03208974693451604,21
GA,13229,0.035072963539257325,75
GA,13019,0.026216396356365253,66
GA,13289,0.039610320094208326,31
GA,13219,0.028548665515867745,41
GA,13029,0.030899247326026672,66
GA,13017,0.029064993924266806,79
GA,13101,0.030973030739862566,5229
GA,13297,0.04086175087781944,303
GA,13167,0.02774253573543094,28
GA,13257,0.0318641372259457,99
GA,13069,0.024414978960433507,150
GA,13075,0.02524539099568981,59
GA,13007,0.036228287841191066,13
GA,13303,0.038348604379665335,95
GA,13129,0.02961901169370049,176
GA,13147,0.02940370116518163,78
GA,13063,0.0274616135842201,1271
GA,13133,0.024042399421826066,43
GA,13059,0.03190182210501079,370
GA,13123,0.025899552586804462,74
GA,13111,0.04042657623488465,83
GA,13233,0.04501275361352383,244
GA,13095,0.043586055896621304,708
GA,13255,0.034565295442429256,288
GA,13291,0.0344518212811771,54
GA,13105,0.025006426027246356,60
GA,13141,0.027598303748634406,975
GA,13109,0.025245829190144734,40
GA,13185,0.03320482527048874,424
GA,13099,0.02459483249624605,42
GA,13175,0.026318389526985304,192
GA,13197,0.011791518034086405,11
GA,13097,0.03547648003440144,484
GA,13093,0.01813956490865664,25
GA,13087,0.04354296891610324,183
GA,13249,0.0374031007751938,18
GA,13271,0.018124615279392655,24
GA,13171,0.026268349214524853,46
GA,13033,0.012762893253544558,45
GA,13117,0.02337360989275305,155
GA,13223,0.04415099998125621,435
GA,13267,0.024555096171130684,62
GA,13221,0.050871542250852594,48
GA,13153,0.027645837672240624,365
GA,13173,0.06299151888974557,71
GA,13107,0.023913390434643828,77
GA,13015,0.038864429937756184,428
GA,13299,0.03860269648392188,182
GA,13287,0.014957865168539326,18
GA,13211,0.01678778660357163,26
GA,13047,0.033499293134181575,200
GA,13187,0.0318723367249326,66
GA,13025,0.021284603161328092,45
GA,13143,0.048109081553897606,146
GA,13181,0.01862267216597925,13
GA,13155,0.04643013578624617,56
GA,13159,0.017945189771815157,27
GA,13169,0.013008534261330681,29
GA,13319,0.01702885643035269,21
GA,13295,0.03374721426297358,211
GA,13121,0.04163388810836839,3729
GA,13285,0.052033005497090785,409
GA,13201,0.02741067058247675,22
GA,13139,0.014973699683760548,341
GA,13269,0.035906278527234,32
GA,13145,0.04147435480725476,56
GA,13307,0.029293909087868348,392
GA,13177,0.038241264317819344,98
GA,13245,0.039247899512958664,1080
GA,13083,0.02714652047042179,28
GA,13065,0.03475981055480379,37
GA,13321,0.04706754016534082,107
GA,13195,0.03004351320639672,97
GA,13053,0.032068195491353854,3545
GA,13067,0.021525970035350728,1075
GA,13085,0.03373928171989561,54
GA,13311,0.027876180836707152,59
GA,13213,0.035075653370013754,189
GA,13283,0.015133876600698487,13
GA,13193,0.02883280757097792,41
GA,13239,0.025915029852037728,160
GA,13149,0.04330499468650372,57
GA,13205,0.05218625470822643,169
GA,13051,0.033830725326642754,841
GA,13225,0.024441660810852098,69
GA,13207,0.015276831760241315,28
GA,13189,0.03671388101983003,116
GA,13243,0.04295965865011637,38
GA,13199,0.03020145823974567,78
GA,13161,0.018059754230301126,41
GA,13035,0.024898411525674177,62
GA,13079,0.019303232630395982,25
GA,13011,0.02112293657688966,34
GA,13317,0.017889740781307048,21
GA,13039,0.02298689466676011,94
GA,13045,0.034971208602424204,394
GA,13259,0.029293909087868348,392
GA,13115,0.0445732726713189,477
GA,13163,0.01616887491578711,37
GA,13191,0.015411364893701098,17
GA,13277,0.025566966195977748,147
GA,13157,0.03225003112937368,161
GA,13151,0.030160255806210463,439
GA,13281,0.02658012671920878,15
GA,13127,0.024288766445518948,195
GA,13137,0.02123363807536127,84
GA,13023,0.034296839898157856,45
GA,13179,0.03782576583547287,193
GA,13241,0.02965769532270708,42
GA,13071,0.01580513666941756,115
