State,County,Prevalence,Number in Group
GA,13231,0.023654004692751602,35
GA,13227,0.02601739385710616,66
GA,13247,0.01602979439824499,143
GA,13301,0.020349595617010174,13
GA,13229,0.014130114807182808,31
GA,13019,0.016403762126934757,40
GA,13289,0.027406059308425223,22
GA,13219,0.0354534590359846,48
GA,13029,0.0312073594788503,66
GA,13017,0.012611251601037802,37
GA,13101,0.017638590043609598,3010
GA,13297,0.020532047848598464,156
GA,13167,0.02055315909667597,21
GA,13257,0.03146654549585368,96
GA,13069,0.010201919292828383,60
GA,13075,0.01691477416784382,41
GA,13007,0.017638590043609598,3010
GA,13303,0.020943149255315385,52
GA,13129,0.013956997359486986,83
GA,13147,0.025873886223440713,69
GA,13063,0.010186995499086757,482
GA,13133,0.016381594796434595,30
GA,13059,0.016812514984416205,195
GA,13123,0.023504946751528137,72
GA,13111,0.03565213511222168,73
GA,13233,0.02365670273244086,126
GA,13095,0.012391061692353926,204
GA,13255,0.015329713968644262,127
GA,13291,0.03355463843531312,52
GA,13105,0.021297690302206882,52
GA,13141,0.018156378559098848,635
GA,13109,0.013700143630538062,22
GA,13185,0.01637441445922978,209
GA,13099,0.008957696888106458,16
GA,13175,0.018760034580708903,136
GA,13197,0.019284314234533608,2130
GA,13097,0.022817826931217287,308
GA,13093,0.016748178918064256,1504
GA,13087,0.015010417995492622,63
GA,13249,0.021955380138475433,301
GA,13271,0.012721428082894467,16
GA,13171,0.016585114602111768,28
GA,13033,0.015817048643011446,55
GA,13117,0.018973372195025325,131
GA,13223,0.023364135630072537,238
GA,13267,0.016178321049793276,40
GA,13221,0.02264115195149678,22
GA,13153,0.016513601214670097,220
GA,13173,0.026214340786430222,31
GA,13107,0.02181199127520349,72
GA,13015,0.020199719987180138,221
GA,13299,0.011143438492403065,54
GA,13287,0.010884831460674158,13
GA,13211,0.017632809419187653,27
GA,13047,0.019085377097547485,114
GA,13187,0.022915036090094792,47
GA,13025,0.01639207158986368,37
GA,13143,0.023725809678986937,76
GA,13181,0.023747031621047368,16
GA,13155,0.02117097386479778,26
GA,13159,0.013186561174177273,22
GA,13169,0.018435661612395394,39
GA,13319,0.015105094406840042,20
GA,13295,0.02439871494312755,152
GA,13121,0.017530006004173197,1568
GA,13285,0.020496459598104134,156
GA,13201,0.021955380138475433,301
GA,13139,0.014767111096985397,337
GA,13269,0.024444669844811848,26
GA,13145,0.025417668855229798,34
GA,13307,0.021955380138475433,301
GA,13177,0.02435841670291431,58
GA,13245,0.020445387336925237,565
GA,13083,0.026262268989300556,28
GA,13065,0.016748178918064256,1504
GA,13321,0.028700670722196224,67
GA,13195,0.02466672209750284,78
GA,13053,0.019284314234533608,2130
GA,13067,0.015055704455439188,742
GA,13085,0.02547533242202063,40
