State,County,Prevalence,Number in Group
GA,13231,0.36210286004185427,548
GA,13227,0.4143701148581703,1091
GA,13247,0.24236518544972196,2248
GA,13301,0.32533263762066267,233
GA,13229,0.2777660961352454,639
GA,13019,0.36721469303117826,935
GA,13289,0.26249866181351034,225
GA,13219,0.38945691143274463,577
GA,13029,0.29050574409084906,644
GA,13017,0.3085487208118493,886
GA,13101,0.38261603375527425,219
GA,13297,0.3167767660536809,2530
GA,13167,0.34229890890636894,370
GA,13257,0.3357378166534136,1101
GA,13069,0.3449580722307995,2183
GA,13075,0.3167083197508059,827
GA,13007,0.3598014888337469,132
GA,13303,0.27215480949517107,725
GA,13129,0.4886156167483968,3099
GA,13147,0.4039410555174777,1100
GA,13063,0.3002337200077192,14575
GA,13133,0.24933750903396773,476
GA,13059,0.32943988252217693,4116
GA,13123,0.4057596571932699,1237
GA,13111,0.43514345633840523,930
GA,13233,0.4203691045796309,2388
GA,13095,0.3116923539260722,5400
GA,13255,0.32391500658231154,2812
GA,13291,0.38118308511274596,607
GA,13105,0.40707964601769914,1019
GA,13141,0.25124010094856847,262
GA,13109,0.3147166058999006,536
GA,13185,0.3442565186751233,4654
GA,13099,0.3235126598664112,570
GA,13175,0.3512288501914289,2640
GA,13197,0.3262980578676179,307
GA,13097,0.28883095591644214,4153
GA,13093,0.46543154089471306,661
GA,13087,0.29098099247352976,1279
GA,13249,0.27906976744186046,141
GA,13271,0.2539497982354148,343
GA,13171,0.3465361833633788,637
GA,13033,0.27934348074392273,1036
GA,13117,0.3757463425677014,2647
GA,13223,0.31932859740211056,3375
GA,13267,0.34653963688657197,913
GA,13221,0.29045092838196285,290
GA,13153,0.3225459700229094,4538
GA,13173,0.32235929067077873,390
GA,13107,0.31515667393733043,1114
GA,13015,0.422422954303932,4775
GA,13299,0.2574590678304524,1286
GA,13287,0.3592696629213483,476
GA,13211,0.33023491634274127,549
GA,13047,0.42740795377712215,2686
GA,13187,0.47838942516740585,1066
GA,13025,0.2820941707786234,646
GA,13143,0.40385330017437043,1337
GA,13181,0.3468316460442445,255
GA,13155,0.3815155497152869,493
GA,13159,0.36429308565531476,582
GA,13169,0.32455050128428203,753
GA,13319,0.2656929105806911,340
GA,13295,0.4065005354403635,2694
GA,13121,0.23050080352878932,22060
GA,13285,0.36473599045181726,3059
GA,13201,0.31718061674008813,243
GA,13139,0.37746913089770684,9022
GA,13269,0.3416167968353788,308
GA,13145,0.3076122992914256,454
GA,13307,0.26270373921380635,77
GA,13177,0.39285196462229954,1044
GA,13245,0.23561352332041888,6873
