State,County,Prevalence,Number in Group
GA,13251,0.13210101293002846,262
GA,13293,0.12156924780510954,415
GA,13217,0.07176187397268811,828
GA,13101,0.07307102708226877,27
GA,13183,0.08908221408221408,159
GA,13193,0.09664789487798338,162
GA,13061,0.08293763849319405,47
GA,13129,0.08730701511866479,548
GA,13005,0.12474696356275304,178
GA,13237,0.09476903523056758,222
GA,13037,0.06937103594080338,45
GA,13257,0.14790141811527904,464
GA,13055,0.09452432824981845,295
GA,13277,0.13052181220872489,757
GA,13149,0.10553168635875403,142
GA,13111,0.10681517518030129,228
GA,13171,0.09284270977347656,158
GA,13179,0.09282479972135145,486
GA,13009,0.10357932291464692,472
GA,13209,0.15271117668756917,144
GA,13049,0.10772035510462905,132
GA,13289,0.08594242487917629,71
GA,13075,0.12201554691837868,311
GA,13069,0.09830039290391714,591
GA,13063,0.04891884245412659,2198
GA,13033,0.11779778725034724,434
GA,13259,0.09910655195234944,52
GA,13233,0.09966621379090558,550
GA,13303,0.08239569501712209,208
GA,13315,0.10667104291458111,114
GA,13155,0.1974413961399098,238
GA,13085,0.07772601285604765,121
GA,13079,0.09439025986777509,130
GA,13043,0.10714285714285714,171
GA,13269,0.10161527165932452,95
GA,13025,0.13693267544753904,310
GA,13051,0.07415274657651046,1813
GA,13207,0.10658831398404281,198
GA,13309,0.13330971779430867,102
GA,13239,0.11998663101604277,31
GA,13261,0.1310251683670676,628
GA,13235,0.0995108937305469,97
GA,13295,0.1449155561889831,945
GA,13169,0.12120585559507072,262
GA,13219,0.11151032140057486,162
GA,13151,0.0778039094729537,1098
GA,13287,0.10869857488572197,141
GA,13299,0.13161648482979296,611
GA,13117,0.05430344481950443,351
GA,13047,0.13970400395115554,758
GA,13157,0.09458677826545542,506
GA,13159,0.08757637474541752,160
GA,13123,0.06014019675682181,184
GA,13227,0.07250165568684862,191
GA,13229,0.15012755653565096,313
GA,13187,0.07833506763787722,169
GA,13321,0.1316252829781882,321
GA,13013,0.08030955779328768,565
GA,13199,0.10239840534979423,285
GA,13057,0.0646828114299944,691
GA,13213,0.09879505940793448,545
GA,13143,0.10110799399246224,325
GA,13165,0.12289360502009448,155
GA,13141,0.05461660144867205,60
GA,13127,0.09858699410039368,798
GA,13221,0.0918538384177003,74
GA,13205,0.09465123867372807,339
GA,13045,0.0829029907489545,953
GA,13121,0.058059185440102946,5098
