State,County,Prevalence,Number in Group
GA,13251,0.02810063949960323,54
GA,13293,0.03234991695009096,110
GA,13217,0.01778466763782533,208
GA,13101,0.06208482370975984,22
GA,13183,0.019688644688644688,39
GA,13193,0.04859211584875302,81
GA,13061,0.02849002849002849,17
GA,13129,0.02884041732753227,194
GA,13005,0.026695344129554655,38
GA,13237,0.013146919807761052,31
GA,13037,0.023123678646934463,15
GA,13257,0.03462374199451052,107
GA,13055,0.02533042846768337,79
GA,13277,0.0237604095041638,141
GA,13149,0.03853383458646616,57
GA,13111,0.036871079247215464,81
GA,13171,0.029830905030309475,53
GA,13179,0.012974573319400906,69
GA,13009,0.01694652344204444,83
GA,13209,0.02535964588712652,25
GA,13049,0.02599873176918199,31
GA,13289,0.028997688590039924,25
GA,13075,0.03522348695169351,94
GA,13069,0.02646148350994166,165
GA,13063,0.016841807452914075,774
GA,13033,0.02423487714928876,89
GA,13259,0.029781601588352084,16
GA,13233,0.022023180529696908,119
GA,13303,0.03445384024040814,87
GA,13315,0.0272421432674161,30
GA,13155,0.0349034977445833,42
GA,13085,0.020994279648522733,33
GA,13079,0.03613274857629116,50
GA,13043,0.018564636631197645,31
GA,13269,0.028389623103279492,29
GA,13025,0.029400970517473392,67
GA,13051,0.01608502561593155,408
GA,13207,0.03057665663370121,61
GA,13309,0.026095170622269452,19
GA,13239,0.029941699056079955,196
GA,13261,0.03122775638334763,159
GA,13235,0.030324588706091598,31
GA,13295,0.03729779804745956,247
GA,13169,0.03742453064262675,83
GA,13219,0.025607525476874837,35
GA,13151,0.023055866137178548,340
GA,13287,0.018687819306265126,26
GA,13299,0.025328655692200934,121
GA,13117,0.02106395837325511,139
GA,13047,0.03893250676976003,216
GA,13157,0.023799802660678437,131
GA,13159,0.01695519348268839,29
GA,13123,0.027979181082463372,86
GA,13227,0.021924779532224895,62
GA,13229,0.023695247978553206,50
GA,13187,0.03883454734651405,85
GA,13321,0.020590031981026987,52
GA,13013,0.01732423690861236,126
GA,13199,0.040991512345679014,115
GA,13057,0.03125194546473262,329
GA,13213,0.03052628045915285,169
GA,13143,0.02896086599223554,92
GA,13165,0.025170979341465134,32
GA,13141,0.014070435434185331,15
GA,13127,0.017899561711666498,151
GA,13221,0.014750251424740195,12
GA,13205,0.02397028187043498,88
GA,13045,0.029044164237739197,348
GA,13121,0.013175664414494038,1223
GA,13153,0.04085486460968029,549
GA,13297,0.016434732604945372,139
GA,13015,0.02740585249178326,305
GA,13137,0.032433828882782595,132
GA,13301,0.030697445972495088,22
GA,13029,0.023701354363106462,50
GA,13053,0.023468456999626738,2646
GA,13021,0.02400161189512813,531
GA,13197,0.03148638426626324,30
GA,13181,0.03479137778898273,24
GA,13097,0.01791563458907908,228
GA,13305,0.04800983899821109,203
GA,13103,0.0204867116513605,83
GA,13081,0.0461370886174434,168
GA,13007,0.029229406554472984,11
GA,13019,0.03735807156416777,96
GA,13189,0.0400136994120669,127
GA,13093,0.045583205566694186,72
GA,13135,0.016090203718451917,1210
GA,13125,0.029941699056079955,196
GA,13313,0.027894631780509986,359
GA,13175,0.020640919858401427,134
