State,County,Prevalence,Number in Group
GA,13231,0.1374849388039825,205
GA,13227,0.07665773733074016,191
GA,13247,0.07462884546706801,657
GA,13301,0.09822593268979911,63
GA,13229,0.16102443332352076,342
GA,13019,0.14741168629193513,368
GA,13289,0.10780430360775077,86
GA,13219,0.1174478820873722,162
GA,13029,0.1372419560720102,297
GA,13017,0.1439784557785149,401
GA,13101,0.07561181434599155,43
GA,13297,0.09594715229423317,735
GA,13167,0.17736615072316672,185
GA,13257,0.13418720890605476,416
GA,13069,0.10501619592528684,635
GA,13075,0.13115288492882757,328
GA,13007,0.0880893300248139,30
GA,13303,0.09580075706654402,245
GA,13129,0.08973217653715579,544
GA,13147,0.10095956134338588,266
GA,13063,0.05225659688854148,2437
GA,13133,0.07419898819561552,138
GA,13059,0.06584152481419324,785
GA,13123,0.06632428004285085,195
GA,13111,0.11672839230734906,241
GA,13233,0.09611056465998699,513
GA,13095,0.08339415274975315,1370
GA,13255,0.08900808373135465,733
GA,13291,0.11154973383575573,175
GA,13105,0.1006866669114677,244
GA,13141,0.05761030371595161,57
GA,13109,0.0962877030162413,154
GA,13185,0.10903149138443256,1414
GA,13099,0.06301454978511883,108
GA,13175,0.14147215017907866,1007
GA,13197,0.08115338882282996,73
GA,13097,0.0666527806706936,908
GA,13093,0.0870182686721322,121
GA,13087,0.1044776119402985,441
GA,13249,0.20155038759689922,95
GA,13271,0.1409616305314274,179
GA,13171,0.08349214524851918,151
GA,13033,0.12129714697191667,435
GA,13117,0.06492826622145505,449
GA,13223,0.07950179003205188,785
GA,13267,0.0957397087902211,239
GA,13221,0.12059492231906024,117
GA,13153,0.09596431234757839,1284
GA,13173,0.141017733230532,168
GA,13107,0.14864074054370377,488
GA,13015,0.0912150194828197,993
GA,13299,0.1381900469697834,655
GA,13287,0.13139044943820224,163
GA,13211,0.09774097233958651,157
GA,13047,0.13710123547851744,824
GA,13187,0.08896425776154449,187
GA,13025,0.14547963536004013,317
GA,13143,0.09956264471314638,311
GA,13181,0.14035745531808524,106
GA,13155,0.20068623156665208,248
GA,13159,0.0892672858617131,138
GA,13169,0.10564255530698484,231
GA,13319,0.09241182757392234,113
GA,13295,0.14779601169285983,934
GA,13121,0.0698871889174456,6263
GA,13285,0.11675866738584069,923
GA,13201,0.09826235927557514,74
GA,13139,0.060359623055286284,1369
GA,13269,0.1027487574804747,92
GA,13145,0.1523759994799454,213
GA,13307,0.15436241610738255,44
GA,13177,0.1280266782659127,326
GA,13245,0.09371826631394439,2586
GA,13083,0.10160049518082943,112
GA,13065,0.10816982408660351,114
GA,13321,0.14046170644205272,325
GA,13195,0.10592832792882681,343
GA,13053,0.14517265680056377,56
GA,13067,0.051892373818814216,2588
GA,13085,0.08164533366471977,124
GA,13311,0.11905364372469636,244
GA,13213,0.09980677277788695,555
GA,13283,0.16171023388718384,136
GA,13193,0.09873817034700315,138
GA,13239,0.11638225255972696,32
GA,13149,0.12347236981934112,165
GA,13205,0.09965063595174409,333
GA,13051,0.07885277050274739,1957
GA,13225,0.06901713971464361,199
GA,13207,0.11301936362751776,209
GA,13189,0.13226628895184137,425
GA,13243,0.123933281613654,117
GA,13199,0.10905698192750268,276
GA,13161,0.10364728514781517,240
GA,13035,0.11315108976727004,270
GA,13079,0.10709327692205989,147
GA,13011,0.11115334491746308,185
GA,13317,0.08660094925155166,106
GA,13039,0.11357955474571915,446
GA,13045,0.08605605573760061,975
GA,13259,0.1174383537342558,59
GA,13115,0.12210864267356461,1311
GA,13163,0.10618309753724081,251
GA,13191,0.08827945941673912,100
GA,13277,0.1392811296534018,805
GA,13157,0.10585765871533521,543
GA,13151,0.08380920073123387,1208
GA,13281,0.1004481532993355,59
GA,13127,0.1093444282019566,881
GA,13137,0.09491617703772601,378
GA,13023,0.13988318106934253,165
GA,13179,0.10591566137938312,549
GA,13241,0.11634439508753593,164
GA,13071,0.10882286743191537,795
GA,13057,0.0696088170646809,827
GA,13003,0.0978681534929485,135
GA,13055,0.1002906541215953,296
GA,13313,0.08176267586939209,995
GA,13013,0.0883530815485121,690
GA,13183,0.10874311258966629,189
GA,13125,0.15594951923076922,48
GA,13089,0.04956659276134286,3790
GA,13103,0.13788091662225668,535
GA,13293,0.13423445039857101,455
GA,13235,0.12677371172516805,119
GA,13021,0.09224781566120359,1978
GA,13135,0.04513622705412847,3422
GA,13217,0.08008977236293684,923
GA,13031,0.11603216847951862,743
GA,13253,0.12444252625521508,155
GA,13273,0.08563218390804597,118
GA,13027,0.10084148906978871,197
GA,13305,0.15496436163561336,875
GA,13261,0.13876512924114792,670
GA,13279,0.09614681267614725,398
GA,13037,0.07259433346389868,48
GA,13009,0.1235870808105423,588
GA,13091,0.1378903020041737,313
GA,13265,0.09421071556993887,22
GA,13215,0.10309378484538846,2373
GA,13263,0.10177705977382875,56
GA,13131,0.1113573407202216,367
GA,13043,0.12132483173928445,186
GA,13275,0.13225524748152076,764
GA,13251,0.14275976239166424,269
GA,13005,0.13628396143733568,194
GA,13209,0.13560514676316848,122
GA,13001,0.12662887432820438,302
GA,13237,0.11089070400622326,261
GA,13113,0.07151795770241522,312
GA,13077,0.08611252665949455,838
GA,13073,0.13782210196767294,887
GA,13081,0.1399427626224171,469
GA,13049,0.12345579329834477,140
GA,13061,0.0760061919504644,43
GA,13315,0.12632467410672418,120
GA,13165,0.12595504784511535,150
GA,13119,0.10351174793373516,255
GA,13309,0.16636330542409902,124
PA,42093,0.13212481962481962,125
PA,42019,0.008526256887868814,79
PA,42051,0.005145145918656466,71
PA,42121,0.08869987849331713,413
PA,42097,0.11371976244507749,811
PA,42029,0.03446000923625008,675
PA,42035,0.12409693644261545,347
PA,42079,0.0668787657308512,1859
PA,42101,0.016063029652001733,3628
PA,42127,0.0931230345432827,327
PA,42125,0.00452048173085433,62
PA,42039,0.07019374421968745,502
PA,42069,0.07418721251382206,1247
PA,42075,0.007249594398428828,76
PA,42007,0.006137837123752617,80
PA,42045,0.031250597622260234,1268
PA,42129,0.0064154578558380665,140
PA,42115,0.08211758539355289,245
PA,42133,0.016049936877542432,509
PA,42067,0.13111558294554143,179
PA,42059,0.004776980044095201,15
PA,42123,0.09865662702147686,298
PA,42073,0.013228383458646617,96
PA,42017,0.028705851169571268,752
PA,42065,0.11066871565614231,403
PA,42023,0.10059171597633136,46
PA,42071,0.022807260019053355,811
PA,42057,0.05660540167400121,57
PA,42003,0.004373079287031346,376
PA,42109,0.11931211279641102,289
PA,42055,0.06042888327697642,618
PA,42099,0.014992076069730586,46
PA,42013,0.04146969157065368,446
PA,42015,0.10366632091279024,459
PA,42085,0.05824444113863682,569
PA,42089,0.043533178428617744,552
PA,42087,0.11417477523285645,421
PA,42103,0.07172837479775834,267
PA,42047,0.15536252578137394,335
PA,42021,0.04723863026147301,493
PA,42117,0.11262820109482162,314
PA,42005,0.007953168467223047,43
PA,42027,0.10850653747981455,534
PA,42041,0.011897976059538051,130
PA,42037,0.11110880871961706,465
PA,42009,0.035114430024891854,126
PA,42113,0.06466380543633762,20
PA,42091,0.02671107307146311,899
PA,42025,0.0750056822486552,343
PA,42095,0.016513348524488707,304
PA,42105,0.08211976554474591,117
PA,42063,0.00924840641608195,50
PA,42043,0.005496106768692741,132
PA,42107,0.0995866158277999,1120
PA,42111,0.04696044878806054,229
PA,42033,0.10831227860797582,724
PA,42011,0.02173088207915122,796
PA,42131,0.08561042867886688,175
PA,42001,0.015453761851988672,92
PA,42083,0.09486423863406294,361
PA,42077,0.01872794085607634,560
PA,42031,0.08004731861198738,209
PA,42081,0.11369352537187792,949
PA,42053,0.08992506244796003,27
PA,42049,0.057600951859026396,1676
PA,42061,0.09289435192075753,305
PA,42119,0.12288441790590651,275
NY,36093,0.12729570345408592,1571
NY,36019,0.16512065439672802,880
NY,36051,0.16091361398262483,547
NY,36121,0.11780893722972087,236
NY,36097,0.11377404966380401,150
NY,36029,0.06303446137147731,4258
NY,36035,0.1597041847041847,763
NY,36079,0.07116365322206769,136
NY,36101,0.1357407523707844,957
NY,36039,0.07983593772565784,240
NY,36069,0.12261803521370752,682
NY,36075,0.08277520873994769,887
NY,36007,0.09199693803817263,11935
NY,36045,0.09964248364423474,721
NY,36115,0.13357320897322505,576
NY,36067,0.07289442190445063,2564
NY,36059,0.03637201336294193,1946
NY,36123,0.14172365192879888,242
NY,36073,0.10872972972972973,348
NY,36017,0.07354713732242789,302
NY,36065,0.08123379533640777,1691
NY,36023,0.1112938596491228,427
NY,36071,0.04099824580928608,1348
NY,36057,0.10746716960044705,545
NY,36003,0.12468988786345142,441
NY,36109,0.10672680165051339,486
NY,36055,0.0863233778356142,4916
NY,36099,0.12429378531073447,265
NY,36013,0.12033040468000263,1428
NY,36015,0.11221461058381392,867
NY,36085,0.04182946133671926,63223
NY,36089,0.1207606763039613,953
NY,36087,0.025300611078257443,887
NY,36103,0.044543477057553675,3340
NY,36047,0.04182946133671926,63223
NY,36021,0.09287399716847569,348
NY,36117,0.12808901151631477,754
NY,36005,0.08730601763983477,1357
NY,36027,0.07469202564034925,996
NY,36041,0.09235798937474458,22
NY,36037,0.12725201356506993,422
NY,36009,0.10999870724945776,670
NY,36113,0.14698883846436894,529
NY,36091,0.12815730925271562,1037
NY,36025,0.08309692345828629,267
NY,36095,0.09671913521714394,177
NY,36105,0.07436291212746557,547
NY,36063,0.09138313587701796,1347
NY,36043,0.10947604710409578,533
NY,36107,0.09634319615125757,339
NY,36111,0.0710318418601442,721
NY,36033,0.11239006725297465,378
NY,36011,0.11295412250182053,612
NY,36001,0.09069165135661122,1582
NY,36083,0.10659474679348137,1136
NY,36077,0.10089184775781937,353
NY,36031,0.14385179659331096,298
NY,36081,0.04182946133671926,63223
NY,36053,0.09970500222840044,418
NY,36049,0.08695652173913043,155
NY,36061,0.03553460832777867,38014
