State,County,Prevalence,Number in Group
GA,13231,0.07863529710190881,125
GA,13227,0.10858317125977028,283
GA,13247,0.0818835773685016,778
GA,13301,0.1031828854683016,74
GA,13229,0.08372934101518147,190
GA,13019,0.12749018736577056,333
GA,13289,0.06219890803982443,54
GA,13219,0.14533262514938255,212
GA,13029,0.09388617456754259,208
GA,13017,0.10072580380308056,297
GA,13101,0.13755274261603376,82
GA,13297,0.07983098256263763,641
GA,13167,0.1409117821195974,152
GA,13257,0.21288197205498124,703
GA,13069,0.16203493476220748,1046
GA,13075,0.1042775906407331,277
GA,13007,0.13672456575682382,51
GA,13303,0.13238051438072665,357
GA,13129,0.06999622783855149,454
GA,13147,0.10281014393420151,288
GA,13063,0.06569111142732945,3262
GA,13133,0.09915682967959528,187
GA,13059,0.11846679453368497,1474
GA,13123,0.07539857583968744,232
GA,13111,0.13457677033599572,284
GA,13233,0.1368721137655669,772
GA,13095,0.13455222599064096,2318
GA,13255,0.07590873978653727,663
GA,13291,0.1826066152281835,292
GA,13105,0.17673410935262365,430
GA,13141,0.09450874597511096,102
GA,13109,0.12330129267484256,213
GA,13185,0.09463997015296605,1339
GA,13099,0.07316315435199089,131
GA,13175,0.16556749413362973,1240
GA,13197,0.16488307570352756,151
GA,13097,0.10851905852947302,1583
GA,13093,0.12710606158414564,182
GA,13087,0.08357783730918059,365
GA,13249,0.1941860465116279,102
GA,13271,0.1164079064359483,164
GA,13171,0.08488282255987638,154
GA,13033,0.1571524346336255,592
GA,13117,0.07715272079006197,550
GA,13223,0.07825532792262563,818
GA,13267,0.11303253640122236,306
GA,13221,0.13101553618794998,128
GA,13153,0.11224277278010306,1584
GA,13173,0.10878951426368542,134
GA,13107,0.13132414747034102,465
GA,13015,0.07435521144341548,872
GA,13299,0.08543936714397095,425
GA,13287,0.10660112359550562,144
GA,13211,0.11830319418624304,195
GA,13047,0.09607228471325835,597
GA,13187,0.09570397425863118,216
GA,13025,0.08643472442920465,204
GA,13143,0.09450304433582025,319
GA,13181,0.06974128233970754,51
GA,13155,0.0900131406044678,128
GA,13159,0.10325650728127508,168
GA,13169,0.06210125113928246,142
GA,13319,0.10929818311364446,139
GA,13295,0.0839483661833232,577
GA,13121,0.04614791667079495,4562
GA,13285,0.15345949481850418,1317
GA,13201,0.08027410670582477,65
GA,13139,0.11129960112511322,2687
GA,13269,0.1103560198803124,100
GA,13145,0.06975232399401937,101
GA,13307,0.1508469159475871,44
GA,13177,0.14426562273452226,385
GA,13245,0.06625508547478445,1972
GA,13083,0.0612786276417013,74
GA,13065,0.09429972936400541,110
GA,13321,0.16280611449071908,396
GA,13195,0.13411490812338905,447
GA,13053,0.07000234907211651,27
GA,13067,0.05580902168190215,3046
GA,13085,0.08810736920591525,141
GA,13311,0.10425101214574899,239
GA,13213,0.10914063011724635,640
GA,13283,0.11863689279288814,105
GA,13193,0.15003154574132493,227
GA,13239,0.06825938566552901,19
GA,13149,0.12214399574920297,174
GA,13205,0.10374474589224303,361
GA,13051,0.070075048968902,1880
GA,13225,0.12178057499007057,370
GA,13207,0.061010022380072006,120
