State,County,Prevalence,Number in Group
GA,13231,0.03665419493943814,56
GA,13227,0.052254963120619426,142
GA,13247,0.04879342890668843,475
GA,13301,0.033394208192016696,26
GA,13229,0.03709155136885487,86
GA,13019,0.050322150633192626,126
GA,13289,0.032437640509581415,30
GA,13219,0.04800159341388926,69
GA,13029,0.052775210176504245,123
GA,13017,0.06276068179578968,179
GA,13101,0.018734177215189874,12
GA,13297,0.06116764863417247,481
GA,13167,0.0905861456483126,99
GA,13257,0.06557423605589004,226
GA,13069,0.05172100626646081,341
GA,13075,0.03770509616429425,100
GA,13007,0.08784119106699752,33
GA,13303,0.06756995790143984,187
GA,13129,0.06812523576009054,450
GA,13147,0.03875942426319397,107
GA,13063,0.0480890124306296,2440
GA,13133,0.034786798361840524,68
GA,13059,0.07136328218652602,894
GA,13123,0.0453399710126662,139
GA,13111,0.03123466155013163,69
GA,13233,0.035326675891502596,213
GA,13095,0.05607371313270081,1001
GA,13255,0.04146312273563043,378
GA,13291,0.03193970931275794,53
GA,13105,0.02860500128520545,72
GA,13141,0.045949003568009746,53
GA,13109,0.03320075129819909,57
GA,13185,0.0408669457917064,575
GA,13099,0.03873038885724642,71
GA,13175,0.0948375941706805,726
GA,13197,0.06093935790725327,59
GA,13097,0.05437711229515357,801
GA,13093,0.11406623200568072,166
GA,13087,0.0371220818982013,171
GA,13249,0.15038759689922482,74
GA,13271,0.05574174133096232,79
GA,13171,0.035694050991501414,68
GA,13033,0.034390286296029596,135
GA,13117,0.04667647641415999,327
GA,13223,0.04506944574609661,499
GA,13267,0.0356282581341003,100
GA,13221,0.034482758620689655,36
GA,13153,0.04192224230249854,604
GA,13173,0.03708558211256746,46
GA,13107,0.05971697611320956,219
GA,13015,0.048504630332473056,570
GA,13299,0.04033316218837355,210
GA,13287,0.0651685393258427,88
GA,13211,0.03796969184834657,67
GA,13047,0.043426147888622535,283
GA,13187,0.05752674145577876,137
GA,13025,0.039140252571715314,96
GA,13143,0.051453563159248775,176
GA,13181,0.021997250343707038,18
GA,13155,0.07198131114031245,94
GA,13159,0.04454764361885105,77
GA,13169,0.035669898086005465,86
GA,13319,0.02785892411827574,39
GA,13295,0.04889872941448873,342
GA,13121,0.042579099532546384,4234
GA,13285,0.04510139206077786,377
GA,13201,0.03952520802741067,33
