State,County,Prevalence,Number in Group
GA,13231,0.08624516456338385,136
GA,13227,0.10197790906755716,274
GA,13247,0.09333197285852762,890
GA,13301,0.07331072267153665,53
GA,13229,0.05563732705328231,132
GA,13019,0.07446493371843294,191
GA,13289,0.07418905898726047,61
GA,13219,0.09354667374850617,140
GA,13029,0.06976539460363572,156
GA,13017,0.10259778646260961,295
GA,13101,0.061265822784810124,36
GA,13297,0.09443551746711897,755
GA,13167,0.07840649581324537,85
GA,13257,0.10155628762921731,344
GA,13069,0.09113613659068205,572
GA,13075,0.07979282118149879,207
GA,13007,0.1498759305210918,55
GA,13303,0.08246365019280433,217
GA,13129,0.09901169370049039,622
GA,13147,0.10291295407813571,298
GA,13063,0.09198509961852372,4608
GA,13133,0.07877619850638401,153
GA,13059,0.09976624310716854,1262
GA,13123,0.11204234671371857,347
GA,13111,0.08326268350363661,173
GA,13233,0.0896754080322758,497
GA,13095,0.1349386081655433,2368
GA,13255,0.10052984887883107,875
GA,13291,0.07554279562174772,124
GA,13105,0.09874049865971432,247
GA,13141,0.09764163258202072,103
GA,13109,0.0701579935918683,117
GA,13185,0.09221489864444721,1272
GA,13099,0.08336353751359188,147
GA,13175,0.08530319871557367,657
GA,13197,0.10176377328577091,95
GA,13097,0.08715254214511761,1274
GA,13093,0.09695952488541734,145
GA,13087,0.08459837564315176,364
GA,13249,0.10251937984496123,48
GA,13271,0.06470145680869982,87
GA,13171,0.10244656193664692,190
GA,13033,0.11027239093188985,412
GA,13117,0.09465463086108832,657
GA,13223,0.08595902607261345,911
GA,13267,0.0629156929714183,169
GA,13221,0.07957559681697612,82
GA,13153,0.07492257149959354,1077
GA,13173,0.06646106399383192,86
GA,13107,0.06051497579400968,212
GA,13015,0.07381542769427998,838
GA,13299,0.05339722745165155,265
GA,13287,0.08567415730337079,115
GA,13211,0.08044617204664525,132
GA,13047,0.07336037863421231,455
GA,13187,0.07713714236020523,175
GA,13025,0.0552814251066321,126
GA,13143,0.0883857873824429,291
GA,13181,0.10536182977127859,77
GA,13155,0.10694991969630603,135
GA,13159,0.09058594197913084,146
GA,13169,0.071712652249565,161
GA,13319,0.08101175632347703,104
GA,13295,0.06601834968597146,437
GA,13121,0.09042126309573585,8805
GA,13285,0.06705532666949746,558
GA,13201,0.0838228095937347,62
GA,13139,0.07582198420391882,1835
GA,13269,0.08641850086215641,79
GA,13145,0.07527790417993889,109
GA,13307,0.12304250559284116,36
GA,13177,0.12157459765115268,321
GA,13245,0.07974735943391956,2334
GA,13083,0.050048633831461665,56
GA,13065,0.05717185385656292,62
GA,13321,0.10645765091249415,258
GA,13195,0.0871649898838724,295
GA,13053,0.06272022551092318,26
GA,13067,0.07734049520371156,4176
GA,13085,0.08879085373431092,136
GA,13311,0.0670968286099865,149
GA,13213,0.09741599528394576,551
GA,13283,0.07058948036829295,62
GA,13193,0.0922397476340694,145
GA,13239,0.05426621160409556,18
GA,13149,0.07551806588735388,107
GA,13205,0.14706042906272176,507
GA,13051,0.06672608960392044,1860
GA,13225,0.09165622804069537,281
GA,13207,0.07993577892381044,156
GA,13189,0.07597733711048159,243
GA,13243,0.1085143522110163,104
GA,13199,0.07930474446249007,210
GA,13161,0.05535707274940128,133
GA,13035,0.08540820096047284,222
GA,13079,0.07648575394989092,104
GA,13011,0.08785838401390096,149
GA,13317,0.12420591456736035,156
GA,13039,0.05643936739318336,230
GA,13045,0.08004326663061113,968
GA,13259,0.057654780911832536,30
GA,13115,0.075464322251703,853
GA,13163,0.11550265738453477,294
GA,13191,0.03801470007112938,47
GA,13277,0.08032275811479919,493
GA,13157,0.09118238255332017,475
GA,13151,0.09423116790109497,1459
GA,13281,0.06815020862308763,43
GA,13127,0.05874283144045879,502
GA,13137,0.06331526054309113,262
GA,13023,0.06469971544106634,80
GA,13179,0.07957303133682693,444
GA,13241,0.08165665011758558,117
GA,13071,0.09051691799834946,672
GA,13057,0.08542509171405552,1079
GA,13003,0.08638897999344047,122
GA,13055,0.08758577293021305,274
GA,13313,0.08784557624483295,1104
GA,13013,0.09103474347009416,748
GA,13183,0.061025054579478114,108
GA,13125,0.07992788461538461,27
GA,13089,0.09239728781922234,7637
GA,13103,0.0705634416937164,293
GA,13293,0.091844623956917,314
GA,13235,0.06786781179985063,76
GA,13021,0.08457115971158886,1936
GA,13135,0.08950214822903597,7233
GA,13217,0.09925456877204232,1186
GA,13031,0.0673021291367739,450
GA,13253,0.13926053805207883,179
GA,13273,0.14016602809706258,207
GA,13027,0.08638982895819995,180
GA,13305,0.08873640115043141,533
GA,13261,0.14331066577679974,727
GA,13279,0.07456810309588864,326
GA,13037,0.10288549418984201,71
GA,13009,0.14178866665416986,698
GA,13091,0.0758751033586644,192
GA,13265,0.08234448040273283,23
GA,13215,0.07487946166667314,1869
GA,13263,0.09967689822294022,56
GA,13131,0.07340720221606649,254
