State,County,Prevalence,Number in Group
FL,12093,1.0755401142592018e-05,16
FL,12019,1.0755401142592018e-05,16
FL,12051,1.0755401142592018e-05,16
FL,12121,1.0755401142592018e-05,16
FL,12097,1.0755401142592018e-05,16
FL,12029,1.0755401142592018e-05,16
FL,12035,1.0755401142592018e-05,16
FL,12079,1.0755401142592018e-05,16
FL,12101,1.0755401142592018e-05,16
FL,12127,1.0755401142592018e-05,16
FL,12125,1.0755401142592018e-05,16
FL,12039,1.0755401142592018e-05,16
FL,12069,1.0755401142592018e-05,16
FL,12075,1.0755401142592018e-05,16
FL,12007,1.0755401142592018e-05,16
FL,12045,1.0755401142592018e-05,16
FL,12129,1.0755401142592018e-05,16
FL,12115,1.0755401142592018e-05,16
FL,12133,1.0755401142592018e-05,16
FL,12067,1.0755401142592018e-05,16
FL,12059,1.0755401142592018e-05,16
FL,12123,1.0755401142592018e-05,16
FL,12073,1.0755401142592018e-05,16
FL,12017,1.0755401142592018e-05,16
FL,12065,1.0755401142592018e-05,16
FL,12023,1.0755401142592018e-05,16
FL,12071,1.0755401142592018e-05,16
FL,12057,1.0755401142592018e-05,16
FL,12003,1.0755401142592018e-05,16
FL,12109,1.0755401142592018e-05,16
FL,12055,1.0755401142592018e-05,16
FL,12099,1.0755401142592018e-05,16
FL,12013,1.0755401142592018e-05,16
FL,12015,1.0755401142592018e-05,16
FL,12085,1.0755401142592018e-05,16
FL,12089,1.0755401142592018e-05,16
FL,12087,1.0755401142592018e-05,16
FL,12103,1.0755401142592018e-05,16
FL,12047,1.0755401142592018e-05,16
FL,12021,1.0755401142592018e-05,16
FL,12117,1.0755401142592018e-05,16
FL,12086,1.0755401142592018e-05,16
FL,12005,1.0755401142592018e-05,16
FL,12027,1.0755401142592018e-05,16
FL,12041,1.0755401142592018e-05,16
FL,12037,1.0755401142592018e-05,16
FL,12009,1.0755401142592018e-05,16
FL,12113,1.0755401142592018e-05,16
FL,12091,1.0755401142592018e-05,16
FL,12095,1.0755401142592018e-05,16
FL,12105,1.0755401142592018e-05,16
FL,12063,1.0755401142592018e-05,16
FL,12043,1.0755401142592018e-05,16
FL,12107,1.0755401142592018e-05,16
FL,12111,1.0755401142592018e-05,16
FL,12033,1.0755401142592018e-05,16
FL,12011,1.0755401142592018e-05,16
FL,12131,1.0755401142592018e-05,16
FL,12001,1.0755401142592018e-05,16
FL,12083,1.0755401142592018e-05,16
FL,12077,1.0755401142592018e-05,16
FL,12031,1.0755401142592018e-05,16
FL,12081,1.0755401142592018e-05,16
FL,12053,1.0755401142592018e-05,16
FL,12049,1.0755401142592018e-05,16
FL,12061,1.0755401142592018e-05,16
FL,12119,1.0755401142592018e-05,16
