State,County,Prevalence,Number in Group
GA,13231,0.017946604096645318,26
GA,13227,0.017980991523246854,46
GA,13247,0.011642263149839294,102
GA,13301,0.013406027360604743,185
GA,13229,0.009335968711888642,21
GA,13019,0.018588461823298527,43
GA,13289,0.016272347714377477,13
GA,13219,0.02137830301420794,29
GA,13029,0.02442889211673049,55
GA,13017,0.010575059936286905,31
GA,13101,0.012794417133912352,2192
GA,13297,0.015616259001368803,117
GA,13167,0.009226419183858445,340
GA,13257,0.012836533000113597,39
GA,13069,0.0052371870553688735,30
GA,13075,0.009091238364301497,21
GA,13007,0.012794417133912352,2192
GA,13303,0.007570665440266034,21
GA,13129,0.00980761976612599,58
GA,13147,0.010692254969156956,28
GA,13063,0.008159732713198845,384
GA,13133,0.016188870151770656,30
GA,13059,0.01314882522176936,158
GA,13123,0.013044300207952612,40
GA,13111,0.012493864620052652,25
GA,13233,0.017521631128819833,93
GA,13095,0.00962198943888722,159
GA,13255,0.011478245732377356,93
GA,13291,0.011424128237334769,19
GA,13105,0.01292549480409797,30
GA,13141,0.009226419183858445,340
GA,13109,0.011269472986410341,18
GA,13185,0.018709668504470145,243
GA,13099,0.0120644125718428,22
GA,13175,0.00886748178337656,64
GA,13197,0.012468684285677198,1400
GA,13097,0.015977854076099737,220
GA,13093,0.011154500232986973,999
GA,13087,0.010332950631458095,44
GA,13249,0.013406027360604743,185
GA,13271,0.009226419183858445,340
GA,13171,0.01076487252124646,18
GA,13033,0.003650088148387257,13
GA,13117,0.0159880019242197,109
GA,13223,0.014423347266218065,142
GA,13267,0.013338126909940679,32
GA,13221,0.016767715043577113,16
GA,13153,0.012234038979623371,164
GA,13173,0.02035466461063994,23
GA,13107,0.011836995265201895,41
GA,13015,0.011816203633419361,130
GA,13299,0.011162454599045392,57
GA,13287,0.010814606741573033,14
GA,13211,0.01059095262238747,16
GA,13047,0.013230684123179052,80
GA,13187,0.023262892425428297,48
GA,13025,0.011499540018399264,27
GA,13143,0.03081496726981677,100
GA,13181,0.012468684285677198,1400
GA,13155,0.01372463133304132,18
GA,13159,0.010606581814012155,17
GA,13169,0.014251387853177562,31
GA,13319,0.010260064125400785,13
GA,13295,0.018610170472634656,116
GA,13121,0.013347891306630945,1199
GA,13285,0.011912276071014609,92
GA,13201,0.013406027360604743,185
GA,13139,0.009642125001986428,224
GA,13269,0.026777563647428747,27
GA,13145,0.009165962426054736,12
GA,13307,0.013406027360604743,185
GA,13177,0.013484123531970421,32
GA,13245,0.009934867114684328,282
GA,13083,0.018746131399770095,21
GA,13065,0.011163734776725304,11
GA,13321,0.015052253938543128,34
GA,13195,0.01909592306199939,59
GA,13053,0.012468684285677198,1400
GA,13067,0.010530004090924935,518
GA,13085,0.020069591151982105,32
GA,13311,0.011049257759784076,24
GA,13213,0.012772646885439182,70
GA,13283,0.009226419183858445,340
GA,13193,0.010599369085173501,14
GA,13239,0.008047071039197023,54
GA,13149,0.024309245483528162,32
GA,13205,0.008706807140127736,28
GA,13051,0.0159341505821247,394
GA,13225,0.007088081635147108,20
GA,13207,0.014303785151308748,25
GA,13189,0.010878186968838527,34
GA,13243,0.011154500232986973,999
GA,13199,0.01071218770517295,28
GA,13161,0.006988339680420871,15
GA,13035,0.010306612486147027,24
GA,13079,0.012794417133912352,2192
GA,13011,0.016181581233709816,28
GA,13317,0.010149689667761957,12
GA,13039,0.017380334991940572,69
GA,13045,0.025713422199599146,293
GA,13259,0.013406027360604743,185
GA,13115,0.015753270841477512,169
GA,13163,0.006961598922075006,16
GA,13191,0.012794417133912352,2192
GA,13277,0.015725288831835688,91
GA,13157,0.017966095665012363,91
GA,13151,0.012790310523108623,188
GA,13281,0.008047071039197023,54
GA,13127,0.01137973687169684,92
GA,13137,0.01270388602799392,50
GA,13023,0.009135839448854276,11
GA,13179,0.013241655822459817,67
GA,13241,0.013652991899660308,19
GA,13071,0.007664991122114688,57
GA,13057,0.013250627723066575,159
GA,13003,0.008047071039197023,54
GA,13055,0.019446858238695953,59
GA,13313,0.009336721149835034,116
GA,13013,0.020898061406513957,157
GA,13183,0.008732716498596528,15
GA,13125,0.008047071039197023,54
GA,13089,0.007990451322733332,612
GA,13103,0.014945981299355652,58
GA,13293,0.012263723373057133,42
GA,13235,0.012794417133912352,2192
GA,13021,0.015770162571762288,336
GA,13135,0.008995940179894154,687
GA,13217,0.010363898685476115,116
GA,13031,0.018181555195556583,119
GA,13253,0.022874406560207165,28
GA,13273,0.012794417133912352,2192
GA,13027,0.014588859416445624,29
GA,13305,0.005939727397774166,34
GA,13261,0.008351521492090406,41
GA,13279,0.011467051053118479,48
GA,13037,0.013406027360604743,185
GA,13009,0.016102123830768367,77
GA,13091,0.010670551639957475,23
GA,13265,0.013406027360604743,185
GA,13215,0.009911145473547616,225
GA,13263,0.013406027360604743,185
GA,13131,0.013850415512465374,45
GA,13043,0.00749793364033534,12
GA,13275,0.01899385584630259,106
GA,13251,0.011539585159217061,21
GA,13005,0.007950419431576311,11
GA,13209,0.008047071039197023,54
GA,13001,0.009718029890304056,24
GA,13237,0.01310774017891871,30
GA,13113,0.017915988820756686,84
GA,13077,0.016269369420380122,156
GA,13073,0.01427944072190506,93
GA,13081,0.010633549505080473,35
GA,13049,0.011154500232986973,999
GA,13061,0.008047071039197023,54
GA,13315,0.013406027360604743,185
GA,13165,0.011154500232986973,999
GA,13119,0.020031039087595192,49
GA,13309,0.008047071039197023,54
PA,42093,0.020382395382395384,19
PA,42019,0.0016312749551873596,15
PA,42051,0.002068757916596908,1074
PA,42121,0.003976582348392798,18
PA,42097,0.0123967939742166,88
PA,42029,0.006491764343676467,127
PA,42035,0.00911446425849718,26
PA,42079,0.012378928490268216,349
PA,42101,0.0018261351408087117,419
PA,42127,0.014285366032032374,50
PA,42125,0.0010824647518160218,16
PA,42039,0.00595223979700728,44
PA,42069,0.015617031804617956,269
PA,42075,0.0017163350695926906,20
PA,42007,0.0007926345954514969,12
PA,42045,0.0032850631620326594,135
PA,42129,0.0011511849610475783,26
PA,42115,0.009813342651640895,30
PA,42133,0.002373404404544817,79
PA,42067,0.011570871588479437,16
PA,42059,0.008739181814477326,245
PA,42123,0.014118251048173184,44
PA,42073,0.008336066553659502,467
PA,42017,0.0036478695911470412,96
PA,42065,0.009686132066685295,35
PA,42023,0.01083874085814398,132
PA,42071,0.0034577395613779624,129
PA,42057,0.012425575977219777,12
PA,42003,0.0007764802294611759,69
PA,42109,0.012461724702698854,30
PA,42055,0.006369045071266533,66
PA,42099,0.005669872785049283,1603
PA,42013,0.007182167319950905,79
PA,42015,0.006881831963616054,30
PA,42085,0.00415656693822904,40
PA,42089,0.005572517021506539,73
PA,42087,0.013613146277763654,50
PA,42103,0.009215185124393274,34
PA,42047,0.01907821672219578,42
PA,42021,0.005782973274402082,60
PA,42117,0.006669602969860945,18
PA,42005,0.002068757916596908,1074
PA,42027,0.011164938966157906,55
PA,42041,0.0021756757841665396,25
PA,42037,0.011831989887896558,48
PA,42009,0.004180864689818507,16
PA,42113,0.012425575977219777,12
PA,42091,0.0031934341958622403,111
PA,42025,0.013315402682021365,61
PA,42095,0.0038868727787623896,77
PA,42105,0.00797631276814309,12
PA,42063,0.0021675952537692075,12
PA,42043,0.0022567290878928725,57
PA,42107,0.00913112912715575,102
PA,42111,0.0038104646649966484,19
PA,42033,0.01275979838248924,86
PA,42011,0.004098254412281095,154
PA,42131,0.013244756413470378,28
PA,42001,0.002832163526659278,19
PA,42083,0.0062537961442422334,25
PA,42077,0.003933245217795466,124
PA,42031,0.007097791798107256,19
PA,42081,0.013540565233905821,114
PA,42053,0.00797631276814309,12
PA,42049,0.007130150896617208,211
PA,42061,0.006158741563807129,22
PA,42119,0.00969839881337238,22
NY,36093,0.03639427127211457,449
NY,36019,0.03376687116564417,179
NY,36051,0.02067489881673584,70
NY,36121,0.012886035032542698,27
NY,36097,0.022967845016976234,30
NY,36029,0.011554315101239162,788
NY,36035,0.048124098124098125,228
NY,36079,0.028929068150208622,54
NY,36101,0.014808767192112039,101
NY,36039,0.02203864706392074,67
NY,36069,0.012724810230243471,73
NY,36075,0.019242138339312757,205
NY,36007,0.023620273833766574,3066
NY,36045,0.02163338764987718,155
NY,36115,0.04046393824877382,174
NY,36067,0.017944074056781126,635
NY,36059,0.009567983641466798,510
NY,36123,0.016129874197421307,27
NY,36073,0.008864864864864866,32
NY,36017,0.010374515712440809,43
NY,36065,0.021303242398730014,444
NY,36023,0.015602156432748537,59
NY,36071,0.010941168365210847,367
NY,36057,0.03176515786532551,156
NY,36003,0.023940656941550065,86
NY,36109,0.022339506765185684,103
NY,36055,0.02032855270799065,1165
NY,36099,0.013815002680522909,31
