State,County,Prevalence,Number in Group
GA,13231,0.002659820587885349,1375
GA,13227,0.003999853216395729,11
GA,13247,0.0032141217284832406,29
GA,13301,0.005191156303308024,72
GA,13229,0.0045591766997096625,418
GA,13019,0.0045591766997096625,418
GA,13289,0.0033343280300293697,591
GA,13219,0.0033343280300293697,591
GA,13029,0.003753829279057089,428
GA,13017,0.0032782605268861695,121
GA,13101,0.0033343280300293697,591
GA,13297,0.0028447301077188596,21
GA,13167,0.0032782605268861695,121
GA,13257,0.0032782605268861695,121
GA,13069,0.004026276753549481,26
GA,13075,0.006048752218479481,15
GA,13007,0.0033343280300293697,591
GA,13303,0.0032782605268861695,121
GA,13129,0.004270086759713316,25
GA,13147,0.0045591766997096625,418
GA,13063,0.0031656488118095853,158
GA,13133,0.0045591766997096625,418
GA,13059,0.0020978182690002396,25
GA,13123,0.0045591766997096625,418
GA,13111,0.007183972156530275,15
GA,13233,0.0016171248520414118,11
GA,13095,0.003745760528914266,67
GA,13255,0.0018822147030343912,18
GA,13291,0.0026390931902742928,16
GA,13105,0.0045591766997096625,418
GA,13141,0.0032782605268861695,121
GA,13109,0.0045591766997096625,418
GA,13185,0.005161049620693943,66
GA,13099,0.0045591766997096625,418
GA,13175,0.002173644559713474,15
GA,13197,0.01605231866825208,14
GA,13097,0.0030571587908433057,41
GA,13093,0.0045591766997096625,418
GA,13087,0.0073138580601267164,30
GA,13249,0.005191156303308024,72
GA,13271,0.0032782605268861695,121
GA,13171,0.002659820587885349,1375
GA,13033,0.003753829279057089,428
GA,13117,0.003791844704151221,25
GA,13223,0.0028865438323555322,30
GA,13267,0.0045591766997096625,418
GA,13221,0.0033343280300293697,591
GA,13153,0.002814971077683796,38
GA,13173,0.0033343280300293697,591
GA,13107,0.0032782605268861695,121
GA,13015,0.003398950795337618,37
GA,13299,0.0029474965295605378,14
GA,13287,0.0045591766997096625,418
GA,13211,0.002659820587885349,1375
GA,13047,0.004410228041059684,29
GA,13187,0.0045591766997096625,418
GA,13025,0.005519779208831647,12
GA,13143,0.005402624131721122,18
GA,13181,0.003753829279057089,428
GA,13155,0.0032782605268861695,121
GA,13159,0.002659820587885349,1375
GA,13169,0.0033343280300293697,591
GA,13319,0.005191156303308024,72
GA,13295,0.0070041388092964025,44
GA,13121,0.0022807931849661844,214
GA,13285,0.00239852186786325,21
GA,13201,0.005191156303308024,72
GA,13139,0.0020420487231236194,49
GA,13269,0.005191156303308024,72
GA,13145,0.003753829279057089,428
GA,13307,0.005191156303308024,72
GA,13177,0.005437146585471945,14
GA,13245,0.0026292470586713407,78
GA,13083,0.003753829279057089,428
GA,13065,0.0045591766997096625,418
GA,13321,0.0033343280300293697,591
GA,13195,0.006457692414290069,22
GA,13053,0.003753829279057089,428
GA,13067,0.002496748356750668,131
GA,13085,0.002659820587885349,1375
GA,13311,0.0045591766997096625,418
GA,13213,0.0043721752800157205,25
GA,13283,0.0032782605268861695,121
GA,13193,0.0045591766997096625,418
GA,13239,0.0026390931902742928,16
GA,13149,0.002659820587885349,1375
GA,13205,0.004394344669468858,15
GA,13051,0.0025456492872915613,66
GA,13225,0.0033343280300293697,591
GA,13207,0.0033343280300293697,591
GA,13189,0.0035694050991501415,11
GA,13243,0.0045591766997096625,418
GA,13199,0.002659820587885349,1375
GA,13161,0.0032782605268861695,121
GA,13035,0.002659820587885349,1375
GA,13079,0.008065049249685992,11
GA,13011,0.005191156303308024,72
GA,13317,0.0045591766997096625,418
GA,13039,0.005816805662625272,22
GA,13045,0.003244997295835587,40
GA,13259,0.005191156303308024,72
GA,13115,0.0026699049314225353,32
GA,13163,0.0045591766997096625,418
GA,13191,0.0033343280300293697,591
GA,13277,0.005791918821443853,34
GA,13157,0.003468701638294466,18
GA,13151,0.0036812976260027766,57
GA,13281,0.0026390931902742928,16
GA,13127,0.0032497469920161927,28
GA,13137,0.0045591766997096625,418
GA,13023,0.0045591766997096625,418
GA,13179,0.0027608764463827244,15
GA,13241,0.0032782605268861695,121
GA,13071,0.003050991572260985,22
GA,13057,0.002190186400506872,26
GA,13003,0.0026390931902742928,16
GA,13055,0.0045591766997096625,418
GA,13313,0.0032462361105843984,41
GA,13013,0.002870677739843353,21
GA,13183,0.0033343280300293697,591
GA,13125,0.0026390931902742928,16
GA,13089,0.0021831577935333035,177
GA,13103,0.0033670849280558112,14
GA,13293,0.003492495134501053,11
GA,13235,0.0033343280300293697,591
GA,13021,0.002897318535822331,64
GA,13135,0.0022985927435953688,183
GA,13217,0.003246232766912472,37
GA,13031,0.004078916917380236,27
GA,13253,0.007121277514026759,11
GA,13273,0.0033343280300293697,591
GA,13027,0.008231958291411323,16
GA,13305,0.0020945354507940477,12
GA,13261,0.0236836883782175,119
GA,13279,0.0032782605268861695,121
GA,13037,0.005191156303308024,72
GA,13009,0.0036393743507127296,151
GA,13091,0.003779974012678663,11
GA,13265,0.005191156303308024,72
GA,13215,0.004829303733288783,110
GA,13263,0.005191156303308024,72
GA,13131,0.0045591766997096625,418
GA,13043,0.0032782605268861695,121
GA,13275,0.004787449708386614,27
GA,13251,0.0045591766997096625,418
GA,13005,0.0032782605268861695,121
GA,13209,0.0026390931902742928,16
GA,13001,0.004085989840241478,11
GA,13237,0.0045591766997096625,418
GA,13113,0.004943060943561507,21
GA,13077,0.002878281713002284,28
GA,13073,0.004179002989049596,26
GA,13081,0.003728306246225746,13
GA,13049,0.0045591766997096625,418
GA,13061,0.0026390931902742928,16
GA,13315,0.005191156303308024,72
GA,13165,0.0045591766997096625,418
GA,13119,0.005191156303308024,72
GA,13309,0.0026390931902742928,16
PA,42093,0.017316017316017316,16
