State,County,Prevalence,Number in Group
GA,13231,0.04806899613165071,70
GA,13227,0.05045686396829474,123
GA,13247,0.03380439773480945,298
GA,13301,0.03274197756326637,21
GA,13229,0.0439463392068632,95
GA,13019,0.04513811745538029,111
GA,13289,0.06755165399850123,54
GA,13219,0.0501261452662329,69
GA,13029,0.060478013997094945,127
GA,13017,0.034943676311208906,94
GA,13101,0.020590717299578058,12
GA,13297,0.04419448907933107,327
GA,13167,0.053455129831684,55
GA,13257,0.03680563444280359,111
GA,13069,0.029076983622438168,172
GA,13075,0.0319823246042957,76
GA,13007,0.03870967741935484,13
GA,13303,0.0360491031945378,94
GA,13129,0.033934364390795925,201
GA,13147,0.03310486634681289,85
GA,13063,0.02869356558487506,1337
GA,13133,0.037340399903637675,67
GA,13059,0.03671931191560777,431
GA,13123,0.03491083244060748,103
GA,13111,0.05135870777743073,102
GA,13233,0.0481636463664705,257
GA,13095,0.040065684969733395,654
GA,13255,0.040549215018550154,334
GA,13291,0.044261020395956696,69
GA,13105,0.033782543237983326,82
GA,13141,0.016969802454094508,18
GA,13109,0.03480278422273782,57
GA,13185,0.043727286545344,561
GA,13099,0.021902345570341222,39
GA,13175,0.03999011979745585,283
GA,13197,0.027744748315497423,25
GA,13097,0.041322036403706214,565
GA,13093,0.02078626299141437,30
GA,13087,0.04890079516945189,204
GA,13249,0.04941860465116279,23
GA,13271,0.03529170371383626,44
GA,13171,0.037805820242080866,65
GA,13033,0.015792218111389766,55
GA,13117,0.035385834347321656,234
GA,13223,0.04838709677419355,478
GA,13267,0.034765414344778,86
GA,13221,0.05977643046608564,57
GA,13153,0.03680960986785088,486
GA,13173,0.061526599845797995,69
GA,13107,0.03274458690216524,108
GA,13015,0.04369718131673498,472
GA,13299,0.04968908665639797,235
GA,13287,0.024157303370786518,29
GA,13211,0.0313785138865416,48
GA,13047,0.03941545270145676,238
GA,13187,0.03695973562918515,74
GA,13025,0.03629672994898386,80
GA,13143,0.05677043135237115,177
GA,13181,0.016622922134733157,12
GA,13155,0.06314790480362097,77
GA,13159,0.02763444559110194,44
GA,13169,0.03691275167785235,80
GA,13319,0.026718916993231208,34
GA,13295,0.04483227692396747,283
GA,13121,0.04516406452801849,4044
GA,13285,0.04939348382432262,387
GA,13201,0.02875673029858052,24
GA,13139,0.021258760150650754,487
GA,13269,0.06420529465463029,61
GA,13145,0.055450822336345316,75
GA,13307,0.038579121651001774,520
GA,13177,0.043279686820356676,107
GA,13245,0.03327792402672583,920
GA,13083,0.03802281368821293,42
GA,13065,0.04220230040595399,44
GA,13321,0.04843238184370613,109
GA,13195,0.046284748205426676,147
GA,13053,0.03782006107587503,14
GA,13067,0.026713923270391793,1330
GA,13085,0.03728097427612775,56
GA,13311,0.032515182186234816,69
GA,13213,0.03790856094845091,210
GA,13283,0.040215895861995976,34
GA,13193,0.02694006309148265,37
GA,13239,0.03404862853681751,213
GA,13149,0.04602816153028693,60
GA,13205,0.043588623833178665,140
GA,13051,0.03858456030694515,955
GA,13225,0.029085576364913997,85
GA,13207,0.0272453050501119,52
GA,13189,0.03572237960339943,111
GA,13243,0.04567494181536075,41
GA,13199,0.04454196758699333,114
GA,13161,0.025479957598837893,58
GA,13035,0.0379756187661618,90
GA,13079,0.03464004759701197,45
GA,13011,0.029430929626411816,49
GA,13317,0.02044541803577948,24
GA,13039,0.046744691288807906,183
GA,13045,0.04943848821302453,554
GA,13259,0.038579121651001774,520
GA,13115,0.044490098062863366,473
GA,13163,0.02073508496144921,49
GA,13191,0.03374693748518138,38
GA,13277,0.04185769301302036,240
GA,13157,0.04043260935304267,209
GA,13151,0.03885465156455149,560
GA,13281,0.038788440735589555,23
GA,13127,0.039053187900595976,314
GA,13137,0.030058301762664188,120
GA,13023,0.038415456043133143,50
GA,13179,0.045440157563394645,228
GA,13241,0.037823360334465636,55
GA,13071,0.022732388026108486,167
GA,13057,0.03536368827389846,417
GA,13003,0.027746802230239422,36
GA,13055,0.03784496449225422,112
GA,13313,0.026857294550419054,326
GA,13013,0.041134567449113396,309
GA,13183,0.03326749142322487,57
GA,13125,0.03404862853681751,213
GA,13089,0.02706904617578055,2082
GA,13103,0.04793856886778741,181
GA,13293,0.04286971126929537,145
GA,13235,0.04051530993278566,37
GA,13021,0.05006335304775623,1072
GA,13135,0.02111131104828154,1598
GA,13217,0.03571657582558512,400
GA,13031,0.0432480907197408,274
GA,13253,0.041289023162134945,51
GA,13273,0.04565772669220945,60
GA,13027,0.03603768407573402,70
GA,13305,0.04004626735025635,227
GA,13261,0.04514872201879543,217
GA,13279,0.033992383984854026,143
GA,13037,0.03512207860033947,24
GA,13009,0.0497497516261458,234
GA,13091,0.03429538921919912,77
GA,13265,0.038579121651001774,520
GA,13215,0.03532423937494901,805
GA,13263,0.031987075928917606,17
GA,13131,0.04155124653739612,133
GA,13043,0.028397685677175582,43
GA,13275,0.060381124660824,339
GA,13251,0.044697633654688866,82
GA,13005,0.036309002128458744,51
GA,13209,0.03277040611178126,29
GA,13001,0.03957152322756387,94
GA,13237,0.04718008556981719,111
GA,13113,0.03443457222708881,153
GA,13077,0.0335673706660627,318
GA,13073,0.038815146406765734,249
GA,13081,0.028697455824822117,96
GA,13049,0.02850222042793702,32
GA,13061,0.02244582043343653,13
GA,13315,0.016505673825377473,15
GA,13165,0.035086417921519175,43
GA,13119,0.05150323023062764,126
GA,13309,0.03567528212595559,27
PA,42093,0.0422979797979798,40
PA,42019,0.003831599313347054,35
PA,42051,0.001899647116400072,26
PA,42121,0.024982510401708458,115
PA,42097,0.03554874221428227,250
PA,42029,0.007951971499571175,159
PA,42035,0.04523700655387898,127
PA,42079,0.021886535189814333,613
PA,42101,0.0031102546111992616,703
PA,42127,0.031910484873601326,112
PA,42125,0.002478095406673157,33
PA,42039,0.021591690578386967,158
PA,42069,0.0366215104037808,626
PA,42075,0.00407309367261549,44
PA,42007,0.002371129131692512,33
PA,42045,0.00794279825334934,324
PA,42129,0.0028100105125571095,65
PA,42115,0.024023761684284092,72
PA,42133,0.0034731378875017534,116
PA,42067,0.04200729467991448,57
PA,42059,0.02800425047723832,775
PA,42123,0.030461196200906992,93
PA,42073,0.0018914473684210527,14
PA,42017,0.008346034060035782,218
PA,42065,0.03420415386048244,125
PA,42023,0.03716715976331361,17
PA,42071,0.00487193282952184,177
PA,42057,0.020450427129174217,21
PA,42003,0.0017998360991600083,160
PA,42109,0.03681549526454461,87
PA,42055,0.018995848135941445,195
PA,42099,0.006339144215530904,18
PA,42013,0.014752345884309301,160
PA,42015,0.02822548472033831,123
PA,42085,0.019067703912423323,190
PA,42089,0.02035826218523722,261
PA,42087,0.03642498902165623,136
PA,42103,0.024620723614791194,91
PA,42047,0.043828335713152464,95
PA,42021,0.015308356396381511,157
PA,42117,0.03709180142200969,104
PA,42005,0.002696567849401806,14
PA,42027,0.02873712906530534,140
PA,42041,0.004343323244406266,49
PA,42037,0.033713918647298946,141
PA,42009,0.014306773967471422,53
PA,42113,0.020450427129174217,21
PA,42091,0.008106409881804147,277
PA,42025,0.034548071823623,159
PA,42095,0.006029575866692923,116
PA,42105,0.04441355973170584,63
PA,42063,0.005362791220436409,30
PA,42043,0.004520930788659562,113
PA,42107,0.03855705236454218,435
PA,42111,0.017570475955262323,84
PA,42033,0.028757157548595154,198
PA,42011,0.0057785622880467185,220
PA,42131,0.02490181331996323,52
PA,42001,0.003878832656076838,25
PA,42083,0.029086900771601466,114
PA,42077,0.006968873912475127,226
PA,42031,0.02425078864353312,64
PA,42081,0.038014187309441436,316
PA,42053,0.04441355973170584,63
PA,42049,0.015898507445190446,468
PA,42061,0.02925402242808386,97
PA,42119,0.03460997223595634,78
NY,36093,0.06380932322381354,782
NY,36019,0.0785276073619632,416
NY,36051,0.056379056997757214,191
NY,36121,0.06207137552963788,125
NY,36097,0.06217961520537914,82
NY,36029,0.041701231409337,2806
NY,36035,0.10304834054834054,489
NY,36079,0.0593416782568382,112
NY,36101,0.05922250832129624,411
NY,36039,0.05011409260275555,155
NY,36069,0.046442407634886135,258
NY,36075,0.05372573474032022,568
NY,36007,0.05077641645898325,6587
NY,36045,0.04355862538609334,312
NY,36115,0.07533971214923213,324
NY,36067,0.040911112694781177,1439
NY,36059,0.022436001797354763,1194
NY,36123,0.04906822571383828,81
NY,36073,0.03810810810810811,127
NY,36017,0.039001291433491174,158
NY,36065,0.052001524652031686,1084
NY,36023,0.05484740497076023,207
NY,36071,0.027677525690149505,912
NY,36057,0.06108549874266555,306
NY,36003,0.06579339089014588,235
NY,36109,0.06431244602245466,295
NY,36055,0.041167903629403736,2334
NY,36099,0.060538578910470535,130
NY,36013,0.05365789531342433,635
NY,36015,0.06213956007990339,485
NY,36085,0.027230238410008115,41299
NY,36089,0.045377742929398904,353
NY,36087,0.013416617386162035,471
NY,36103,0.025895562729138868,1954
NY,36047,0.027230238410008115,41299
NY,36021,0.05519112789051439,206
NY,36117,0.0567718330134357,333
NY,36005,0.047471251535112204,733
NY,36027,0.06225434593368329,835
NY,36041,0.05721291377196567,13
NY,36037,0.05900275540483255,196
NY,36009,0.08062454215084962,486
NY,36113,0.08460689316815896,306
NY,36091,0.06446582035510186,529
NY,36025,0.042966920979425456,136
NY,36095,0.04309690878058031,81
NY,36105,0.047127705523827806,348
NY,36063,0.04939056329490145,727
NY,36043,0.06130302328481588,302
NY,36107,0.045367300645611584,160
NY,36111,0.05151447200469176,522
NY,36033,0.05775995861355406,194
NY,36011,0.05411441055101546,291
NY,36001,0.04457825955619822,773
NY,36083,0.058261645371726976,625
NY,36077,0.04403969350584098,155
NY,36031,0.0814372746487629,171
NY,36081,0.027230238410008115,41299
NY,36053,0.058659988539654914,244
NY,36049,0.044501852212907,78
NY,36061,0.024459497233121835,26328
NY,36119,0.03513789382927338,1903
SC,45019,0.026811072442897717,928
SC,45051,0.03639841921111587,1142
SC,45029,0.01970574884515767,124
SC,45035,0.028422312102238112,335
SC,45079,0.02532444104060189,997
SC,45039,0.013530456587608401,46
SC,45069,0.019695197787306714,92
SC,45075,0.024906474547828884,341
SC,45007,0.02829367817816316,570
SC,45045,0.03186983019216376,1421
SC,45067,0.039261136226208644,234
SC,45059,0.021443933707249188,175
SC,45073,0.03322856343243418,266
SC,45017,0.029368124840112562,49
SC,45065,0.01250262660222736,11
SC,45023,0.03495371981348737,169
SC,45071,0.0181417604736824,90
SC,45057,0.02563332933125225,217
SC,45003,0.026784632753031924,477
SC,45055,0.027569278929956247,200
SC,45013,0.017103251323653916,240
SC,45015,0.026728305713919986,476
SC,45085,0.025119659219903806,368
SC,45089,0.03656522379028961,193
SC,45087,0.022422151780719747,84
SC,45047,0.013677061992563928,123
