State,County,Prevalence,Number in Group
GA,13231,0.020546642145982626,34
GA,13227,0.02234780375032109,58
GA,13247,0.01795826743533493,165
GA,13301,0.016904706157808477,230
GA,13229,0.019050422641826822,43
GA,13019,0.017033251869954826,42
GA,13289,0.018092281340327587,15
GA,13219,0.012481742132518922,17
GA,13029,0.00792288392975043,18
GA,13017,0.012249991789549738,34
GA,13101,0.015040861093224021,2617
GA,13297,0.015878117002916147,128
GA,13167,0.020130254588513915,21
GA,13257,0.021952743382937633,70
GA,13069,0.00992946447491902,64
GA,13075,0.023977688434930637,64
GA,13007,0.015040861093224021,2617
GA,13303,0.019174302189832668,50
GA,13129,0.013775933609958506,82
GA,13147,0.020904729266620972,56
GA,13063,0.008060318865044727,382
GA,13133,0.010551674295350517,20
GA,13059,0.013658295372812275,162
GA,13123,0.0131073161509862,39
GA,13111,0.01990094150194101,39
GA,13233,0.019938982711768333,110
GA,13095,0.011773923496329369,195
GA,13255,0.011826401053169846,103
GA,13291,0.011902625755128895,19
GA,13105,0.015165424301399038,39
GA,13141,0.014775570924710843,557
GA,13109,0.010938017898574744,21
GA,13185,0.018433307078997912,240
GA,13099,0.008129239372443432,14
GA,13175,0.016870445844139804,126
GA,13197,0.013928191282224356,1602
GA,13097,0.013377589346305542,180
GA,13093,0.017881350461558324,28
GA,13087,0.012671684313475358,51
GA,13249,0.016904706157808477,230
GA,13271,0.022570275630941796,28
GA,13171,0.019108936389389646,33
GA,13033,0.011273061356243638,40
GA,13117,0.01409207957214409,95
GA,13223,0.012961331558921107,130
GA,13267,0.009886751752651447,26
GA,13221,0.02197802197802198,20
GA,13153,0.009916222698475616,133
GA,13173,0.025597532767925982,32
GA,13107,0.009256796297281482,33
GA,13015,0.017264645851255842,184
GA,13299,0.012968984730066366,64
GA,13287,0.015519662921348315,20
GA,13211,0.02101290068165174,34
GA,13047,0.011540352818243284,68
GA,13187,0.016740586137925038,33
GA,13025,0.009910512670402275,21
GA,13143,0.02815653317325558,88
GA,13181,0.013928191282224356,1602
GA,13155,0.019272886552781428,23
GA,13159,0.020525169131980277,33
GA,13169,0.013464247245007872,31
GA,13319,0.03434271464196651,42
GA,13295,0.012025701137448988,74
GA,13121,0.021679424709055206,2040
GA,13285,0.025304979515016583,198
GA,13201,0.016904706157808477,230
GA,13139,0.005919557582595706,136
GA,13269,0.049193630185617204,47
GA,13145,0.0258727166352467,36
GA,13307,0.016904706157808477,230
GA,13177,0.012976656517326374,34
GA,13245,0.014478645856914628,419
GA,13083,0.013928191282224356,1602
GA,13065,0.014054889341144702,1304
GA,13321,0.014506317267197005,34
GA,13195,0.016767827942684516,54
GA,13053,0.013928191282224356,1602
GA,13067,0.011028986863177824,582
GA,13085,0.009630918354666335,15
GA,13311,0.012904858299595142,27
GA,13213,0.013771533372633786,79
GA,13283,0.014775570924710843,557
GA,13193,0.01526813880126183,22
GA,13239,0.01117648755444031,72
GA,13149,0.015209883103081828,20
GA,13205,0.013183034008406572,44
GA,13051,0.016106550461811593,416
GA,13225,0.010173841312517185,29
GA,13207,0.027634523693684927,49
GA,13189,0.0143342776203966,47
GA,13243,0.016679596586501165,15
GA,13199,0.018348940875634958,49
GA,13161,0.014683365395940482,35
GA,13035,0.02079793128925009,51
GA,13079,0.026112249619884974,37
GA,13011,0.016904706157808477,230
GA,13317,0.013508579773640015,16
GA,13039,0.020417221482467822,82
GA,13045,0.012510737123405339,143
GA,13259,0.016904706157808477,230
GA,13115,0.02382120786166399,257
GA,13163,0.008945280335354442,23
GA,13191,0.01383071208409073,15
GA,13277,0.01907207041995232,115
GA,13157,0.01663197965028372,85
GA,13151,0.013694929734959135,199
GA,13281,0.020398701900788133,12
GA,13127,0.02057798268300911,163
GA,13137,0.014654839953721558,58
GA,13023,0.009510259098397485,17
GA,13179,0.020011957936200895,107
GA,13241,0.02639142931800366,42
GA,13071,0.013917023032485558,103
GA,13057,0.023067356053909874,277
GA,13003,0.011479173499508036,16
GA,13055,0.009079195757049111,28
GA,13313,0.011718305586104896,144
GA,13013,0.015711939892969793,122
GA,13183,0.017569393907890633,30
GA,13125,0.01117648755444031,72
GA,13089,0.013247851723487003,1059
GA,13103,0.013904365098590185,55
GA,13293,0.020048521688128183,72
GA,13235,0.013162808065720687,13
GA,13021,0.022464536738576846,504
GA,13135,0.007488605635434563,587
GA,13217,0.018355242064764347,210
GA,13031,0.013625318213376533,86
GA,13253,0.019349733851244427,28
GA,13273,0.012835249042145594,20
GA,13027,0.012439403640354889,29
GA,13305,0.011676253595098161,68
GA,13261,0.013293890582441964,64
GA,13279,0.012951528581570965,56
GA,13037,0.016904706157808477,230
GA,13009,0.019195081260427016,93
GA,13091,0.014135527818246249,32
GA,13265,0.016904706157808477,230
GA,13215,0.01321356556469441,320
GA,13263,0.016904706157808477,230
GA,13131,0.006675900277008311,23
GA,13043,0.016589916164836464,25
GA,13275,0.018027009325390638,105
GA,13251,0.016700749829584187,34
GA,13005,0.01596344059096031,22
GA,13209,0.013570566948130277,13
GA,13001,0.01708017374659501,45
GA,13237,0.0205756514974718,47
GA,13113,0.008113294122554541,37
GA,13077,0.011050714380084177,104
GA,13073,0.012707002309076228,82
GA,13081,0.01619975319662877,55
GA,13049,0.014054889341144702,1304
GA,13061,0.01117648755444031,72
GA,13315,0.02081965675701022,20
GA,13165,0.014093909947333285,16
GA,13119,0.01400368138015664,36
GA,13309,0.01117648755444031,72
PA,42093,0.00228918579824349,183
PA,42019,0.009038401350543917,88
PA,42051,0.003128926589787949,1673
PA,42121,0.0034058691409845723,17
PA,42097,0.00444208391675921,33
PA,42029,0.0013370571547951533,28
PA,42035,0.002437681843202013,163
PA,42079,0.003691260740586057,106
PA,42101,0.0041954206673260625,993
PA,42127,0.005314351185977914,20
PA,42125,0.003128926589787949,1673
PA,42039,0.0023358391235267614,19
PA,42069,0.005488429864733178,95
PA,42075,0.00228918579824349,183
PA,42007,0.003128926589787949,1673
PA,42045,0.0026263506263081286,112
PA,42129,0.003128926589787949,1673
PA,42115,0.0034565365221881426,115
PA,42133,0.0009594613550287557,29
PA,42067,0.0034565365221881426,115
PA,42059,0.0034565365221881426,115
PA,42123,0.0034565365221881426,115
PA,42073,0.002437681843202013,163
PA,42017,0.002809621628785369,78
PA,42065,0.0025118577480887296,32
PA,42023,0.0025118577480887296,32
PA,42071,0.0012562379991016294,48
PA,42057,0.005250312180724259,16
PA,42003,0.0010919893464454006,95
PA,42109,0.0025118577480887296,32
PA,42055,0.004091940247399735,42
PA,42099,0.0024987931083695607,731
PA,42013,0.0013065684760660411,14
PA,42015,0.010053458868586931,49
PA,42085,0.0018463907872975315,19
PA,42089,0.002357343564249433,32
PA,42087,0.002437681843202013,163
PA,42103,0.003868970853752902,15
PA,42047,0.0025118577480887296,32
PA,42021,0.00228918579824349,183
PA,42117,0.0034565365221881426,115
PA,42005,0.003128926589787949,1673
PA,42027,0.005295966383636332,27
PA,42041,0.0024987931083695607,731
PA,42037,0.003377608321763816,14
PA,42009,0.0034565365221881426,115
PA,42113,0.005250312180724259,16
PA,42091,0.006761806009862152,243
PA,42025,0.0028221834987499053,13
PA,42095,0.0006517193199613657,13
PA,42105,0.005250312180724259,16
PA,42063,0.002437681843202013,163
PA,42043,0.0024987931083695607,731
PA,42107,0.00408035393631897,49
PA,42111,0.002437681843202013,163
PA,42033,0.001714002767797062,12
PA,42011,0.006195693415691201,247
PA,42131,0.005222695746636584,11
PA,42001,0.00228918579824349,183
PA,42083,0.00292443704586867,11
PA,42077,0.0020595796598352916,65
PA,42031,0.004140378548895899,11
PA,42081,0.0036956811859030292,31
PA,42053,0.005250312180724259,16
PA,42049,0.0022594929475100154,68
PA,42061,0.0034565365221881426,115
PA,42119,0.002437681843202013,163
NY,36093,0.007280258354394833,89
NY,36019,0.03314519427402863,174
NY,36051,0.009796086721146657,35
NY,36121,0.007600576595465863,16
NY,36097,0.006388264991751307,146
NY,36029,0.009815094778462612,682
NY,36035,0.006818181818181818,33
NY,36079,0.00672679510929506,10396
NY,36101,0.028738303083589777,203
NY,36039,0.005921261661997054,18
NY,36069,0.009307379759992442,51
NY,36075,0.016950250649908082,185
NY,36007,0.006821042809819191,893
NY,36045,0.010372838485298052,74
NY,36115,0.01268392699203988,55
NY,36067,0.005691382568543561,200
NY,36059,0.005040407921385265,268
NY,36123,0.00672679510929506,10396
NY,36073,0.027972972972972972,96
NY,36017,0.004993542832544124,22
NY,36065,0.002856628257163561,59
NY,36023,0.005847953216374269,22
NY,36071,0.002864471543422845,98
NY,36057,0.006042190556021235,31
NY,36003,0.01151136250868314,41
NY,36109,0.011668745801746474,53
NY,36055,0.020235818508530026,1157
NY,36099,0.009196255515691368,19
NY,36013,0.007281464764867846,87
NY,36015,0.0035211664992607808,28
NY,36085,0.00672679510929506,10396
NY,36089,0.007100970723680578,57
NY,36087,0.0011383796570076877,40
NY,36103,0.002758204834984684,217
NY,36047,0.00672679510929506,10396
NY,36021,0.005639452571967909,21
NY,36117,0.014605326295585412,85
NY,36005,0.004878865691637826,76
NY,36027,0.003139096256825556,41
NY,36041,0.010963537370070945,117
NY,36037,0.021221916066129717,72
NY,36009,0.005716830175670435,36
NY,36113,0.011063412240892924,41
NY,36091,0.009368320027919557,75
NY,36025,0.0052056077340457765,18
NY,36095,0.006305708325431443,12
NY,36105,0.0029754763161683544,22
NY,36063,0.00425516888253262,64
NY,36043,0.008480162477062585,41
NY,36107,0.0063564075080389856,25
NY,36111,0.008245075378618,88
NY,36033,0.009855147439213658,33
NY,36011,0.007816166356501335,42
NY,36001,0.006254425885300861,112
NY,36083,0.0053612500306941795,59
NY,36077,0.011154377590754931,39
NY,36031,0.007791454266650089,17
NY,36081,0.00672679510929506,10396
NY,36053,0.008637704535325452,36
NY,36049,0.007652563852602846,15
NY,36061,0.006596404392149305,7253
NY,36119,0.004052132586425275,225
SC,45019,0.015213108524340973,539
SC,45051,0.008723426273203503,277
SC,45029,0.006555232170035513,43
SC,45035,0.01062900514567169,133
SC,45079,0.012349012897956292,500
SC,45039,0.005224114512590116,18
SC,45069,0.006608379276419595,31
SC,45075,0.005116299609495751,71
SC,45007,0.01381893931925436,284
SC,45045,0.017530933797299794,792
SC,45067,0.011834489907570042,70
SC,45059,0.02246657951334711,186
SC,45073,0.005791048631891671,48
SC,45017,0.011716551547710412,20
SC,45065,0.008461632623537333,526
SC,45023,0.0049933885447839095,25
SC,45071,0.006712795621191779,34
SC,45057,0.00947492696202025,84
SC,45003,0.009414352648180361,169
SC,45055,0.00980636287099949,73
SC,45013,0.006962609146164247,101
SC,45015,0.013277996041709745,240
SC,45085,0.007987033504581574,118
SC,45089,0.006541184935651093,34
SC,45087,0.00976598918515756,38
SC,45047,0.006070263297670537,55
SC,45021,0.009787294184156596,74
SC,45005,0.008581471848115948,519
SC,45027,0.013568103182798037,64
SC,45041,0.012391861368282906,245
SC,45037,0.012642570298779429,4064
SC,45009,0.008461632623537333,526
SC,45091,0.009049125630342375,194
SC,45025,0.009718876620392933,60
SC,45063,0.009777725880235738,251
SC,45043,0.006881349210977501,52
SC,45033,0.00740381460505856,44
SC,45011,0.01522496234939759,56
SC,45001,0.007848929823037044,23
SC,45083,0.007614468815927571,247
SC,45077,0.02496453233631967,279
SC,45031,0.009335234456969143,89
SC,45081,0.012642570298779429,4064
SC,45053,0.013897082923631596,56
SC,45049,0.007880479395829913,27
SC,45061,0.007637558171366,24
TN,47019,0.006691687760030258,41
TN,47029,0.014931606975044377,74
TN,47017,0.005085903696768807,18
TN,47101,0.007189405955821421,539
TN,47167,0.0036476221514703303,25
TN,47069,0.007189405955821421,539
TN,47075,0.003914654554147741,11
TN,47007,0.008241037959793938,100
TN,47129,0.011913511004525586,26
TN,47147,0.0034938075273480795,26
TN,47063,0.011785328423698543,93
TN,47133,0.010152094103543868,23
TN,47059,0.0077509056040912,49
TN,47123,0.007797863182945972,41
TN,47111,0.009089187653853437,29
TN,47095,0.004716532813762296,34
TN,47105,0.005213349524726771,21
TN,47141,0.011646772511299107,86
TN,47109,0.005094334792514656,17
TN,47185,0.011149984355889297,33
TN,47099,0.014970833640995348,70
TN,47175,0.004716532813762296,34
TN,47097,0.0042700467457749015,16
TN,47093,0.011172769713778183,396
TN,47087,0.008732737611697806,11
TN,47047,0.0079784395346355,25
TN,47033,0.009240774752233668,538
TN,47117,0.006956289978678038,23
TN,47153,0.007097198721564204,14
TN,47173,0.012777608761788866,32
TN,47107,0.01382842903508637,76
TN,47015,0.011833971151015601,17
TN,47113,0.005766663962774783,66
TN,47187,0.005907118958810252,31
TN,47025,0.00657878998110093,23
TN,47143,0.007487766051529981,32
TN,47181,0.013032638259292838,20
TN,47155,0.010512730890221278,104
TN,47159,0.011682739283741875,24
TN,47169,0.013121872934957047,12
TN,47121,0.008241037959793938,100
TN,47139,0.008680473651931878,16
TN,47145,0.010149243211812592,50
TN,47177,0.007681956769830861,38
TN,47083,0.008241037959793938,100
TN,47065,0.008957550094686918,276
TN,47053,0.0071487897484575225,44
TN,47067,0.008241037959793938,100
TN,47085,0.007189405955821421,539
TN,47149,0.00440020360839319,102
TN,47051,0.006410730576719185,23
TN,47189,0.009300777145472894,79
TN,47161,0.008241037959793938,100
TN,47035,0.007755592390395231,44
TN,47079,0.004206868169555078,16
TN,47011,0.0095901688039447,96
TN,47039,0.004716532813762296,34
TN,47045,0.008536232130991124,45
TN,47171,0.0090985052455668,17
TN,47115,0.0035316780821917806,12
TN,47163,0.013041819949063081,184
TN,47157,0.005515608652864549,744
TN,47151,0.009700791950509111,34
TN,47127,0.004716532813762296,34
TN,47137,0.004716532813762296,34
TN,47023,0.009240774752233668,538
TN,47179,0.011470068625100985,110
TN,47071,0.00614485470832423,20
TN,47057,0.015110356536502547,39
TN,47003,0.0042384450367288565,29
TN,47055,0.006905742670220499,20
TN,47013,0.012288047227168456,66
TN,47183,0.0102492490910049,34
TN,47125,0.0036062293907695346,54
TN,47089,0.014485360046996259,82
TN,47103,0.0036504238814572877,13
TN,47021,0.00780117863008405,28
TN,47135,0.008241037959793938,100
TN,47031,0.0066199855315780135,42
TN,47027,0.004716532813762296,34
TN,47037,0.004650127354519221,336
TN,47009,0.010465989753458419,108
TN,47091,0.007189405955821421,539
TN,47131,0.00313275658481336,12
TN,47043,0.0042184724689165185,22
TN,47005,0.007382187635105923,118
TN,47001,0.01089533767450468,81
TN,47041,0.007739993550005375,18
TN,47077,0.006121742833568444,20
TN,47073,0.016141925531168923,98
TN,47081,0.005639266000298374,17
TN,47049,0.006782164920762826,17
TN,47061,0.00977376270394455,21
TN,47165,0.005358309183951706,75
TN,47119,0.004758538989158893,43
TX,48359,0.004445814461882501,2978
TX,48231,0.0027574471574717593,25
TX,48371,0.003266650245246743,174
TX,48407,0.003475218475924502,40
TX,48301,0.005908078448416364,38
TX,48289,0.003475218475924502,40
TX,48391,0.004241956168820686,596
TX,48029,0.006350395978184337,1311
TX,48403,0.003475218475924502,40
TX,48189,0.003413903899518037,17
TX,48069,0.004241956168820686,596
TX,48075,0.003266650245246743,174
TX,48007,0.007682563033795105,18
TX,48437,0.004241956168820686,596
TX,48147,0.004241956168820686,596
TX,48133,0.016456582633053222,30
TX,48441,0.004101667563206025,54
TX,48205,0.003266650245246743,174
TX,48123,0.006323869335775655,13
TX,48237,0.004241956168820686,596
TX,48233,0.004241956168820686,596
TX,48445,0.004241956168820686,596
TX,48155,0.005908078448416364,38
TX,48141,0.0030547871525817725,372
TX,48185,0.0044330714337201755,11
TX,48249,0.007082919787061265,43
TX,48337,0.004241956168820686,596
TX,48093,0.003266650245246743,174
TX,48087,0.005908078448416364,38
TX,48497,0.00443512619950004,20
TX,48171,0.003266650245246743,174
TX,48117,0.004241956168820686,596
TX,48223,0.004241956168820686,596
TX,48499,0.005033601970601623,18
TX,48397,0.005066414080225566,22
TX,48341,0.003266650245246743,174
TX,48107,0.004445814461882501,2978
TX,48297,0.003475218475924502,40
TX,48447,0.005908078448416364,38
TX,48247,0.004241956168820686,596
TX,48333,0.026469993938169328,11
TX,48225,0.003266650245246743,174
TX,48025,0.011850953588358505,41
TX,48105,0.003266650245246743,174
TX,48099,0.006205515573266718,28
TX,48439,0.004240220899480536,801
TX,48111,0.003266650245246743,174
TX,48435,0.003266650245246743,174
TX,48295,0.005908078448416364,38
TX,48121,0.004745785043555817,169
TX,48501,0.003266650245246743,174
TX,48139,0.0052740212132853246,78
TX,48369,0.003266650245246743,174
TX,48329,0.0035658515382262506,42
TX,48245,0.002229953268465658,65
TX,48327,0.005908078448416364,38
TX,48065,0.004445814461882501,2978
TX,48321,0.004076308495026904,20
TX,48241,0.0038318370921830523,15
TX,48125,0.003475218475924502,40
TX,48213,0.0038457529963522668,32
TX,48315,0.003475218475924502,40
TX,48365,0.006479570780024762,14
TX,48423,0.003614996645879401,77
TX,48283,0.004241956168820686,596
TX,48351,0.008219850325113484,12
TX,48299,0.003266650245246743,174
TX,48053,0.0032433563507009836,12
TX,48079,0.005908078448416364,38
TX,48317,0.0036266331141426174,599
TX,48379,0.003475218475924502,40
TX,48039,0.0035404826236839653,87
TX,48493,0.008189314356715239,25
TX,48115,0.003266650245246743,174
TX,48163,0.004241956168820686,596
TX,48021,0.005400799052646723,44
TX,48151,0.003475218475924502,40
TX,48491,0.005632280309384028,140
TX,48017,0.003266650245246743,174
TX,48137,0.005908078448416364,38
TX,48201,0.00395140990220585,2053
TX,48057,0.004241956168820686,596
TX,48159,0.003266650245246743,174
TX,48083,0.004241956168820686,596
TX,48473,0.0037543996871333596,19
TX,48085,0.0040593586415555985,152
TX,48415,0.003266650245246743,174
TX,48377,0.003266650245246743,174
TX,48455,0.003266650245246743,174
TX,48217,0.003453022561302816,13
TX,48253,0.0036266331141426174,599
TX,48381,0.01115702479338843,75
TX,48027,0.007322365687375922,215
TX,48487,0.004241956168820686,596
TX,48009,0.0036266331141426174,599
TX,48265,0.009352502338125585,36
TX,48215,0.0038461538461538464,704
TX,48399,0.004241956168820686,596
TX,48243,0.005908078448416364,38
TX,48339,0.0032554581470772975,126
TX,48005,0.003951281451532061,42
TX,48411,0.003266650245246743,174
TX,48001,0.002939342656096909,14
TX,48077,0.0036266331141426174,599
TX,48081,0.003475218475924502,40
TX,48349,0.00371913905887318,25
TX,48433,0.005908078448416364,38
TX,48269,0.005908078448416364,38
TX,48309,0.003706587344366586,101
TX,48203,0.004096843456156371,31
TX,48263,0.005908078448416364,38
TX,48227,0.0035950228063926838,279
TX,48229,0.004445814461882501,2978
TX,48019,0.004540416529775093,7804
TX,48477,0.004077643728516546,11
TX,48489,0.004312542488103331,18
TX,48431,0.003475218475924502,40
TX,48427,0.0020561592104348632,32
TX,48101,0.005908078448416364,38
TX,48167,0.003089919898940599,86
TX,48413,0.003475218475924502,40
TX,48453,0.005872708844379915,559
TX,48279,0.004241956168820686,596
TX,48129,0.003475218475924502,40
TX,48073,0.0023342733393601663,15
TX,48449,0.003266650245246743,174
TX,48465,0.001636578156121944,12
TX,48059,0.0036266331141426174,599
TX,48385,0.04325493376588267,14
TX,48405,0.005908078448416364,38
TX,48429,0.003266650245246743,174
TX,48443,0.005908078448416364,38
TX,48451,0.005841900284200554,58
TX,48095,0.003475218475924502,40
TX,48255,0.004241956168820686,596
TX,48291,0.003387418446397611,32
TX,48357,0.003266650245246743,174
TX,48353,0.0075501299210668235,14
TX,48109,0.005908078448416364,38
TX,48507,0.004403900597672224,11
TX,48471,0.0035950228063926838,279
TX,48175,0.0036266331141426174,599
TX,48197,0.005908078448416364,38
TX,48097,0.004241956168820686,596
TX,48343,0.004241956168820686,596
TX,48271,0.003266650245246743,174
TX,48281,0.013436293436293436,22
TX,48055,0.009133759705842086,42
TX,48267,0.003266650245246743,174
TX,48221,0.00985537533543898,37
TX,48153,0.004241956168820686,596
TX,48173,0.003475218475924502,40
TX,48469,0.004127465857359636,41
TX,48015,0.00614580649909837,14
TX,48193,0.004241956168820686,596
TX,48235,0.0036266331141426174,599
TX,48187,0.006431094164572754,65
TX,48495,0.004241956168820686,596
TX,48345,0.005908078448416364,38
TX,48143,0.0035950228063926838,279
TX,48181,0.0019909516283970127,26
TX,48063,0.004241956168820686,596
TX,48457,0.010882879487421088,21
TX,48169,0.004241956168820686,596
TX,48319,0.005908078448416364,38
TX,48033,0.003475218475924502,40
TX,48285,0.004241956168820686,596
TX,48475,0.004241956168820686,596
TX,48395,0.0036266331141426174,599
TX,48145,0.004445814461882501,2978
TX,48307,0.003266650245246743,174
TX,48177,0.004241956168820686,596
TX,48373,0.011182519280205656,56
TX,48335,0.003266650245246743,174
TX,48195,0.003266650245246743,174
TX,48459,0.009911844990379021,40
TX,48035,0.004241956168820686,596
TX,48355,0.008976649241572975,396
TX,48311,0.005908078448416364,38
TX,48363,0.003778946731966866,13
TX,48257,0.00637751726692953,64
TX,48303,0.006924010040715341,206
TX,48211,0.003266650245246743,174
TX,48239,0.004241956168820686,596
TX,48149,0.004241956168820686,596
TX,48051,0.0036266331141426174,599
TX,48287,0.004241956168820686,596
TX,48207,0.004241956168820686,596
TX,48331,0.0038415517349959065,11
TX,48199,0.0026912412330778014,12
TX,48503,0.003266650245246743,174
TX,48161,0.003266650245246743,174
TX,48387,0.004241956168820686,596
TX,48481,0.0035950228063926838,279
TX,48045,0.005908078448416364,38
TX,48259,0.009846024929297162,17
TX,48463,0.004110863497695753,17
TX,48393,0.005908078448416364,38
TX,48277,0.0027566206698747572,16
TX,48347,0.004762299645789156,35
TX,48157,0.006063944437791881,231
TX,48219,0.01367550227925038,35
TX,48389,0.003266650245246743,174
TX,48461,0.003475218475924502,40
TX,48127,0.004241956168820686,596
TX,48023,0.003475218475924502,40
TX,48179,0.004241956168820686,596
TX,48071,0.004540416529775093,7804
TX,48047,0.003266650245246743,174
TX,48003,0.004241956168820686,596
TX,48409,0.007356509463096131,64
TX,48113,0.003422370754197085,1150
TX,48313,0.004241956168820686,596
TX,48013,0.00864123058362238,52
TX,48183,0.006468354671907497,91
