id,Disease,Year,Summed_Cost,Weighted_Prevalence
1,Acute Bronchitis and Bronchiolitis,2011,13442421.56,0
1,Acute Bronchitis and Bronchiolitis,2012,9306338.714,0
1,Acute Respiratory Diagnoses - Moderate,2011,11501066,0
1,Acute Respiratory Diagnoses - Moderate,2012,6295758.19,0
1,Acute Skin Diagnoses,2011,14342429.62,0
1,Acute Skin Diagnoses,2012,9025724.211,0
1,Acute Stress and Anxiety,2011,2965975.949,0
1,Acute Stress and Anxiety,2012,2248072.663,0
1,ADHD,2011,21980100.28,0
1,ADHD,2012,15643551.13,0
1,Allergies,2011,24934286.84,0
1,Allergies,2012,17783080.55,0
1,Asthma,2011,25195490.38,0
1,Asthma,2012,17120671.13,0
1,Autism,2011,1779796.522,0
1,Autism,2012,1226041.343,0
1,BiPolar,2011,1704869.862,0
1,BiPolar,2012,1371901.317,0
1,Chronic Mental Health,2011,1122766.163,0
1,Chronic Mental Health,2012,839243.8058,0
1,Chronic Stress,2011,1080210.765,0
1,Chronic Stress,2012,745222.401,0
1,Conduct and Behavior,2011,7225906.971,0
1,Conduct and Behavior,2012,5771126.332,0
1,Conjunctivitis and Eye Diagnoses,2011,0,0
1,Conjunctivitis and Eye Diagnoses,2012,137.8,0
1,Dental Diagnoses,2011,3562514.102,0
1,Dental Diagnoses,2012,2430241.772,0
1,Depression,2011,6533845.543,0
1,Depression,2012,4827248.61,0
1,Depressive and Other Psychoses,2011,4047946.49,0
1,Depressive and Other Psychoses,2012,3272278.729,0
1,Developmental Language Disorder,2011,1291102.756,0
1,Developmental Language Disorder,2012,813929.3238,0
1,Developmental Speech and Learning,2011,2366942.77,0
1,Developmental Speech and Learning,2012,1661538.474,0
1,Diabetes2,2011,1887818.869,0
1,Diabetes2,2012,1130359.88,0
1,Epilepsy and Epilepsy Complex,2011,1495421.955,0
1,Epilepsy and Epilepsy Complex,2012,984635.8054,0
1,Major Mental Health,2011,20176422.23,0
1,Major Mental Health,2012,14903894.79,0
1,Psoriasis,2011,1536560.082,0
1,Psoriasis,2012,690437.5722,0
1,Schizophrenia,2011,4722792.573,0
1,Schizophrenia,2012,3581966.931,0
1,Social Problems,2011,22265005.19,0
1,Social Problems,2012,15268259.2,0
