State,County,CensusTract,Prevalence
GA,13271,13271950100,0.120516574308
GA,13271,13271950200,0.1672469287
GA,13271,13271950500,0.0964426336998
GA,13061,13061960300,0.182557722616
GA,13253,13253200100,0.16987416948
GA,13253,13253200200,0.281791682857
GA,13253,13253200300,0.242881360684
GA,13099,13099090100,0.0956228100686
GA,13099,13099090200,0.142236769309
GA,13099,13099090300,0.142234777221
GA,13099,13099090400,0.208067465446
GA,13099,13099090500,0.127298477132
GA,13219,13219030100,0.198047199701
GA,13219,13219030200,0.192898434148
GA,13219,13219030300,0.208055193836
GA,13219,13219030400,0.132161216557
GA,13219,13219030500,0.235962056135
GA,13219,13219030600,0.126076859315
GA,13009,13009970100,0.175096905757
GA,13009,13009970200,0.132882677758
GA,13009,13009970300,0.13956948931
GA,13009,13009970400,0.229653128973
GA,13009,13009970500,0.142180119502
GA,13009,13009970600,0.266767515116
GA,13009,13009970701,0.245881925169
GA,13009,13009970702,0.228687389089
GA,13009,13009970800,0.14186868186
GA,13139,13139000101,0.139528293109
GA,13139,13139000102,0.0771761889005
GA,13139,13139000201,0.189878472725
GA,13139,13139000203,0.114027805322
GA,13139,13139000204,0.154052236184
GA,13139,13139000302,0.0950059017068
GA,13139,13139000303,0.172014122643
GA,13139,13139000304,0.135562298456
GA,13139,13139000305,0.134896501359
GA,13139,13139000400,0.211388337438
GA,13139,13139000500,0.115992460743
GA,13139,13139000600,0.152061291493
GA,13139,13139000701,0.16790903907
GA,13139,13139000702,0.145883441898
GA,13139,13139000800,0.0716583767701
GA,13139,13139000900,0.124050347251
GA,13139,13139001002,0.119040863269
GA,13139,13139001003,0.10001907889
GA,13139,13139001004,0.103881609143
GA,13139,13139001101,0.169374089325
GA,13139,13139001102,0.145486726902
GA,13139,13139001201,0.13781556302
GA,13139,13139001202,0.18001113428
GA,13139,13139001301,0.161449372947
GA,13139,13139001302,0.173561091846
GA,13139,13139001402,0.133243532027
GA,13139,13139001403,0.168772602493
GA,13139,13139001404,0.121470865379
GA,13139,13139001501,0.118332197134
GA,13139,13139001502,0.16102837197
GA,13139,13139001603,0.14150214462
GA,13139,13139001604,0.120281709363
GA,13139,13139001605,0.127831028822
GA,13139,13139001606,0.105822749659
GA,13139,13139001607,0.142948972083
GA,13139,13139001608,0.180730101513
GA,13259,13259950100,0.177096231823
GA,13259,13259950400,0.210245299396
GA,13039,13039010100,0.134970809584
GA,13039,13039010200,0.145976355224
GA,13039,13039010301,0.172624987913
GA,13039,13039010302,0.201004566243
GA,13039,13039010401,0.208824106786
GA,13039,13039010402,0.215478073404
GA,13039,13039010403,0.186461342095
GA,13039,13039010500,0.105421643513
GA,13039,13039010601,0.121881861962
GA,13039,13039010602,0.202463945056
GA,13039,13039990000,0.179178740956
GA,13053,13053020100,0.163455528844
GA,13053,13053020201,0.0729232187332
GA,13053,13053020203,0.0902429604524
GA,13053,13053020205,0.190647537649
GA,13053,13053020206,0.0817908311081
GA,13143,13143010100,0.208337873623
GA,13143,13143010200,0.174223013803
GA,13143,13143010301,0.17590264164
GA,13143,13143010302,0.18185762614
GA,13143,13143010400,0.21336078944
GA,13015,13015960101,0.133205710143
GA,13015,13015960102,0.222768809151
GA,13015,13015960200,0.191633554944
GA,13015,13015960300,0.196052928107
GA,13015,13015960401,0.159681189899
GA,13015,13015960402,0.105038011084
GA,13015,13015960500,0.202902452027
