State,County,CensusTract,Prevalence
GA,13271,13271950100,0.00885562474989
GA,13271,13271950200,0.00885562475065
GA,13271,13271950500,0.0088556247497
GA,13061,13061960300,0.00682953914635
GA,13253,13253200100,0.00655025507391
GA,13253,13253200200,0.00655025507011
GA,13253,13253200300,0.00655025507373
GA,13099,13099090100,0.00655025507252
GA,13099,13099090200,0.00655025507471
GA,13099,13099090300,0.00655025507217
GA,13099,13099090400,0.00655025507344
GA,13099,13099090500,0.00655025507378
GA,13219,13219030100,0.0116279069777
GA,13219,13219030200,0.0116279069758
GA,13219,13219030300,0.0116279069759
GA,13219,13219030400,0.0116279069802
GA,13219,13219030500,0.0116279069751
GA,13219,13219030600,0.0116279069764
GA,13009,13009970100,0.0131655485318
GA,13009,13009970200,0.0131655485314
GA,13009,13009970300,0.013165548533
GA,13009,13009970400,0.0131655485329
GA,13009,13009970500,0.0131655485294
GA,13009,13009970600,0.0131655485312
GA,13009,13009970701,0.0131655485352
GA,13009,13009970702,0.0131655485297
GA,13009,13009970800,0.0131655485349
GA,13139,13139000101,0.00414575978684
GA,13139,13139000102,0.00414575978447
GA,13139,13139000201,0.00414575978404
GA,13139,13139000203,0.00414575978725
GA,13139,13139000204,0.00414575978491
GA,13139,13139000302,0.00414575978637
GA,13139,13139000303,0.00414575978593
GA,13139,13139000304,0.00414575978451
GA,13139,13139000305,0.00414575978446
GA,13139,13139000400,0.00414575978352
GA,13139,13139000500,0.00414575978605
GA,13139,13139000600,0.00414575978493
GA,13139,13139000701,0.00414575978576
GA,13139,13139000702,0.0041457597834
GA,13139,13139000800,0.00414575978389
GA,13139,13139000900,0.00414575978565
GA,13139,13139001002,0.00414575978447
GA,13139,13139001003,0.00414575978635
GA,13139,13139001004,0.00414575978519
GA,13139,13139001101,0.00414575978645
GA,13139,13139001102,0.00414575978301
GA,13139,13139001201,0.00414575978598
GA,13139,13139001202,0.00414575978615
GA,13139,13139001301,0.00414575978376
GA,13139,13139001302,0.00414575978434
GA,13139,13139001402,0.00414575978581
GA,13139,13139001403,0.00414575978228
GA,13139,13139001404,0.00414575978462
GA,13139,13139001501,0.00414575978581
GA,13139,13139001502,0.00414575978567
GA,13139,13139001603,0.00414575978559
GA,13139,13139001604,0.0041457597847
GA,13139,13139001605,0.00414575978288
GA,13139,13139001606,0.00414575978397
GA,13139,13139001607,0.00414575978773
GA,13139,13139001608,0.00414575978187
GA,13259,13259950100,0.00614665172631
GA,13259,13259950400,0.00614665172457
GA,13039,13039010100,0.00854105741803
GA,13039,13039010200,0.00854105742034
GA,13039,13039010301,0.00854105742209
GA,13039,13039010302,0.00854105742053
GA,13039,13039010401,0.00854105742151
GA,13039,13039010402,0.0085410574201
GA,13039,13039010403,0.00854105742
GA,13039,13039010500,0.00854105741932
GA,13039,13039010601,0.00854105742047
GA,13039,13039010602,0.00854105741754
GA,13039,13039990000,0.00854105741937
GA,13053,13053020100,0.00576882847376
GA,13053,13053020201,0.00576882847215
GA,13053,13053020203,0.00576882847431
GA,13053,13053020205,0.00576882847266
GA,13053,13053020206,0.0057688284742
GA,13143,13143010100,0.0137719969403
GA,13143,13143010200,0.0137719969393
GA,13143,13143010301,0.0137719969377
GA,13143,13143010302,0.013771996941
GA,13143,13143010400,0.0137719969405
GA,13015,13015960101,0.00588761676666
GA,13015,13015960102,0.00588761676881
GA,13015,13015960200,0.00588761676876
GA,13015,13015960300,0.00588761677028
GA,13015,13015960401,0.00588761677056
GA,13015,13015960402,0.0058876167689
GA,13015,13015960500,0.00588761676973
GA,13015,13015960600,0.00588761676569
GA,13015,13015960700,0.00588761677138
GA,13015,13015960801,0.00588761676789
GA,13015,13015960802,0.00588761676874
GA,13015,13015960803,0.00588761677083
GA,13015,13015960901,0.00588761677022
GA,13015,13015960902,0.00588761676936
GA,13015,13015961000,0.00588761676764
GA,13073,13073030102,0.0046582710011
GA,13073,13073030103,0.00465827100273
GA,13073,13073030105,0.00465827100291
GA,13073,13073030106,0.00465827100229
GA,13073,13073030201,0.00465827100282
GA,13073,13073030202,0.00465827100213
GA,13073,13073030203,0.00465827100226
GA,13073,13073030302,0.00465827100362
GA,13073,13073030304,0.0046582710039
GA,13073,13073030306,0.00465827100368
GA,13073,13073030307,0.0046582710022
GA,13073,13073030308,0.00465827100268
GA,13073,13073030309,0.00465827100203
GA,13073,13073030401,0.0046582710016
GA,13073,13073030402,0.00465827100308
GA,13073,13073030503,0.00465827100279
GA,13073,13073030504,0.00465827100209
GA,13073,13073030505,0.00465827100131
GA,13073,13073030506,0.00465827100498
GA,13073,13073030603,0.00465827100451
GA,13237,13237960101,0.0230766175468
GA,13237,13237960102,0.0230766175459
GA,13237,13237960201,0.0230766175482
GA,13237,13237960202,0.0230766175474
GA,13237,13237960300,0.0230766175498
GA,13293,13293010100,0.00511481979547
GA,13293,13293010201,0.0051148197948
GA,13293,13293010202,0.00511481979509
GA,13293,13293010300,0.00511481979593
GA,13293,13293010400,0.00511481979466
GA,13293,13293010500,0.00511481979551
GA,13293,13293010600,0.00511481979324
GA,13055,13055010100,0.00682643427479
GA,13055,13055010200,0.00682643427628
GA,13055,13055010300,0.00682643427728
GA,13055,13055010400,0.00682643427855
