State,County,Total Cost,Number of Children
GA,1,27835.91647382021,2956
GA,3,19969.67050689564,1559
GA,5,22229.40917835292,1625
GA,7,8802.67957875458,432
GA,9,72530.72066536102,5059
GA,11,23718.02443384147,1905
GA,13,134841.13756131794,8024
GA,15,229159.88953840488,12371
GA,17,53896.145436200335,3078
GA,19,45228.708578047626,2787
GA,21,393531.16565073346,24250
GA,23,25340.58520715396,1422
GA,25,45300.87248574582,2523
GA,27,50184.64704048989,2254
GA,29,27860.689408045662,2476
GA,31,125650.32275481256,6935
GA,33,50309.250156885595,4051
GA,35,55551.43269330427,3131
GA,37,10464.67876984127,726
GA,39,61157.12957758641,4694
GA,43,16435.722806850008,1783
GA,45,262954.3255002967,12960
GA,47,84807.40566076402,6250
GA,49,17640.098786861286,1345
GA,51,553568.3769263764,27991
GA,53,16337.086663216012,544
GA,55,42925.699406390886,3481
GA,57,241465.5649756473,12367
GA,59,329687.4096396259,11195
GA,61,10584.322135748242,601
GA,63,1072534.0590740885,51556
GA,65,14073.993326580827,1187
GA,67,1151910.9602255635,58676
GA,69,109679.08224953608,6927
GA,71,155658.83950206597,8299
GA,73,104277.96764067168,7272
GA,75,37017.03358828642,2813
GA,77,222429.99161894,11187
GA,79,17472.060869927172,1539
GA,81,130952.11959283847,3730
GA,83,29506.303980869136,1332
GA,85,48391.858667613116,1794
GA,87,54480.394465260935,4819
GA,89,1942911.9844074831,85600
GA,91,63170.00860021167,2654
GA,93,57002.75068901273,1624
GA,95,494435.9774546842,17816
GA,97,375193.1961293712,14255
GA,99,39933.49097098247,1935
GA,101,5090.3713465184055,440
GA,103,67030.53683410426,4468
GA,105,34515.964643387415,2729
GA,107,87273.92403550465,3891
GA,109,29032.393460929758,1860
GA,111,25052.181318624112,2417
GA,113,119975.4990990448,4892
GA,115,209727.1052045463,12066
GA,117,112976.98597550872,7384
GA,119,79836.24471944923,2806
GA,121,2072227.0768328197,100902
GA,123,46781.10325433701,3437
GA,125,1563.1141518634622,360
GA,127,150753.86782539738,9304
GA,129,210932.7413172379,7158
GA,131,62516.418122951385,3805
GA,133,26966.5875901876,2060
GA,135,1636682.053158754,83414
GA,137,67996.30150324754,4368
GA,139,394344.23361327103,23985
GA,141,34760.76296284937,1162
GA,143,76982.36308655869,3605
GA,145,17550.759642666235,1684
GA,147,49025.72713318847,2956
GA,149,16220.720769651987,1514
GA,151,412322.42997084867,16534
GA,153,230538.63079482372,14766
GA,155,25607.942745147197,1336
GA,157,94407.51414369147,6004
GA,159,29356.161385183437,1964
GA,161,38169.61900730159,2713
