State,County,Total Cost,Number of Children
GA,1,63792.211243755875,2956
GA,3,56415.34372001911,1559
GA,5,38660.51866406058,1625
GA,7,24803.681238498346,432
GA,9,305455.65138984966,5059
GA,11,73905.07379722958,1905
GA,13,266607.2792181548,8024
GA,15,445431.5914170666,12371
GA,17,95112.06775056708,3078
GA,19,105083.47149874193,2787
GA,21,1274382.9016590994,24250
GA,23,34254.15908034086,1422
GA,25,64530.52992168746,2523
GA,27,86439.15166754296,2254
GA,29,74662.9219731855,2476
GA,31,199586.8234657036,6935
GA,33,214065.61059770535,4051
GA,35,123330.60023201095,3131
GA,37,33927.27885635607,726
GA,39,112468.07149406055,4694
GA,43,41759.694277355855,1783
GA,45,420823.3999272383,12960
GA,47,189553.93416802358,6250
GA,49,50891.18120522996,1345
GA,51,986250.8981011056,27991
GA,53,20598.378548486115,544
GA,55,145658.88978866534,3481
GA,57,425306.8957805987,12367
GA,59,577842.1561809453,11195
GA,61,32939.080306743905,601
GA,63,2324792.064755389,51556
GA,65,30657.11602032299,1187
GA,67,2112507.9783036,58676
GA,69,251668.67751404853,6927
GA,71,318809.18200421287,8299
GA,73,270732.2935873125,7272
GA,75,85895.52497587109,2813
GA,77,331147.5440805748,11187
GA,79,57387.004865804134,1539
GA,81,167989.80498977422,3730
GA,83,34367.443567643066,1332
GA,85,58239.02725344299,1794
GA,87,173571.96840661892,4819
GA,89,3901452.7570371,85600
GA,91,94298.69184640606,2654
GA,93,74973.71270351192,1624
GA,95,1171479.424780978,17816
GA,97,564719.5212154465,14255
GA,99,97707.31633406322,1935
GA,101,9939.117361111112,440
GA,103,136502.41349455804,4468
GA,105,89364.13726881373,2729
GA,107,136694.82966954462,3891
GA,109,43849.08038836165,1860
GA,111,80514.2532712065,2417
GA,113,257585.69966155983,4892
GA,115,463454.8272998562,12066
GA,117,234738.95671629786,7384
GA,119,147462.35782599935,2806
GA,121,5100414.38528148,100902
GA,123,128802.45412672842,3437
GA,125,11452.729537958847,360
GA,127,241459.12887050968,9304
GA,129,265926.2792048999,7158
GA,131,119319.95955072975,3805
GA,133,110224.49193075448,2060
GA,135,3174678.449969438,83414
GA,137,116476.21231939645,4368
GA,139,742551.2967270827,23985
GA,141,66833.70820428505,1162
GA,143,118153.21197984072,3605
GA,145,53988.63431571297,1684
GA,147,130122.88808914473,2956
GA,149,73232.25608218125,1514
GA,151,670638.9061674634,16534
GA,153,688558.0538998903,14766
GA,155,59874.415251005994,1336
GA,157,201562.58641284076,6004
GA,159,81412.39913342199,1964
GA,161,84941.13044051423,2713
GA,163,165282.0571334629,2642
GA,165,54185.227844890185,1379
GA,167,43040.26038402774,1173
GA,169,79922.80757720496,2503
GA,171,94153.49611002693,1912
GA,173,32995.68625528953,1310
GA,175,280320.08849140874,7305
GA,177,98593.43081891342,2404
GA,179,184253.5988136388,6085
GA,181,31327.535192353946,790
GA,183,42139.6439369454,2060
GA,185,585442.2297582094,14586
GA,187,76564.24565285548,2471
GA,189,170338.4740274616,3409
GA,191,40421.2266076108,1312
GA,193,95641.52227913224,1799
GA,195,136567.52818222408,3793
GA,197,55623.87808370535,1044
GA,199,105024.51647792372,3109
GA,201,27290.25477587547,863
GA,205,190331.2489862389,3957
GA,207,106599.55459227944,2113
GA,209,39510.035041755626,1091
GA,211,73003.76978553923,1902
GA,213,203141.3639957087,6155
GA,215,990482.3548629786,25940
GA,217,531478.0973442616,13077
GA,219,78977.25666710071,1617
GA,221,40384.37644999928,908
GA,223,367802.48048425664,10970
GA,225,184595.3995054616,3180
GA,227,104491.15734904386,2932
GA,229,66703.4975355511,2390
GA,231,82327.74987620946,1749
GA,233,239777.6813155328,6037
GA,235,40279.55978041897,1101
GA,237,165465.0773729093,2540
GA,239,5173.819444444444,300
GA,241,49441.190491378846,1524
GA,243,55317.000524475545,1019
GA,245,1411652.6106674676,31020
GA,247,429726.46614557976,10608
GA,249,18647.46681746902,512
GA,251,60240.62586066468,2145
GA,253,78168.63939349694,1375
GA,255,385474.6400407287,8888
GA,257,130658.8947190093,3458
GA,259,31951.380597855023,590
GA,261,289794.1385024483,5260
GA,263,29195.477405192836,649
GA,265,17582.503373015876,278
GA,267,78539.69437652567,2941
GA,269,41553.17339923694,996
GA,271,69689.86888577108,1673
GA,273,97454.22736797194,1640
GA,275,221134.9043029035,6143
GA,277,183453.22162925926,6458
GA,279,174514.05758767427,5156
GA,281,25542.434872012047,779
GA,283,42789.58085016835,974
GA,285,307905.70624474983,8801
GA,287,42748.35512498121,1426
GA,289,31436.56808075037,945
GA,291,49073.83440355941,1757
GA,293,175323.25934315336,3778
GA,295,238679.5488243023,7355
GA,297,374202.51164329005,8914
GA,299,137298.51907876364,5235
GA,301,35711.68665223665,793
GA,303,165103.76918794189,2763
GA,305,155950.37177638998,4459
GA,307,12445.572820643409,304
GA,309,30551.92721433552,820
GA,311,71161.88521919191,2410
GA,313,450754.7924879539,14190
GA,315,45543.69421620047,1188
GA,317,63651.584389336036,1346
GA,319,62743.30652414035,1373
GA,321,115009.93010175374,2689
GA,999,932.9833333333332,63
PA,1,20279.625209675934,6784
PA,3,246655.5181802675,92968
PA,5,15041.060645272604,5693
PA,7,22742.333707713853,14126
PA,9,152803.64282831294,4170
PA,11,87180.07986050987,41417
PA,13,389311.9870589614,12042
PA,15,252908.4902839809,5389
PA,17,64220.52916666665,29748
PA,19,15001.74861111111,10177
PA,21,397184.49238375813,11730
PA,23,18035.085716829468,532
PA,25,148812.75876383873,5146
PA,27,249361.18000595982,5806
PA,29,87925.02506204548,23187
PA,31,90379.58637678856,3079
PA,33,304906.7034098259,7786
PA,35,177675.67588703954,3219
PA,37,232625.159597234,4762
PA,39,212941.29206726147,8569
PA,41,35950.83061594204,11933
PA,43,110492.79711469084,25802
PA,45,75889.56110001111,44943
PA,47,94422.84794333679,2589
PA,49,734576.1679817563,32776
PA,51,13687.484920634919,15055
PA,53,6927.457369713619,356
PA,55,398192.1138051385,12009
PA,57,49241.42415904675,1229
PA,59,7221.597222222223,3723
PA,61,186859.8938566708,3827
PA,63,21512.756353450477,6237
PA,65,213567.43807595703,4437
PA,67,59102.65605659415,1652
PA,69,800603.4452025836,18830
PA,71,93063.58689477637,39318
PA,73,15799.647740447957,8333
PA,75,13926.724979114453,11237
PA,77,77772.53160080657,34432
PA,79,1102835.090784429,31232
PA,81,361457.26857366407,9998
PA,83,109626.21445022507,4376
PA,85,413023.3971263656,11034
PA,87,240490.9362985956,4291
PA,89,346648.57298196584,15140
PA,91,72659.33997113995,38451
PA,93,51854.111190563046,1130
PA,95,35610.44094516595,20910
PA,97,371631.19234694587,8044
PA,99,5094.50641025641,3118
PA,101,593839.7567630041,249620
PA,103,104142.62360755584,4242
PA,105,33902.22060316838,1722
PA,107,408706.67268001655,12553
PA,109,139980.00021335372,2771
PA,111,166319.50220512348,5635
PA,113,9624.168223443225,379
PA,115,124385.30181511055,3564
PA,117,119612.2204164574,3427
PA,119,127415.27711303649,2640
PA,121,193718.51883008992,5269
PA,123,63895.43634525404,3415
PA,125,29697.148155929037,14432
PA,127,172190.41478116767,4170
PA,129,29317.932212885156,24304
PA,131,83890.99179887255,2412
PA,133,87588.3021825397,34799
NY,1,847640.5185985124,17644
NY,3,95252.31883251546,3625
NY,5,725766.4777836814,15966
NY,9,295633.1415406507,6225
NY,11,257605.34834943945,5431
NY,13,404425.876310158,12062
NY,15,157533.20835809718,7962
NY,17,124640.08504487068,4109
NY,19,210663.0808051867,5125
NY,21,133181.73397603814,3624
NY,23,124640.49565723723,3890
NY,25,89471.97838595073,3127
NY,27,563220.8507825921,12985
NY,29,2411332.2094008382,67929
NY,31,103437.64930217313,2084
NY,33,110660.6905890692,3256
NY,35,143870.32652075938,4900
NY,37,110835.42256301588,3462
NY,39,126264.42039438234,3013
NY,41,3409.528571428572,212
NY,43,161244.33433861533,4909
NY,45,140289.4135244491,7201
NY,49,55782.8300619469,1762
NY,51,91736.45016780624,3408
NY,53,101222.07297396119,4081
NY,55,2895226.1940244813,56506
NY,57,189232.96718904155,5152
NY,59,2687662.873383104,51154
NY,61,58891132.41186003,1123940
NY,63,676529.8235487937,14750
NY,65,928071.6851988981,20583
NY,67,1520993.6857764362,35442
NY,69,221877.48708103085,5516
NY,71,1587439.0187619957,32123
NY,73,123699.70980284335,3355
NY,75,409475.9618122101,10689
NY,77,118771.47996273552,3534
NY,79,78168.67296610387,1895
NY,83,448542.29588681326,10720
NY,87,1785237.5910851508,32706
NY,89,203731.7296876232,7799
NY,91,321206.42264401057,8060
NY,93,456663.531742369,12382
NY,95,67462.60904166591,1810
NY,97,31233.225969726718,1259
NY,99,115593.59183175325,2038
NY,101,246419.8965724761,6808
NY,103,3892902.3170146313,70507
NY,105,235912.95422884915,6832
NY,107,91057.84392964713,3431
NY,109,150776.67159951973,4502
NY,111,513360.8013633185,9953
NY,113,122035.47837104312,3633
NY,115,150911.11050407426,4380
NY,117,260864.18110419755,5741
NY,119,2979382.340265804,52363
NY,121,45835.730468412155,1982
NY,123,55414.249760858336,1643
NY,999,190440.0902883047,694
SC,1,85790.38537418525,3083
SC,3,540410.7936239886,18746
SC,5,49695.73689007334,1748
SC,7,720906.2051026359,21416
SC,9,79902.91901659426,2416
SC,11,133727.49853837094,3757
SC,13,288786.08757088264,14684
SC,15,482464.73778300436,18394
SC,17,50038.66714117753,1747
SC,19,1431762.3811677722,36444
SC,21,252360.31206047695,7445
SC,23,145638.782419236,5038
SC,25,179864.22683071348,6655
SC,27,175467.97337482532,5120
SC,29,167735.54469430295,6792
SC,31,333813.3507744312,9859
SC,33,164401.52798615358,6422
SC,35,309136.7631868593,12462
SC,37,70934.31150770394,2426
SC,39,113529.49957869535,3334
SC,41,596505.3610752919,20357
SC,43,206923.06642381853,7740
SC,45,1957936.2654234597,46660
SC,47,279195.3154081554,9560
SC,49,118354.99485501095,3309
SC,51,958817.417538806,32606
SC,53,128654.69134132413,4170
SC,55,182694.93642286232,7618
SC,57,244906.29820425628,9086
SC,59,290726.0183464732,8605
SC,61,110867.38908675297,3357
SC,63,781390.0110885948,26681
SC,65,26264.16879635208,852
SC,67,194851.56160076728,6251
SC,69,156032.4100971529,4811
SC,71,154153.2371015856,5267
SC,73,330932.8954722297,8586
SC,75,488630.55532448244,14307
SC,77,471346.8595233722,11749
SC,79,1384914.8072383895,41012
SC,81,90232.53696125546,2921
SC,83,1113567.1954163285,34216
SC,85,354738.42665762437,15562
SC,87,138208.53657892966,3883
SC,89,221792.82384482867,5515
SC,91,576922.8671530732,21583
SC,999,0.0,0
TN,0,169455.5972952375,6915
TN,1,680589.2544379473,8300
TN,3,392113.5502580772,7113
TN,5,116897.1750037593,1999
TN,7,100404.9694211834,1710
TN,9,735862.9114347494,11229
TN,11,827232.9004400522,11323
TN,13,446190.6610214638,5983
TN,15,120323.2348011969,1621
TN,17,289740.78919282346,3750
TN,19,398603.98026301456,6654
TN,21,209354.34834889226,3889
TN,23,153794.05791253876,2058
TN,25,299220.41302919737,4006
TN,27,58605.439847834925,1089
TN,29,393814.5208775332,5440
TN,31,405888.08211872476,6838
TN,33,210903.41979661613,2104
TN,35,328923.83735325385,6283
TN,37,5167769.397951575,78954
TN,39,116152.5537256042,1402
TN,41,152585.88179092956,2574
TN,43,393077.7902473869,5655
TN,45,463944.3651062912,5610
TN,47,311253.36259995424,3487
TN,49,201441.2404039045,2870
TN,51,266575.4671715209,3944
TN,53,590625.5671227953,6350
TN,55,274868.0487196158,3217
TN,57,249806.00309438055,2816
TN,59,491849.6626487914,7284
TN,61,166413.12453506922,2460
TN,63,645890.5596780268,8425
TN,65,2774618.17164694,34038
TN,67,87922.7288482298,1062
TN,69,291610.8055506604,3525
TN,71,261426.8562597409,3505
TN,73,473810.26248936396,6808
TN,75,309994.0939213338,3088
TN,77,261756.99251418372,3552
TN,79,296009.73511692835,4197
TN,81,210179.72069411934,3114
TN,83,67030.92426294148,1013
TN,85,115335.2477532,2135
TN,87,84967.46844519861,1380
TN,89,539058.4563952127,6321
TN,91,113768.47910275955,2029
TN,93,3142510.4730921937,37965
TN,95,65212.51770003122,977
TN,97,351114.9696758476,4209
TN,99,444071.3623557529,5197
TN,101,125003.37785676945,1645
TN,103,194237.77725845465,3997
TN,105,393721.1502019565,4625
TN,107,496508.6855610045,6181
TN,109,262563.2144941332,3703
TN,111,229851.88880589113,3509
TN,113,1009542.1695238859,12631
TN,115,243381.41841243947,3601
TN,117,206948.6395352212,3636
TN,119,664516.6876729793,9679
TN,121,106261.15015329896,1639
TN,123,436428.1008729004,5803
TN,125,1040355.4838200031,16388
TN,127,32789.40814064376,569
TN,129,150623.00542474454,2501
TN,131,286872.76285347284,3942
TN,133,162657.19104567662,2571
TN,135,59527.89285356861,1039
TN,137,24546.754012897432,567
TN,139,140832.2924018144,2119
TN,141,528895.6635220975,8250
TN,143,317036.3480053432,4818
TN,145,434188.1532650383,5308
TN,147,484004.77903621393,7990
TN,149,1597749.8236295108,26203
TN,151,327497.324440328,3878
TN,153,134119.0089701472,2052
TN,155,947942.7403984376,11023
TN,157,10529084.017199157,146273
TN,159,115601.61078025508,2321
TN,161,93512.1326661752,1452
TN,163,1033880.005718936,15741
TN,165,1095198.7398914823,14892
TN,167,574314.6400891053,7575
TN,169,55150.2823553089,985
TN,171,119614.99252577985,2116
TN,173,214183.9515729672,2716
TN,175,31783.32091360437,671
TN,177,310714.46835155296,5550
TN,179,654499.0947152366,10741
TN,181,110308.53289531409,1677
TN,183,205685.5408687956,3707
TN,185,169549.61757136852,3310
TN,187,388729.2192111095,6429
TN,189,550671.3464773076,9153
TX,1,175659.87850688337,6025
TX,3,22220.574959408783,1841
TX,5,270025.85000188084,12178
TX,7,91996.32900319425,2612
TX,9,9974.012962962965,431
TX,11,1072.5224867724871,93
TX,13,309173.4305631965,6825
TX,15,101346.17190153926,2863
TX,17,33098.391427252325,1375
TX,19,40769.170021991915,1530
TX,21,334921.0119105206,8795
TX,23,14972.489015151514,380
TX,25,165174.38368184154,3967
TX,27,864326.0916720757,32659
TX,29,10608949.389642203,229146
TX,31,15089.769497169496,707
TX,33,266.4,23
TX,35,54881.90012535774,1895
TX,37,356284.61114815885,11935
TX,39,1113886.747787582,28571
TX,41,385651.8353639521,17533
TX,43,15556.689949884892,696
TX,45,3593.784217171717,169
TX,47,37526.218067580565,1676
TX,49,111283.28927091991,4402
TX,51,39915.140338909456,1807
TX,53,137291.07146202508,4107
TX,55,201417.71288403225,5140
TX,57,124960.67328595453,2902
TX,59,30799.769230178736,1276
TX,61,4766515.493644552,93498
TX,63,76775.17267035527,2156
TX,65,8132.85892857143,318
TX,67,94671.153915303,3658
TX,69,24132.239016076517,1426
TX,71,83702.90491317675,2839
TX,73,211509.64143850896,7414
TX,75,15475.424051928465,811
TX,77,12014.294993894995,749
TX,79,10242.25,520
TX,81,7475.027493098688,240
TX,83,18972.63119532387,1089
TX,85,1887826.8717660687,41212
TX,87,5842.894746481589,451
TX,89,55697.26609200436,2402
TX,91,307942.920253498,7985
TX,93,38522.138687019615,1567
TX,95,2447.810642135642,280
TX,97,137140.62812259796,4148
TX,99,130948.96930629734,5303
TX,101,6440.575876900876,217
TX,103,9812.65585016835,378
TX,105,7730.780158730157,448
TX,107,37253.111796611614,1006
TX,109,7588.3183242683235,339
TX,111,21123.84388274769,1096
TX,113,20381660.09118365,373655
TX,115,40347.634349990985,1962
TX,117,93238.98100677918,3624
TX,119,12267.573679073841,563
