State,County,Total Cost,Number of Children
GA,1,9918.523304955914,2956
GA,3,3291.0262588288906,1559
GA,5,5642.014138176638,1625
GA,7,173.33333333333337,432
GA,9,21081.187622793866,5059
GA,11,7019.541567557687,1905
GA,13,48052.81629040648,8024
GA,15,99153.99052162055,12371
GA,17,8553.278140408895,3078
GA,19,8371.946866678962,2787
GA,21,127849.89274782625,24250
GA,23,1681.0217627782847,1422
GA,25,8016.303478874069,2523
GA,27,6403.2509208627625,2254
GA,29,13809.804360812705,2476
GA,31,44055.41605261854,6935
GA,33,29840.73338417072,4051
GA,35,12880.998003035576,3131
GA,37,294.6666666666667,726
GA,39,10895.067116731758,4694
GA,43,7612.231264568764,1783
GA,45,70017.15780349658,12960
GA,47,30526.83098889413,6250
GA,49,3092.537171855922,1345
GA,51,172925.37089489098,27991
GA,53,109.6875,544
GA,55,18968.535469083865,3481
GA,57,66700.1207837181,12367
GA,59,38586.05350996975,11195
GA,61,1412.8666666666668,601
GA,63,136660.71699075654,51556
GA,65,854.5416666666665,1187
GA,67,309379.7933214726,58676
GA,69,17245.202415960175,6927
GA,71,12649.563718523332,8299
GA,73,105105.36194342168,7272
GA,75,10188.90087967588,2813
GA,77,44333.64365816773,11187
GA,79,7015.905963480965,1539
GA,81,8764.090768001777,3730
GA,83,4714.488930801741,1332
GA,85,8658.95499097308,1794
GA,87,8889.681786378827,4819
GA,89,246286.45972724125,85600
GA,91,10053.635021581016,2654
GA,93,6744.052507623097,1624
GA,95,48670.472665294095,17816
GA,97,106526.97917029599,14255
GA,99,7825.641943734014,1935
GA,101,291.3015873015873,440
GA,103,30906.494348127548,4468
GA,105,11779.195793993586,2729
GA,107,23472.828042282086,3891
GA,109,10899.916714875535,1860
GA,111,12658.610409392832,2417
GA,113,21732.99658029524,4892
GA,115,66253.39296764237,12066
GA,117,39702.27043720296,7384
GA,119,22744.133994979336,2806
GA,121,433760.5037348881,100902
GA,123,15994.559865597366,3437
GA,125,1744.5704365079364,360
GA,127,34179.08944781827,9304
GA,129,34069.15850744935,7158
GA,131,9477.056013213369,3805
GA,133,3449.9949874686718,2060
GA,135,267247.87047809607,83414
GA,137,35868.7743083588,4368
GA,139,94713.99813681157,23985
GA,141,5871.330538302276,1162
GA,143,25149.317577991493,3605
GA,145,4253.33315018315,1684
GA,147,16804.89469048109,2956
GA,149,8599.211766666482,1514
GA,151,98926.50974433043,16534
GA,153,75343.44683381707,14766
GA,155,2446.243181818182,1336
GA,157,34746.190104746565,6004
GA,159,4267.593185286934,1964
GA,161,9065.653025537977,2713
GA,163,16995.011569476275,2642
GA,165,6941.2378427128415,1379
GA,167,8860.146955128204,1173
GA,169,10934.57617733144,2503
GA,171,6605.947611331165,1912
GA,173,5323.999783631402,1310
GA,175,19994.38577124201,7305
GA,177,10471.456056808687,2404
GA,179,35036.83603683892,6085
GA,181,6941.918704906205,790
GA,183,9223.941841491842,2060
GA,185,51369.04746394094,14586
GA,187,12830.777597457007,2471
GA,189,21928.648825997712,3409
GA,191,3982.6259687208208,1312
GA,193,7043.176343101344,1799
GA,195,29312.697941235936,3793
GA,197,6546.521070234114,1044
GA,199,10707.051546163391,3109
GA,201,1457.3417259624155,863
GA,205,5359.337685680333,3957
GA,207,12155.230919761067,2113
GA,209,3638.202969545075,1091
GA,211,15073.031286131478,1902
GA,213,15203.9008767646,6155
GA,215,81166.38365924268,25940
GA,217,75627.75019317119,13077
GA,219,17155.371000998122,1617
GA,221,24354.447319570878,908
GA,223,67243.43205313005,10970
GA,225,19726.324709035165,3180
GA,227,14289.240709867454,2932
GA,229,5852.639282776048,2390
GA,231,10999.590816627486,1749
GA,233,23007.13261651775,6037
GA,235,5387.121759259259,1101
GA,237,10088.294347989176,2540
GA,239,199.0,300
GA,241,10778.431877917403,1524
GA,243,800.6964285714287,1019
GA,245,235911.48887147268,31020
GA,247,36956.802777722005,10608
GA,249,2380.1325757575755,512
