State,County,Total Cost,Number of Children
GA,1,100558.67765260268,2956
GA,3,29978.138428557315,1559
GA,5,51700.39204079479,1625
GA,7,28511.085744348242,432
GA,9,156084.27732679472,5059
GA,11,48410.64464462285,1905
GA,13,249679.37375859785,8024
GA,15,457498.66114280245,12371
GA,17,110392.91683659374,3078
GA,19,90712.71475625476,2787
GA,21,685487.4096291959,24250
GA,23,86640.54996537956,1422
GA,25,86841.75560139994,2523
GA,27,129241.19048895607,2254
GA,29,59667.56535505932,2476
GA,31,221941.6640154173,6935
GA,33,157480.2521363787,4051
GA,35,87864.63166816407,3131
GA,37,41591.755896880895,726
GA,39,101038.60214022508,4694
GA,43,41748.71352821665,1783
GA,45,474207.2272906777,12960
GA,47,149833.9150019938,6250
GA,49,37919.071308273684,1345
GA,51,739570.6200930694,27991
GA,53,26194.255310150376,544
GA,55,125558.23937291914,3481
GA,57,326846.90653096803,12367
GA,59,479944.8627263014,11195
GA,61,33632.645683728035,601
GA,63,2010370.6400597482,51556
GA,65,38678.46010679449,1187
GA,67,1914891.8038109543,58676
GA,69,143440.26813443645,6927
GA,71,215711.40426599557,8299
GA,73,198676.05021341168,7272
GA,75,102770.7067805442,2813
GA,77,340471.34723994107,11187
GA,79,52364.935698462636,1539
GA,81,158174.92426729243,3730
GA,83,27961.83191744545,1332
GA,85,49289.02506485523,1794
GA,87,164723.20287890904,4819
GA,89,3557685.71407269,85600
GA,91,86623.33076425358,2654
GA,93,102457.49662684648,1624
GA,95,881593.3934748266,17816
GA,97,514269.63443642703,14255
GA,99,76449.17771710044,1935
GA,101,17598.19468382781,440
GA,103,89280.55080917945,4468
GA,105,82572.06958011528,2729
GA,107,151803.1066521256,3891
GA,109,53608.327357782655,1860
GA,111,65549.17570537853,2417
GA,113,179743.1114347865,4892
GA,115,372149.8965554307,12066
GA,117,180192.35507505012,7384
GA,119,145451.07341552,2806
GA,121,4371164.479694653,100902
GA,123,63542.0201867702,3437
GA,125,9863.793037888036,360
GA,127,313768.753925891,9304
GA,129,176814.78607556282,7158
GA,131,192477.71507099023,3805
GA,133,80353.02379858699,2060
GA,135,2790489.336612993,83414
GA,137,109473.25850393127,4368
GA,139,727006.7559279214,23985
GA,141,62960.48528204251,1162
GA,143,124760.246909075,3605
GA,145,38266.47271995793,1684
GA,147,95679.0319018234,2956
GA,149,46630.828506281105,1514
GA,151,624059.1022542366,16534
GA,153,455741.1411598857,14766
GA,155,59498.87179041022,1336
GA,157,175924.14015688267,6004
GA,159,66193.4826249487,1964
GA,161,67033.57769149897,2713
GA,163,133471.337483595,2642
GA,165,47633.70062185664,1379
GA,167,44713.09453432488,1173
GA,169,58337.361705810144,2503
GA,171,49520.90555010579,1912
GA,173,50905.74037522935,1310
GA,175,233256.7943411452,7305
GA,177,150458.91953399294,2404
GA,179,213425.58011133398,6085
GA,181,26714.463827619747,790
GA,183,76222.20261532745,2060
GA,185,830715.5825964357,14586
GA,187,79577.74088252848,2471
GA,189,135150.02906939187,3409
GA,191,35954.56066795476,1312
GA,193,141090.3854366468,1799
GA,195,121162.28419812859,3793
GA,197,57348.188814524845,1044
GA,199,78466.57864014567,3109
GA,201,33888.235172534434,863
GA,205,219391.0353941568,3957
GA,207,54061.95194235937,2113
GA,209,27613.335551730404,1091
GA,211,50595.827257323865,1902
GA,213,184450.0177853775,6155
GA,215,752801.5770655976,25940
GA,217,515735.2725946274,13077
GA,219,35707.955992486764,1617
GA,221,22116.73427584209,908
GA,223,322314.9292924092,10970
GA,225,123678.8778517542,3180
GA,227,67932.75750805237,2932
GA,229,100750.84135456721,2390
GA,231,55738.623310708135,1749
GA,233,208420.86141775726,6037
GA,235,49615.798713333475,1101
GA,237,130281.09471450005,2540
GA,239,4997.8049031253295,300
GA,241,47929.589729781874,1524
GA,243,47011.940548572384,1019
GA,245,1417404.460472782,31020
GA,247,382945.1628861765,10608
GA,249,37396.868239367985,512
GA,251,91955.44244194693,2145
GA,253,60568.26211763067,1375
GA,255,282686.255442006,8888
GA,257,219502.28757996162,3458
GA,259,26524.179355437827,590
GA,261,420924.5236901808,5260
GA,263,25032.167317794298,649
GA,265,11966.468831168833,278
GA,267,89936.63910551519,2941
GA,269,57387.76317152664,996
GA,271,49258.44490068756,1673
GA,273,92276.43386851849,1640
GA,275,316627.00461434096,6143
GA,277,222767.6921562337,6458
GA,279,138871.1609674961,5156
GA,281,26870.628616673184,779
GA,283,31601.853084743485,974
GA,285,305866.7559265321,8801
GA,287,60283.194440116575,1426
GA,289,35019.24178084342,945
GA,291,40088.10225380225,1757
GA,293,132044.7332993484,3778
GA,295,204147.44411215693,7355
GA,297,290221.7986536541,8914
GA,299,231333.17461554465,5235
GA,301,32911.223061530676,793
GA,303,171826.01279852446,2763
GA,305,209773.46332417906,4459
GA,307,17343.777284269738,304
GA,309,32060.500486437177,820
GA,311,61217.35422948322,2410
GA,313,332302.5687155265,14190
GA,315,38069.877392991,1188
GA,317,50293.57567592934,1346
GA,319,46295.16576617825,1373
GA,321,106123.13262780962,2689
GA,999,1962.033333333333,63
PA,1,57667.60727760801,6784
PA,3,289164.39395778504,92968
PA,5,15471.038888888892,5693
PA,7,38143.60676638178,14126
PA,9,189330.6911357483,4170
PA,11,129274.3642394228,41417
