State,County,Total Cost,Number of Children
GA,1,737.8505449229134,2956
GA,3,447.5238095238095,1559
GA,5,3384.340220917427,1625
GA,7,0.0,432
GA,9,14381.12355814121,5059
GA,11,1263.6735119047619,1905
GA,13,19112.236187134447,8024
GA,15,17804.365767629373,12371
GA,17,914.9077822762033,3078
GA,19,1801.1347117794485,2787
GA,21,60410.39342418713,24250
GA,23,709.375,1422
GA,25,993.9520202020204,2523
GA,27,764.9375000000001,2254
GA,29,1777.0343370681608,2476
GA,31,17593.350724195727,6935
GA,33,4375.5873298199385,4051
GA,35,5503.6073484848475,3131
GA,37,0.0,726
GA,39,8614.923083860584,4694
GA,43,2836.748979091084,1783
GA,45,26980.20283874753,12960
GA,47,5216.312773433585,6250
GA,49,1540.0664706589707,1345
GA,51,47559.08789583037,27991
GA,53,109.6875,544
GA,55,1335.248647186147,3481
GA,57,39662.39544717752,12367
GA,59,21757.39643087248,11195
GA,61,0.0,601
GA,63,56483.24926251397,51556
GA,65,366.3125,1187
GA,67,74886.33838476287,58676
GA,69,2315.123472339493,6927
GA,71,6349.725892857144,8299
GA,73,18653.880144863422,7272
GA,75,2082.231068931069,2813
GA,77,13838.063539194942,11187
GA,79,2904.702783491018,1539
GA,81,2763.0295717354543,3730
GA,83,216.9230769230769,1332
GA,85,2000.3133573587534,1794
GA,87,5906.357149987709,4819
GA,89,173506.34223306045,85600
GA,91,2038.338888888889,2654
GA,93,0.0,1624
GA,95,11846.838336859575,17816
GA,97,32286.119992071934,14255
GA,99,1379.8778280542988,1935
GA,101,0.0,440
GA,103,7421.09480468362,4468
GA,105,4016.893560606061,2729
GA,107,2227.798412698413,3891
GA,109,2180.3599511599514,1860
GA,111,4098.399480850032,2417
GA,113,4451.876355045921,4892
GA,115,22579.8030374327,12066
GA,117,15594.167963910962,7384
GA,119,8305.39691974692,2806
GA,121,246670.64053716755,100902
GA,123,4415.239424464424,3437
GA,125,0.0,360
GA,127,11028.511579965927,9304
GA,129,8130.916495622241,7158
GA,131,7372.301058201058,3805
GA,133,2775.947741147741,2060
GA,135,89126.16914529203,83414
GA,137,6628.7592580259225,4368
GA,139,21528.826933121818,23985
GA,141,1839.506728778468,1162
GA,143,20284.023754370628,3605
GA,145,7539.430674676631,1684
GA,147,4905.90333000333,2956
GA,149,818.9221014492754,1514
GA,151,44728.96520675674,16534
GA,153,14795.406291053003,14766
GA,155,1858.774047619048,1336
GA,157,7021.3590183044935,6004
GA,159,3242.157679738563,1964
GA,161,1854.305461205461,2713
GA,163,1425.2601010101014,2642
GA,165,390.0,1379
GA,167,1755.5232198142417,1173
GA,169,4093.7383333333337,2503
GA,171,1647.7432092517618,1912
GA,173,1580.4742647058827,1310
GA,175,9355.141872710623,7305
GA,177,2523.315476190476,2404
GA,179,6936.606240108283,6085
GA,181,1718.8055555555554,790
GA,183,3187.0462653288737,2060
GA,185,13450.22076525625,14586
GA,187,2823.127550227551,2471
GA,189,3926.800416445153,3409
GA,191,153.68589743589746,1312
GA,193,1432.2742812742813,1799
GA,195,7434.735433675522,3793
GA,197,369.4666666666667,1044
GA,199,3115.209891959892,3109
GA,201,0.0,863
GA,205,4311.71948051948,3957
GA,207,2241.1732843137256,2113
GA,209,514.7222222222222,1091
GA,211,10401.582826747719,1902
GA,213,5304.956159200277,6155
GA,215,51923.83073884119,25940
GA,217,55251.18444601173,13077
GA,219,2048.822405372405,1617
GA,221,3113.52880891487,908
GA,223,16771.280410331652,10970
GA,225,3355.628579916816,3180
GA,227,1308.3548872180452,2932
GA,229,727.5401069518716,2390
GA,231,2028.59797979798,1749
GA,233,15604.43851017475,6037
GA,235,921.1606481481482,1101
GA,237,5939.149983289547,2540
GA,239,0.0,300
GA,241,2566.3149517149523,1524
GA,243,3669.570658263305,1019
GA,245,35352.8736587568,31020
GA,247,28351.936166108444,10608
GA,249,260.0,512
GA,251,7678.61648576097,2145
GA,253,2653.3074140528092,1375
GA,255,13137.058179667554,8888
GA,257,6426.309186123482,3458
GA,259,0.0,590
GA,261,2466.1809523809525,5260
GA,263,18.8030303030303,649
GA,265,856.4318181818181,278
GA,267,831.283485958486,2941
GA,269,752.2233333333335,996
GA,271,437.1973684210528,1673
GA,273,372.25,1640
GA,275,15883.643172158216,6143
GA,277,8091.765556772949,6458
GA,279,1033.7968253968254,5156
GA,281,937.2777777777777,779
GA,283,267.75,974
GA,285,41108.788597268736,8801
GA,287,562.1545454545453,1426
GA,289,2213.6031746031745,945
GA,291,289.5238095238095,1757
GA,293,5213.935224089635,3778
GA,295,7642.88979984691,7355
GA,297,24419.48363402851,8914
GA,299,4216.681293566591,5235
GA,301,44.37333333333334,793
GA,303,4903.297005772006,2763
GA,305,4787.905158730158,4459
GA,307,0.0,304
GA,309,0.0,820
GA,311,5386.033217702677,2410
GA,313,22461.853963506226,14190
GA,315,687.0571428571427,1188
GA,317,841.7923976608188,1346
GA,319,4778.9667832167825,1373
GA,321,1495.808225108225,2689
GA,999,0.0,63
PA,1,43.3,6784
PA,3,11615.619478560657,92968
PA,5,0.0,5693
PA,7,1329.9313725490194,14126
PA,9,2269.675010766581,4170
PA,11,27283.77035795745,41417
PA,13,14391.034872534872,12042
PA,15,1559.8690702087285,5389
PA,17,3855.479166666667,29748
PA,19,88345.4090909091,10177
PA,21,3451.110606060606,11730
PA,23,0.0,532
PA,25,3099.8960754158124,5146
PA,27,9492.04145021645,5806
PA,29,30374.55,23187
PA,31,3977.3358395989976,3079
PA,33,9520.706547619047,7786
PA,35,538.9555555555555,3219
PA,37,1778.4287356321838,4762
PA,39,8895.615998075997,8569
PA,41,4303.458333333333,11933
PA,43,7271.50648148148,25802
PA,45,12125.458974358977,44943
PA,47,2760.975,2589
PA,49,40573.297289105794,32776
PA,51,7692.391666666666,15055
PA,53,0.0,356
PA,55,12386.868113518078,12009
PA,57,1592.186507936508,1229
PA,59,0.0,3723
PA,61,3204.7170868347343,3827
PA,63,0.0,6237
PA,65,490.33333333333326,4437
PA,67,842.6583333333333,1652
PA,69,5937.494393939393,18830
PA,71,1668.7859427609426,39318
PA,73,2209.5,8333
PA,75,0.0,11237
PA,77,6985.67619047619,34432
PA,79,11484.747768311465,31232
PA,81,4293.02843137255,9998
PA,83,1639.1827586206898,4376
PA,85,3473.8024402068518,11034
PA,87,3559.252981993852,4291
PA,89,5397.053073212414,15140
PA,91,8932.544642857143,38451
PA,93,365.9523809523809,1130
PA,95,1400.2738095238094,20910
PA,97,226.6875,8044
PA,99,0.0,3118
PA,101,25461.575429409302,249620
PA,103,3040.3826086956524,4242
PA,105,1431.2727272727273,1722
PA,107,11898.992107055525,12553
PA,109,3584.3896551724133,2771
PA,111,5538.777777777778,5635
PA,113,0.0,379
PA,115,9710.850219298243,3564
PA,117,3472.892735042735,3427
PA,119,2690.180875576037,2640
PA,121,7928.734951963243,5269
PA,123,4286.375494071146,3415
PA,125,1068.9117647058824,14432
PA,127,9124.609718631042,4170
PA,129,1464.9892857142856,24304
PA,131,1374.9225991399906,2412
PA,133,4948.166666666667,34799
NY,1,119357.14864158645,17644
NY,3,28482.574283494283,3625
NY,5,64904.379031827724,15966
NY,9,69104.09855884347,6225
NY,11,98339.11184463614,5431
NY,13,49606.848536265265,12062
NY,15,57862.13376909449,7962
NY,17,33230.07606078132,4109
NY,19,64678.169716760254,5125
NY,21,112432.30920571805,3624
NY,23,42836.669756830255,3890
NY,25,9130.025237919976,3127
NY,27,236170.2683959766,12985
NY,29,309794.16102099174,67929
NY,31,29011.360832184302,2084
NY,33,21374.334682398498,3256
NY,35,44555.05321045572,4900
NY,37,6817.518424557899,3462
NY,39,13700.836921587856,3013
NY,41,0.0,212
NY,43,10304.360914718809,4909
NY,45,99688.60192060117,7201
NY,49,19425.311198625936,1762
NY,51,27665.318467643458,3408
NY,53,19721.14562617121,4081
NY,55,314436.8418219645,56506
