State,County,Total Cost,Number of Children
GA,1,31188.97815155154,2956
GA,3,6107.579527417028,1559
GA,5,18740.07525126018,1625
GA,7,3551.956275206275,432
GA,9,58457.62830101542,5059
GA,11,8893.400310933663,1905
GA,13,58135.00361851062,8024
GA,15,121053.80748124176,12371
GA,17,26320.18455988567,3078
GA,19,22994.725455228614,2787
GA,21,418741.01052495744,24250
GA,23,27159.78461613277,1422
GA,25,14384.472676362124,2523
GA,27,17328.7822318181,2254
GA,29,25123.692110460204,2476
GA,31,37612.127853200676,6935
GA,33,22990.943149011408,4051
GA,35,24421.118314864532,3131
GA,37,15005.089300514299,726
GA,39,30515.731629915997,4694
GA,43,7385.687607859974,1783
GA,45,197928.9117234918,12960
GA,47,44701.423258248135,6250
GA,49,6475.186906101794,1345
GA,51,417956.18206748756,27991
GA,53,4679.2316017316025,544
GA,55,19396.419745435596,3481
GA,57,114222.01796887355,12367
GA,59,124924.13428884328,11195
GA,61,8631.090543035396,601
GA,63,619066.4457104759,51556
GA,65,9438.461104100576,1187
GA,67,528925.4620704355,58676
GA,69,44719.48873569496,6927
GA,71,34911.21723986056,8299
GA,73,111873.0199885268,7272
GA,75,19573.510139860136,2813
GA,77,104187.30001792908,11187
GA,79,8500.322846597846,1539
GA,81,54126.08939108399,3730
GA,83,9629.4106097241,1332
GA,85,14154.943453302407,1794
GA,87,49945.39690891399,4819
GA,89,1181193.774134755,85600
GA,91,9802.320334773583,2654
GA,93,8246.420161774071,1624
GA,95,265531.85590682033,17816
GA,97,219781.0736883974,14255
GA,99,8717.321659499921,1935
GA,101,1336.7691086691084,440
GA,103,45247.294877706016,4468
GA,105,16147.390014615012,2729
GA,107,25267.593855776606,3891
GA,109,13579.72122715248,1860
GA,111,23768.91532803453,2417
GA,113,50137.4160988592,4892
GA,115,158846.83886044324,12066
GA,117,45512.364316860585,7384
GA,119,22940.77547216358,2806
GA,121,2594420.4345653355,100902
GA,123,24055.046465054555,3437
GA,125,3994.098783068783,360
GA,127,103571.72759686806,9304
GA,129,70206.62951935352,7158
GA,131,73873.60603160456,3805
GA,133,16893.881453780137,2060
GA,135,578766.0071604528,83414
GA,137,36261.03962838407,4368
GA,139,115836.11605232068,23985
GA,141,7949.026660235899,1162
GA,143,55841.95909810403,3605
GA,145,15562.609989208133,1684
GA,147,21623.58722552531,2956
GA,149,15461.913197171292,1514
GA,151,310903.74499230564,16534
GA,153,156218.99981773552,14766
GA,155,28794.044464633385,1336
GA,157,56172.050666053634,6004
GA,159,7226.508893729249,1964
GA,161,13205.018876526523,2713
GA,163,25526.022013172013,2642
GA,165,8972.53011204482,1379
GA,167,11628.178392337795,1173
GA,169,18095.452392677882,2503
GA,171,17554.143886206388,1912
GA,173,13036.15708919134,1310
GA,175,121337.64255662846,7305
GA,177,21895.54272481582,2404
GA,179,59246.413142281184,6085
GA,181,3650.1208485958477,790
GA,183,15619.295078972977,2060
GA,185,189376.49069578954,14586
GA,187,21269.955722924875,2471
GA,189,41757.90061066095,3409
