State,County,Total Cost,Number of Children
GA,1,11183.70143020738,2956
GA,3,2517.949765512265,1559
GA,5,5184.890518644828,1625
GA,7,173.33333333333337,432
GA,9,25185.766446416925,5059
GA,11,3212.019670448947,1905
GA,13,49573.242836190584,8024
GA,15,37880.6708276285,12371
GA,17,12335.236051252476,3078
GA,19,14858.555599985672,2787
GA,21,184484.2985538762,24250
GA,23,3956.628066378066,1422
GA,25,9891.876562326564,2523
GA,27,9537.273143084984,2254
GA,29,10417.38529060522,2476
GA,31,41271.630023542384,6935
GA,33,8894.220012922571,4051
GA,35,12848.840844622351,3131
GA,37,818.4852941176471,726
GA,39,7361.5125354313695,4694
GA,43,5512.726599789098,1783
GA,45,92042.21825448383,12960
GA,47,24173.980834372494,6250
GA,49,3249.711838553604,1345
GA,51,142247.94655871892,27991
GA,53,1985.2517704517707,544
GA,55,12655.28636167368,3481
GA,57,58635.035088080724,12367
GA,59,58332.170135661756,11195
GA,61,1097.8262032085563,601
GA,63,203964.6852136623,51556
GA,65,2017.4877316311133,1187
GA,67,268600.4494722609,58676
GA,69,17536.92265858347,6927
GA,71,21384.52088375889,8299
GA,73,45199.87959667687,7272
GA,75,10724.962296037296,2813
GA,77,57795.69371915607,11187
GA,79,3648.626388888888,1539
GA,81,7649.891836219334,3730
GA,83,5490.049068986568,1332
GA,85,7928.545735655837,1794
GA,87,19401.587200395392,4819
GA,89,366408.0144772641,85600
GA,91,7147.771891528378,2654
GA,93,2287.293984962406,1624
GA,95,40870.97678813971,17816
GA,97,108118.65696874927,14255
GA,99,3507.2219696969696,1935
GA,101,783.7142857142858,440
GA,103,20058.97222686173,4468
GA,105,6176.556418581418,2729
GA,107,14670.377179705654,3891
GA,109,9768.391392366666,1860
GA,111,8444.203210516062,2417
GA,113,33442.54083746362,4892
GA,115,54853.9132853908,12066
GA,117,18838.00331152083,7384
GA,119,12121.328121633269,2806
GA,121,747941.985561898,100902
GA,123,10178.764446990921,3437
GA,125,520.0133333333333,360
GA,127,37342.82756098677,9304
GA,129,19872.08188343594,7158
GA,131,18734.1553041658,3805
GA,133,12283.840054390057,2060
GA,135,273316.4059910316,83414
GA,137,18608.04690438277,4368
