State,County,Total Cost,Number of Children
GA,1,1776.2721232256115,2956
GA,3,0.0,1559
GA,5,644.0444444444445,1625
GA,7,0.0,432
GA,9,11625.808115413998,5059
GA,11,1174.0,1905
GA,13,14386.961518153425,8024
GA,15,10320.068286660377,12371
GA,17,6233.479831932774,3078
GA,19,6155.900000247655,2787
GA,21,75441.60138266922,24250
GA,23,815.3869854109491,1422
GA,25,3523.0643360515446,2523
GA,27,3372.965834517005,2254
GA,29,9457.59573896166,2476
GA,31,14602.631965135271,6935
GA,33,5767.487446404171,4051
GA,35,4247.476920995671,3131
GA,37,2869.995436507937,726
GA,39,13795.981077724531,4694
GA,43,5568.45,1783
GA,45,17441.806753392735,12960
GA,47,4716.827068038216,6250
GA,49,320.4375,1345
GA,51,36498.766391798934,27991
GA,53,1744.2608695652175,544
GA,55,3438.2124716111025,3481
GA,57,27155.504548869398,12367
GA,59,11297.942454516626,11195
GA,61,1374.8950163398695,601
GA,63,84267.37016116611,51556
GA,65,1020.09,1187
GA,67,111254.8553582335,58676
GA,69,12589.41426115449,6927
GA,71,5449.3566745449325,8299
GA,73,20959.773245612032,7272
GA,75,6978.642112913542,2813
GA,77,14769.931164014975,11187
GA,79,288.8369963369963,1539
GA,81,9858.715043780026,3730
GA,83,1292.2917956656347,1332
GA,85,1057.142857142857,1794
GA,87,11881.136702480524,4819
GA,89,149372.13273622104,85600
GA,91,3339.524870042061,2654
GA,93,7503.0278489626335,1624
GA,95,21956.50571369576,17816
GA,97,18114.765352690258,14255
GA,99,7074.727563837129,1935
GA,101,0.0,440
GA,103,11350.552628547266,4468
GA,105,6495.389456860968,2729
GA,107,6862.426813703538,3891
GA,109,2671.793859649123,1860
GA,111,4916.931905647635,2417
GA,113,16965.79939943369,4892
GA,115,36634.727107456114,12066
GA,117,11097.221929880827,7384
GA,119,11677.45377882954,2806
GA,121,162355.2996289926,100902
GA,123,4186.4047619047615,3437
GA,125,150.8,360
GA,127,7184.0388746920435,9304
GA,129,16069.5927659993,7158
GA,131,7863.3991260652365,3805
GA,133,964.1593406593406,2060
GA,135,137206.53667774017,83414
GA,137,8714.359351922585,4368
GA,139,33225.794888331155,23985
GA,141,8317.690170940172,1162
GA,143,10027.292967515676,3605
GA,145,5680.012299679489,1684
GA,147,11186.343616698383,2956
GA,149,4315.126820238585,1514
GA,151,40881.037498195765,16534
GA,153,28622.14755492251,14766
GA,155,7136.463203463203,1336
GA,157,7064.473516612607,6004
GA,159,5133.587301587302,1964
GA,161,3747.292045164139,2713
GA,163,1158.668438211405,2642
GA,165,3527.929971355345,1379
GA,167,3904.381351981352,1173
GA,169,6767.548051948052,2503
GA,171,5942.533016983018,1912
GA,173,1890.8384615384614,1310
GA,175,7409.848703900548,7305
GA,177,3073.7726768057646,2404
GA,179,7376.026262626264,6085
GA,181,3408.986904761905,790
GA,183,2323.228205128205,2060
GA,185,40373.08727586415,14586
GA,187,3971.865418840419,2471
GA,189,11628.0497248022,3409
GA,191,3233.134692833508,1312
GA,193,6478.712631812632,1799
GA,195,7397.709655287243,3793
GA,197,1471.6333333333332,1044
GA,199,2069.6966008771933,3109
GA,201,357.71428571428567,863
GA,205,5387.127946413608,3957
GA,207,3241.6627104377108,2113
GA,209,0.0,1091
GA,211,2841.68501344086,1902
GA,213,11586.355825453164,6155
GA,215,28263.24704005983,25940
GA,217,38615.79840366748,13077
GA,219,1417.4048552754434,1617
GA,221,3761.104615384615,908
GA,223,26504.707709920352,10970
GA,225,21655.234335291058,3180
