State,County,Total Cost,Number of Children
GA,1,106034.94509190157,2714
GA,3,46732.66386765182,1560
GA,5,68051.86687525439,1641
GA,7,14143.610200746967,384
GA,9,237295.02908243448,5265
GA,11,55797.223351845234,1890
GA,13,282020.62509670435,8743
GA,15,360283.6580886778,12281
GA,17,144569.57701760303,3045
GA,19,140942.72842372212,2721
GA,21,1083150.882840095,24072
GA,23,59438.08184361933,1326
GA,25,100840.77951388212,2474
GA,27,80207.45365232405,2209
GA,29,99218.35229256711,2443
GA,31,250830.7829059625,7058
GA,33,158150.52735829062,3906
GA,35,113514.91362512988,2752
GA,37,37313.33647741147,733
GA,39,136208.94527327074,4631
GA,43,66571.509232203,1733
GA,45,372869.7213279359,12896
GA,47,262333.13649118936,6908
GA,49,45764.42665774772,1311
GA,51,804613.589009167,28281
GA,53,22661.635380360385,426
GA,55,94200.9797500016,3379
GA,57,342127.6482650932,13631
GA,59,349295.0850413782,13135
GA,61,25193.227980679454,604
GA,63,1382899.1922305452,53542
GA,65,43747.25719866358,1188
GA,67,1333197.150096857,58619
GA,69,225086.17038205586,6780
GA,71,338541.928428141,8030
GA,73,351916.2006355924,7503
GA,75,133928.9962966263,2787
GA,77,381952.6179598132,10932
GA,79,58002.853757476194,1485
GA,81,208215.85665133712,3707
GA,83,31323.154133021235,1273
GA,85,39120.43767916978,1695
GA,87,218887.9490026368,4670
GA,89,2654406.381363568,88671
GA,91,121600.33489406615,2481
GA,93,41634.82653474522,1510
GA,95,718518.3664601442,18223
GA,97,428124.34699325415,15649
GA,99,47102.219142404436,1882
GA,101,13504.312315380701,630
GA,103,175699.81694513245,4520
GA,105,99942.6774461905,2657
GA,107,207182.96666219505,3687
GA,109,48078.122605144694,1789
GA,111,73248.16911146598,2350
GA,113,119017.18688308456,5173
GA,115,498943.14828446775,12034
GA,117,151439.6591346497,7683
GA,119,88686.67246457418,2734
GA,121,4470685.980620371,103025
GA,123,51884.20016652266,3272
GA,125,14159.611490361493,348
GA,127,355251.90262124565,9337
GA,129,188541.7202505703,6824
GA,131,192574.39414134328,3627
GA,133,50746.573520569844,1996
GA,135,1578073.421505301,87166
GA,137,132866.58876602064,4479
GA,139,495352.32551974896,25514
GA,141,29095.374786025517,1110
GA,143,118582.92335008875,3532
GA,145,106676.3489284351,1620
GA,147,91609.75458211207,2949
GA,149,60371.55877632184,1544
GA,151,689894.2363180381,16781
GA,153,522345.4767351336,15177
GA,155,87860.58595814586,1368
GA,157,198234.09773869565,5673
GA,159,49250.78381190123,1730
GA,161,85358.91386051422,2562
GA,163,92439.54148558989,2625
GA,165,55828.946175239784,1340
GA,167,85090.62360665596,1129
GA,169,90211.31326185736,2431
GA,171,46018.5322927417,1978
GA,173,63925.45652344731,1318
GA,175,482867.8569378822,7865
