State,County,Total Cost,Number of Children
GA,1,105030.2327730434,2714
GA,3,72641.48543638679,1560
GA,5,55250.854681181954,1641
GA,7,18967.041210251024,384
GA,9,329216.2818534294,5265
GA,11,73561.8920289735,1890
GA,13,296995.0033194579,8743
GA,15,311013.8350256189,12281
GA,17,123300.09956181883,3045
GA,19,119016.00915836213,2721
GA,21,570035.6543892156,24072
GA,23,37162.972941270826,1326
GA,25,66221.04019151503,2474
GA,27,90134.83676995667,2209
GA,29,75534.63422556155,2443
GA,31,252508.94010568032,7058
GA,33,224080.63761726586,3906
GA,35,101470.9193221181,2752
GA,37,26180.363498463917,733
GA,39,96792.22616064207,4631
GA,43,67894.8443329147,1733
GA,45,530417.8253333886,12896
GA,47,214145.0510267136,6908
GA,49,34851.46516098485,1311
GA,51,655496.7160302532,28281
GA,53,13777.939644288172,426
GA,55,121467.80094959054,3379
GA,57,326404.3980102655,13631
GA,59,599093.0248550103,13135
GA,61,16227.134760937988,604
GA,63,1309536.7421649192,53542
GA,65,50688.17126295543,1188
GA,67,1237373.7812830345,58619
GA,69,411823.57455395453,6780
GA,71,386222.97228389024,8030
GA,73,206975.67472884507,7503
GA,75,112171.68637594233,2787
GA,77,377978.856756555,10932
GA,79,44414.241483886486,1485
GA,81,150696.81562964825,3707
GA,83,32964.115705347285,1273
GA,85,51275.22992187844,1695
GA,87,161694.94357550403,4670
GA,89,2122669.27254374,88671
GA,91,123714.08999830564,2481
GA,93,62861.12376500815,1510
GA,95,925121.424714314,18223
GA,97,559416.569008323,15649
GA,99,66817.74919191896,1882
GA,101,29504.278367465875,630
GA,103,128529.28475279936,4520
GA,105,153310.38912991394,2657
GA,107,161987.69973754734,3687
GA,109,70433.56614317412,1789
GA,111,95487.25608291988,2350
GA,113,86626.27636271718,5173
GA,115,400834.95224992326,12034
GA,117,180810.73291135413,7683
GA,119,177261.92918009387,2734
GA,121,1975944.1249596856,103025
GA,123,64844.85938973421,3272
GA,125,10412.155236892735,348
GA,127,268740.072035264,9337
GA,129,181977.80449136085,6824
GA,131,123872.63081617141,3627
GA,133,82906.67010628263,1996
GA,135,2107906.5602448983,87166
GA,137,179344.03899819546,4479
GA,139,876305.7880078125,25514
GA,141,45539.1733873425,1110
GA,143,135904.4577428567,3532
GA,145,47272.746879866594,1620
GA,147,110474.31246458217,2949
GA,149,62681.57997190365,1544
GA,151,509771.9991327056,16781
GA,153,626037.0234169911,15177
GA,155,50162.97818576116,1368
GA,157,264135.359506237,5673
GA,159,56600.9599178259,1730
GA,161,100576.06913769744,2562
GA,163,89402.07233959748,2625
GA,165,79073.50936860411,1340
GA,167,64646.26243750519,1129
GA,169,54838.26931725679,2431
GA,171,60962.102366760926,1978
GA,173,48637.87378014498,1318
GA,175,524298.9763274927,7865
GA,177,145540.75359616356,2852
GA,179,171441.04547843846,6058
GA,181,25059.120325877833,805
GA,183,63227.63044297753,2008
GA,185,583295.7787918644,14480
GA,187,67048.71534550689,2404
GA,189,144520.49054107294,3482
GA,191,22974.67063912754,1309
GA,193,86231.92448249571,1525
GA,195,169388.53265176294,3577
GA,197,64112.32041256748,980
GA,199,93992.55246655816,2921
GA,201,21598.060548941798,813
GA,205,128787.98115629885,3596
GA,207,53888.42075635418,2089
GA,209,39983.773059764295,996
GA,211,70204.70528871013,1741
GA,213,207588.36416234347,6209
GA,215,755839.2730715789,26437
GA,217,431999.8372489437,12628
GA,219,82437.3998326474,1604
GA,221,48878.00578556796,1050
GA,223,280911.94706141594,11484
GA,225,154026.9356965484,3229
GA,227,84575.37059130461,2837
GA,229,67963.3808332939,2461
GA,231,39736.90014534084,1657
GA,233,295204.2747057537,6030
GA,235,31344.213614254902,1049
GA,237,153067.05469397665,2562
GA,239,7550.804364154364,309
GA,241,155545.55613115474,1572
GA,243,40183.754679232814,1004
GA,245,752863.5365400835,31130
GA,247,340772.3864059408,10167
GA,249,29337.791377574882,529
GA,251,98817.19120753373,2066
GA,253,56527.102906678025,1401
GA,255,222479.64425450112,9183
