State,County,Total Cost,Number of Children
GA,1,8778.949608006515,2714
GA,3,498.28125,1560
GA,5,481.6414141414142,1641
GA,7,110.91666666666669,384
GA,9,25870.282604217453,5265
GA,11,2963.2801029379966,1890
GA,13,32082.253916248468,8743
GA,15,30118.851790293244,12281
GA,17,5764.591725924686,3045
GA,19,6664.677097395209,2721
GA,21,163868.7848000309,24072
GA,23,2727.182683982684,1326
GA,25,5958.350965700965,2474
GA,27,5989.043146613735,2209
GA,29,12766.606828183069,2443
GA,31,26127.33320500184,7058
GA,33,6096.338095238095,3906
GA,35,4887.116494360902,2752
GA,37,4851.992261904761,733
GA,39,14465.691730074192,4631
GA,43,4385.9595238095235,1733
GA,45,65515.320842571775,12896
GA,47,18802.27530325452,6908
GA,49,2076.8030566927623,1311
GA,51,69537.83054820416,28281
GA,53,910.3148148148148,426
GA,55,10798.311754105944,3379
GA,57,26278.12319754462,13631
GA,59,23293.99978642216,13135
GA,61,1623.4857142857145,604
GA,63,87081.6471727255,53542
GA,65,436.27731092436966,1188
GA,67,164349.67715867842,58619
GA,69,2620.676996497624,6780
GA,71,17318.788716664898,8030
GA,73,17999.457823317032,7503
GA,75,5005.2339922332585,2787
GA,77,36710.47692891638,10932
GA,79,4204.732575757576,1485
GA,81,7426.140474030448,3707
GA,83,1347.5489926739924,1273
GA,85,5678.4159659181405,1695
GA,87,8011.401182151181,4670
GA,89,244287.90048230824,88671
GA,91,6458.86367836166,2481
GA,93,1998.113141025641,1510
GA,95,30525.82906257686,18223
GA,97,66184.63544210205,15649
GA,99,1820.6536106866986,1882
GA,101,0.0,630
GA,103,12981.054330268045,4520
GA,105,7197.458717890297,2657
GA,107,16667.635034410036,3687
GA,109,2883.606975772765,1789
GA,111,6888.599598669879,2350
GA,113,12668.06285658786,5173
GA,115,25006.17839451615,12034
GA,117,16247.509321194382,7683
GA,119,10543.91842377819,2734
GA,121,527719.7269729964,103025
GA,123,5267.988174382402,3272
GA,125,113.92307692307692,348
GA,127,40782.97287229176,9337
GA,129,12033.811167268834,6824
GA,131,12903.91727685799,3627
GA,133,7121.730042016807,1996
GA,135,159943.6892643551,87166
GA,137,10670.680667943168,4479
GA,139,40231.81468247085,25514
GA,141,1826.1581529581529,1110
GA,143,15469.679890514002,3532
GA,145,747.9076923076923,1620
GA,147,1756.481150009411,2949
GA,149,7262.622714000974,1544
GA,151,59066.990126714816,16781
GA,153,44012.55437190909,15177
GA,155,2292.995207570208,1368
GA,157,16976.62720419559,5673
GA,159,2951.0219444444438,1730
GA,161,2429.049652512925,2562
GA,163,6474.652667493797,2625
GA,165,2265.0215811965813,1340
GA,167,8940.8555028305,1129
GA,169,7825.3059809846145,2431
GA,171,511.405238095238,1978
GA,173,4447.665319548873,1318
GA,175,30409.612442061683,7865
GA,177,7522.917972256499,2852
GA,179,16002.506300262241,6058
GA,181,194.67916666666667,805
GA,183,4253.393742368742,2008
GA,185,27614.178347975085,14480
GA,187,2514.439990763651,2404
GA,189,9410.806966558554,3482
GA,191,3142.069222444223,1309
GA,193,2029.891503267974,1525
