State,County,Total Cost,Number of Children
GA,1,25055.745778486737,2714
GA,3,26552.645259139015,1560
GA,5,20240.86289244381,1641
GA,7,1191.8560606060605,384
GA,9,51271.38075489325,5265
GA,11,16148.187596423477,1890
GA,13,59570.71089576699,8743
GA,15,145861.41561655368,12281
GA,17,35074.171915804436,3045
GA,19,27427.900945731846,2721
GA,21,319640.239169202,24072
GA,23,18105.8705537518,1326
GA,25,17885.953820974777,2474
GA,27,41393.55173992674,2209
GA,29,14905.687829930112,2443
GA,31,44844.227586539266,7058
GA,33,38659.25514670514,3906
GA,35,26133.439527335104,2752
GA,37,4657.225022322448,733
GA,39,43921.08649596176,4631
GA,43,32600.146443382724,1733
GA,45,133739.09944673462,12896
GA,47,78574.63211622425,6908
GA,49,21607.307037815124,1311
GA,51,184349.69831483215,28281
GA,53,9654.269444444446,426
GA,55,24727.61524412264,3379
GA,57,101746.85457992458,13631
GA,59,117710.71689873232,13135
GA,61,4450.868253968254,604
GA,63,327540.4617350281,53542
GA,65,14080.627831890331,1188
GA,67,380073.794719374,58619
GA,69,66858.42125629343,6780
GA,71,78014.1609473618,8030
GA,73,73244.06060213527,7503
GA,75,45775.980196573604,2787
GA,77,107351.07720032844,10932
GA,79,20064.607458744955,1485
GA,81,57491.396707750246,3707
GA,83,9500.976044788544,1273
GA,85,12878.335877684409,1695
GA,87,39416.69883033633,4670
GA,89,500469.43175481743,88671
GA,91,26353.550264006157,2481
GA,93,20152.0556773088,1510
GA,95,126996.77362342106,18223
GA,97,107229.33392394804,15649
GA,99,19798.183249158254,1882
GA,101,14747.094266844268,630
GA,103,27440.949796500256,4520
GA,105,14934.423326673324,2657
GA,107,28559.887442905532,3687
GA,109,7545.001183375448,1789
GA,111,30872.20962093104,2350
GA,113,31259.671582485924,5173
GA,115,83075.37419580501,12034
GA,117,54401.18309442104,7683
GA,119,29483.313976380585,2734
GA,121,557164.7285063424,103025
GA,123,32105.728161666768,3272
GA,125,1837.8833333333328,348
GA,127,65803.22397213355,9337
GA,129,88165.20765361606,6824
GA,131,40368.49366359761,3627
GA,133,15600.453934975701,1996
GA,135,535552.2751708843,87166
GA,137,50694.97948036283,4479
GA,139,195463.97030364705,25514
GA,141,8851.214801864802,1110
GA,143,39339.60126293439,3532
GA,145,40469.40181225778,1620
GA,147,33396.39405636181,2949
GA,149,19972.021450649023,1544
GA,151,155951.89158611587,16781
GA,153,239680.84822073995,15177
GA,155,14939.164712239199,1368
GA,157,46034.997377666194,5673
GA,159,24000.431223406227,1730
GA,161,28269.643824693823,2562
GA,163,25284.89800824176,2625
GA,165,9127.094892007393,1340
GA,167,11801.834737484738,1129
GA,169,27721.59862757068,2431
GA,171,15980.560411140586,1978
GA,173,20485.074989362496,1318
GA,175,60025.77345901432,7865
GA,177,21387.679117809865,2852
GA,179,22123.903498788794,6058
GA,181,8932.01378968254,805
GA,183,16312.787808441553,2008
GA,185,259492.4029587017,14480
GA,187,23015.161683795504,2404
GA,189,41755.6717448665,3482
GA,191,5491.737713675214,1309
GA,193,31061.711405430004,1525
GA,195,32771.06389243617,3577
GA,197,10166.363095238095,980
GA,199,50942.05367789458,2921
GA,201,6454.585443722945,813
GA,205,36279.746747954814,3596
GA,207,32826.12867135301,2089
GA,209,8603.280369167871,996
GA,211,14247.410645604397,1741
GA,213,55305.27183192507,6209
GA,215,234137.4868201912,26437
GA,217,104206.34701442934,12628
GA,219,25004.945645451982,1604
GA,221,11114.25594873536,1050
GA,223,103547.39146581269,11484
GA,225,58367.61950148665,3229
GA,227,28389.54890889339,2837
GA,229,18283.775818070826,2461
GA,231,14025.451549661246,1657
GA,233,49963.53039974831,6030
GA,235,8671.884992784993,1049
GA,237,16334.22892944653,2562
GA,239,2307.735714285714,309
GA,241,19014.67658705673,1572
GA,243,8808.166546416547,1004
GA,245,279810.65226280724,31130
GA,247,49153.74815781987,10167
GA,249,6030.729797979798,529
GA,251,16939.42785632639,2066
GA,253,10073.849650349648,1401
GA,255,57556.743630556746,9183
GA,257,32150.510002250503,3480
GA,259,3757.250543900544,541
GA,261,68236.17488226293,5338
GA,263,10387.746858465607,617
GA,265,2849.021717171717,279
GA,267,22634.235036831364,2802
GA,269,13090.094211760465,968
GA,271,13242.678174603176,1410
GA,273,12824.951677489174,1502
GA,275,89840.59074293467,6450
GA,277,50759.56517085394,6409
GA,279,54673.6083309213,4607
GA,281,5319.815277777778,714
GA,283,6978.307999027117,890
GA,285,195036.73500967305,9001
GA,287,5745.406376956375,1368
GA,289,19246.947916666664,908
GA,291,14467.519204041571,1715
GA,293,44990.651785192385,3755
GA,295,76526.52842862028,7216
GA,297,80665.69949219622,8533
GA,299,36407.5062284796,5293
GA,301,9245.12483828432,739
GA,303,31301.759459839483,2785
GA,305,87196.36699410729,6303
GA,307,1520.409090909091,307
GA,309,8283.653994708995,802
GA,311,26667.773078536997,2412
GA,313,131233.2878393369,13825
GA,315,15202.968936618938,1054
GA,317,13809.94405398523,1355
GA,319,27995.185403362975,1341
GA,321,21171.304213659147,2579
GA,999,0.0,0
PA,1,48441.8742063492,6780
PA,3,428019.5998310021,91435
PA,5,8949.68440709617,5698
PA,7,250465.56826298693,14059
PA,9,174285.00482919865,4099
PA,11,555715.7033662883,41513
PA,13,150939.20363990587,11969
PA,15,53857.165784761055,5284
PA,17,477400.4617219693,30094
PA,19,83083.02949134201,10204
PA,21,444810.3627303251,11641
PA,23,28670.5121031746,510
PA,25,52584.45733873823,5270
PA,27,41075.19936032007,5752
PA,29,414384.5290806597,23066
PA,31,50830.772507233094,2969
PA,33,123877.47299603462,7526
PA,35,31305.261028415167,3195
PA,37,53111.10798902912,4790
PA,39,100834.19763754764,8215
PA,41,84910.46834733895,12581
PA,43,149681.77162698412,26328
PA,45,697414.7396161525,45981
PA,47,52746.927589338535,2466
PA,49,600939.8074334897,32406
PA,51,35251.514285714286,14593
PA,53,7734.269047619046,356
PA,55,546242.8353366895,11955
PA,57,29379.714718614716,1183
PA,59,6640.416666666668,3471
PA,61,91451.57612206279,3758
PA,63,41653.9880952381,6066
PA,65,67513.02313751064,4232
PA,67,15344.064647413987,1588
PA,69,393623.7594669665,19150
PA,71,321251.5059193853,40231
PA,73,73057.76507936508,8220
PA,75,121159.58542291043,11592
PA,77,324339.4033171143,34373
PA,79,631655.5948242197,31708
PA,81,634162.9387682889,9709
PA,83,85514.13993512535,4379
PA,85,398801.7806061211,10844
PA,87,29072.50811815893,4205
PA,89,125660.76000072985,14996
PA,91,786532.3008364436,38548
PA,93,12900.573038073037,1087
PA,95,164349.85542568538,21321
PA,97,112895.46576902225,8215
PA,99,12289.256944444443,3138
PA,101,3095505.5440536737,250481
PA,103,116048.47541350592,4385
PA,105,24972.603006021756,1675
PA,107,182333.98413314173,12745
PA,109,44255.93038974915,2823
PA,111,176173.73281705426,5571
PA,113,3433.3809523809527,372
PA,115,73922.77048274007,3481
PA,117,42625.17023076954,3346
PA,119,26226.194428358955,2580
PA,121,92982.70472058174,5244
PA,123,57606.60267591887,3473
PA,125,50619.804232804236,14187
PA,127,268712.58203105646,4065
PA,129,73985.45681818183,24232
PA,131,102749.98791619133,2361
PA,133,270997.63417858403,35767
NY,1,841260.236347098,19232
NY,3,247731.16001399435,3807
NY,5,578760.3348073822,16943
NY,9,250737.5633479124,6684
NY,11,298789.949992537,5899
NY,13,685205.0153730832,12840
NY,15,347503.4305523685,8219
NY,17,115375.6008975458,4396
NY,19,85734.78091249832,5708
NY,21,267118.2283492944,4061
NY,23,43111.19589602962,4090
NY,25,76802.12342958251,3502
NY,27,527569.9105026129,14519
NY,29,5981194.226418539,72930
NY,31,34584.50723315642,2345
NY,33,79841.9845862312,3647
NY,35,99270.02686243947,5219
NY,37,95782.97387663997,3624
NY,39,55147.51357377,3301
NY,41,6244.694905788655,251
NY,43,173075.13788151374,5346
NY,45,229708.03937392656,7806
NY,49,64983.67192474778,1967
NY,51,64493.12472667298,3711
NY,53,124003.81513826664,4576
NY,55,2212587.152031728,61346
NY,57,70424.23989327809,5473
NY,59,911321.1902064495,57857
NY,61,42849701.48356429,1160844
NY,63,398735.9085327679,15886
NY,65,743438.1801225742,22567
NY,67,1530731.4588612434,38311
NY,69,91981.85499411805,6114
NY,71,758290.2848042522,35063
NY,73,139176.53484530462,3536
NY,75,417346.41719928593,11583
NY,77,111629.9808052748,3811
NY,79,96374.31235571617,2108
NY,83,331038.9532010869,11638
NY,87,854565.7724431469,36990
NY,89,389894.35776117904,8432
NY,91,136246.31914208437,9005
NY,93,414344.9155986132,13737
NY,95,27043.88914539408,2043
NY,97,33697.37623459702,1409
NY,99,34812.118308080804,2334
NY,101,208533.40462363273,7554
NY,103,1329646.859326452,82129
NY,105,393164.98017218866,8003
NY,107,84868.33173409804,3794
NY,109,104839.15708284162,4990
NY,111,200850.1815093252,11117
NY,113,49081.943283258566,3953
NY,115,52388.894200365685,4790
NY,117,98780.33523060971,6421
NY,119,1677392.1395536438,58698
NY,121,59553.19632034631,2232
NY,123,30936.664003102167,1811
NY,999,261438.0781246532,605
SC,1,32060.663731749315,3192
SC,3,166026.93409224547,19554
SC,5,15726.155683858624,1711
SC,7,222931.8999656913,22177
SC,9,27504.57247223093,2392
SC,11,22614.34965558321,3928
SC,13,195921.73831785817,15348
SC,15,274302.0483538551,19652
