State,County,Total Cost,Number of Children
GA,1,18163.56604608034,2714
GA,3,1622.4441558441565,1560
GA,5,7930.438040468302,1641
GA,7,1975.990350877193,384
GA,9,28926.925758222467,5265
GA,11,10289.137493219128,1890
GA,13,89036.70582482315,8743
GA,15,94186.77309077332,12281
GA,17,17857.570923198004,3045
GA,19,12720.340082790446,2721
GA,21,266680.0221939177,24072
GA,23,6446.4936861749375,1326
GA,25,11353.307784807786,2474
GA,27,18749.152452646034,2209
GA,29,23079.64707611346,2443
GA,31,70915.5038220948,7058
GA,33,22095.392274834732,3906
GA,35,20607.18018863232,2752
GA,37,5756.345749158249,733
GA,39,21442.48331297836,4631
GA,43,8964.65523806259,1733
GA,45,121479.13509339836,12896
GA,47,36601.71251291076,6908
GA,49,3647.4650937297993,1311
GA,51,182931.00105395305,28281
GA,53,4808.7750000000015,426
GA,55,19095.24566907857,3379
GA,57,111833.53247396881,13631
GA,59,96302.14174924481,13135
GA,61,3521.05,604
GA,63,321893.25294970965,53542
GA,65,3635.063754553205,1188
GA,67,400155.48626852065,58619
GA,69,16252.621305966564,6780
GA,71,41743.19021757047,8030
GA,73,116162.49147791935,7503
GA,75,16661.056530112048,2787
GA,77,93560.97754280137,10932
GA,79,10450.450276059546,1485
GA,81,23100.82465517224,3707
GA,83,6725.521893833291,1273
GA,85,16140.066039107005,1695
GA,87,31044.618171594488,4670
GA,89,690067.5731315223,88671
GA,91,15495.210745958408,2481
GA,93,4337.8859123447355,1510
GA,95,94539.29032860383,18223
GA,97,175514.805383106,15649
GA,99,4787.189595535184,1882
GA,101,1094.264828738513,630
GA,103,23406.05304965732,4520
GA,105,34559.094313317204,2657
GA,107,30326.970748447115,3687
GA,109,8773.990574698779,1789
GA,111,22514.652305391548,2350
GA,113,45711.09337114172,5173
GA,115,102522.89495403855,12034
GA,117,55748.21152718155,7683
GA,119,29608.34643344804,2734
GA,121,1412479.4914051543,103025
GA,123,17279.931733748163,3272
GA,125,1267.2314102564105,348
GA,127,84747.04239116712,9337
GA,129,26478.521300157103,6824
GA,131,26666.18169399043,3627
GA,133,17517.783175990677,1996
GA,135,445849.00270709273,87166
GA,137,24852.239384069395,4479
GA,139,148686.32277765882,25514
GA,141,6557.0515717398075,1110
GA,143,26338.875761587387,3532
GA,145,19515.593917656417,1620
GA,147,21368.85239277808,2949
GA,149,9984.350896342456,1544
GA,151,154392.41897592088,16781
GA,153,85699.36053556894,15177
GA,155,9315.828498952027,1368
GA,157,58549.38316680719,5673
GA,159,8351.420626040626,1730
GA,161,12178.851823632163,2562
GA,163,19135.17485079492,2625
GA,165,9294.573824786325,1340
GA,167,10084.107234432237,1129
GA,169,12785.176541455847,2431
GA,171,9149.191257370905,1978
GA,173,14137.57476270075,1318
GA,175,91086.83909273686,7865
GA,177,18787.337724838224,2852
GA,179,35878.916573373615,6058
GA,181,8020.966894216895,805
GA,183,27461.133228353607,2008
GA,185,102322.50791368213,14480
GA,187,13818.788618837882,2404
GA,189,33543.87684801997,3482
GA,191,2637.2031746031744,1309
GA,193,5664.613852813853,1525
GA,195,36358.434627390096,3577
GA,197,1970.3625,980
GA,199,34712.997413817015,2921
GA,201,720.8017543859648,813
GA,205,15964.942588184054,3596
