State,County,Total Cost,Number of Children
GA,1,19898.775247411082,2714
GA,3,7172.352146464647,1560
GA,5,48163.9246200838,1641
GA,7,900.2828282828282,384
GA,9,5012.485515873016,5265
GA,11,2703.4629870129875,1890
GA,13,35332.496884389264,8743
GA,15,71153.76428508571,12281
GA,17,10472.771811386403,3045
GA,19,32940.66745668138,2721
GA,21,210148.57115025926,24072
GA,23,5808.122205572205,1326
GA,25,40449.76261434645,2474
GA,27,32634.55091752049,2209
GA,29,15603.222572417164,2443
GA,31,134712.8576540759,7058
GA,33,6890.1160052910045,3906
GA,35,35317.299080262936,2752
GA,37,3969.157552954292,733
GA,39,76534.81405777173,4631
GA,43,10715.51164741056,1733
GA,45,45867.03028109903,12896
GA,47,39107.65764930545,6908
GA,49,3830.717990832697,1311
GA,51,261157.8871794616,28281
GA,53,35046.17777777778,426
GA,55,7937.811486793222,3379
GA,57,95060.04806274924,13631
GA,59,49486.295038105505,13135
GA,61,2064.3317972350237,604
GA,63,308260.4293128377,53542
GA,65,3808.6191634346037,1188
GA,67,215895.50030014847,58619
GA,69,20973.16206937421,6780
GA,71,205721.49360843774,8030
GA,73,45034.135525613965,7503
GA,75,51496.837899667844,2787
GA,77,114154.5914056898,10932
GA,79,5844.808152958153,1485
GA,81,8092.386010170385,3707
GA,83,5808.6346489199805,1273
GA,85,2140.41397028897,1695
GA,87,9035.463596345176,4670
GA,89,466153.9301495339,88671
GA,91,7230.270215611328,2481
GA,93,6716.347901281723,1510
GA,95,192007.75634860533,18223
GA,97,121098.30114002248,15649
GA,99,13587.300344192483,1882
GA,101,3579.784722222222,630
GA,103,46715.678473459695,4520
GA,105,25069.75713009181,2657
GA,107,5053.2894898198665,3687
GA,109,6212.169514695831,1789
GA,111,2308.6544444444444,2350
GA,113,15915.718670088369,5173
GA,115,190007.75017805077,12034
GA,117,65943.47413537727,7683
GA,119,14090.366715809128,2734
GA,121,631373.3289358501,103025
GA,123,2449.5441623191628,3272
GA,125,862.2392857142855,348
GA,127,82955.88364310097,9337
GA,129,63997.37286129625,6824
GA,131,6886.639333536835,3627
GA,133,23663.18515651016,1996
GA,135,338859.6609239254,87166
GA,137,11586.055705228579,4479
GA,139,102091.82586519273,25514
GA,141,759.8571428571429,1110
GA,143,48478.29357340629,3532
GA,145,7963.21369047619,1620
GA,147,22180.058470532735,2949
GA,149,1495.0708333333332,1544
GA,151,166484.26429362677,16781
GA,153,127966.05002732949,15177
GA,155,11679.739288613115,1368
GA,157,21050.31091170969,5673
GA,159,6644.18670369663,1730
GA,161,24333.069953292328,2562
GA,163,2989.812121212121,2625
GA,165,2497.897045707915,1340
GA,167,3564.2811147186158,1129
GA,169,23493.912477834347,2431
GA,171,3970.433333333333,1978
GA,173,10744.690564954048,1318
GA,175,55822.110092333714,7865
GA,177,27882.850753084644,2852
GA,179,25834.52478338225,6058
GA,181,11345.478015873015,805
GA,183,4118.488563264221,2008
GA,185,368761.64088748046,14480
GA,187,6315.75528915529,2404
GA,189,19536.540050884785,3482
GA,191,18176.355839258784,1309
GA,193,5555.8286281179135,1525
GA,195,20281.417993464867,3577
GA,197,0.0,980
GA,199,30184.022196375176,2921
GA,201,7157.82729978355,813
GA,205,18309.12502035002,3596
GA,207,12098.153104668238,2089
GA,209,3776.638228438229,996
GA,211,6163.912347374848,1741
GA,213,50672.024197666964,6209
GA,215,42164.164407350334,26437
GA,217,119962.02225303288,12628
GA,219,6226.587333529904,1604
GA,221,17524.412433862435,1050
GA,223,38051.27689222154,11484
GA,225,20056.505575444506,3229
GA,227,17770.17117739287,2837
GA,229,25960.167280938014,2461
GA,231,3669.4817352582063,1657
GA,233,88232.64401639547,6030
GA,235,11339.32874596799,1049
GA,237,22511.797319006535,2562
GA,239,122.63636363636364,309
GA,241,10548.695436507936,1572
GA,243,14665.050129037627,1004
GA,245,87142.7852603944,31130
GA,247,48494.473729474004,10167
GA,249,520.3529411764706,529
GA,251,6619.7064507252,2066
GA,253,10478.404316123046,1401
GA,255,16786.44508056331,9183
GA,257,5319.469722222222,3480
GA,259,8708.974175824176,541
GA,261,42675.518070904436,5338
GA,263,6060.4312500000015,617
GA,265,0.0,279
GA,267,4227.4074404761905,2802
GA,269,3551.1478354978362,968
GA,271,14758.414178414176,1410
GA,273,26864.30973346914,1502
GA,275,64819.00568799106,6450
GA,277,106287.85694031096,6409
GA,279,27142.062962025262,4607
GA,281,653.4285714285714,714
GA,283,3154.416346153846,890
GA,285,62416.590784147666,9001
GA,287,11524.412870462871,1368
GA,289,7436.549428578031,908
GA,291,8046.50118381703,1715
GA,293,34408.38752505365,3755
GA,295,69871.55298672902,7216
GA,297,98298.25596303484,8533
GA,299,71944.74169907584,5293
GA,301,1107.357142857143,739
GA,303,6352.738999829323,2785
GA,305,43416.040003787035,6303
