State,County,Total Cost,Number of Children
GA,1,41295.14219399897,2714
GA,3,24057.774430783644,1560
GA,5,42205.18288647628,1641
GA,7,4898.494139194138,384
GA,9,23798.893177308797,5265
GA,11,35342.01363541429,1890
GA,13,126130.92883485589,8743
GA,15,103681.311972281,12281
GA,17,30790.96475152273,3045
GA,19,45572.946106850664,2721
GA,21,143104.13217008358,24072
GA,23,38867.3733454046,1326
GA,25,23783.714538239536,2474
GA,27,36738.3846438284,2209
GA,29,7848.319708165398,2443
GA,31,86220.36542580795,7058
GA,33,9720.5123015873,3906
GA,35,73743.91212757827,2752
GA,37,2944.5265700483087,733
GA,39,59893.68150685888,4631
GA,43,18606.868675907423,1733
GA,45,160723.19412917906,12896
GA,47,65956.26915478527,6908
GA,49,8731.011217948719,1311
GA,51,172920.24175174464,28281
GA,53,14053.056325618823,426
GA,55,16044.371225205825,3379
GA,57,270306.69479819486,13631
GA,59,57923.70547249295,13135
GA,61,7146.495238095239,604
GA,63,284950.8783340994,53542
GA,65,13752.616117216116,1188
GA,67,889725.4273243714,58619
GA,69,147682.86231424904,6780
GA,71,94392.26051099207,8030
GA,73,23543.300153742613,7503
GA,75,88033.2270381751,2787
GA,77,142075.73575552262,10932
GA,79,24280.90925185925,1485
GA,81,57503.95903844522,3707
GA,83,17752.136681273638,1273
GA,85,28702.43126387963,1695
GA,87,106202.63395933632,4670
GA,89,486521.04984805884,88671
GA,91,102694.9022599792,2481
GA,93,25931.364330909437,1510
GA,95,248856.23657959088,18223
GA,97,84364.42560293015,15649
GA,99,34266.31546038112,1882
GA,101,10821.70101010101,630
GA,103,51957.51827952138,4520
GA,105,30435.176428154868,2657
GA,107,9651.393431784336,3687
GA,109,21453.17841580934,1789
GA,111,8749.59979076479,2350
GA,113,17786.00572385704,5173
GA,115,288723.4690904955,12034
GA,117,60168.02425231369,7683
GA,119,57334.15643861857,2734
GA,121,761227.1679008256,103025
GA,123,11013.255138625305,3272
GA,125,1211.5,348
GA,127,67626.77290834965,9337
GA,129,65961.90533071844,6824
GA,131,44960.57327478856,3627
GA,133,9675.21045204795,1996
GA,135,322147.7446300319,87166
GA,137,77937.45260843716,4479
GA,139,98665.96685502233,25514
GA,141,1217.2055555555555,1110
GA,143,50639.336114200174,3532
GA,145,8069.488293650795,1620
GA,147,55603.03313447938,2949
GA,149,3012.943997668998,1544
GA,151,353441.19622603385,16781
GA,153,230985.53185862864,15177
GA,155,36344.441566315516,1368
GA,157,82377.35643745725,5673
GA,159,6407.709424603175,1730
GA,161,46672.731770254235,2562
