State,County,Total Cost,Number of Children
GA,1,3561.098148148148,2714
GA,3,170.95555555555555,1560
GA,5,9833.951923076922,1641
GA,7,2125.875,384
GA,9,1097.4333333333334,5265
GA,11,2704.9373897707237,1890
GA,13,8254.805453296703,8743
GA,15,14755.886803589932,12281
GA,17,2899.316666666666,3045
GA,19,5219.280881155881,2721
GA,21,32761.95665463777,24072
GA,23,2230.7181776556777,1326
GA,25,5498.281637806638,2474
GA,27,5155.775140977444,2209
GA,29,2714.918650793651,2443
GA,31,26465.15289140684,7058
GA,33,5477.345436507936,3906
GA,35,2691.2658730158732,2752
GA,37,2467.1521825396826,733
GA,39,10405.483452658456,4631
GA,43,2099.1916666666666,1733
GA,45,28699.30367549119,12896
GA,47,9996.684587001691,6908
GA,49,1586.2485569985572,1311
GA,51,42455.69135735096,28281
GA,53,1469.5555555555554,426
GA,55,2390.406060606061,3379
GA,57,11648.124544453483,13631
GA,59,17391.154606236847,13135
GA,61,2146.5,604
GA,63,79947.86484074965,53542
GA,65,2382.3125,1188
GA,67,94035.8203267286,58619
GA,69,9305.551399499192,6780
GA,71,11466.462637362642,8030
GA,73,11619.71794989733,7503
GA,75,4179.760733564681,2787
GA,77,11750.557688145189,10932
GA,79,4615.933023022729,1485
GA,81,6334.9242063492065,3707
GA,83,279.375,1273
GA,85,1355.1170634920634,1695
GA,87,18124.71222764164,4670
GA,89,102685.34917722864,88671
GA,91,3662.501831501831,2481
GA,93,1997.0666666666668,1510
GA,95,31431.55549372419,18223
GA,97,15441.89853416633,15649
GA,99,1663.1488095238094,1882
GA,101,0.0,630
GA,103,5758.885545051354,4520
GA,105,2190.2111111111108,2657
GA,107,4063.3440544233895,3687
GA,109,1733.2810629514966,1789
GA,111,5048.777976190475,2350
GA,113,10081.527655677657,5173
GA,115,15270.725627210766,12034
GA,117,11033.862703618774,7683
GA,119,7473.235515873016,2734
GA,121,162354.8513215528,103025
GA,123,683.3468430120604,3272
GA,125,148.8181818181818,348
GA,127,11637.453401131033,9337
GA,129,8754.082020593785,6824
GA,131,12096.662572150071,3627
GA,133,2527.4951923076924,1996
GA,135,92189.50582915431,87166
GA,137,5471.771436896436,4479
GA,139,27522.780607736495,25514
GA,141,6222.183174603174,1110
GA,143,8350.353414138044,3532
GA,145,6206.024304117783,1620
GA,147,2824.7055555555553,2949
GA,149,2121.541666666667,1544
GA,151,32461.349487848755,16781
GA,153,21795.1683494882,15177
GA,155,426.07792207792215,1368
GA,157,20151.328697691202,5673
GA,159,1809.333333333333,1730
GA,161,608.15,2562
GA,163,4402.505517848164,2625
GA,165,1885.069281045752,1340
GA,167,112.05263157894736,1129
GA,169,2077.363333333333,2431
GA,171,2879.0194294783305,1978
GA,173,2483.711344211344,1318
GA,175,15263.015756246492,7865
GA,177,14358.340901571548,2852
GA,179,12584.82229633223,6058
GA,181,1915.3269230769229,805
GA,183,3236.2674742411577,2008
GA,185,36133.61615594254,14480
GA,187,3580.722916666666,2404
GA,189,10163.184137426899,3482
GA,191,2640.95,1309
GA,193,1540.15,1525
GA,195,11998.307027986635,3577
GA,197,4853.788354700855,980
GA,199,3834.660130718953,2921
GA,201,2806.5265151515155,813
GA,205,9594.550066137566,3596
GA,207,4552.425,2089
GA,209,0.0,996
GA,211,15530.11270242915,1741
GA,213,14696.372949004399,6209
GA,215,71374.5204408664,26437
GA,217,20608.457924972638,12628
GA,219,1187.1375,1604
GA,221,153.45454545454547,1050
GA,223,15575.943574481074,11484
GA,225,10025.422430830038,3229
