State,County,Total Cost,Number of Children
GA,1,2502.731150793651,2714
GA,3,1685.5666666666666,1560
GA,5,0.0,1641
GA,7,187.375,384
GA,9,2519.197619047619,5265
GA,11,1595.7563492063491,1890
GA,13,4929.0721001221,8743
GA,15,11110.706701583018,12281
GA,17,3615.123809523809,3045
GA,19,1363.0063492063491,2721
GA,21,26520.26045880289,24072
GA,23,1069.4690476190476,1326
GA,25,436.2625,2474
GA,27,1790.388888888889,2209
GA,29,3786.174915824916,2443
GA,31,3104.9589285714287,7058
GA,33,2301.2541666666666,3906
GA,35,578.9166666666666,2752
GA,37,4418.666666666667,733
GA,39,2715.090873015873,4631
GA,43,1144.3044871794873,1733
GA,45,14354.083143547276,12896
GA,47,5134.0010611610605,6908
GA,49,645.0,1311
GA,51,34154.064903941384,28281
GA,53,330.7638888888889,426
GA,55,2323.199074074074,3379
GA,57,6653.2994806883335,13631
GA,59,10317.528790653796,13135
GA,61,714.2539682539682,604
GA,63,57568.21840370567,53542
GA,65,323.3333333333333,1188
GA,67,69150.68690968367,58619
GA,69,3588.207141265597,6780
GA,71,5359.454563492065,8030
GA,73,11419.561374181378,7503
GA,75,2860.873015873016,2787
GA,77,11772.475998854949,10932
GA,79,1043.0666666666666,1485
GA,81,4768.270373237015,3707
GA,83,56.59722222222222,1273
GA,85,707.0833333333333,1695
GA,87,3859.368681318682,4670
GA,89,110939.89578942381,88671
GA,91,2547.812479474548,2481
GA,93,3696.9891534391536,1510
GA,95,50770.88712687092,18223
GA,97,14155.039091941606,15649
GA,99,1169.17,1882
GA,101,0.0,630
GA,103,4423.347190799397,4520
GA,105,2170.8545454545456,2657
GA,107,4970.685443722943,3687
GA,109,990.2366514111367,1789
GA,111,297.15277777777777,2350
GA,113,3802.031479713097,5173
GA,115,10540.868369240408,12034
GA,117,8358.806022408964,7683
GA,119,1908.899206349207,2734
GA,121,161884.60641190948,103025
GA,123,1467.3472222222224,3272
GA,125,0.0,348
GA,127,13024.816708004973,9337
GA,129,4993.401438492063,6824
GA,131,3026.223881673882,3627
GA,133,3883.605882352941,1996
GA,135,108658.76228547901,87166
GA,137,25375.487500000007,4479
GA,139,27895.712770726866,25514
GA,141,792.5,1110
GA,143,3628.317532467533,3532
GA,145,83.05797101449275,1620
GA,147,2941.326409856053,2949
GA,149,0.0,1544
GA,151,12708.408535990156,16781
GA,153,15970.429924242424,15177
GA,155,2058.6666666666665,1368
GA,157,4302.892162698412,5673
GA,159,1180.0666666666666,1730
GA,161,2535.6138344226583,2562
GA,163,1497.8392156862747,2625
GA,165,1223.4774774774776,1340
GA,167,91.42156862745098,1129
GA,169,3718.1708333333336,2431
GA,171,3430.0961538461543,1978
GA,173,473.5324675324675,1318
GA,175,3433.6954545454546,7865
GA,177,1301.9362554112554,2852
GA,179,8051.743632756132,6058
GA,181,295.0,805
GA,183,621.8779239766083,2008
GA,185,12806.180339635857,14480
GA,187,3218.2583333333337,2404
GA,189,1032.4099378881988,3482
GA,191,524.85,1309
GA,193,1841.030303030303,1525
GA,195,3571.7170979986195,3577
GA,197,106.65,980
GA,199,1528.2391774891773,2921
GA,201,1506.8,813
GA,205,4058.959920634921,3596
GA,207,531.2083333333334,2089
GA,209,447.0,996
GA,211,2632.449572649573,1741
GA,213,10989.548974103809,6209
GA,215,20634.366900691894,26437
GA,217,10833.89971251014,12628
GA,219,283.2166666666667,1604
GA,221,0.0,1050
GA,223,7582.398949198949,11484
GA,225,2546.823809523809,3229
GA,227,1605.667599067599,2837
GA,229,878.2916666666667,2461
GA,231,3744.452380952381,1657
GA,233,1019.1369047619047,6030
GA,235,390.5,1049
GA,237,1087.8406432748538,2562
GA,239,120.875,309
GA,241,551.25,1572
GA,243,1001.3333333333333,1004
GA,245,34745.869907682456,31130
GA,247,10154.262486709198,10167
GA,249,345.6923076923077,529
GA,251,10341.175865800866,2066
GA,253,884.5333333333333,1401
GA,255,7238.833666333665,9183
GA,257,4687.375473137973,3480
GA,259,430.4,541
GA,261,2509.7644383394386,5338
GA,263,0.0,617
GA,265,679.25,279
GA,267,2144.5984126984126,2802
GA,269,726.6666666666665,968
GA,271,333.4,1410
GA,273,4629.113648851149,1502
GA,275,2956.532671957672,6450
GA,277,7705.780606478452,6409
GA,279,3963.34375,4607
GA,281,497.9834558823529,714
GA,283,0.0,890
GA,285,5017.525905575905,9001
GA,287,1576.206196581197,1368
GA,289,1090.0,908
GA,291,1737.0388888888888,1715
GA,293,1830.142424242424,3755
GA,295,4013.602380952381,7216
GA,297,25903.559296721796,8533
GA,299,2004.8552768487552,5293
GA,301,0.0,739
GA,303,7206.202450980391,2785
GA,305,10912.075332113242,6303
GA,307,304.0,307
GA,309,7614.5625,802
GA,311,1006.0462962962964,2412
GA,313,20185.344676936187,13825
GA,315,2323.22192513369,1054
GA,317,983.4,1355
GA,319,2093.383333333333,1341
GA,321,3803.800000000001,2579
GA,999,0.0,0
PA,1,7271.627472527472,6780
PA,3,14948.101190476189,91435
PA,5,0.0,5698
PA,7,14542.622727272726,14059
PA,9,17432.7125041625,4099
PA,11,133483.7472321807,41513
PA,13,27793.423681873683,11969
PA,15,11606.024897732983,5284
PA,17,33084.69575751046,30094
PA,19,0.0,10204
PA,21,36903.84572094572,11641
PA,23,0.0,510
PA,25,15052.282020928476,5270
PA,27,14438.337888514463,5752
PA,29,67455.61822143,23066
PA,31,5336.5177536231895,2969
PA,33,7834.38081591611,7526
PA,35,10911.659573759574,3195
PA,37,18742.54501544208,4790
PA,39,47438.83850859286,8215
PA,41,2425.125,12581
PA,43,14499.138690476191,26328
PA,45,113210.94324884571,45981
PA,47,3132.0815934065936,2466
PA,49,56272.679877784714,32406
PA,51,1200.6666666666667,14593
PA,53,0.0,356
PA,55,13790.301190476192,11955
PA,57,2777.479797979798,1183
PA,59,5049.4,3471
PA,61,23282.444163146793,3758
PA,63,3501.416666666666,6066
PA,65,9898.669223750103,4232
PA,67,4262.9895604395615,1588
PA,69,71066.87270414045,19150
PA,71,23609.131254614957,40231
PA,73,775.2,8220
PA,75,0.0,11592
PA,77,34951.66726190477,34373
PA,79,77400.30850819574,31708
PA,81,26838.999884446548,9709
PA,83,1352.3983766233769,4379
PA,85,46850.94424603175,10844
PA,87,6572.4953703703695,4205
PA,89,17105.276325136852,14996
PA,91,86715.87571793518,38548
PA,93,3312.2152661064424,1087
PA,95,19839.34523809524,21321
PA,97,19043.80254003104,8215
PA,99,741.0,3138
PA,101,401639.45924942923,250481
PA,103,11843.297348484852,4385
PA,105,0.0,1675
PA,107,35619.04209929218,12745
PA,109,14293.11899079182,2823
PA,111,5682.755952380953,5571
PA,113,2326.2031746031744,372
