State,County,Total Cost,Number of Children
GA,1,17060.02129865285,2714
GA,3,2661.555748663102,1560
GA,5,7279.1129407629405,1641
GA,7,925.9880952380953,384
GA,9,49601.51417213057,5265
GA,11,4332.9396937857455,1890
GA,13,49837.511040501355,8743
GA,15,70254.75970400593,12281
GA,17,13867.621280248413,3045
GA,19,16535.980829583645,2721
GA,21,248969.3642933527,24072
GA,23,5532.149893162393,1326
GA,25,9443.98773644656,2474
GA,27,6309.371559343434,2209
GA,29,21325.6658006095,2443
GA,31,55581.64975134437,7058
GA,33,9705.70265349116,3906
GA,35,13355.730499106156,2752
GA,37,2881.073362383231,733
GA,39,16599.246344886047,4631
GA,43,11806.24896029896,1733
GA,45,83773.88979138387,12896
GA,47,24087.823262734528,6908
GA,49,5049.105087505089,1311
GA,51,145393.1555529859,28281
GA,53,2351.3320614570616,426
GA,55,12144.48895299876,3379
GA,57,49169.49615491064,13631
GA,59,34837.6514163197,13135
GA,61,1818.916666666667,604
GA,63,221466.84651133945,53542
GA,65,4555.078145309508,1188
GA,67,245450.03704842858,58619
GA,69,24409.738925031143,6780
GA,71,113652.22883987863,8030
GA,73,33242.658052680956,7503
GA,75,9102.915257454959,2787
GA,77,64244.68746922133,10932
GA,79,6793.258445504483,1485
GA,81,15238.7661263437,3707
GA,83,4938.2677076685795,1273
GA,85,5504.37862514001,1695
GA,87,26609.87764090486,4670
GA,89,498908.2309293304,88671
GA,91,15935.95530078441,2481
GA,93,2794.8232841232843,1510
GA,95,84564.80749330045,18223
GA,97,91409.97186281368,15649
GA,99,3073.0119259825146,1882
GA,101,787.9320351346281,630
GA,103,26909.013193064537,4520
GA,105,10308.037907243828,2657
GA,107,22215.0428002553,3687
GA,109,9572.032614242484,1789
GA,111,6423.060248727879,2350
GA,113,25637.147905492973,5173
GA,115,59921.99041234473,12034
GA,117,32074.107819993187,7683
GA,119,9625.84728654339,2734
GA,121,874336.1196678258,103025
GA,123,6946.233235002611,3272
GA,125,720.2805860805861,348
GA,127,98918.47987159694,9337
GA,129,24262.818692738037,6824
GA,131,16387.019830169833,3627
GA,133,7810.0926515151505,1996
GA,135,276611.27440533024,87166
GA,137,15220.628998139367,4479
GA,139,56730.220838175184,25514
GA,141,3252.626704014939,1110
GA,143,16383.726254973,3532
GA,145,15026.500043706297,1620
GA,147,4475.248763654646,2949
GA,149,6117.327888993793,1544
GA,151,130144.47430042329,16781
GA,153,76844.97655031909,15177
GA,155,13786.510185321216,1368
GA,157,19919.20877234485,5673
GA,159,7588.723611135241,1730
GA,161,8726.517727204568,2562
GA,163,9362.275929353873,2625
GA,165,9564.704523580993,1340
GA,167,16451.70292936786,1129
GA,169,13180.469112077375,2431
GA,171,5048.884607794426,1978
GA,173,10937.299524233074,1318
GA,175,70324.62648910595,7865
GA,177,14101.051316588184,2852
GA,179,25641.95611311268,6058
GA,181,2665.1887243191595,805
GA,183,9101.770596764349,2008
GA,185,85378.9037604,14480
GA,187,4529.973849809194,2404
GA,189,15977.209388442225,3482
GA,191,7916.248279498279,1309
GA,193,6619.063692557443,1525
GA,195,18017.812970911385,3577
GA,197,2046.3062104562107,980
GA,199,18544.29638349928,2921
GA,201,2760.7452748031697,813
GA,205,16895.99086151132,3596
GA,207,11627.561619930264,2089
GA,209,3401.4562652260024,996
GA,211,6205.202074314574,1741
GA,213,27342.657881402418,6209
GA,215,196309.5207605393,26437
GA,217,74840.86095149173,12628
GA,219,5537.681328680898,1604
GA,221,2414.6743025493024,1050
GA,223,58410.3863389808,11484
GA,225,18691.638625275802,3229
GA,227,15017.720244556644,2837
GA,229,11999.727026241728,2461
GA,231,12842.147775129684,1657
GA,233,38200.64777325299,6030
GA,235,8354.567822618557,1049
GA,237,14221.458189958194,2562
GA,239,752.1589126559717,309
